Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,bg
Bubo blakistoni,Blakiston's Eagle-owl,,,FALSE,Японски бухал
Ketupa zeylonensis,Brown Fish-owl,brfowl1,357928591,FALSE,Цейлонски бухал
Ketupa flavipes,Tawny Fish-owl,tafowl1,646555291,FALSE,Блед бухал
Ketupa ketupu,Buffy Fish-owl,bufowl2,37256091,FALSE,Червен рибояден бухал
Scotopelia peli,Pel's Fishing-owl,pefowl1,310488,FALSE,Голяма рибоядна сова
Scotopelia ussheri,Rufous Fishing-owl,rufowl1,42040991,FALSE,Ръждива сова рибар
Scotopelia bouvieri,Vermiculated Fishing-owl,vefowl1,611760780,FALSE,Конгоанска сова рибар
Ciccaba virgata,Mottled Owl,motowl,48255711,FALSE,Пъстра улулица
Ciccaba nigrolineata,Black-and-white Owl,bawowl1,203952181,FALSE,Черноглава улулица
Ciccaba huhula,Black-banded Owl,bkbowl1,471539831,FALSE,Ивичеста улулица
Ciccaba albitarsis,Rufous-banded Owl,rubowl3,621767103,FALSE,Белонога улулица
Spilornis cheela,Crested Serpent-eagle,crseag1,285999481,FALSE,Качулат орел змияр
Spilornis holospilus,Philippine Serpent-eagle,phseag1,203894621,FALSE,Филипински орел змияр
Spilornis klossi,Great Nicobar Serpent-eagle,nicsee1,649339633,FALSE,Никобарски орел змияр
Spilornis kinabaluensis,Kinabalu Serpent-eagle,moseag1,622613519,FALSE,Борнейски орел змияр
Spilornis rufipectus,Sulawesi Serpent-eagle,suseag1,640793010,FALSE,Сулавески орел змияр
Spilornis elgini,Andaman Serpent-eagle,anseag1,290061431,FALSE,Андамански орел змияр
Dryotriorchis spectabilis,Congo Serpent-eagle,,,FALSE,Горски орел змияр
Terathopius ecaudatus,Bateleur,batele1,135449,FALSE,Късоопашат орел
Pithecophaga jefferyi,Philippine Eagle,grpeag1,183492,TRUE,Орел маймунояд
Circaetus gallicus,Short-toed Snake-eagle,shteag1,203921371,FALSE,Орел змияр
Circaetus beaudouini,Beaudouin's Snake-eagle,beasne1,310001,FALSE,Сахелски орел змияр
Circaetus pectoralis,Black-breasted Snake-eagle,bkbsne1,,FALSE,Черногръд орел змияр
Circaetus cinereus,Brown Snake-eagle,brseag1,399655781,FALSE,Пепелявосив змияр
Circaetus fasciolatus,Southern Banded Snake-eagle,faseag1,615708226,FALSE,Сивоглав орел змияр
Circaetus cinerascens,Western Banded Snake-eagle,baseag1,305958511,FALSE,Ивичестоопашат орел змияр
Sarcogyps calvus,Red-headed Vulture,rehvul1,,FALSE,Червеноглав лешояд
Trigonoceps occipitalis,White-headed Vulture,whhvul1,,FALSE,Белогуш лешояд
Necrosyrtes monachus,Hooded Vulture,hoovul1,21635991,FALSE,Качулат лешояд
Gyps himalayensis,Himalayan Griffon,himgri1,286816191,FALSE,Хималайски лешояд
Gyps bengalensis,White-rumped Vulture,whrvul1,310239,FALSE,Бенгалски лешояд
Gyps africanus,White-backed Vulture,whbvul1,276362,FALSE,Белогръб лешояд
Gyps indicus,Indian Vulture,indvul1,310243,TRUE,Индийски лешояд
Gyps tenuirostris,Slender-billed Vulture,slbvul1,612412143,FALSE,Тънкоклюн лешояд
Gyps coprotheres,Cape Vulture,capgri1,612256787,FALSE,Капски лешояд
Gyps rueppellii,Rüppell's Vulture,,,FALSE,Африкански лешояд
Gyps fulvus,Griffon Vulture,eurgri1,627212609,TRUE,Белоглав лешояд
Aegypius monachus,Cinereous Vulture,cinvul1,625694722,FALSE,Черен лешояд
Torgos tracheliotus,Lappet-faced Vulture,lafvul1,,FALSE,Африкански дългоух лешояд
T. t. negevensis,Arabian Lappet-faced Vulture,,,FALSE,
Macheiramphus alcinus,Bat Hawk,bathaw1,639242498,FALSE,Орел прилепар
Harpyopsis novaeguineae,Papuan Eagle,negeag1,42744971,FALSE,Папуаски орел
Morphnus guianensis,Crested Eagle,creeag1,171507441,FALSE,Гвиaнски орел
Harpia harpyja,Harpy Eagle,hareag1,176929541,TRUE,Харпия
Stephanoaetus coronatus,Crowned Hawk-eagle,crheag1,203948541,FALSE,Африкански коронован орел
Nisaetus nipalensis,Mountain Hawk-eagle,mouhae1,533521141,FALSE,Планински качулат орел
Nisaetus bartelsi,Javan Hawk-eagle,javhae1,485521631,FALSE,Явански качулат орел
Nisaetus nanus,Wallace's Hawk-eagle,walhae1,282798,FALSE,Малък качулат орел
Nisaetus alboniger,Blyth's Hawk-eagle,blyhae1,620701450,FALSE,Пъстър качулат орел
Nisaetus lanceolatus,Sulawesi Hawk-eagle,sulhae1,203909261,FALSE,Сулавески качулат орел
Nisaetus philippensis,North Philippine Hawk-eagle,phihae1,203997421,FALSE,Филипински качулат орел
Nisaetus pinskeri,South Philippine Hawk-eagle,pinhae1,421059261,FALSE,Минданаоски качулат орел
Nisaetus cirrhatus,Changeable Hawk-eagle,y00839,251042241,FALSE,Изменчив качулат орел
Nisaetus floris,Flores Hawk-eagle,flohae1,609103067,FALSE,Изменчив качулат орел
Lophotriorchis kienerii,Rufous-bellied Eagle,rubeag2,320993571,FALSE,Ръждивокорем орел
Polemaetus bellicosus,Martial Eagle,mareag1,425796191,FALSE,Маршалов орел
Spizaetus tyrannus,Black Hawk-eagle,blheag1,382920141,FALSE,Черен качулат орел
Spizaetus melanoleucus,Black-and-white Hawk-eagle,bawhae1,305703241,FALSE,Агуя
Spizaetus ornatus,Ornate Hawk-eagle,orheag1,207695371,FALSE,Украсен ястребов орел
Spizaetus isidori,Black-and-chestnut Eagle,baceag2,190160601,FALSE,Андски качулат орел
Ictinaetus malaiensis,Black Eagle,blaeag1,426580691,FALSE,Малайски черен орел
Lophaetus occipitalis,Long-crested Eagle,loceag1,609066606,FALSE,Дългокачулест орел
Clanga pomarina,Lesser Spotted Eagle,leseag1,625831477,FALSE,Малък креслив орел
Clanga hastata,Indian Spotted Eagle,inseag1,621508122,FALSE,Индийски креслив орел
Clanga clanga,Greater Spotted Eagle,grseag1,633609421,TRUE,Голям креслив орел
Aquila rapax,Tawny Eagle,taweag1,632606154,FALSE,Блед / Степен орел
Aquila nipalensis,Steppe Eagle,steeag1,211633851,TRUE,Степен орел
Aquila adalberti,Spanish Imperial Eagle,spaeag1,630788286,FALSE,Испански орел
Aquila heliaca,Eastern Imperial Eagle,impeag1,605642091,TRUE,Царски орел
Aquila gurneyi,Gurney's Eagle,gureag1,,FALSE,Молукски орел
Aquila chrysaetos,Golden Eagle,goleag,202143881,TRUE,Скален орел
Aquila audax,Wedge-tailed Eagle,weteag1,204008151,TRUE,Австралийски клиноопашат орел
Aquila verreauxii,Verreaux's Eagle,vereag1,278444,FALSE,Черен орел
Aquila fasciata,Bonelli's Eagle,boneag2,535764151,TRUE,Ястребов орел
Aquila spilogaster,African Hawk-eagle,afrhae1,28073311,FALSE,Африкански ястребов орел
Aquila africana,Cassin's Hawk-eagle,cashae1,528593631,FALSE,Белогръд орел
Hieraaetus wahlbergi,Wahlberg's Eagle,waheag3,194536401,FALSE,Орел на Уолбърг
Hieraaetus pennatus,Booted Eagle,booeag1,269267001,FALSE,Малък орел
Hieraaetus weiskei,Pygmy Eagle,liteag3,648364054,FALSE,Папуаски малък орел
Hieraaetus morphnoides,Little Eagle,liteag1,273379511,FALSE,Австралийски малък орел
Hieraaetus ayresii,Ayres's Hawk-eagle,ayheag1,142208511,FALSE,Малък ястребов орел
Kaupifalco monogrammicus,Lizard Buzzard,lizbuz1,4350,FALSE,Ястреб гущерояд
Melierax metabates,Dark Chanting-goshawk,dacgos1,633021894,FALSE,Тъмен поен ястреб
Melierax canorus,Pale Chanting-goshawk,pacgos1,582106661,FALSE,Блед поен ястреб
Melierax poliopterus,Eastern Chanting-goshawk,eacgos1,280118,FALSE,Източноафрикански поен ястреб
Micronisus gabar,Gabar Goshawk,gabgos2,634391127,FALSE,Ястреб габар
Harpagus bidentatus,Double-toothed Kite,dotkit1,470408421,FALSE,Двузъба каня
Harpagus diodon,Rufous-thighed Kite,rutkit1,292552981,FALSE,Ръждивобедрена каня
CATHARTIFORMES,,,,FALSE,
CATHARTIDAE,New World Vultures,,,FALSE,Конгоанска плешива сврака
Cathartes aura,Turkey Vulture,turvul,317760061,TRUE,Пуйков лешояд
Cathartes burrovianus,Lesser Yellow-headed Vulture,lyhvul1,437900471,FALSE,Малък жълтоглав лешояд
Cathartes melambrotus,Greater Yellow-headed Vulture,gyhvul1,482548071,FALSE,Голям жълтоглав лешояд
Coragyps atratus,Black Vulture,blkvul,458200071,TRUE,Американски черен лешояд
Sarcorhamphus papa,King Vulture,kinvul1,166695961,TRUE,Кралски лешояд
Gymnogyps californianus,California Condor,calcon,163900,TRUE,Калифорнийски кондор
Vultur gryphus,Andean Condor,andcon1,220146481,TRUE,Андски кондор
ACCIPITRIFORMES,Diurnal raptor sp.,diurap1,87390,FALSE,
SAGITTARIIDAE,Secretarybird,secret2,348379561,FALSE,
Sagittarius serpentarius,Secretarybird,secret2,348379561,FALSE,Птица секретар
Pandion haliaetus,Osprey,osprey,34075051,TRUE,Орел рибар
ACCIPITRIDAE,Hawks Eagles,,,FALSE,Accipitridae sp. (вид същински лешояд)
Elanus caeruleus,Black-winged Kite,bkskit1,465025481,FALSE,Пепелява каничка
Elanus axillaris,Black-shouldered Kite,auskit1,335258821,TRUE,Австралийска каничка
Elanus leucurus,White-tailed Kite,whtkit,4329,FALSE,Белоопашата каничка
Elanus scriptus,Letter-winged Kite,lewkit1,642470917,FALSE,Буквокрила каничка
Gampsonyx swainsonii,Pearl Kite,peakit1,58956,FALSE,Перлена каничка
Chelictinia riocourii,Scissor-tailed Kite,sctkit1,4317,FALSE,Африканска каня
Leptodon cayanensis,Grey-headed Kite,grhkit1,266536541,FALSE,Сивоглава каня
Leptodon forbesi,White-collared Kite,whckit1,622581947,FALSE,Белоглава каня
Chondrohierax uncinatus,Hook-billed Kite,hobkit,141335,FALSE,Кукоклюна каня
Chondrohierax wilsonii,Cuban Kite,hobkit2,,FALSE,Кубинска каня
Elanoides forficatus,Swallow-tailed Kite,swtkit,133304,FALSE,Лястовичо-опашата каня
Pernis apivorus,European Honey-buzzard,euhbuz1,203695051,TRUE,Обикновен осояд
Pernis ptilorhynchus,Oriental Honey-buzzard,orihob2,285082491,FALSE,Сибирски осояд
Pernis celebensis,Sulawesi Honey-buzzard,barhob1,,FALSE,Индонезийски осояд
Pernis steerei,Philippine Honey-buzzard,barhob2,609063968,FALSE,Филипински осояд
Hamirostra melanosternon,Black-breasted Buzzard,bkbkit1,647824418,FALSE,Черногърда каня
Lophoictinia isura,Square-tailed Kite,sqtkit1,611032162,FALSE,Австралийска каня
Henicopernis longicauda,Long-tailed Honey-Buzzard,lthbuz1,,FALSE,Дългоопашат осояд
Henicopernis infuscatus,Black Honey-Buzzard,blhbuz1,,FALSE,Черен осояд
Aviceda cuculoides,African Cuckoo-hawk,afrcuh1,434619211,FALSE,Африканска кукувича каня
Aviceda madagascariensis,Madagascar Cuckoo-hawk,madcuh1,95167,FALSE,Мадагаскарска кукувича каня
Aviceda jerdoni,Jerdon's Baza,jerbaz1,203944101,FALSE,Индийска кукувича каня
Aviceda subcristata,Pacific Baza,pacbaz1,556362701,FALSE,Австралийска кукувича каня
Aviceda leuphotes,Black Baza,blabaz1,633664127,FALSE,Черна кукувича каня
Eutriorchis astur,Madagascar Serpent-eagle,maseag1,,FALSE,Мадагаскарски орел змияр
Polyboroides typus,African Harrier-hawk,afhhaw1,223342921,FALSE,Гололик блатар
Polyboroides radiatus,Madagascar Harrier-hawk,mahhaw1,93905,FALSE,Мадагаскарски блатаров ястреб
Gypohierax angolensis,Palm-nut Vulture,panvul1,310236,FALSE,Палмов лешояд
Gypaetus barbatus,Bearded Vulture,lammer1,353604881,FALSE,Брадат лешояд
Neophron percnopterus,Egyptian Vulture,egyvul1,354072661,FALSE,Египетски лешояд
Circus aeruginosus,Eurasian Marsh-Harrier,wemhar1,613407946,TRUE,Тръстиков блатар
Circus spilonotus,Eastern Marsh-harrier,easmah1,549698611,FALSE,Ориенталски тръстиков блатар
Circus approximans,Swamp Harrier,swahar1,259809771,FALSE,Австралийски блатар
Circus ranivorus,African Marsh-harrier,afmhar1,4318,FALSE,Африкански тръстиков блатар
Circus maillardi,Madagascar Marsh-harrier,reuhar2,642706114,FALSE,Реюнионски блатар
Circus buffoni,Long-winged Harrier,lowhar1,613614215,FALSE,Дългокрил блатар
Circus assimilis,Spotted Harrier,spohar1,634842908,FALSE,Петнист блатар
Circus maurus,Black Harrier,blahar1,622404884,FALSE,Черен блатар
Circus cyaneus,Hen Harrier,norhar1,493144381,FALSE,Полски / Американски блатар
Circus hudsonius,Northern Harrier,norhar2,248049481,TRUE,Американски блатар
Circus cinereus,Cinereous Harrier,cinhar1,210066391,FALSE,Сив блатар
Circus macrourus,Pallid Harrier,palhar1,68671901,FALSE,Степен блатар
Circus melanoleucus,Pied Harrier,piehar1,196391291,FALSE,Пъстър блатар
Circus pygargus,Montagu's Harrier,monhar1,351289931,TRUE,Ливаден блатар
Accipiter poliogaster,Grey-bellied Goshawk,gybhaw1,558225821,FALSE,Сивокорем ястреб
Accipiter trivirgatus,Crested Goshawk,cregos1,291362181,FALSE,Качулат ястреб
Accipiter griseiceps,Sulawesi Goshawk,sulgos1,,FALSE,Сулавески ястреб
Accipiter toussenelii,Red-chested Goshawk,,,FALSE,
Accipiter tachiro,African Goshawk,afrgos1,203919591,FALSE,Африкански голям ястреб
Accipiter castanilius,Chestnut-flanked Sparrowhawk,chfspa1,,FALSE,Кестенявогръд ястреб
Accipiter badius,Shikra,shikra1,282934151,FALSE,Шикра
Accipiter butleri,Nicobar Sparrowhawk,nicspa1,610320277,FALSE,Никобарски малък ястреб
Accipiter brevipes,Levant Sparrowhawk,levspa1,102917821,FALSE,Късопръст ястреб
Accipiter soloensis,Chinese Goshawk,,,FALSE,Китайски малък ястреб
Accipiter francesiae,Frances's Sparrowhawk,fragos2,203978961,FALSE,Мадагаскарски малък ястреб
Accipiter trinotatus,Spot-tailled Goshawk,,,FALSE,Петнистоопашат ястреб
Accipiter sylvestris,Lesser Sundas Goshawk,,,FALSE,
Accipiter hiogaster,Variable Goshawk,vargos1,203994701,FALSE,Изменчив ястреб
A. h. griseogularis,Grey-throated Goshawk,,,FALSE,
Accipiter novaehollandiae,Grey Goshawk,,,FALSE,
Accipiter poliocephalus,Grey-headed Goshawk,,,FALSE,Сивоглав ястреб
Accipiter princeps,New Britain Goshawk,nebgos1,,FALSE,Новобритански голям ястреб
Accipiter fasciatus,Brown Goshawk,brogos1,629541704,FALSE,
Accipiter melanochlamys,Black-mantled Goshawk,blmgos1,,FALSE,Черноглав ястреб
Accipiter albogularis,Pied Goshawk,piegos1,634784138,FALSE,
Accipiter haplochrous,White-bellied Sparrowhawk,,,FALSE,Новокаледонски ястреб
Accipiter rufitorques,Fiji Goshawk,fijgos1,203908381,FALSE,Фиджийски голям ястреб
Accipiter henicogrammus,Moluccan Goshawk,molgos1,203906781,FALSE,Молукски голям ястреб
Accipiter luteoschistaceus,Slaty-backed Goshawk,,,FALSE,Тъмногръб голям ястреб
Accipiter imitator,Imitator Goshawk,,,FALSE,Соломонов малък ястреб
Accipiter erythropus,Red-thighed Sparrowhawk,retspa1,434682891,FALSE,Ръждивокорем ястреб
Accipiter minullus,Little Sparrowhawk,litspa1,627268191,FALSE,Дребен ястреб
Accipiter gularis,Japanese Sparrowhawk,japspa1,329104491,FALSE,
Accipiter virgatus,Besra,besra1,471424081,FALSE,
Accipiter nanus,Dwarf Sparrowhawk,,,FALSE,Сулавески малък ястреб
Accipiter erythrauchen,Rufous-necked Sparrowhawk,runspa1,616606454,FALSE,Ръждивоврат малък ястреб
Accipiter cirrhocephalus,Collared Sparrowhawk,colspa1,412118721,FALSE,
Accipiter brachyurus,New Britain Sparrowhawk,nebspa1,,FALSE,Новобритански малък ястреб
Accipiter rhodogaster,Vinous-breasted Sparrowhawk,vibspa1,267147611,FALSE,Червеногръд ястреб
Accipiter madagascariensis,Madagascar Sparrowhawk,madspa1,203989991,FALSE,Мадагаскарски среден ястреб
Accipiter ovampensis,Ovambo Sparrowhawk,ovaspa2,643864722,FALSE,Овамбоенски ястреб
Accipiter nisus,Eurasian Sparrowhawk,eurspa1,496607621,TRUE,Малък ястреб
Accipiter rufiventris,Rufous-breasted Sparrowhawk,rucspa2,405351511,FALSE,Ръждивогръд ястреб
Accipiter striatus,Sharp-shinned Hawk,shshaw,91176131,FALSE,Американски малък ястреб
A. s. chionogaster,White-breasted Hawk,,,FALSE,
A. s. ventralis,Plain-breasted Hawk,,,FALSE,
A. s. erythronemius,Rufous-thighed Hawk,,,FALSE,
Accipiter cooperii,Cooper's Hawk,coohaw,231229351,TRUE,Американски среден ястреб
Accipiter gundlachi,Gundlach's Hawk,gunhaw1,183590,FALSE,Кубински ястреб
Accipiter bicolor,Bicolored Hawk,bichaw1,512444021,FALSE,Двуцветен / Чилийски ястреб
A. b. chilensis,Chilean Hawk,bichaw4,291112731,FALSE,
Accipiter henstii,Henst's Goshawk,hengos1,203970221,FALSE,Мадагаскарски голям ястреб
Accipiter melanoleucus,Black Sparrowhawk,,,FALSE,Тъмен ястреб
Accipiter gentilis,Northern Goshawk,,,TRUE,Голям / Американски голям ястреб
A. g. atricapillus,American Goshawk,norgos,124126921,FALSE,
Accipiter meyerianus,Meyer's Goshawk,meygos1,,FALSE,Папуаски голям ястреб
Accipiter collaris,Semi-collared Hawk,,,FALSE,Полубеловрат ястреб
Accipiter superciliosus,Tiny Hawk,tinhaw1,250820571,FALSE,Ястреб джудже
Erythrotriorchis buergersi,Chestnut-shouldered Goshawk,chsgos1,,FALSE,Ръждивокрил ястреб
Erythrotriorchis radiatus,Red Goshawk,redgos1,62325001,FALSE,Червен ястреб
Megatriorchis doriae,Doria's Hawk,dorgos1,251433971,FALSE,Ивичест ястреб
Urotriorchis macrourus,Long-tailled Hawk,lothaw1,203922951,FALSE,Дългоопашат ястреб
Haliaeetus leucogaster,White-bellied Sea-eagle,wbseag1,363042201,TRUE,Австралийски морски орел
Haliaeetus sanfordi,Sanford's Sea-eagle,solsee1,247231,FALSE,Папуаски морски орел
Haliaeetus vocifer,African Fish-eagle,affeag1,4343,FALSE,Африкански морски орел
Haliaeetus vociferoides,Madagascar Fish-eagle,mafeag1,609067051,FALSE,Мадагаскарски морски орел
Haliaeetus leucoryphus,Pallas's Fish-eagle,pafeag1,516134901,FALSE,Черноопашат морски орел
Haliaeetus albicilla,White-tailed Sea-eagle,whteag,59245071,FALSE,Морски орел
Haliaeetus leucocephalus,Bald Eagle,baleag,200943,TRUE,Белоглав орел
Haliaeetus pelagicus,Pacific Sea-Eagle,stseag,21723301,TRUE,Стелеров морски орел
Ichthyophaga humilis,Lesser Fishing-eagle,,,FALSE,Хималайски морски орел
Ichthyophaga ichthyaetus,Grey-headed Fishing-eagle,,,FALSE,Сивоглав морски орел
Haliastur sphenurus,Whistling Kite,whikit1,352796781,FALSE,Пойна каня
Haliastur indus,Brahminy Kite,brakit1,83210301,TRUE,Браминска каня
Milvus milvus,Red Kite,redkit1,203909571,TRUE,Червена каня
M. m. fasciicauda,Cape Verde Kite,,,FALSE,
Milvus migrans,Black Kite,blakit1,1520,FALSE,Черна каня
M. m. lineatus,Black-eared Kite,,,FALSE,
M. m. aegyptius,Egyptian Kite,,,FALSE,
M. m. parasitus,Yellow-billed Kite,,,FALSE,
Busarellus nigricollis,Black-collared Hawk,blchaw1,390462921,FALSE,Черногуш мишелов
Geranospiza caerulescens,Crane Hawk,crahaw,362108361,FALSE,Дългокрак мишелов
Butastur rufipennis,Grasshopper Buzzard,grabuz1,310025,FALSE,Насекомояден мишелов
Butastur teesa,White-eyed Buzzard,whebuz1,650739018,FALSE,Индийски мишелов
Butastur liventer,Rufous-winged Buzzard,ruwbuz1,493615851,FALSE,Ръждивокрил мишелов
Butastur indicus,Grey-faced Buzzard,gyfbuz1,172332401,FALSE,Сиволик мишелов
Ictinia mississippiensis,Mississippi Kite,miskit,256194901,TRUE,Мисисипска каня
Ictinia plumbea,Plumbeous Kite,plukit1,166718721,FALSE,Сива каня
Rostrhamus sociabilis,Snail Kite,snakit,199688641,FALSE,Каня охлювояд
Helicolestes hamatus,Slender-billed Kite,slbkit1,203886641,FALSE,Тънкоклюна каня
Ropornis magnirostris,Roadside Hawk,roahaw,165010761,TRUE,
Parabuteo unicinctus,Harris' Hawk,hrshaw,132150761,FALSE,Мишелов на Харис
Parabuteo leucorrhous,White-rumped Hawk,whrhaw1,380636931,FALSE,Белокръст мишелов
Cryptoleucopteryx plumbea,Plumbeous Hawk,pluhaw,46115981,FALSE,Оловносив мишелов
Buteogallus schistaceus,Slate-colored Hawk,slchaw2,88302,FALSE,Тъмен мишелов
Buteogallus anthracinus,Common Black Hawk,comblh1,140250,FALSE,Обикновен черен мишелов
B. a. subtilis,Mangrove Black Hawk,,,FALSE,
Buteogallus gundlachii,Cuban Black Hawk,cubblh1,138895,FALSE,Кубински черен мишелов
Buteogallus aequinoctialis,Rufous Crab-hawk,ruchaw1,382669101,FALSE,Крабов мишелов
Buteogallus meridionalis,Savanna Hawk,savhaw1,325148961,TRUE,Саванен мишелов
Buteogallus lacernulatus,White-necked Hawk,whnhaw2,596818241,FALSE,Белоглав мишелов
Buteogallus urubitinga,Great Black Hawk,grbhaw1,514949,FALSE,Голям черен мишелов
Buteogallus solitarius,Black Solitary Eagle,soleag1,313522281,FALSE,Мишелов отшелник
Buteogallus coronatus,Crowned Solitary Eagle,croeag1,630489203,FALSE,Качулат мишелов
Morphnarchus princeps,Bared Hawk,barhaw1,141505181,FALSE,Ястребогръд мишелов
Geranoaetus albicaudatus,White-tailed Hawk,whthaw,398001741,FALSE,Белокорем мишелов
Geranoaetus polyosoma,Red-backed Hawk,rebhaw2,608875099,FALSE,Червеногръб мишелов
G. p. poecilochrous,Puna Hawk,,,FALSE,
Geranoaetus melanoleucus,Black-chested Buzzard-eagle,bcbeag1,242845561,FALSE,Агуя
Pseudastur albicollis,White Hawk,whihaw1,501387911,FALSE,Бял мишелов
Pseudastur occidentalis,Grey-backed Hawk,gybhaw2,286084,FALSE,Еквадорски мишелов
Pseudastur polionotus,Mantled Hawk,manhaw2,632273772,FALSE,Бразилски мишелов
Leucopternis semiplumbeus,Semiplumbeous Hawk,semhaw,406906011,FALSE,Панамски мишелов
Leucopternis melanops,Black-faced Hawk,blfhaw1,386349501,FALSE,Чернолик мишелов
Leucopternis kuhli,White-browed Hawk,whbhaw2,89158,FALSE,Беловежд мишелов
†Bermuteo avivorus,Bermuda Hawk,berhaw1,,FALSE,
Buteo plagiatus,Grey Hawk,gryhaw2,288257391,FALSE,Мексикански мишелов
Buteo nitidus,Grey-lined Hawk,gryhaw3,58985,FALSE,Мексикански / Ивичест мишелов
Buteo ridgwayi,Ridgway's Hawk,ridhaw1,179952081,FALSE,Еспаньолски мишелов
Buteo lineatus,Red-shouldered Hawk,reshaw,229090,TRUE,Червеногръб мишелов
Buteo platypterus,Broad-winged Hawk,brwhaw,4308,TRUE,Ширококрил мишелов
Buteo solitarius,Hawaiian Hawk,hawhaw,5197,FALSE,Хавайски мишелов
Buteo albigula,White-throated Hawk,whthaw1,180196801,FALSE,Белогуш мишелов
Buteo brachyurus,Short-tailed Hawk,shthaw,136268,FALSE,Късоопашат мишелов
Buteo swainsoni,Swainson's Hawk,swahaw,54752421,TRUE,Прериен мишелов
Buteo galapagoensis,Galapagos Hawk,galhaw1,624845605,FALSE,Галапагоски мишелов
Buteo albonotatus,Zone-tailed Hawk,zothaw,140243,FALSE,Ивичестоопашат мишелов
Buteo jamaicensis,Red-tailed Hawk,rethaw,229578,TRUE,Червеноопашат мишелов
Buteo ventralis,Rufous-tailed Hawk,ruthaw1,241371421,FALSE,Чилийски мишелов
Buteo lagopus,Rough-legged Buzzard,rolhaw,133344,FALSE,Северен мишелов
Buteo regalis,Ferruginous Hawk,ferhaw,505924511,TRUE,Ръждивокафяв мишелов
Buteo auguralis,Red-necked Buzzard,renbuz1,641551236,FALSE,Червеноврат мишелов
Buteo augur,Augur Buzzard,augbuz2,31365371,FALSE,Африкански мишелов
Buteo rufofuscus,Jackal Buzzard,jacbuz1,275748,FALSE,Чакалов мишелов
Buteo buteo,Common Buzzard,combuz1,207612071,TRUE,Обикновен мишелов
B. b. vulpinus,Steppe Buzzard,,,FALSE,
B. b. menetriesi,Eastern Steppe Buzzard,,,FALSE,
Buteo japonicus,Japanese Buzzard,combuz6,626281008,FALSE,Източен мишелов
Buteo refectus,Himalayan Buzzard,combuz9,173593161,FALSE,Хималайски / Ориенталски мишелов
Buteo oreophilus,Mountain Buzzard,moubuz2,190292641,FALSE,Африкански планински мишелов
Buteo trizonatus,Forest Buzzard,moubuz3,318455561,FALSE,Капски мишелов
Buteo brachypterus,Madagascar Buzzard,madbuz1,91664,FALSE,Мадагаскарски мишелов
Buteo rufinus,Long-legged Buzzard,lolbuz1,610599143,FALSE,Белоопашат мишелов
Buteo socotraensis,Socotra Buzzard,socbuz1,625122638,FALSE,Сокотренски мишелов
Buteo hemilasius,Upland Buzzard,uplbuz1,111899891,FALSE,Монголски мишелов
Lophoceros bradfieldi,Bradfield's Hornbill,brahor1,640279025,FALSE,Бледа птица носорог
Tockus flavirostris,Eastern Yellow-billed Hornbill,eybhor1,31281881,FALSE,Жълтоклюна птица носорог
Tockus leucomelas,Southern Yellow-billed Hornbill,sybhor1,621439142,FALSE,Родезийска птица носорог
Tockus jacksoni,Jackson's Hornbill,jachor1,53590,FALSE,Кенийска птица носорог
Tockus deckeni,Von der Decken's Hornbill,vddhor1,105742141,FALSE,Пъстроклюна птица носорог
Tockus monteiri,Monteiro's Hornbill,monhor1,460722511,FALSE,Намибска птица носорог
Tockus damarensis,Damara Hornbill,drbhor1,621573448,FALSE,Дамарска червеноклюна птица носорог
Tockus erythrorhynchus,Red-billed Hornbill,rebhor1,634522061,FALSE,Северна червеноклюна птица носорог
Berenicornis comatus,White-crowned Hornbill,whchor2,71302,FALSE,Качулата птица носорог
Horizocerus albocristatus,Western Long-tailed Hornbill,whchor1,203981331,FALSE,Западна / Източна дългоопашата птица носорог
Horizocerus cassini,Eastern Long-tailed Hornbill,whchor4,535040941,FALSE,Източна дългоопашата птица носорог
Horizocerus granti,Eastern Little Hornbill,bkdhor2,609067754,FALSE,Източна дребна птица носорог
Horizocerus hartlaubi,Western Little Hornbill,bkdhor1,203974531,FALSE,Западна / Източна дребна птица носорог
Ceratogymna elata,Yellow-casqued Hornbill,yechor1,391074671,FALSE,Жълторога птица носорог
Ceratogymna atrata,Black-casqued Hornbill,blchor1,203972641,FALSE,Чернорога птица носорог
Bycanistes brevis,Silvery-cheeked Hornbill,sichor1,203886671,FALSE,Сребристоглава птица носорог
Bycanistes subcylindricus,Grey-cheeked Hornbill,bawhor2,6685,FALSE,Сивобуза птица носорог
Bycanistes cylindricus,Brown-cheeked Hornbill,bnchor1,203959951,FALSE,Ганайска птица носорог
Bycanistes albotibialis,White-thighed Hornbill,whthor1,203966571,FALSE,Белокрака птица носорог
Bycanistes bucinator,Trumpeter Hornbill,truhor1,22691,FALSE,Тромпетова птица носорог
Bycanistes fistulator,Western Piping Hornbill,piphor1,203911681,FALSE,Креслива птица носорог
Bycanistes sharpii,Eastern Piping Hornbill,,,FALSE,Креслива птица носорог (ssp. sharpii/duboisi)
Rhynoplax vigil,Helmeted Hornbill,helhor1,473,FALSE,
Buceros hydrocorax,Northern Rufous Hornbill,rufhor1,18529,FALSE,Ръждива птица носорог
Buceros mindanensis,Southern Rufous Hornbill,,,FALSE,
Buceros bicornis,Great Hornbill,grehor1,191688691,TRUE,Голяма птица носорог
