id,common name,scientific name
587,Lesser Prairie-Chicken,Tympanuchus pallidicinctus
558,Lesser Spotted Woodpecker,Dryobates minor
160,Lesser Whitethroat,Sylvia curruca
305,Lewin's Honeyeater,Meliphaga lewinii
643,Limpkin,Aramus guarauna
161,Lincoln's Sparrow,Melospiza lincolnii
644,Lineated Woodpecker,Dryocopus lineatus
645,Little Blue Heron,Egretta caerulea
162,Little Bustard,Tetrax tetrax
406,Little Egret,Egretta garzetta
407,Little Grebe,Tachybaptus ruficollis
163,Little Owl,Athene noctua
306,Little Penguin,Eudyptula minor
307,Little Pied Cormorant,Microcarbo melanoleucos
408,Little Ringed Plover,Charadrius dubius
646,Little Tinamou,Crypturellus soui
164,Loggerhead Shrike,Lanius ludovicianus
527,Long-Tailed Cuckoo,Urodynamis taitensis
165,Long-Tailed Tit,Aegithalos caudatus
647,Long-Wattled Umbrellabird,Cephalopterus penduliger
464,Luzon Bleeding-Heart,Gallicolumba luzonica
528,Magenta Petrel,Pterodroma magentae
648,Magnificent Frigatebird,Fregata magnificens
308,Magpie-Lark,Grallina cyanoleuca
309,Major Mitchell's Cockatoo,Lophochroa leadbeateri
166,Mallard,Anas platyrhynchos
310,Malleefowl,Leipoa ocellata
409,Mandarin Duck,Aix galericulata
311,Maned Duck,Chenonetta jubata
559,Manx Shearwater,Puffinus puffinus
312,Many-Colored Fruit-Dove,Ptilinopus perousii
649,Marsh Seedeater,Sporophila palustris
516,Marsh Tit,Poecile palustris
560,Marsh Warbler,Acrocephalus palustris
313,Masked Lapwing,Vanellus miles
561,Meadow Pipit,Anthus pratensis
517,Mediterranean Shearwater,Puffinus yelkouan
518,Merlin,Falco columbarius
167,Mississippi Kite,Ictinia mississippiensis
314,Mistletoebird,Dicaeum hirundinaceum
168,Moltoni's Warbler,Sylvia subalpina
650,Monk Parakeet,Myiopsitta monachus
169,Montagu's Harrier,Circus pygargus
170,Mountain Bluebird,Sialia currucoides
171,Mountain Chickadee,Poecile gambeli
588,Mountain Quail,Oreortyx pictus
172,Mourning Dove,Zenaida macroura
651,Muscovy Duck,Cairina moschata
315,Musk Duck,Biziura lobata
173,Mute Swan,Cygnus olor
652,Nanday Parakeet,Aratinga nenday
653,Neotropic Cormorant,Nannopterum brasilianum
316,New Holland Honeyeater,Phylidonyris novaehollandiae
529,New Zealand Dabchick,Poliocephalus rufopectus
530,New Zealand Fairy Tern,Sternula nereis davisae
531,New Zealand Falcon,Falco novaeseelandiae
532,New Zealand Rock Wren,Xenicus gilviventris
533,New Zealand Scaup,Aythya novaeseelandiae
465,Nicobar Pigeon,Caloenas nicobarica
317,Noisy Miner,Manorina melanocephala
318,North Island Brown Kiwi,Apteryx mantelli
534,North Island Kōkako,Callaeas wilsoni
174,Northern Bobwhite,Colinus virginianus
175,Northern Cardinal,Cardinalis cardinalis
176,Northern Flicker,Colaptes auratus
177,Northern Gannet,Morus bassanus
178,Northern Goshawk,Accipiter gentilis
179,Northern Harrier,Circus hudsonius
180,Northern Mockingbird,Mimus polyglottos
486,Northern Pintail,Anas acuta
487,Northern Saw-Whet Owl,Aegolius acadicus
181,Northern Shoveler,Spatula clypeata
654,Ocellated Turkey,Meleagris ocellata
655,Oilbird,Steatornis caripensis
410,Olive-Backed Sunbird,Cinnyris jugularis
656,Orange-Breasted Bunting,Passerina leclancherii
319,Orange-Footed Scrubfowl,Megapodius reinwardt
411,Oriental Bay-Owl,Phodilus badius
412,Oriental Magpie-Robin,Copsychus saularis
657,Orinoco Goose,Neochen jubata
182,Osprey,Pandion haliaetus
488,Ovenbird,Seiurus aurocapilla
320,Pacific Black Duck,Anas superciliosa
466,Pacific Sea-Eagle,Haliaeetus pelagicus
183,Painted Bunting,Passerina ciris
184,Painted Whitestart,Myioborus pictus
535,Paradise Shelduck,Tadorna variegata
658,Paradise Tanager,Tangara chilensis
185,Parrot Crossbill,Loxia pytyopsittacus
321,Peaceful Dove,Geopelia placida
186,Peregrine Falcon,Falco peregrinus
659,Peruvian Sierra-Finch,Phrygilus punensis
322,Pesquet's Parrot,Psittrichas fulgidus
589,Phainopepla,Phainopepla nitens
323,Pheasant Coucal,Centropus phasianinus
413,Philippine Eagle,Pithecophaga jefferyi
187,Pied-Billed Grebe,Podilymbus podiceps
188,Pileated Woodpecker,Dryocopus pileatus
489,Pine Grosbeak,Pinicola enucleator
189,Pine Siskin,Spinus pinus
324,Pink-Eared Duck,Malacorhynchus membranaceus
467,Pinktail,Urocynchramus pylzowi
490,Piping Plover,Charadrius melodus
660,Plain Chachalaca,Ortalis vetula
325,Plains-Wanderer,Pedionomus torquatus
414,Plumbeous Redstart,Phoenicurus fuliginosus
590,Prairie Falcon,Falco mexicanus
326,Princess Stephanie's Astrapia,Astrapia stephaniae
190,Prothonotary Warbler,Protonotaria citrea
591,Purple Finch,Haemorhous purpureus
191,Purple Gallinule,Porphyrio martinicus
415,Purple Heron,Ardea purpurea
192,Purple Martin,Progne subis
468,Purple Sunbird,Cinnyris asiaticus
193,Pygmy Nuthatch,Sitta pygmaea
592,Pyrrhuloxia,Cardinalis sinuatus
327,Pūkeko,Porphyrio melanotus
491,Qupanuaq,Zonotrichia querula
328,Rainbow Lorikeet,Trichoglossus moluccanus
416,Red Avadavat,Amandava amandava
194,Red Crossbill,Loxia curvirostra
417,Red Junglefowl,Gallus gallus
195,Red Kite,Milvus milvus
