Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,ru
Pseudibis gigantea,Giant Ibis,giaibi1,203912241,FALSE,Гигантский ибис
Geronticus eremita,Northern Bald Ibis,waldra1,592841121,FALSE,Лесной ибис
Geronticus calvus,Southern Bald Ibis,balibi1,618896969,FALSE,Лысый ибис
Nipponia nippon,Crested Ibis,creibi1,204009261,TRUE,Красноногий ибис
Bostrychia olivacea,Olive Ibis,oliibi2,24699,FALSE,Оливковый ибис
Bostrychia bocagei,Dwarf Ibis,oliibi3,642874134,FALSE,Саотомский ибис
Bostrychia rara,Spot-breasted Ibis,spbibi1,203909981,FALSE,Пятнистогрудый ибис
Bostrychia hagedash,Hadada Ibis,hadibi1,118635781,FALSE,Хагедаш
Bostrychia carunculata,Wattled Ibis,watibi1,33652631,FALSE,Серёжчатый ибис
Theristicus caerulescens,Plumbeous Ibis,pluibi1,217402,FALSE,Свинцовый ибис
Theristicus caudatus,Buff-necked Ibis,bunibi1,386555711,FALSE,Светлошейный ибис
Theristicus branickii,Andean Ibis,bkfibi2,623735036,FALSE,Андский ибис
Theristicus melanopis,Black-faced Ibis,bkfibi1,613422802,FALSE,Чернолицый/Андский ибис
Cercibis oxycerca,Sharp-tailed Ibis,shtibi1,204008441,FALSE,Острохвостый ибис
Mesembrinibis cayennensis,Green Ibis,greibi1,386484411,FALSE,Кайеннский ибис
Phimosus infuscatus,Bare-faced Ibis,bafibi1,700372,FALSE,Гололицый ибис
Eudocimus albus,White Ibis,whiibi,414716841,FALSE,Белый ибис
Eudocimus ruber,Scarlet Ibis,scaibi,287292,TRUE,Алый ибис
Plegadis falcinellus,Glossy Ibis,gloibi,483529141,FALSE,Каравайка/Очковая каравайка
Plegadis chihi,White-faced Ibis,whfibi,45304,TRUE,Очковая каравайка
Plegadis ridgwayi,Puna Ibis,punibi1,630983875,FALSE,Тонкоклювая каравайка
Ixobrychus involucris,Stripe-backed Bittern,stbbit1,650030086,FALSE,Пёстрый волчок
Ixobrychus exilis,Least Bittern,leabit,343195121,FALSE,Американский волчок
Ixobrychus minutus,Common Little Bittern,,,TRUE,
Ixobrychus dubius,Australian Little Bittern,,,FALSE,Австралийский волчок
†Ixobrychus novaezelandiae,New Zealand Little Bittern,,,FALSE,
Ixobrychus sinensis,Yellow Bittern,yelbit,118532871,TRUE,Китайский волчок
Ixobrychus eurhythmus,Schrenck's Bittern,schbit1,249177801,FALSE,Амурский волчок
Ixobrychus cinnamomeus,Cinnamon Bittern,cinbit1,469399211,FALSE,Рыжий волчок
Ixobrychus sturmii,Dwarf Bittern,dwabit1,556069011,FALSE,Карликовый волчок
Ixobrychus flavicollis,Black Bittern,blabit1,80886201,FALSE,Мангровый волчок
Gorsachius magnificus,White-eared Night-heron,,,FALSE,Белоухая кваква
Gorsachius goisagi,Japanese Night-heron,janher1,313766411,FALSE,Японская кваква
Gorsachius melanolophus,Malayan Night-heron,manher1,357924411,FALSE,Чернохохлая кваква
Calherodius leuconotus,White-backed Night-heron,wbnher1,232809731,FALSE,Белоспинная кваква
†Nycticorax duboisi,Reunion Night-heron,,,FALSE,
†Nycticorax mauritianus,Mauritius Night-heron,,,FALSE,
†Nycticorax megacephalus,Rodrigues Night-heron,,,FALSE,
Nycticorax nycticorax,Black-crowned Night-heron,bcnher,170695891,TRUE,Кваква
Nycticorax caledonicus,Rufous Night-heron,runher1,203893961,TRUE,Рыжая кваква
Nyctanassa violacea,Yellow-crowned Night-heron,ycnher,573915741,FALSE,Крабовая кваква
†Nyctanassa carcinocatactes,Bermuda Night-heron,,,FALSE,
Butorides striata,Green-becked Heron,strher2,626103937,FALSE,Зеленоспинная/Зелёная цапля
B. s. virescens,Green Heron,grnher,28887711,TRUE,
Ardeola ralloides,Squacco Heron,squher1,275088,TRUE,Жёлтая цапля
Ardeola grayii,Indian Pond-heron,inpher1,204025081,FALSE,Индийская прудовая цапля
Ardeola bacchus,Chinese Pond-heron,chpher1,633513351,FALSE,Белокрылая цапля
Ardeola speciosa,Javan Pond-heron,japher1,182986521,FALSE,Малайская прудовая цапля
Ardeola idae,Madagascar Pond-heron,mapher1,,FALSE,Мадагаскарская прудовая цапля
Ardeola rufiventris,Rufous-bellied Heron,rubher2,468924231,FALSE,Рыжебрюхая цапля
Bubulcus ibis,Cattle Egret,,,FALSE,Египетская цапля/Восточная египетская цапля
Ardea cinerea,Grey Heron,graher1,572679021,TRUE,Серая цапля
A. c. monicae,Mauritanian Heron,,,FALSE,
Ardea herodias,Great Blue Heron,grbher3,92488041,TRUE,Большая голубая цапля
Ardea cocoi,Cocoi Heron,cocher1,622578785,TRUE,Южноамериканская цапля
Ardea pacifica,White-necked Heron,pacher1,26960621,FALSE,Белошейная цапля
Ardea melanocephala,Black-headed Heron,blhher1,2047,FALSE,Черноголовая цапля
Ardea humbloti,Madagascar Heron,humher1,97401,FALSE,Мадагаскарская цапля
Ardea insignis,White-bellied Heron,whbher2,635898089,FALSE,Белобрюхая цапля
Ardea sumatrana,Great-billed Heron,grbher2,203887551,FALSE,Большеклювая цапля
Ardea goliath,Goliath Heron,golher1,2028,FALSE,Цапля-голиаф
Ardea purpurea,Purple Heron,purher1,239512061,TRUE,Рыжая цапля
A. p. bournei,Cape Verde Heron,,,FALSE,
Ardea alba,Great Egret,greegr,23692051,TRUE,Большая белая цапля
Ardea brachyrhyncha,Yellow-billed Egret,integr3,588972951,FALSE,
Ardea intermedia,Intermediate Egret,integr1,451056611,FALSE,Средняя белая цапля
Ardea plumifera,Plumed Egret,integr2,616099067,FALSE,
Syrigma sibilatrix,Whistling Heron,whiher1,305861861,FALSE,Свистящая цапля
Pilherodius pileatus,Capped Heron,capher1,55826,FALSE,Капюшоновая цапля
Egretta picata,Pied Heron,pieher2,356474971,FALSE,Сорочья цапля
Egretta novaehollandiae,White-faced Heron,whfher1,467923001,TRUE,Белолицая цапля
Egretta rufescens,Reddish Egret,redegr,217438751,FALSE,Рыжеватая цапля
Egretta ardesiaca,Black Heron,blaher1,276836,FALSE,Зонтичная цапля
Egretta vinaceigula,Slaty Egret,slaegr1,,FALSE,Красногорлая цапля
Egretta tricolor,Tricolored Heron,triher,299780361,FALSE,Трёхцветная цапля
Egretta caerulea,Little Blue Heron,libher,134113,TRUE,Малая голубая цапля
Egretta thula,Snowy Egret,snoegr,104850961,TRUE,Снежная цапля
Egretta garzetta,Little Egret,litegr,203905331,TRUE,Малая белая цапля
Egretta gularis,Western Reef-egret,werher,279509,FALSE,Западная рифовая цапля
E. g. dimorpha,Madagascar Reef-egret,,,FALSE,
Egretta sacra,Eastern Reef-egret,pacreh1,627488742,FALSE,Восточная рифовая цапля
Egretta eulophotes,Chinese Egret,chiegr,588736301,FALSE,Желтоклювая цапля
Zonerodius heliosylus,Forest Bittern,forbit1,,FALSE,Лесная выпь
Tigriornis leucolopha,White-crested Tiger-heron,whcbit1,629592260,FALSE,Белохохлая тигровая выпь
Tigrisoma lineatum,Rufescent Tiger-heron,ruther1,389217521,TRUE,Мраморная тигровая выпь
Tigrisoma fasciatum,Fasciated Tiger-heron,father1,609810733,FALSE,Полосатая тигровая выпь
Tigrisoma mexicanum,Bare-throated Tiger-heron,btther1,366754881,FALSE,Мексиканская тигровая выпь
Agamia agami,Agami Heron,agaher1,621417455,FALSE,Агами
Cochlearius cohlearius,Boat-billed Heron,bobher1,167843611,TRUE,
Zebrilus undulatus,Zigzag Heron,zigher1,203932001,FALSE,Зебровая выпь
Botaurus stellaris,Eurasian Bittern,grebit1,198496211,FALSE,Большая выпь
Botaurus poiciloptilus,Australasian Bittern,ausbit1,484545911,FALSE,Австралийская выпь
Leptoptilos crumenifer,Marabou,marsto1,276890,FALSE,Африканский марабу
Leptoptilos dubius,Greater Adjutant,greadj1,96546191,TRUE,Индийский марабу
Leptoptilos javanicus,Lesser Adjutant,lesadj1,622347685,FALSE,Зондский марабу
Mycteria americana,Wood Stork,woosto,621953704,TRUE,Американский клювач
Mycteria ibis,Yellow-billed Stork,yebsto1,2410,FALSE,Африканский клювач
Mycteria leucocephala,Painted Stork,paisto1,275767441,FALSE,Расписной клювач
Mycteria cinerea,Milky Stork,milsto1,,FALSE,Серый клювач
Anastomus oscitans,Asian Openbill,asiope1,283406,FALSE,Индийский аист-разиня
Anastomus lamelligerus,African Openbill,afrope1,2288,FALSE,Африканский аист-разиня
Ciconia nigra,Black Stork,blasto1,620071179,TRUE,Чёрный аист
Ciconia abdimii,Abdim's Stork,abdsto1,2290,FALSE,Дождевой аист
Ciconia microscelis,African Woollyneck,wonsto2,,FALSE,Белошейный аист
Ciconia episcopus,Asian Woollyneck,wonsto1,331652821,FALSE,
Ciconia stormi,Storm's Stork,stosto1,,FALSE,Малайский аист
Ciconia maguari,Maguari Stork,magsto1,167207521,FALSE,Американский аист
Ciconia ciconia,White Stork,whisto1,346474191,TRUE,Белый аист
Ciconia boyciana,Oriental Stork,oristo1,611711158,FALSE,Дальневосточный аист
Jabiru mycteria,Jabiru,jabiru,203988251,TRUE,Ябиру
Ephippiorhynchus asiaticus,Black-necked Stork,blnsto1,611963363,FALSE,Азиатский седлоклюв
Ephippiorhynchus senegalensis,Saddlebill,sabsto1,2292,FALSE,Африканский седлоклюв
PELECANIFORMES,,,,FALSE,
THRESKIORNITHIDAE,Ibises Spoonbills,,,FALSE,Threskiornithidae sp. (ibis sp.)
BALAENICIPITIDAE,Shoebill,shoebi1,609060536,FALSE,
Balaeniceps rex,Shoebill,shoebi1,609060536,FALSE,Китоглав
PELECANIDAE,Pelicans,,,FALSE,
Pelecanus crispus,Dalmatian Pelican,dalpel1,635590775,FALSE,Кудрявый пеликан
Pelecanus philippensis,Spot-billed Pelican,spbpel1,283403,FALSE,Пестроклювый пеликан
Pelecanus rufescens,Pink-backed Pelican,pibpel1,23927,FALSE,Розовоспинный пеликан
Pelecanus conspicillatus,Australian Pelican,auspel1,636864106,FALSE,Австралийский пеликан
Pelecanus onocrotalus,Great White Pelican,grwpel1,628976453,FALSE,Розовый пеликан
Pelecanus occidentalis,Brown Pelican,brnpel,45486,TRUE,Бурый пеликан
Pelecanus thagus,Peruvian Pelican,perpel1,620085150,FALSE,Перуанский пеликан
Pelecanus erythrorhynchos,American White Pelican,amwpel,1988,TRUE,Пеликан-носорог
Burhinus oedicnemus,Eurasian Thick-knee,eutkne1,203693741,FALSE,Авдотка
Burhinus indicus,Indian Thick-knee,indthk1,499367661,FALSE,Индийская авдотка
Burhinus senegalensis,Senegal Thick-knee,setkne1,203896811,FALSE,Сенегальская авдотка
Burhinus vermiculatus,Water Thick-knee,watkne1,21585161,FALSE,Водяная авдотка
Burhinus capensis,Spotted Thick-knee,sptkne1,122324571,FALSE,Капская авдотка
Burhinus bistriatus,Double-striped Thick-knee,dstkne,83896391,FALSE,Двухполосая авдотка
Burhinus superciliaris,Peruvian Thick-knee,petkne1,31747101,FALSE,Перуанская авдотка
Burhinus grallarius,Bush Thick-knee,butkne1,270870591,FALSE,Австралийская авдотка
Esacus recurvirostris,Great Thick-knee,grtkne1,644353144,FALSE,Крабовая авдотка
Esacus magnirostris,Beach Thick-knee,beathk1,631237163,FALSE,Рифовая авдотка
SULIFORMES,,,,FALSE,
FREGATIDAE,Frigatebirds,,,FALSE,
Fregata ariel,Lesser Frigatebird,lesfri,203906351,TRUE,Фрегат-ариель
Fregata minor,Great Frigatebird,grefri,133751911,FALSE,Большой фрегат
Fregata andrewsi,Christmas Frigatebird,chifri1,,FALSE,Рождественский фрегат
Fregata magnificens,Magnificent Frigatebird,magfri,134167,TRUE,Великолепный фрегат
Fregata aquila,Ascension Frigatebird,asifri1,31641421,FALSE,Вознесенский фрегат
CHIONIDIDAE,Sheathbills,,,FALSE,
SULIDAE,Gannets Boobies,,,FALSE,
Chionis albus,Snowy Sheathbill,snoshe2,203971911,FALSE,Белая ржанка
Chionis minor,Black-faced Sheathbill,blfshe1,,FALSE,Чернолицая белая ржанка
Papasula abbotti,Abbott's Booby,abbboo2,610929267,TRUE,Олуша Эбботта
Morus bassanus,Northern Gannet,norgan,203907621,TRUE,Северная олуша
Morus capensis,Cape Gannet,capgan1,204018591,FALSE,Капская олуша
Morus serrator,Australasian Gannet,ausgan1,203924241,FALSE,Австралийская олуша
Sula sula,Red-footed Booby,refboo,203897691,FALSE,Красноногая олуша
Sula leucogaster,Brown Booby,brnboo,640329768,FALSE,Бурая олуша
Sula nebouxii,Blue-footed Booby,bfoboo,550381801,TRUE,Голубоногая олуша
Sula variegata,Peruvian Booby,perboo1,313359421,FALSE,Перуанская олуша
Sula dactylatra,Masked Booby,masboo,366505461,FALSE,Голуболицая/Насканская олуша
Sula granti,Nazca Booby,nazboo1,31543,FALSE,Насканская олуша
PLUVIANELLIDAE,Magellanic Plover,magplo1,42753541,FALSE,
Pluvianellus socialis,Magellanic Plover,magplo1,42753541,FALSE,Магелланова ржанка
PLUVIANIDAE,Egyptian Plover,egyplo1,144842211,FALSE,
Pluvianus aegyptius,Egyptian Plover,egyplo1,144842211,FALSE,Крокодилов сторож
HAEMATOPODIDAE,Oystercatchers,,,FALSE,
PHALACROCORACIDAE,Cormorants,,,FALSE,
Haematopus leucopodus,Magellanic Oystercatcher,magoys1,613741897,FALSE,Магелланов кулик-сорока
Haematopus ater,Blackish Oystercatcher,blaoys1,203976141,FALSE,Тёмный кулик-сорока
H. a. bachmani,American Black Oystercatcher,,,FALSE,
Haematopus palliatus,American Oystercatcher,ameoys,63003121,TRUE,Американский кулик-сорока
†Haematopus meadewaldoi,Canarian Oystercatcher,canoys1,,FALSE,
Haematopus moquini,African Oystercatcher,afroys1,637195187,FALSE,Африканский кулик-сорока
Haematopus ostralegus,Eurasian Oystercatcher,euroys1,437821801,FALSE,Кулик-сорока
Haematopus longirostris,Pied Oystercatcher,pieoys1,636864383,FALSE,Длинноклювый кулик-сорока
Haematopus chathamensis,Chatham Oystercatcher,chaoys1,491821401,FALSE,Чатемский кулик-сорока
Haematopus unicolor,Variable Oystercatcher,varoys1,453929691,TRUE,Изменчивый кулик-сорока
Haematopus fuliginosus,Sooty Oystercatcher,soooys1,612980572,FALSE,Австралийский кулик-сорока
Microcarbo coronatus,Crowned Cormorant,crocor1,,FALSE,Венценосный баклан
Microcarbo africanus,Long-tailed Cormorant,lotcor1,310410,FALSE,Камышовый баклан
Microcarbo pygmaeus,Pygmy Cormorant,pygcor2,63209821,FALSE,Малый баклан
Microcarbo niger,Little Cormorant,litcor1,283426,FALSE,Яванский баклан
Microcarbo melanoleucos,Little Pied Cormorant,lipcor1,519157271,TRUE,Пёстрый баклан
Phalacrocorax gaimardi,Red-legged Cormorant,relcor1,617763414,FALSE,Красноногий баклан
Phalacrocorax magellanicus,Rock Shag,,,FALSE,Магелланов баклан
Phalacrocorax bougainvilliiorum,Guanay Cormorant,guacor1,,FALSE,
Phalacrocorax atriceps,Imperial Shag,,,FALSE,Голубоглазый баклан
P. a. albiventer,King Cormorant,,,FALSE,
Phalacrocorax verrucosus,Kerguelen Shag,,,FALSE,
Phalacrocorax carunculatus,Rough-faced Shag,,,FALSE,
Phalacrocorax chalconotus,Stewart Shag,,,FALSE,Стюартский баклан
Phalacrocorax onslowi,Chatham Shag,,,FALSE,Чатемский баклан
Phalacrocorax campbelli,Campbell Shag,,,FALSE,
Phalacrocorax ranfurlyi,Bounty Shag,,,FALSE,Баунтийский баклан
Phalacrocorax colensoi,Auckland Shag,,,FALSE,Оклендский баклан
Phalacrocorax auritus,Double-crested Cormorant,doccor,65707121,TRUE,Ушастый баклан
Phalacrocorax brasilianus,Neotropical Cormorant,,,FALSE,Неотропический баклан
Phalacrocorax harrisi,Flightless Cormorant,flicor1,237486,FALSE,Галапагосский баклан
Phalacrocorax penicillatus,Brandt's Cormorant,bracor,633992312,FALSE,Синегорлый баклан
Phalacrocorax pelagicus,Pelagic Cormorant,pelcor,628285352,FALSE,Берингов баклан
Phalacrocorax urile,Red-faced Cormorant,refcor,35206991,FALSE,Краснолицый баклан
†Phalacrocorax perspicillatus,Spectacled Cormorant,,,FALSE,
Phalacrocorax aristotelis,European Shag,eursha1,532807641,TRUE,Хохлатый баклан
Phalacrocorax carbo,Great Cormorant,grecor,309407421,TRUE,Большой баклан
P. c. lucidus,White-breasted Cormorant,,,FALSE,
Phalacrocorax capillatus,Japanese Cormorant,japcor1,,FALSE,Японский баклан
Phalacrocorax capensis,Cape Cormorant,capcor1,278549,FALSE,Капский баклан
Phalacrocorax nigrogularis,Socotra Cormorant,soccor1,494237011,FALSE,Персидский баклан
Phalacrocorax neglectus,Bank Cormorant,bancor1,,FALSE,Береговой баклан
Phalacrocorax fuscicollis,Indian Cormorant,indcor1,612417135,FALSE,Индийский баклан
Phalacrocorax sulcirostris,Little Black Cormorant,libcor1,430127971,FALSE,Чёрный баклан
Phalacrocorax fuscescens,Black-faced Cormorant,blfcor1,349736791,FALSE,Чернолицый баклан
Phalacrocorax varius,Great Pied Cormorant,piecor1,203936851,FALSE,Пегий баклан
Phalacrocorax punctatus,Spotted Shag,sposha1,487535711,TRUE,Пятнистый баклан
Phalacrocorax featherstoni,Pitt Shag,piisha1,,FALSE,Зеленолицый баклан
Ibidorhyncha struthersii,Ibisbill,ibisbi1,285398,TRUE,Серпоклюв
RECURVIROSTRIDAE,Avocets Stilts,,,FALSE,
Cladorhynchus leucocephalus,Banded Stilt,bansti1,99434191,FALSE,Австралийский ходулочник
Recurvirostra avosetta,Pied Avocet,pieavo1,354621701,FALSE,Шилоклювка
Recurvirostra americana,American Avocet,ameavo,50189,TRUE,Американская шилоклювка
Recurvirostra novaehollandiae,Red-necked Avocet,renavo1,62652191,TRUE,Австралийская шилоклювка
Recurvirostra andina,Andean Avocet,andavo1,31677421,FALSE,Андская шилоклювка
Himantopus himantopus,Black-winged Stilt,bkwsti,355581611,FALSE,Ходулочник
H. h. leucocephalus,Pied Stilt,piesti1,613133753,FALSE,
H. h. knudseni,Hawaiian Stilt,,,FALSE,
H. h. mexicanus,Black-necked Stilt,bknsti,608362706,TRUE,
H. h. melanurus,White-backed Stilt,,,FALSE,
Himantopus novaezelandiae,Black Stilt,blasti1,622956127,FALSE,Новозеландский ходулочник
CHARADRIIDAE,Plovers,,,FALSE,
Pluvialis squatarola,Grey Plover,bkbplo,167886311,FALSE,Тулес
Pluvialis apricaria,European Golden Plover,eugplo,103332581,TRUE,Золотистая ржанка
Pluvialis fulva,Pacific Golden Plover,pagplo,516983,FALSE,Бурокрылая ржанка
Pluvialis dominica,American Golden Plover,amgplo,31731481,TRUE,Американская/Бурокрылая ржанка
Oreopholus ruficollis,Tawny-throared Dotterel,tatdot1,470069241,FALSE,Андский хрустан
Phegornis mitchellii,Diademed Plover,diaplo1,623062002,FALSE,Бекасовидный хрустан
Eudromias morinellus,Eurasian Dotterel,eurdot,234987261,FALSE,Хрустан
Charadrius aquilonius,Northern Red-breasted Plover,,,FALSE,
Charadrius obscurus,Southern Red-breasted Plover,,,FALSE,Маорийский зуёк
Charadrius hiaticula,Common Ringed Plover,corplo,587493441,FALSE,Галстучник/Перепончатопалый галстучник
Charadrius semipalmatus,Semipalmated Plover,semplo,259863421,FALSE,Перепончатопалый галстучник
Charadrius placidus,Long-billed Plover,lobplo1,97072621,FALSE,Уссурийский зуёк
Charadrius dubius,Little Ringed Plover,lirplo,445145071,TRUE,Малый зуёк
Charadrius wilsonia,Wilson's Plover,wilplo,101852641,FALSE,Вильсонов зуёк
Charadrius vociferus,Killdeer,killde,104731171,TRUE,Крикливый зуёк
Charadrius melodus,Piping Plover,pipplo,27747281,TRUE,Желтоногий зуёк
Charadrius thoracicus,Black-banded Plover,,,FALSE,Мадагаскарский зуёк
Charadrius pecuarius,Kittlitz's Plover,kitplo1,215023921,FALSE,Зуёк-пастух
ANHINGIDAE,Anhingas,,,FALSE,
Anhinga anhinga,Anhinga,anhing,178385161,TRUE,Американская змеешейка
Anhinga rufa,African Darter,darter3,177489221,FALSE,Африканская змеешейка
A. r. vulsini,Madagascar Darter,,,FALSE,
Anhinga melanogaster,Oriental Darter,darter2,239749,FALSE,Азиатская змеешейка
Anhinga novaehollandiae,Australasian Darter,darter4,59760711,FALSE,Австралийская змеешейка
CHARADRIIFORMES,Shorebird sp.,shoreb1,263655401,FALSE,
BURHINIDAE,Thick-knees,,,FALSE,
Charadrius sanctaehelenae,St Helena Plover,,,FALSE,Святоеленский зуёк
Charadrius tricollaris,African Three-banded Plover,,,FALSE,
Charadrius bifrontatus,Madagascar Three-banded Plover,,,FALSE,
Charadrius forbesi,Forbes's Plover,forplo1,279895,FALSE,Темнолобый зуёк
Charadrius marginatus,White-fronted Plover,whfplo1,618481264,FALSE,Белолобый зуёк
Charadrius alexandrinus,Kentish Plover,kenplo1,394341091,FALSE,
Charadrius dealbatus,White-faced Plover,whfplo2,619218715,FALSE,
Charadrius nivosus,Snowy Plover,snoplo5,71563311,FALSE,Морской/Бледный зуёк
Charadrius javanicus,Javan Plover,javplo1,20369221,FALSE,Яванский зуёк
Charadrius ruficapillus,Red-capped Plover,recplo1,623186243,FALSE,Красношапочный зуёк
Charadrius peronii,Malay Plover,,,FALSE,Малайский зуёк
Charadrius pallidus,Chestnut-banded Plover,chbplo1,277958,FALSE,Краснополосый зуёк
Charadrius collaris,Collared Plover,colplo1,615398635,FALSE,Воротничковый зуёк
Charadrius alticola,Puna Plover,punplo1,86011591,FALSE,Степной зуёк
Charadrius falklandicus,Two-banded Plover,twbplo1,405171861,FALSE,
Charadrius bicinctus,Double-banded Plover,dobplo1,515759401,FALSE,Двухполосый зуёк
Charadrius mongolus,Lesser Sandplover,,,FALSE,
C. m. atrifrons,Tibetan Sandplover,,,FALSE,
Charadrius leschenaultii,Greater Sandplover,,,FALSE,Толстоклювый зуёк
Charadrius asiaticus,Caspian Plover,casplo1,41716,FALSE,
Charadrius veredus,Oriental Plover,oriplo1,643781701,FALSE,Восточный зуёк
Charadrius montanus,Mountain Plover,mouplo,311635271,FALSE,Горный зуёк
Charadrius modestus,Rufous-chested Plover,,,FALSE,Красногрудый хрустан
Thinornis cucullatus,Hooded Plover,hooplo2,101314511,FALSE,Австралийский зуёк
Thinornis novaeseelandiae,Shore Plover,shoplo1,298236081,TRUE,Чатемский зуёк
Elseyornis melanops,Black-fronted Dotterel,blfdot1,273100491,FALSE,Чернолобый зуёк
Hoploxypterus cayanus,Pied Lapwing,pielap1,32242441,FALSE,Диадемовая пигалица
Vanellus vanellus,Northern Lapwing,norlap,246408711,FALSE,Чибис
Vanellus crassirostris,Long-toed Lapwing,lotlap1,651407732,FALSE,Длиннопалый чибис
Vanellus armatus,Blacksmith Lapwing,blaplo1,539413331,FALSE,Чибис-кузнец
Vanellus spinosus,Spur-winged Lapwing,spwlap1,617827101,FALSE,Шпорцевый чибис
Vanellus duvaucelii,River Lapwing,rivlap1,249603,FALSE,Индийский чибис
Vanellus tectus,Black-headed Lapwing,blhlap1,648447006,FALSE,Чернохохлый чибис
Vanellus malabaricus,Yellow-wattled Lapwing,yewlap2,352435851,FALSE,Малабарский чибис
Vanellus albiceps,White-headed Lapwing,whhlap1,650127587,FALSE,Белоголовый чибис
Vanellus lugubris,Senegal Lapwing,senlap1,204006911,FALSE,Траурный чибис
Vanellus melanopterus,Black-winged Lapwing,blwlap1,3034,FALSE,Чернокрылый чибис
Vanellus coronatus,Crowned Lapwing,crolap1,31374031,FALSE,Венценосный чибис
Vanellus senegallus,Wattled Lapwing,watlap1,28225811,FALSE,Сенегальский чибис
Vanellus melanocephalus,Spot-breasted Lapwing,spblap1,31372611,FALSE,Пестрогрудый чибис
Vanellus superciliosus,Brown-chested Lapwing,brclap1,244134421,FALSE,Рыжегрудый чибис
Vanellus cinereus,Grey-headed Lapwing,gyhlap1,203940131,FALSE,Серый чибис
Vanellus indicus,Red-wattled Lapwing,rewlap1,239274571,TRUE,Украшенный чибис
Vanellus macropterus,Javanese Wattled Lapwing,sunlap1,,FALSE,Яванский чибис
Vanellus tricolor,Banded Lapwing,banlap1,629248130,FALSE,Яванский чибис
Vanellus miles,Masked Lapwing,maslap1,273100541,TRUE,Солдатский чибис
Vanellus novaehollandiae,Black-shouldered Lapwing,,,FALSE,Чатемский зуёк
Vanellus gregarius,Sociable Lapwing,soclap1,588192451,FALSE,Кречётка
Vanellus leucurus,White-tailed Lapwing,whtlap1,345090061,FALSE,Белохвостая пигалица
Vanellus chilensis,Southern Lapwing,soulap1,471577881,TRUE,Кайеннский чибис
Vanellus resplendens,Andean Lapwing,andlap1,210223,FALSE,Андский чибис
Erythrogonys cinctus,Red-kneed Dotterel,rekdot1,600348021,FALSE,Черногрудый зуёк
Peltohyas australis,Inland Dotterel,inldot2,613461091,FALSE,Австралийский бегун
Anarhynchus frontalis,Wrybill,wrybil1,2974,TRUE,Кривоклювый зуёк
Actophilornis africanus,African Jacana,afrjac1,609068433,FALSE,Африканская якана
Actophilornis albinucha,Madagascar Jacana,madjac1,97452,FALSE,Мадагаскарская якана
Metopidius indicus,Bronze-winged Jacana,brwjac1,204024191,FALSE,Бронзовокрылая якана
Irediparra gallinacea,Comb-crested Jacana,cocjac1,33171581,FALSE,Шлемоносная якана
Microparra capensis,Lesser Jacana,lesjac1,609068617,FALSE,Малая якана
SCOLOPACIDAE,Sandpipers Snipes Phalaropes,,,FALSE,
Bartramia longicauda,Upland Sandpiper,uplsan,249618851,FALSE,Прерийный кроншнеп
Numenius tahitiensis,Bristle-thighed Curlew,brtcur,516988,FALSE,Таитянский кроншнеп
Numenius phaeopus,Whimbrel,whimbr5,207360,FALSE,
N. p. hudsonicus,American Whimbrel,,,FALSE,
Numenius minutus,Little Curlew,litcur,633651651,FALSE,Кроншнеп-малютка
Numenius borealis,Eskimo Curlew,eskcur,,FALSE,Эскимосский кроншнеп
Numenius tenuirostris,Slender-billed Curlew,slbcur,,FALSE,Тонкоклювый кроншнеп
Numenius americanus,Long-billed Curlew,lobcur,351892901,FALSE,Американский кроншнеп
Numenius arquata,Eurasian Curlew,eurcur,345945161,TRUE,Большой кроншнеп
Numenius madagascariensis,Far Eastern Curlew,faecur,372201601,FALSE,Дальневосточный кроншнеп
Limosa lapponica,Bar-tailed Godwit,batgod,132114,FALSE,Малый веретенник
Limosa fedoa,Marbled Godwit,margod,340884511,FALSE,Пятнистый веретенник
Limosa haemastica,Hudsonian Godwit,hudgod,79090561,FALSE,Канадский веретенник
Limosa limosa,Black-tailed Godwit,bktgod,203953591,TRUE,Большой веретенник
Arenaria interpres,Ruddy Turnstone,rudtur,205697,TRUE,Камнешарка
Arenaria melanocephala,Black Turnstone,blktur,262658431,FALSE,Чёрная камнешарка
Calidris tenuirostris,Great Knot,grekno,217167841,FALSE,Большой песочник
Calidris canutus,Red Knot,redkno,31731521,TRUE,Исландский песочник
Calidris virgata,Surfbird,surfbi,49596,TRUE,Бурунный песочник
Calidris pugnax,Ruff,ruff,121526871,TRUE,Турухтан
Calidris falcinellus,Broad-billed Sandpiper,brbsan,578035591,FALSE,Грязовик
Calidris acuminata,Sharp-tailed Sandpiper,shtsan,101486061,FALSE,Острохвостый песочник
Calidris himantopus,Stilt Sandpiper,stisan,262674661,FALSE,Ходулочниковый песочник
Calidris ferruginea,Curlew Sandpiper,cursan,203969981,FALSE,Краснозобик
Calidris temminckii,Temminck's Stint,temsti,203974011,FALSE,Белохвостый песочник
Calidris subminuta,Long-toed Stint,lotsti,634852091,FALSE,Длиннопалый песочник
Calidris pygmaea,Spoon-billed Sandpiper,spbsan1,166378,TRUE,Лопатень
Calidris ruficollis,Red-necked Stint,rensti,176409,FALSE,Песочник-красношейка
Calidris alba,Sanderling,sander,138266,FALSE,Песчанка
Calidris alpina,Dunlin,dunlin,179516,FALSE,Чернозобик
