Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,bn,bn_in
Strepera versicolor,Grey Currawong,grycur1,73082631,FALSE,,
Melloria quoyi,Black Butcherbird,blabut1,62813181,FALSE,,
Gymnorhina tibicen,Australian Magpie,ausmag2,229623,TRUE,,
Cracticus cassicus,Hooded Butcherbird,hoobut1,310631,FALSE,,
Cracticus louisiadensis,Tagula Butcherbird,tagbut1,,FALSE,,
Cracticus nigrogularis,Pied Butcherbird,piebut1,233568,FALSE,,
Cracticus torquatus,Grey Butcherbird,grybut1,233761,TRUE,,
Cracticus argenteus,Silver-backed Butcherbird,sibbut1,475061041,FALSE,,
Cracticus mentalis,Black-backed Butcherbird,blbbut1,201211,FALSE,,
Artamus personatus,Masked Woodswallow,maswoo1,203887531,FALSE,,
Artamus superciliosus,White-browed Woodswallow,whbwoo5,78537611,FALSE,,
Artamus cyanopterus,Dusky Woodswallow,duswoo1,618706735,FALSE,,
Artamus cinereus,Black-faced Woodswallow,blfwoo1,112742661,FALSE,,
Artamus minor,Little Woodswallow,litwoo4,218137,FALSE,,
Artamus maximus,Great Woodswallow,grewoo1,203974641,FALSE,,
Artamus leucoryn,White-breasted Woodswallow,whbwoo4,36877,TRUE,,
Artamus mentalis,Fiji Woodswallow,fijwoo1,203910811,FALSE,,
Artamus insignis,White-backed Woodswallow,biswoo1,651259746,FALSE,,
Artamus monachus,Ivory-backed Woodswallow,whbwoo8,640659512,FALSE,,
Artamus fuscus,Ashy Woodswallow,ashwoo2,363615951,FALSE,মেটে বনাবাবিল,তালচটক
MACHAERIRHYNCHIDAE,Boatbills,,,FALSE,,
Machaerirhynchus flaviventer,Yellow-breasted Boatbill,yebboa1,632240470,FALSE,,
Machaerirhynchus nigripectus,Black-breasted Boatbill,blbboa1,203963141,FALSE,,
VANGIDAE,Vangas,,,FALSE,,
Newtonia archboldi,Archbold's Newtonia,arcnew1,95439,FALSE,,
Newtonia brunneicauda,Common Newtonia,comnew1,93197,FALSE,,
Newtonia fanovanae,Red-tailed Newtonia,retnew1,94074,FALSE,,
Newtonia amphichroa,Dark Newtonia,darnew1,95361,FALSE,,
Tylas eduardi,Tylas Vanga,tylvan1,203963241,FALSE,,
Calicalicus madagascariensis,Red-tailed Vanga,retvan1,203930561,FALSE,,
Calicalicus rufocarpalis,Red-shouldered Vanga,resvan1,502289841,FALSE,,
Hypositta corallirostris,Nuthatch Vanga,nuthat2,503917601,FALSE,,
Leptopterus chabert,Chabert Vanga,chavan2,100184,FALSE,,
Cyanolanius comorensis,Comoro Blue Vanga,bluvan2,203979141,FALSE,,
Cyanolanius madagascarinus,Madagascar Blue Vanga,bluvan3,257667631,FALSE,,
Mystacornis crossleyi,Crossley's Vanga,crobab1,203930511,FALSE,,
Pseudobias wardi,Ward's Flycatcher,warfly1,609067425,FALSE,,
Vanga curvirostris,Hook-billed Vanga,hobvan1,203983441,FALSE,,
Schetba rufa,Rufous Vanga,rufvan1,203970461,FALSE,,
Euryceros prevostii,Helmet Vanga,helvan1,257654151,FALSE,,
Xenopirostris polleni,Pollen's Vanga,polvan1,95699,FALSE,,
Xenopirostris xenopirostris,Lafresnaye's Vanga,lafvan1,203930621,FALSE,,
Xenopirostris damii,Van Dam's Vanga,vadvan1,203978931,FALSE,,
Oriolia bernieri,Bernier's Vanga,bervan1,203970241,FALSE,,
Falculea palliata,Sickle-billed Vanga,sibvan1,203970311,FALSE,,
