Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,pt,pt_ao,pt_br,pt_pt
Galbula galbula,Green-tailed Jacamar,grtjac1,389403231,FALSE,ariramba-de-cauda-verde,ariramba-de-cauda-verde,ariramba-de-cauda-verde,bico-d'agulha-de-cauda-verde
Galbula tombacea,White-chined Jacamar,whcjac1,102137541,FALSE,Ariramba-de-barba-branca,Ariramba-de-barba-branca,ariramba-de-barba-branca,bico-d'agulha-de-queixo-branco
Galbula cyanescens,Bluish-fronted Jacamar,blfjac1,52381,FALSE,ariramba-da-capoeira,ariramba-da-capoeira,ariramba-da-capoeira,bico-d'agulha-de-testa-azulada
Galbula pastazae,Coppery-chested Jacamar,cocjac2,548393951,FALSE,Ariramba-acobreada,Ariramba-acobreada,Ariramba-acobreada,bico-d'agulha-acobreado
Galbula chalcothorax,Purplish Jacamar,purjac1,71444011,FALSE,Ariramba-violácea,Ariramba-violácea,ariramba-violácea,bico-d'agulha-violáceo
Galbula leucogastra,Bronzy Jacamar,brojac1,203694801,FALSE,,,ariramba-bronzeada,Ariramba-bronze
Galbula dea,Paradise Jacamar,parjac1,203916871,FALSE,ariramba-do-paraíso,ariramba-do-paraíso,ariramba-do-paraíso,bico-d'agulha-do-paraíso
Jacamerops aurea,Great Jacamar,grejac2,385049401,FALSE,Jacamaraçu,Jacamaraçu,jacamaraçu,bico-d'agulha-grande
BUCCONIDAE,Puffbirds,,,FALSE,,,,
Notharchus hyperrhynchus,White-necked Puffbird,whnpuf2,47719431,FALSE,,,macuru-de-testa-branca,Macuru-de-testa-branca
Notharchus macrorhynchos,Guianan Puffbird,guipuf1,217351431,FALSE,,,macuru-de-pescoço-branco,Macuru-de-pescoço-branco
Notharchus swainsoni,Buff-bellied Puffbird,bubpuf1,224062391,FALSE,Macuru-de-barriga-castanha,Macuru-de-barriga-castanha,macuru-de-barriga-castanha,barbudo-de-barriga-castanha
Notharchus pectoralis,Black-breasted Puffbird,blbpuf1,633937030,FALSE,macuru-de-peito-preto,macuru-de-peito-preto,macuru-de-peito-preto,barbudo-de-peito-preto
Pteroglossus torquatus,Collared Aracari,colara2,65045,FALSE,,,,
Pteroglossus sanguineus,Stripe-billed Aracari,,,FALSE,,,,
Pteroglossus erythropygius,Pale-billed Aracari,pamara1,249107,FALSE,,,,
Pteroglossus frantzii,Fiery-billed Aracari,fibara1,205563,FALSE,Araçari-de-frantzius,Araçari-de-frantzius,Araçari-de-frantzius,araçari-de-bico-laranja
Pteroglossus aracari,Black-necked Aracari,blnara1,115103,FALSE,araçari-de-bico-branco,araçari-de-bico-branco,araçari-de-bico-branco,araçari-de-pescoço-preto
Pteroglossus castanotis,Chestnut-eared Aracari,cheara1,608534522,FALSE,Araçari-castanho,Araçari-castanho,araçari-castanho,araçari-de-faces-castanhas
Pteroglossus pluricinctus,Many-banded Aracari,mabara1,591755111,FALSE,Araçari-de-cinta-dupla,Araçari-de-cinta-dupla,araçari-de-cinta-dupla,Araçari-de-cinta-dupla
Pteroglossus azara,Ivory-billed Aracari,ivbara1,34203,FALSE,Araçari-bico-de-marfim,Araçari-bico-de-marfim,araçari-de-bico-de-marfim/amarelo/marrom,araçari-bico-de-marfim
Pteroglossus beauharnaesii,Curl-crested Aracari,cucara1,203699871,FALSE,Araçari-mulato,Araçari-mulato,araçari-mulato,araçari-de-caracóis
Pteroglossus sturmii,Western Red-necked Aracari,,,FALSE,,,araçari-de-pescoço-vermelho (sturmii),araçari-de-pescoço-vermelho (sturmii)
Pteroglossus bitorquatus,Eastern Red-necked Aracari,renara1,203699861,FALSE,araçari-de-pescoço-vermelho,araçari-de-pescoço-vermelho,araçari-de-pescoço-vermelho,Araçari-de-pescoço-vermelho
Trachyphonus vaillantii,Crested Barbet,crebar1,612879047,FALSE,barbaças-de-poupa,Barbaças-de-poupa,barbaças-de-poupa,barbaças-de-poupa
Trachyphonus erythrocephalus,Red-and-yellow Barbet,raybar1,79338,FALSE,Barbaças-de-cabeça-vermelha,Barbaças-de-cabeça-vermelha,Barbaças-de-cabeça-vermelha,barbaças-de-cabeça-vermelha
Trachyphonus margaritatus,Yellow-breasted Barbet,yebbar2,31280891,FALSE,Barbaças-perlado,Barbaças-perlado,Barbaças-perlado,barbaças-de-peito-amarelo
Trachyphonus darnaudii,D'Arnaud's Barbet,darbar1,143079301,FALSE,,,,barbaças-de-d’arnaud
Trachyphonus usambiro,Usambiro Barbet,,,FALSE,,,,barbaças-de-d’arnaud (usambiro)
Trachyphonus emini,Emin's Barbet,,,FALSE,,,,
Buccanodon duchaillui,Yellow-spotted Barbet,yesbar1,203909521,FALSE,barbaças-de-malhas-amarelas,Barbaças-de-manchas-amarelas,barbaças-de-malhas-amarelas,barbaças-de-manchas-amarelas
Cryptolybia olivacea,Green Barbet,grebar2,208801831,FALSE,barbaças-verde,barbaças-verde,barbaças-verde,barbaças-verde
Gymnobucco bonapartei,Grey-throated Barbet,gytbar1,639186680,FALSE,Barbaças-de-garganta-cinzenta,Barbaças-de-garganta-cinzenta,Barbaças-de-garganta-cinzenta,barbaças-de-garganta-cinzenta
Gymnobucco cinereiceps,Grey-headed Barbet,,,FALSE,,,,
Gymnobucco sladeni,Sladen's Barbet,slabar1,651213509,FALSE,barbaças-pardo,barbaças-pardo,barbaças-pardo,barbaças-de-sladen
Gymnobucco peli,Bristle-nosed Barbet,brnbar1,203923391,FALSE,barbaças-de-cerdas-nasais,Barbaças-de-cerdas-nasais,barbaças-de-cerdas-nasais,barbaças-de-cerdas-nasais
Gymnobucco calvus,Naked-faced Barbet,nafbar1,203972571,FALSE,Barbaças-calvo,Barbaças-careca,Barbaças-calvo,barbaças-calvo
Gymnobucco vernayi,Pale-throated Barbet,,,FALSE,,,,
Stactolaema leucotis,White-eared Barbet,whebar1,626857381,FALSE,barbaças-de-orelhas-brancas,barbaças-de-orelhas-brancas,barbaças-de-orelhas-brancas,barbaças-d'orelhas-brancas
Stactolaema leucogrammica,White-lined Barbet,,,FALSE,,,,
Stactolaema whytii,Whyte's Barbet,whybar1,652821471,FALSE,barbaças-de-whyte,barbaças-de-whyte,barbaças-de-whyte,barbaças-de-whyte
Stactolaema anchietae,Anchieta's Barbet,ancbar1,51497,FALSE,Barbaças-de-anchieta,Barbaças de Anchieta,Barbaças-de-anchieta,barbaças-de-anchieta
Pogoniulus scolopaceus,Speckled Tinkerbird,spetin1,203938971,FALSE,barbadinho-malhado,Barbadinho-malhado,barbadinho-malhado,barbadinho-malhado
Pogoniulus simplex,Eastern Green Tinkerbird,gretin2,43581,FALSE,Barbadinho-verde,Barbadinho-verde,Barbadinho-verde,barbadinho-verde
Pogoniulus leucomystax,Moustached Green Tinkerbird,moutin1,622591345,FALSE,barbadinho-de-bigodes,barbadinho-de-bigodes,barbadinho-de-bigodes,barbadinho-de-bigodes
Pogoniulus coryphaeus,Western Green Tinkerbird,,,FALSE,barbadinho-de-montanha,barbadinho-de-montanha,barbadinho-de-montanha,barbadinho-de-montanha
Pogoniulus atroflavus,Red-rumped Tinkerbird,rertin1,203918541,FALSE,barbadinho-de-uropígio-vermelho,Barbabadinho-d'uropígio-vermelho,barbadinho-de-uropígio-vermelho,barbadinho-d'uropígio-vermelho
Pogoniulus subsulphureus,Yellow-throated Tinkerbird,yettin1,203965011,FALSE,barbadinho-de-garganta-amarela,Barbadinho-de-garganta-amarela,barbadinho-de-garganta-amarela,barbadinho-de-garganta-amarela
Pogoniulus bilineatus,Yellow-rumped Tinkerbird,yertin1,203937341,FALSE,Barbadinho de uropigio aramelo,Barbadinho-d'uropígio-limão,Barbadinho de uropigio aramelo,barbadinho-d'uropígio-amarelo
Pogoniulus makawai,White-chested Tinkerbird,,,FALSE,Barbadinho de uropigio aramelo,Barbadinho de uropigio aramelo,Barbadinho de uropigio aramelo,barbadinho-d'uropígio-amarelo
Pogoniulus pusillus,Red-froted Tinkerbird,reftin4,203937261,FALSE,,,,
Pogoniulus chrysoconus,Yellow-fronted Tinkerbird,yeftin1,66055,FALSE,barbadinho-de-testa-amarela,Barbadinho-de-testa-amarela,barbadinho-de-testa-amarela,barbadinho-de-testa-amarela
Tricholaema hirsuta,Hairy-breasted Barbet,habbar1,203961321,FALSE,Barbaças-hirsuto,Barbaças-hirsuto,Barbaças-hirsuto,barbaças-hirsuto
Tricholaema diademata,Red-fronted Barbet,refbar2,326833531,FALSE,Barbaças-de-testa-vermelha,Barbaças-de-testa-vermelha,Barbaças-de-testa-vermelha,barbaças-de-testa-vermelha
Tricholaema frontata,Miombo Pied Barbet,miobar1,436498331,FALSE,Barbaças-de-miombo,Barbaças-do-miombo,Barbaças-de-miombo,barbaças-do-miombo
Tricholaema leucomelas,Acacia Pied Barbet,piebar1,177487991,FALSE,,Barbaças-das-acácias,,
Tricholaema lacrymosa,Spot-flanked Barbet,spfbar1,65648,FALSE,Barbaças-fúnebre,Barbaças-fúnebre,Barbaças-fúnebre,barbaças-fúnebre
Tricholaema melanocephala,Black-throated Barbet,bltbar1,79340,FALSE,barbaças-de-cabeça-preta,barbaças-de-cabeça-preta,barbaças-de-cabeça-preta,barbaças-de-cabeça-preta
Lybius undatus,Banded Barbet,banbar1,634175383,FALSE,barbaças-listrado,barbaças-listrado,barbaças-listrado,barbaças-etíope
Lybius vieilloti,Vieillot's Barbet,viebar1,643592307,FALSE,Barbadinho-de-testa-vermelha,Barbadinho-de-testa-vermelha,Barbadinho-de-testa-vermelha,barbaças-de-vieillot
Lybius leucocephalus,White-headed Barbet,whhbar1,626426009,FALSE,Barbaças-de-cabeça-branca,Barbaças-de-cabeça-branca,Barbaças-de-cabeça-branca,barbaças-de-cabeça-branca
Lybius senex,Brown-and-white Barbet,,,FALSE,,,,barbaças-de-cabeça-branca (senex)
Lybius leucogaster,White-bellied Barbet,,,FALSE,,,,barbaças-de-cabeça-branca (leucogaster)
Lybius chaplini,Chaplin's Barbet,chabar1,51484,FALSE,barbaças-de-chaplin,barbaças-de-chaplin,barbaças-de-chaplin,barbaças-de-chaplin
Lybius rubrifacies,Red-faced Barbet,refbar1,65574,FALSE,barbaças-de-faces-vermelhas,barbaças-de-faces-vermelhas,barbaças-de-faces-vermelhas,barbaças-de-faces-vermelhas
Lybius guifsobalito,Black-billed Barbet,blbbar3,65626,FALSE,Barbaças-de-bico-preto,Barbaças-de-bico-preto,Barbaças-de-bico-preto,barbaças-de-bico-preto
Lybius torquatus,Black-collared Barbet,blcbar1,278105,FALSE,Barbaças-de-colar-preto,Barbaças-de-colar-preto,Barbaças-de-colar-preto,barbaças-de-colar
Pogonornis melanopterus,Brown-breasted Barbet,brbbar1,248562071,FALSE,Barbaças-de-peito-castanho,Barbaças-de-peito-castanho,Barbaças-de-peito-castanho,barbaças-de-peito-castanho
Pogonornis minor,Black-faced Barbet,blbbar1,648874205,FALSE,Barbaças-pequeno,Barbaças de Levaillant,Barbaças-pequeno,barbaças-de-dorso-preto
Pogonornis macclounii,White-faced Barbet,,,FALSE,Barbaças-pequeno,Barbaças-pequeno,Barbaças-pequeno,barbaças-de-dorso-preto
Pogonornis bidentatus,Double-toothed Barbet,dotbar1,66052,FALSE,Barbaças-bidentado,Barbaças-bidentado,Barbaças-bidentado,Barbaças-bidentado
Pogonornis dubius,Bearded Barbet,beabar1,626651678,FALSE,Barbaças-de-peito-vermelho,Barbaças-de-peito-vermelho,Barbaças-de-peito-vermelho,barbaças-de-peito-vermelho
Pogonornis rolleti,Black-breasted Barbet,blbbar4,625365026,FALSE,Barbaças-de-peito-preto,Barbaças-de-peito-preto,Barbaças-de-peito-preto,barbaças-de-peito-preto
Trachylaemus goffini,Western Yellow-billed Barbet,yebbar1,203909911,FALSE,barbaças-de-bico-amarelo-ocidental,barbaças-de-bico-amarelo-ocidental,barbaças-de-bico-amarelo-ocidental,barbaças-de-bico-amarelo-ocidental
Trachylaemus togoensis,Togo Yellow-billed Barbet,,,FALSE,,,,
Trachylaemus purpuratus,Eastern Yellow-billed Barbet,yebbar5,65634,FALSE,,,,
CAPITONIDAE,New World Barbets,,,FALSE,,,Capitonidae sp.,capitão (capitonídeo) sp.
Capito aurovirens,Scarlet-crowned Barbet,sccbar1,29268,FALSE,Capitão-de-coroa,Capitão-de-coroa,capitão-de-coroa,capitão-de-coroa-escarlate
Capito dayi,Black-girdled Barbet,blgbar1,228212,FALSE,Capitão-de-cinta,Capitão-de-cinta,capitão-de-cinta,capitão-cintado
Capito maculicoronatus,Spot-crowned Barbet,spcbar1,614544427,FALSE,capitão-de-coroa-branca,capitão-de-coroa-branca,capitão-de-coroa-branca,capitão-de-coroa-branca
Capito squamatus,Orange-fronted Barbet,orfbar1,362665471,FALSE,capitão-de-fronte-laranja,capitão-de-fronte-laranja,capitão-de-fronte-laranja,capitão-de-testa-laranja
Capito hypoleucus,White-mantled Barbet,whmbar1,130928051,FALSE,capitão-de-dorso-branco,capitão-de-dorso-branco,capitão-de-dorso-branco,capitão-de-dorso-branco
Capito wallacei,Scarlet-belted Barbet,scbbar2,75719031,FALSE,,,,
Capito fitzpatricki,Sira Barbet,sirbar1,140685,FALSE,Capitão-de-sira,Capitão-de-sira,Capitão-de-sira,capitão-de-sira
Capito quinticolor,Five-colored Barbet,ficbar1,391248381,FALSE,capitão-multicolor,capitão-multicolor,capitão-multicolor,capitão-de-cinco-cores
Capito brunneipectus,Cinnamon-breasted Barbet,brcbar1,117150,FALSE,Capitão-de-peito-marrom,Capitão-de-peito-marrom,capitão-de-peito-marrom,Capitão-de-peito-castanho
Capito niger,Black-spotted Barbet,blsbar1,104273,FALSE,,,capitão-de-bigode-carijó,Capitão-de-garganta-pedrês
Capito auratus,Gilded Barbet,gilbar1,371648661,FALSE,Capitão-de-fronte-dourada,Capitão-de-fronte-dourada,capitão-de-fronte-dourada,capitão-dourado
Eubucco richardsoni,Lemon-throated Barbet,letbar1,203917771,FALSE,capitão-de-bigode-limão,capitão-de-bigode-limão,capitão-de-bigode-limão,capitão-de-garganta-limão
Eubucco aurantiicollis,Flame-throated Barbet,,,FALSE,,,capitão-de-bigode-limão (aurantiicollis/purusianus),capitão-de-garganta-limão (aurantiicollis/purusianus)
Eubucco tucinkae,Scarlet-hooded Barbet,schbar1,158990491,FALSE,Capitão-de-colar-amarelo,Capitão-de-colar-amarelo,capitão-de-colar-amarelo,capitão-de-capuz-vermelho
Eubucco bourcierii,Red-headed Barbet,rehbar1,250164,TRUE,Capitão-de-cabeça-vermelha,Capitão-de-cabeça-vermelha,Capitão-de-cabeça-vermelha,capitão-de-cabeça-vermelha
Eubucco steeri,Blue-cowled Barbet,,,FALSE,,,,
Eubucco glaucogularis,Blue-chinned Barbet,,,FALSE,,,,
Eubucco versicolor,Blue-moustached Barbet,verbar1,65810491,FALSE,capitão-variegado,capitão-variegado,capitão-variegado,capitão-multicolor
SEMNORNITHIDAE,Prong-billed Barbets,,,FALSE,,,,
Semnornis frantzii,Prong-billed Barbet,prbbar1,598962201,FALSE,capitão-cocora,capitão-cocora,capitão-cocora,capitão-de-bico-dentado
Semnornis ramphastinus,Toucan-barbet,toubar1,203941891,FALSE,Capitão-tucano,Capitão-tucano,Capitão-tucano,capitão-tucano
MEGALAIMIDAE,Asian Barbets,,,FALSE,,,,barbudo asiático (megalaimídeo) sp.
Calorhamphus hayii,Malay Brown Barbet,,,FALSE,barbichas-pardo,barbichas-pardo,barbichas-pardo,barbudo-castanho-malaio
Calorhamphus fuliginosus,Bornean Brown Barbet,,,FALSE,,,,
Psilopogon haemacephalus,Coppersmith Barbet,copbar1,117821721,TRUE,Barbudo-de-peito-vermelho,Barbudo-de-peito-vermelho,Barbudo-de-peito-vermelho,barbudo-latoeiro
Psilopogon rubricapillus,Sri Lanka Barbet,crfbar3,203964461,FALSE,,,,
Psilopogon malabaricus,Malabar Barbet,crfbar1,203951771,FALSE,barbichas-do-malabar,barbichas-do-malabar,barbichas-do-malabar,barbudo-malabar
Psilopogon cyanotis,Blue-eared Barbet,buebar1,113654,FALSE,barbichas-de-orelha-azul,barbichas-de-orelha-azul,barbichas-de-orelha-azul,barbichas-de-orelha-azul
Psilopogon duvaucelii,Black-eared Barbet,buebar2,20718781,FALSE,,,,
Psilopogon australis,Yellow-eared Barbet,litbar1,20251531,FALSE,,,,
Psilopogon eximius,Bornean Barbet,borbar1,129412,FALSE,barbichas-de-garganta-preta,barbichas-de-garganta-preta,barbichas-de-garganta-preta,barbudo-do-bornéu
Psilopogon lagrandieri,Red-vented Barbet,revbar1,203959851,FALSE,barbichas-de-crisso-vermelho,barbichas-de-crisso-vermelho,barbichas-de-crisso-vermelho,barbudo-de-crisso-vermelho
Psilopogon virens,Great Barbet,grebar1,204024791,FALSE,barbichas-grande,barbichas-grande,barbichas-grande,barbudo-grande
Psilopogon pyrolophus,Fire-tufted Barbet,fitbar1,99591741,FALSE,barbichas-bico-de-fogo,barbichas-bico-de-fogo,barbichas-bico-de-fogo,barbudo-incandescente
Psilopogon mystacophanos,Red-throated Barbet,retbar1,203998281,FALSE,barbichas-de-garganta-vermelha,barbichas-de-garganta-vermelha,barbichas-de-garganta-vermelha,barbudo-de-garganta-vermelha
Psilopogon javensis,Black-banded Barbet,blbbar2,175925,FALSE,barbichas-de-colar-preto,barbichas-de-colar-preto,barbichas-de-colar-preto,barbudo-de-faces-pretas
Psilopogon rafflesii,Red-crowned Barbet,recbar1,246348091,FALSE,barbichas-de-coroa-vermelha,barbichas-de-coroa-vermelha,barbichas-de-coroa-vermelha,barbudo-de-coroa-vermelha
Psilopogon armillaris,Flame-fronted Barbet,flfbar1,69777571,FALSE,barbichas-de-fronte-dourada,barbichas-de-fronte-dourada,barbichas-de-fronte-dourada,barbudo-de-coroa-azul
Psilopogon henrichii,Yellow-crowned Barbet,yecbar1,33192,FALSE,,,,
Psilopogon pulcherrimus,Golden-naped Barbet,gonbar1,203957021,FALSE,barbichas-de-nuca-dourada,barbichas-de-nuca-dourada,barbichas-de-nuca-dourada,barbudo-de-nuca-dourada
Psilopogon faiostrictus,Green-eared Barbet,grebar3,204011181,FALSE,barbichas-de-orelha-verde,barbichas-de-orelha-verde,barbichas-de-orelha-verde,barbudo-de-faces-verdes
Psilopogon lineatus,Lineated Barbet,linbar1,111581,FALSE,barbichas-raiado,barbichas-raiado,barbichas-raiado,barbudo-listado
Psilopogon zeylanicus,Brown-headed Barbet,brhbar1,203951871,FALSE,,,,barbudo-listado/barbudo-de-cabeça-castanha
Psilopogon viridis,White-cheeked Barbet,whcbar1,121134701,FALSE,barbichas-de-faces-brancas,barbichas-de-faces-brancas,barbichas-de-faces-brancas,barbudo-de-faces-brancas
Psilopogon flavifrons,Yellow-fronted Barbet,yefbar1,293572971,FALSE,barbichas-de-fronte-amarela,barbichas-de-fronte-amarela,barbichas-de-fronte-amarela,barbudo-de-testa-amarela
Psilopogon franklinii,Golden-throated Barbet,gotbar2,315311971,FALSE,,,,
Psilopogon auricularis,Necklaced Barbet,gotbar3,550989371,FALSE,barbichas-de-laço,barbichas-de-laço,barbichas-de-laço,barbudo-adornado
Psilopogon corvinus,Brown-throated Barbet,brtbar1,33539,FALSE,barbichas-de-garganta-castanha,barbichas-de-garganta-castanha,barbichas-de-garganta-castanha,barbudo-de-garganta-castanha
Psilopogon chrysopogon,Gold-whiskered Barbet,gowbar2,203998201,FALSE,barbichas-de-bochecha-amarela,barbichas-de-bochecha-amarela,barbichas-de-bochecha-amarela,barbudo-de-faces-douradas
Psilopogon monticola,Mountain Barbet,moubar1,203940201,FALSE,barbichas-serrano,barbichas-serrano,barbichas-serrano,barbudo-montês
Psilopogon nuchalis,Taiwan Barbet,taibar2,154254461,FALSE,barbichas-da-formosa,barbichas-da-formosa,barbichas-da-formosa,barbudo-da-formosa
Psilopogon faber,Chinese Barbet,chibar1,224676491,FALSE,barbichas-chinês,barbichas-chinês,barbichas-chinês,barbudo-chinês
Psilopogon incognitus,Moustached Barbet,moubar2,613412876,FALSE,barbichas-de-bigode-preto,barbichas-de-bigode-preto,barbichas-de-bigode-preto,barbudo-de-bigodes-asiático
Psilopogon asiaticus,Blue-throated Barbet,bltbar2,203966521,FALSE,,,,
Psilopogon chersonesus,Turquoise-throated Barbet,tutbar1,610908211,FALSE,barbichas-de-kra,barbichas-de-kra,barbichas-de-kra,barbudo-de-garganta-turquesa
Psilopogon annamensis,Annam Barbet,indbar1,203917251,FALSE,barbichas-indochinês,barbichas-indochinês,barbichas-indochinês,barbudo-indochinês
Psilopogon oorti,Black-browed Barbet,blbbar5,323930731,FALSE,,,,
INDICATORIDAE,Honeyguides,,,FALSE,,,,
Prodotiscus insignis,Cassin's Honeybird,cashon1,,FALSE,indicador-de-cassin,Indicador-elegante de Cassin,indicador-de-cassin,indicador-de-cassin
Prodotiscus zambesiae,Green-backed Honeybird,grbhon2,615614024,FALSE,indicador-de-bico-fino,Indicador-elegante-de-dorso-verde,indicador-de-bico-fino,indicador-de-dorso-verde
Prodotiscus regulus,Brown-backed Honeybird,wahhon1,176710061,FALSE,indicador-de-bico-aguçado,Indicador-elegante de Wahlberg,indicador-de-bico-aguçado,indicador-de-dorso-castanho
Melignomon zenkeri,Zenker's Honeyguide,zenhon1,579591521,FALSE,indicador-oliváceo,indicador-oliváceo,indicador-oliváceo,indicador-de-zenker
Melignomon eisentrauti,Yellow-footed Honeyguide,yefhon2,203965161,FALSE,indicador-de-patas-amarelas,indicador-de-patas-amarelas,indicador-de-patas-amarelas,indicador-de-patas-amarelas
Indicator pumilio,Dwarf Honeyguide,dwahon1,203970611,FALSE,indicador-miudinho,indicador-miudinho,indicador-miudinho,indicador-anão
Indicator willcocksi,Willcocks's Honeyguide,wilhon2,203961471,FALSE,indicador-pequeno-de-rosto-liso,Indicador-elegante de Willcocks,indicador-pequeno-de-rosto-liso,indicador-de-willcocks
Indicator meliphilus,Pallid Honeyguide,palhon1,43586,FALSE,indicador-oriental,Indicador-pequeno-pálido,indicador-oriental,indicador-pálido
Indicator exilis,Least Honeyguide,leahon2,303079661,FALSE,,Indicador-pequeno-de-pinta-branca,,Indicador-minúsculo-da-floresta
Indicator minor,Lesser Honeyguide,y00400,56111,FALSE,Indicador pequeno,Indicador-pequeno-de-cabeça-cinzenta,Indicador pequeno,indicador-pequeno
I. m. conirostris,Thick-billed Honeyguide,,,FALSE,,,,
Indicator maculatus,Spotted Honeyguide,spohon2,101115,FALSE,indicador-malhado,Indicador-malhado-oliváceo,indicador-malhado,Indicador-malhado
Indicator variegatus,Scaly-throated Honeyguide,scthon1,72177,FALSE,indicador-de-peito-escamoso,Indicador-malhado-castanho,indicador-de-peito-escamoso,indicador-de-garganta-malhada
Indicator xanthonotus,Yellow-rumped Honeyguide,yerhon1,623313317,FALSE,indicador-de-dorso-amarelo,indicador-de-dorso-amarelo,indicador-de-dorso-amarelo,indicador-indiano
Indicator archipelagicus,Sunda Honeyguide,malhon1,6749,FALSE,indicador-malaio,indicador-malaio,indicador-malaio,indicador-malaio
Indicator indicator,Greater Honeyguide,grehon2,55972,FALSE,Indicador-grande,Indicador-grande,Indicador-grande,indicador-grande
Melichneutes robustus,Lyre-tailed Honeyguide,lython1,170968,FALSE,Indicador-de-cauda-lira,Indicador-de-cauda-lira,Indicador-de-cauda-lira,indicador-cauda-de-lira
PICIDAE,Woodpeckers,,,FALSE,,,,
LYBIIDAE,African Barbets,,,FALSE,,,,barbaças/barbadinho (libiídeo) sp.
Jynx torquilla,Eurasian Wryneck,eurwry,203489741,TRUE,Torcicolo,Torcicolo,Torcicolo,torcicolo-eurasiático
Jynx ruficollis,Rufous-necked Wryneck,runwry1,23101,FALSE,Torcicolo-de-garganta-castanha,Torcicolo-de-garganta-castanha,Torcicolo-de-garganta-castanha,torcicolo-de-garganta-vermelha
Verreauxia africana,African Piculet,afrpic1,203911781,FALSE,Pica-pau-pigmeu,Pica-pau-pigmeu,Pica-pau-pigmeu,pica-pau-pigmeu-africano
Sasia abnormis,Rufous Piculet,rufpic1,609062212,FALSE,picapauzinho-ruivo,picapauzinho-ruivo,picapauzinho-ruivo,pica-pau-pigmeu-ruivo
Sasia ochracea,White-browed Piculet,whbpic3,635388492,FALSE,picapauzinho-de-sobrancelha-branca,picapauzinho-de-sobrancelha-branca,picapauzinho-de-sobrancelha-branca,pica-pau-pigmeu-de-sobrancelha-branca
Picumnus innominatus,Speckled Piculet,spepic1,444385271,FALSE,Pica-pau-anão-maculado,Pica-pau-anão-maculado,Pica-pau-anão-maculado,picapauzinho-asiático
Picumnus aurifrons,Bar-breasted Piculet,babpic1,203699811,FALSE,picapauzinho-dourado,picapauzinho-dourado,picapauzinho-dourado,picapauzinho-amazónico
Picumnus pumilus,Orinoco Piculet,oripic1,31747421,FALSE,,,picapauzinho-do-orinoco,Pica-pau-anão-do-orinoco
Picumnus lafresnayi,Lafresnaye's Piculet,lafpic1,246083,FALSE,picapauzinho-do-amazonas,picapauzinho-do-amazonas,picapauzinho-do-amazonas,picapauzinho-de-lafresnaye
Picumnus exilis,Golden-spangled Piculet,gospic1,609101865,FALSE,,,picapauzinho-de-pintas-amarelas/ondulado/de-costas-pintadas/de-pernambuco,Pica-pau-anão-de-pintas-amarelas
Picumnus nigropunctatus,Black-spotted Piculet,,,FALSE,Pica-pau-anão-dourado,Pica-pau-anão-dourado,pica-pau-anão-de-pintas-amarelas,Pica-pau-anão-dourado
Picumnus sclateri,Ecuadorian Piculet,ecupic1,245643,FALSE,picapauzinho-equatoriano,picapauzinho-equatoriano,picapauzinho-equatoriano,picapauzinho-equatoriano
Picumnus squamulatus,Scaled Piculet,scapic1,370468901,FALSE,,,,
Picumnus spilogaster,White-bellied Piculet,whbpic2,388730281,FALSE,picapauzinho-de-pescoço-branco,picapauzinho-de-pescoço-branco,picapauzinho-de-pescoço-branco,picapauzinho-de-barriga-branca
Picumnus minutissimus,Arrowhead Piculet,arrpic1,306297641,FALSE,,,,
Picumnus pygmaeus,Spotted Piculet,spopic1,520050751,FALSE,picapauzinho-pintado,picapauzinho-pintado,picapauzinho-pintado,picapauzinho-pintalgado
Picumnus steindachneri,Speckle-chested Piculet,spcpic1,108006371,FALSE,picapauzinho-perlado,picapauzinho-perlado,picapauzinho-perlado,picapauzinho-do-huallaga
Picumnus varzeae,Varzea Piculet,varpic1,608502678,FALSE,picapauzinho-da-várzea,picapauzinho-da-várzea,picapauzinho-da-várzea,picapauzinho-da-várzea
Picumnus cirratus,White-barred Piculet,whbpic1,297304631,FALSE,,,picapauzinho-barrado,Pica-pau-anão-barrado
Picumnus dorbignianus,Ocellated Piculet,ocepic2,110599,FALSE,,,,
Picumnus temminckii,Ochre-collared Piculet,occpic1,368461021,FALSE,picapauzinho-de-coleira,picapauzinho-de-coleira,picapauzinho-de-coleira,picapauzinho-de-faces-ocres
Picumnus albosquamatus,White-wedged Piculet,whwpic1,610450226,FALSE,picapauzinho-escamoso,picapauzinho-escamoso,picapauzinho-escamoso,picapauzinho-de-escamas-brancas
Picumnus fuscus,Rusty-necked Piculet,runpic1,397513171,FALSE,picapauzinho-fusco,picapauzinho-fusco,picapauzinho-fusco,picapauzinho-de-faces-castanhas
Picumnus rufiventris,Rufous-breasted Piculet,rubpic1,31738441,FALSE,picapauzinho-vermelho,picapauzinho-vermelho,picapauzinho-vermelho,picapauzinho-ruivo
Picumnus fulvescens,Tawny Piculet,,,FALSE,,,,
Picumnus limae,Ochraceous Piculet,ochpic1,511169401,FALSE,picapauzinho-da-caatinga,picapauzinho-da-caatinga,picapauzinho-da-caatinga,picapauzinho-cearense
Picumnus nebulosus,Mottled Piculet,motpic1,552812371,FALSE,picapauzinho-carijó,picapauzinho-carijó,picapauzinho-carijó,picapauzinho-meridional
Picumnus castelnau,Plain-breasted Piculet,plbpic1,525730181,FALSE,,,picapauzinho-creme,Pica-pau-anão-creme
