Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,es,es_ar,es_cr,es_ec,es_es,es_mx,es_pa,es_pe,es_ve
†Alopochen kervazoi,Reunion Shelduck,reushe1,,FALSE,,,,,,,,,
Tadorna tadorna,Common Shelduck,comshe,352713301,FALSE,Tarro Blanco,Tarro Blanco,Tarro Blanco,Tarro Blanco,Tarro Blanco,Tarro Blanco,Tarro Blanco,Tarro Blanco,Tarro Blanco
Tadorna ferruginea,Ruddy Shelduck,rudshe,305780351,TRUE,Tarro Canelo,Tarro Canelo,Tarro Canelo,Tarro Canelo,Tarro Canelo,Tarro Canelo,Tarro Canelo,Tarro Canelo,Tarro Canelo
Tadorna cana,South African Shelduck,soashe1,278275,FALSE,Tarro Sudafricano,Tarro Sudafricano,Tarro Sudafricano,Tarro Sudafricano,Tarro Sudafricano,Tarro Sudafricano,Tarro Sudafricano,Tarro Sudafricano,Tarro Sudafricano
Tadorna tadornoides,Australian Shelduck,ausshe1,345070411,TRUE,Tarro Australiano,Tarro Australiano,Tarro Australiano,Tarro Australiano,Tarro Australiano,Tarro Australiano,Tarro Australiano,Tarro Australiano,Tarro Australiano
Tadorna variegata,Paradise Shelduck,parshe1,4130,TRUE,Tarro Maorí,Tarro Maorí,Tarro Maorí,Tarro Maorí,Tarro Maorí,Tarro Maorí,Tarro Maorí,Tarro Maorí,Tarro Maorí
Tadorna cristata,Crested Shelduck,creshe1,,FALSE,Tarro crestado,Tarro crestado,Tarro crestado,Tarro crestado,Tarro Crestado,Tarro crestado,Tarro crestado,Tarro crestado,Tarro crestado
Plectropterus gambensis,Spur-winged Goose,spwgoo1,206409541,FALSE,Ganso Espolonado,Ganso Espolonado,Ganso Espolonado,Ganso Espolonado,Ganso Espolonado,Ganso Espolonado,Ganso Espolonado,Ganso Espolonado,Ganso Espolonado
Cairina moschata,Muscovy Duck,musduc,92475411,TRUE,Pato Criollo,Pato Real,Pato Real,Pato Real (Pato Machacón),Pato Criollo,Pato Real,Pato Real,Pato Criollo,Pato Real
Sarkidiornis sylvicola,American Comb Duck,comduc3,,FALSE,Pato crestudo americano,Pato Crestudo,Pato Crestudo,Pato Crestudo,Pato crestudo americano,Pato crestudo americano,Pato Crestudo,Pato Crestudo Americano,Pato de Monte
Sarkidiornis melanotos,African Comb Duck,comduc2,377764471,FALSE,Pato Crestudo Afroasiático,Pato Crestudo Afroasiático,Pato Crestudo Afroasiático,Pato Crestudo Afroasiático,Pato crestudo afroasiático,Pato Crestudo Afroasiático,Pato Crestudo Afroasiático,Pato Crestudo Afroasiático,Pato Crestudo Afroasiático
Nettapus auritus,African Pygmy-goose,afrpyg1,21635741,FALSE,Gansito Africano,Gansito Africano,Gansito Africano,Gansito Africano,Gansito Africano,Gansito Africano,Gansito Africano,Gansito Africano,Gansito Africano
Nettapus coromandelianus,Cotton Pygmy-goose,copgoo1,231240521,FALSE,Gansito Asiático,Gansito Asiático,Gansito Asiático,Gansito Asiático,Gansito Asiático,Gansito Asiático,Gansito Asiático,Gansito Asiático,Gansito Asiático
Nettapus pulchellus,Green Pygmy-goose,grnpyg1,614840111,TRUE,Gansito Australiano,Gansito Australiano,Gansito Australiano,Gansito Australiano,Gansito Australiano,Gansito Australiano,Gansito Australiano,Gansito Australiano,Gansito Australiano
Callonetta leucophrys,Ringed Teal,rintea1,203986511,FALSE,Pato Acollarado,Pato de Collar,Pato Acollarado,Cerceta Fajeada,Pato Acollarado,Pato Acollarado,Pato Acollarado,Pato Anillado,Pato Acollarado
Aix sponsa,Wood Duck,wooduc,179353,TRUE,Pato joyuyo,Pato joyuyo,Pato Joyuyo,Pato joyuyo,Pato Joyuyo,Pato Arcoíris,Pato joyuyo,Pato joyuyo,Pato joyuyo
Aix galericulata,Mandarin Duck,manduc,95630431,TRUE,Pato Mandarín,Pato Mandarín,Pato Mandarín,Pato Mandarín,Pato Mandarín,Pato Mandarín,Pato Mandarín,Pato Mandarín,Pato Mandarín
Chenonetta jubata,Maned Duck,manduc1,247785131,TRUE,Pato de Crin,Pato de Crin,Pato de Crin,Pato de Crin,Pato de Crin,Pato de Crin,Pato de Crin,Pato de Crin,Pato de Crin
†Chenonetta finschi,Finsch's Duck,finduc1,,FALSE,,,,,,,,,
Hymenolaimus malacorhynchos,Blue Duck,bluduc1,203922021,TRUE,Pato Azul,Pato Azul,Pato Azul,Pato Azul,Pato Azul,Pato Azul,Pato Azul,Pato Azul,Pato Azul
Merganetta armata,Torrent Duck,torduc1,620823428,FALSE,Pato Torrentero,Pato de Torrente,Pato Torrentero,Pato Torrentero,Pato Torrentero,Pato Torrentero,Pato Torrentero,Pato de los Torrentes,Pato de Torrentes
Pteronetta hartlaubii,Hartlaub's Duck,harduc1,632942906,FALSE,Pato de Hartlaub,Pato de Hartlaub,Pato de Hartlaub,Pato de Hartlaub,Pato de Hartlaub,Pato de Hartlaub,Pato de Hartlaub,Pato de Hartlaub,Pato de Hartlaub
Cyanochen cyanoptera,Blue-winged Goose,buwgoo1,204011591,FALSE,Ganso Aliazul,Ganso Aliazul,Ganso Aliazul,Ganso Aliazul,Ganso Aliazul,Ganso Aliazul,Ganso Aliazul,Ganso Aliazul,Ganso Aliazul
Marmaronetta angustirostris,Marbled Duck,martea1,542976871,FALSE,Cerceta Pardilla,Cerceta Pardilla,Cerceta Pardilla,Cerceta Pardilla,Cerceta Pardilla,Cerceta Pardilla,Cerceta Pardilla,Cerceta Pardilla,Cerceta Pardilla
Asacornis scutulata,White-winged Wood Duck,,,FALSE,Pato de Jungla,Pato de Jungla,Pato de Jungla,Pato de Jungla,Pato de Jungla,Pato de Jungla,Pato de Jungla,Pato de Jungla,Pato de Jungla
Netta rufina,Red-crested Pochard,recpoc,588459801,FALSE,Pato Colorado,Pato Colorado,Pato Colorado,Pato Colorado,Pato Colorado,Pato Colorado,Pato Colorado,Red-crested Pochard,Pato Colorado
Netta peposaca,Rosy-billed Pochard,robpoc1,203988301,FALSE,Pato Picazo,Pato Picazo,Pato Picazo,Pato Picazo,Pato Picazo,Pato Picazo,Pato Picazo,Pato Picazo,Pato Picazo
Netta erythrophthalma,Southern Pochard,soupoc1,608850905,FALSE,Pato Morado,Pato Castaño,Pato Morado,Porrón Sureño,Pato Morado,Pato Morado,Pato Morado,Pato Morado,Pato Negro
Aythya ferina,Common Pochard,compoc,62513831,FALSE,Porrón Europeo,Porrón Europeo,Porrón Europeo,Porrón Europeo,Porrón Europeo,Porrón Europeo,Porrón Europeo,Porrón Europeo,Porrón Europeo
Aythya americana,Redhead,redhea,139672,FALSE,Porrón Americano,Porrón Americano,Porrón Americano,Porrón Americano,Porrón Americano,Pato Cabeza Roja,Porrón Americano,Porrón Americano,Porrón Americano
Aythya valisineria,Canvasback,canvas,618280036,TRUE,Porrón coacoxtle,Porrón coacoxtle,Porrón Picudo,Porrón coacoxtle,Porrón Coacoxtle,Pato Coacoxtle,Porrón coacoxtle,Porrón coacoxtle,Porrón coacoxtle
Aythya australis,Hardhead,wheduc1,283721771,FALSE,Porrón Australiano,Porrón Australiano,Porrón Australiano,Porrón Australiano,Porrón Australiano,Porrón Australiano,Porrón Australiano,Porrón Australiano,Porrón Australiano
Aythya innotata,Madagascar Pochard,madpoc1,501097871,FALSE,Porrón Malgache,Porrón Malgache,Porrón Malgache,Porrón Malgache,Porrón Malgache,Porrón Malgache,Porrón Malgache,Porrón Malgache,Porrón Malgache
Aythya baeri,Baer's Pochard,baepoc1,,FALSE,Porrón de Baer,Porrón de Baer,Porrón de Baer,Porrón de Baer,Porrón de Baer,Porrón de Baer,Porrón de Baer,Porrón de Baer,Porrón de Baer
Aythya nyroca,Ferruginous Duck,ferduc,91252571,FALSE,Porrón Pardo,Porrón Pardo,Porrón Pardo,Porrón Pardo,Porrón Pardo,Porrón Pardo,Porrón Pardo,Porrón Pardo,Porrón Pardo
Aythya novaeseelandiae,New Zealand Scaup,nezsca1,3536,TRUE,Porrón Maorí,Porrón Maorí,Porrón Maorí,Porrón Maorí,Porrón Maorí,Porrón Maorí,Porrón Maorí,Porrón Maorí,Porrón Maorí
Aythya collaris,Ring-necked Duck,rinduc,465097181,FALSE,Porrón Acollarado,Porrón Acollarado,Porrón Collarejo,Porrón Piquianillado,Porrón Acollarado,Pato Pico Anillado,Pato Collarejo,Porrón Acollarado,Pato Zambullidor de Collar
Aythya fuligula,Tufted Duck,tufduc,59185381,FALSE,Porrón Moñudo,Porrón Moñudo,Porrón Moñudo,Porrón Moñudo,Porrón Moñudo,Porrón Moñudo,Porrón Moñudo,Porrón Moñudo,Porrón Moñudo
Aythya marila,Greater Scaup,gresca,137825,TRUE,Porrón Bastardo,Porrón Bastardo,Porrón Mayor,Porrón Bastardo,Porrón Bastardo,Pato Boludo Mayor,Porrón Bastardo,Porrón Bastardo,Porrón Bastardo
Aythya affinis,Lesser Scaup,lessca,634383986,FALSE,Porrón Bola,Porrón Bola,Porrón Menor,Porrón Menor,Porrón Bola,Pato Boludo Menor,Porrón Menor,Porrón Bola,Pato Zambullidor del Norte
Rhodonessa caryophyllacea,Pink-headed Duck,pihduc1,,FALSE,Pato cabecirrosado,Pato cabecirrosado,Pato cabecirrosado,Pato cabecirrosado,Pato Cabecirrosado,Pato cabecirrosado,Pato cabecirrosado,Pato cabecirrosado,Pato cabecirrosado
Salvadorina waigiuensis,Salvadori's Teal,saltea1,203917821,FALSE,Ánade de Papúa,Ánade de Papúa,Ánade de Papúa,Ánade de Papúa,Ánade de Papúa,Ánade de Papúa,Ánade de Papúa,Ánade de Papúa,Ánade de Papúa
Tachyeres patachonicus,Flying Steamerduck,flystd1,22615781,FALSE,Quetro Volador,Quetro Volador,Quetro Volador,Quetro Volador,Quetro Volador,Quetro Volador,Quetro Volador,Quetro Volador,Quetro Volador
Tachyeres leucocephalus,White-headed Steamerduck,whhstd1,203959981,FALSE,Quetro Cabeciblanco,Quetro Cabeza Blanca,Quetro Cabeciblanco,Quetro Cabeciblanco,Quetro Cabeciblanco,Quetro Cabeciblanco,Quetro Cabeciblanco,Quetro Cabeciblanco,Quetro Cabeciblanco
Tachyeres pteneres,Magellanic Steamerduck,flistd1,203963491,FALSE,Quetro Austral,Quetro Austral,Quetro Austral,Quetro Austral,Quetro austral,Quetro Austral,Quetro Austral,Quetro Austral,Quetro Austral
Tachyeres brachypterus,Falkland Steamerduck,falstd1,21809931,FALSE,Quetro de Malvinas,Quetro Malvinero,Quetro de Malvinas,Quetro de Malvinas,Quetro de Malvinas,Quetro de Malvinas,Quetro de Malvinas,Quetro de Malvinas,Quetro de Malvinas
Lophonetta specularioides,Crested Duck,creduc1,203969711,FALSE,Ánade juarjal,Pato Crestón,Ánade juarjal,Ánade juarjal,Ánade Juarjal,Ánade juarjal,Ánade juarjal,Pato Crestón,Ánade juarjal
Speculanas specularis,Spectacled Duck,speduc2,124451131,FALSE,Ánade anteojillo,Pato de Anteojos,Ánade anteojillo,Ánade anteojillo,Ánade Anteojillo,Ánade anteojillo,Ánade anteojillo,Ánade anteojillo,Ánade anteojillo
Amazonetta brasiliensis,Brazilian Teal,bratea1,468674531,TRUE,Pato Brasileño,Pato Cutirí,Pato Brasileño,Cerceta Brasileña,Pato Brasileño,Pato Brasileño,Pato Brasileño,Pato Brasileño,Pato Brasileño
Spatula querquedula,Garganey,gargan,617507448,FALSE,Cerceta Carretona,Cerceta Carretona,Cerceta Carretona,Cerceta Carretona,Cerceta Carretona,Cerceta Cejas Blancas,Cerceta Carretona,Cerceta Carretona,Cerceta Carretona
Spatula hottentota,Hottentot Teal,hottea1,97425,FALSE,Cerceta Joi,Cerceta Joi,Cerceta Joi,Cerceta Joi,Cerceta joi,Cerceta Joi,Cerceta Joi,Cerceta Joi,Cerceta Joi
Spatula puna,Puna Teal,puntea1,613597026,FALSE,Cerceta de la Puna,Pato Puneño,Cerceta de la Puna,Cerceta de la Puna,Cerceta de La Puna,Cerceta de la Puna,Cerceta de la Puna,Pato de la Puna,Cerceta de la Puna
Spatula versicolor,Silver Teal,siltea1,373643011,FALSE,Cerceta Capuchina,Pato Capuchino,Cerceta Capuchina,Cerceta Capuchina,Cerceta capuchina,Cerceta Capuchina,Cerceta Capuchina,Cerceta Capuchina,Cerceta Capuchina
Spatula platalea,Red Shoveler,redsho1,625193904,FALSE,Cuchara Argentino,Pato Cuchara,Cuchara Argentino,Cuchara Argentino,Cuchara Argentino,Cuchara Argentino,Cuchara Argentino,Pato Cuchara Rojizo,Pato Cuchareta Rojo
