Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,sr
Ninox hypogramma,Halmahera Boobook,molhao3,204013211,FALSE,Halmaherski bubuk
Ninox hantu,Buru Boobook,hanboo1,218102491,FALSE,Bubuk sa ostrva Buru
Ninox squamipila,Seram Boobook,hanboo2,616288091,FALSE,Seramski bubuk
Ninox forbesi,Tanimbar Boobook,molhao2,629527716,FALSE,Bubuk sa Tanimbarskih ostrva
Ninox natalis,Christmas Boobook,chihao1,640647491,FALSE,Bubuk sa Božićnog ostrva
Ninox meeki,Manus Boobook,manhao1,650740370,FALSE,Manuski bubuk
Ninox theomacha,Jungle Boobook,junhao1,203898451,FALSE,Papuanski bubuk
Ninox punctulata,Speckled Boobook,spehao1,203990211,FALSE,Pirgavi bubuk
Ninox odiosa,New Britain Boobook,nebhao1,591948871,FALSE,Bubuk sa ostrva Nova Britanija
Ninox variegata,Bismarck Boobook,bishao1,651259877,FALSE,Bubuk sa arhipelaga Bizmark
Ninox jacquinoti,West Solomons Boobook,,,FALSE,
Ninox granti,Guadalcanal Boobook,,,FALSE,Gvadalkanalska kukumavka
Ninox malaitae,Malaita Boobook,,,FALSE,Malajtanska kukumavka
Ninox roseoaxillaris,Makira Boobook,,,FALSE,Kukumavka sa ostrva San Kristobal
Uroglaux dimorpha,Papuan Boobook,paphao1,641973494,FALSE,Papuanska sova
†Sceloglaux albifacies,Laughing Owl,lauowl1,,FALSE,
†Mascarenotus grucheti,Reunion Owl,,,FALSE,
†Mascarenotus murivorus,Rodrigues Owl,,,FALSE,
†Mascarenotus sauzieri,Maurutius Owl,,,FALSE,
Surnia ulula,Northern Hawk-owl,nohowl,432200831,FALSE,Jastrebača
Glaucidium passerinum,Eurasian Pygmy-owl,eupowl1,59173671,FALSE,Mala sova
Glaucidium brodiei,Collared Owlet,colowl1,207901771,FALSE,
Glaucidium perlatum,Pearl-spotted Owlet,pesowl1,90736801,FALSE,Biserna mala sova
Glaucidium tephronotum,Red-chested Owlet,recowl1,631745594,FALSE,Crvenogruda mala sova
Glaucidium sjostedti,Sjostedt's Owlet,sjoowl1,541041421,FALSE,Belogrla mala sova
Glaucidium cuculoides,Asian Barred Owlet,asbowl1,637497312,FALSE,Azijska mala sova
Glaucidium castanopterum,Javan Owlet,javowl1,623307117,FALSE,Javanska mala sova
Glaucidium radiatum,Jungle Owlet,junowl1,301074831,FALSE,Indijska mala sova
Glaucidium castanonotum,Chestnut-backed Owlet,chbowl1,203990561,FALSE,Kestenjastoleđa mala sova
Glaucidium capense,African Barred Owlet,afbowl1,203909851,FALSE,Afrička mala sova
Glaucidium castaneum,Chestnut Owlet,,,FALSE,
Glaucidium albertinum,Albertine Owlet,albowl1,,FALSE,Mala sova iz Rasedne doline
STERCORARIIDAE,Skuas,,,FALSE,
Stercorarius longicaudus,Long-tailed Jaeger,lotjae,132205,FALSE,Dugorepi pomornik
Stercorarius parasiticus,Arctic Jaeger,parjae,356272971,FALSE,Kratkorepi pomornik
Stercorarius pomarinus,Pomarine Jaeger,pomjae,105353121,FALSE,Vitorepi pomornik
Catharacta skua,Great Skua,gresku1,167766071,FALSE,
Catharacta maccormicki,South Polar Skua,sopsku1,253538851,FALSE,Južnoatlantski pomornik
Catharacta antarctica,Brown Skua,brnsku3,203972051,FALSE,Smeđi pomornik
Catharacta chilensis,Chilean Skua,chisku1,203960131,FALSE,Čileanski pomornik
ALCIDAE,Auks,,,FALSE,
Cerorhinca monocerata,Rhinoceros Auklet,rhiauk,110904,TRUE,Nosorog njorčica
Fratercula cirrhata,Tufted Puffin,tufpuf,3863,TRUE,Ćubasti morski papagaj
Fratercula arctica,Atlantic Puffin,atlpuf,167748861,TRUE,Morski papagaj
Fratercula corniculata,Horned Puffin,horpuf,617448290,FALSE,Rogati morski papagaj
Ptychoramphus aleuticus,Cassin's Auklet,casauk,407552491,FALSE,Kasinova njorčica
Aethia psittacula,Parakeet Auklet,parauk,132055,FALSE,Papagajska njorčica
Aethia pusilla,Least Auklet,leaauk,284900151,FALSE,Patuljasta njorčica
Aethia pygmaea,Whiskered Auklet,whiauk,133048,FALSE,Brkata njorčica
Aethia cristatella,Crested Auklet,creauk,203956601,FALSE,Ćubasta njorčica
Brachyramphus perdix,Long-billed Murrelet,lobmur,,FALSE,Dugokljuna njorčica
Brachyramphus marmoratus,Marbled Murrelet,marmur,74561791,FALSE,Mramorasta njorčica
Brachyramphus brevirostris,Kittlitz's Murrelet,kitmur,72779,FALSE,Kratkokljuna njorčica
Cepphus grylle,Black Guillemot,blkgui,620762410,FALSE,Crna njorka/golubasta njorka
Cepphus columba,Pigeon Guillemot,piggui,633262907,FALSE,Golubasta njorka
Cepphus carbo,Spectacled Guillemot,spegui1,,FALSE,Naočarasta njorčica
Synthliboramphus antiquus,Ancient Murrelet,ancmur,250896271,FALSE,Drevna njorčica
Synthliboramphus wumizusume,Japanese Murrelet,japmur1,635079400,FALSE,Japanska njorčica
Synthliboramphus scrippsi,Scripps's Murrelet,xanmur2,552937611,FALSE,Skripsova njorčica
Synthliboramphus hypoleucus,Guadalupe Murrelet,xanmur1,588795931,FALSE,Skripsova njorčica/gvadalupska njorčica
Synthliboramphus craveri,Craveri's Murrelet,cramur,297757331,FALSE,Kraverijeva njorčica
Alca torda,Razorbill,razorb,621601678,FALSE,Oštrokljuna njorka
†Pinguinus impennis,Great Auk,greauk,,FALSE,
Alle alle,Little Auk,doveki,629733713,TRUE,Mala njorka
Uria lomvia,Thick-billed Murre,thbmur,278950301,FALSE,Debelokljuna njorka
Uria aalge,Common Murre,commur,245917551,TRUE,Tankokljuna njorka/debelokljuna njorka
STRIGIFORMES,owl sp.,owl1,45172511,FALSE,
TYTONIDAE,Barn-owls,,,FALSE,
Phodilus badius,Oriental Bay-owl,orbowl1,504788831,TRUE,Orijentalna zalivska kukuvija
Phodilus assimilis,Sri Lanka Bay-owl,srlbao1,213323641,FALSE,Cejlonska zalivska kukuvija
Glaucidium gnoma,Mountain Pygmy-owl,nopowl,226578011,FALSE,Američka mala sova
Glaucidium californicum,Northern Pygmy-owl,nopowl,226578011,FALSE,
Glaucidium cobanense,Guatemalan Pygmy-owl,,,FALSE,Američka mala sova (cobanense)
Glaucidium hoskinsii,Baja Pygmy-owl,,,FALSE,Američka mala sova (hoskinsii)
Glaucidium costaricanum,Costa Rican Pygmy-owl,crpowl,423565281,FALSE,Kostarikanska mala sova
Glaucidium nubicola,Cloudforest Pygmy-owl,clopyo1,170840451,FALSE,Mala sova iz oblačne šume
Glaucidium jardinii,Andean Pygmy-owl,anpowl1,194846851,FALSE,Andska mala sova
Glaucidium bolivianum,Yungas Pygmy-owl,yupowl1,500913701,FALSE,Bolivijska mala sova
Glaucidium palmarum,Colima Pygmy-owl,copowl1,645690910,FALSE,Mala sova iz Kolime
Glaucidium sanchezi,Tamaulipas Pygmy-owl,tapowl1,216568,FALSE,Mala sova iz Tamaulipasa
Glaucidium griseiceps,Central American Pygmy-owl,capowl1,374820851,FALSE,Centralnoamerička mala sova
Glaucidium parkeri,Subtropical Pygmy-owl,supowl1,611269167,FALSE,Suptropska mala sova
Glaucidium hardyi,Amazonian Pygmy-owl,amapyo1,414515971,FALSE,Amazonska mala sova
Glaucidium minutissimum,Least Pygmy-owl,leapyo1,249931431,FALSE,Brazilska mala sova
Glaucidium mooreorum,Pernambuco Pygmy-owl,perpyo1,,FALSE,Pernambuška mala sova
Glaucidium brasilianum,Ferruginous Pygmy-owl,fepowl,204023561,TRUE,Rđasta mala sova
Glaucidium tucumanum,Tucuman Pygmy-owl,,,FALSE,
Glaucidium peruanum,Peruvian Pygmy-owl,pepowl1,391930151,FALSE,Peruanska mala sova
Glaucidium nana,Austral Pygmy-owl,aupowl1,306629301,FALSE,Južna mala sova
Glaucidium siju,Cuban Pygmy-owl,cupowl1,93011651,FALSE,Kubanska mala sova
Xenoglaux loweryi,Long-whiskered Owlet,lowowl1,31432141,FALSE,Zulufasta sovica
Micrathene whitneyi,Elf Owl,elfowl,105533,FALSE,Vilinska sovica
Athene cunicularia,Burrowing Owl,burowl,119479,TRUE,Sova jamarka
Athene brama,Spotted Owlet,spoowl1,203919451,FALSE,Pegava kukumavka
Athene noctua,Little Owl,litowl1,8351,TRUE,Kukumavka
A. n. glaux,Desert Little Owl,,,FALSE,
A. n. lilith,Desert Little Owl,,,FALSE,
Athene superciliaris,White-browed Owl,whbowl1,95261,FALSE,Kukumavka sa belom obrvom
Heteroglaux blewitti,Forest Owlet,forowl1,203909371,TRUE,Šumska kukumavka
Aegolius funereus,Boreal Owl,borowl,8338,FALSE,Gaćasta kukumavka
A. f. richardsoni,Boreal Owl,borowl,8338,FALSE,
†Aegolius gradyi,Bermuda Saw-whet Owl,bswowl1,,FALSE,
Aegolius acadicus,Northern Saw-whet Owl,nswowl,125346,TRUE,Severnoamerička gaćasta kukumavka
Aegolius ridgwayi,Unspotted Saw-whet Owl,uswowl1,497850211,FALSE,Jednobojna gaćasta kukumavka
Aegolius harrisii,Buff-fronted Owl,bufowl1,448969071,FALSE,Žutočela gaćasta kukumavka
Otus sagittatus,White-fronted Scops-owl,wfsowl2,203913541,FALSE,Beločeli ćuk
Otus rufescens,Reddish Scops-owl,resowl1,549344441,FALSE,Crvenkasti ćuk
Otus thilohoffmanni,Serendib Scops-owl,sersco1,282073,FALSE,Cejlonski ćuk
Otus icterorhynchus,Sandy Scops-owl,sasowl1,310464,FALSE,Žutokljuni ćuk
Otus ireneae,Sokoke Scops-owl,sosowl1,625985747,FALSE,Sokoke ćuk
Otus gurneyi,Giant Scops-owl,mineao1,18503,FALSE,Veliki ćuk
Otus semitorques,Japanese Scops-owl,jasowl1,204001501,FALSE,Japanski ćuk
Otus lettia,Collared Scops-owl,cosowl1,634810363,FALSE,Ogrličasti ćuk
Otus lempiji,Sunda Scops-owl,susowl2,353407751,FALSE,Sundski ćuk
Otus bakkamoena,Indian Scops-owl,insowl1,486635611,FALSE,Indijski ćuk
Otus megalotis,Luzon Lowland Scops-owl,phsowl1,482002981,FALSE,Filipinski ćuk
Otus nigrorum,Visayan Scops-owl,negsco1,284723051,FALSE,Ćuk sa ostrva Negros
Otus everetti,Mindanao Lowland Scops-owl,evesco1,638970339,FALSE,Everetov ćuk
Otus fuliginosus,Palawan Scops-owl,pasowl2,29730981,FALSE,Palavanski ćuk
Otus mentawi,Mentawai Scops-owl,mesowl1,101909381,FALSE,Mentavajski ćuk
Otus silvicola,Wallace's Scops-owl,wasowl1,168582,FALSE,Volesov ćuk
Otus enganensis,Enggano Scops-owl,ensowl1,175561,FALSE,Ćuk sa ostrva Engano
Otus umbra,Simeulue Scops-owl,sisowl1,164184,FALSE,Ćuk sa ostrva Simeulue
Otus alius,Nicobar Scops-owl,nicsco1,185345491,FALSE,Nikobarski ćuk
Otus balli,Andaman Scops-owl,ansowl1,405569401,FALSE,Andamanski ćuk
Otus alfredi,Flores Scops-owl,flsowl1,203996761,FALSE,Floreski ćuk
Otus spilocephalus,Mountain Scops-owl,mosowl2,359321921,FALSE,Indonezijski planinski ćuk
Otus angelinae,Javan Scops-owl,jasowl2,189483991,FALSE,Javanski ćuk
Otus brookii,Rajah Scops-owl,rasowl1,175523,FALSE,Radžin ćuk
Otus pamelae,Arabian Scops-owl,arasco1,535731511,FALSE,Arapski ćuk
Otus pembaensis,Pemba Scops-owl,pesowl2,137401,FALSE,Ćuk sa ostrva Pemba
Otus senegalensis,African Scops-owl,afsowl1,53584,FALSE,Afrički ćuk
Otus feae,Annobon Scops-owl,,,FALSE,Afrički ćuk (feae)
Otus hartlaubi,Sao Tome Scops-owl,stsowl1,203963341,FALSE,Ćuk sa ostrva Sao Tome
Otus scops,Eurasian Scops-owl,eursco1,541814831,FALSE,Ćuk
O. s. cyprius,Cyprus Scops-owl,eursco3,465264171,FALSE,
Otus brucei,Pallid Scops-owl,pasowl3,425098581,FALSE,Pustinjski ćuk
Otus longicornis,Luzon Scops-owl,lusowl1,203976401,FALSE,Luzonski ćuk
Otus mirus,Mindanao Highland Scops-owl,misowl1,526851561,FALSE,Ćuk sa ostrva Mindanao
Otus mindorensis,Mindoro Scops-owl,misowl2,113554061,FALSE,Ćuk sa ostrva Mindoro
Otus rutilus,Madagascar Scops-owl,madsco1,203448241,FALSE,Madagaskarski ćuk
Otus mayottensis,Mayotte Scops-owl,maysco1,,FALSE,Majotski ćuk
Otus capnodes,Anjouan Scops-owl,ansowl2,203979021,FALSE,Anžuanski ćuk
Otus pauliani,Grand Comoro Scops-owl,cosowl3,287187521,FALSE,Komorski ćuk
Otus moheliensis,Moheli Scops-owl,mohsco1,475229971,FALSE,Moheli ćuk
Otus socotranus,Socotra Scops-owl,afrsco2,625121284,FALSE,Ćuk sa Sokotre
Otus insularis,Seychelles Scops-owl,sesowl1,622585470,FALSE,Sejšelski ćuk
Otus sunia,Oriental Scops-owl,orsowl,630681203,FALSE,Orijentalni ćuk
Otus elegans,Ryukyu Scops-owl,ryusco1,203899261,FALSE,Ćuk sa arhipelaga Rjukju
Otus siaoensis,Siau Scops-owl,sulsco2,,FALSE,Siau ćuk
Otus manadensis,Sulawesi Scops-owl,susowl1,203909211,FALSE,Sulaveški ćuk
Otus mendeni,Banggai Scops-owl,sulsco5,203903211,FALSE,Ćuk sa Bangaija
Otus sulaensis,Sula Scops-owl,sulsco3,203903041,FALSE,Ćuk sa ostrva Sula
Otus collari,Sangihe Scops-owl,sansco1,175407031,FALSE,Ćuk  sa arhipelaga Sangihe
Otus mantananensis,Mantanani Scops-owl,masowl2,633422448,FALSE,Mantananski ćuk
Otus magicus,Moluccan Scops-owl,mosowl1,203996771,FALSE,Molučki ćuk
Otus jolandae,Rinjani Scops-owl,rinsco1,202582,FALSE,Jolandin ćuk
Otus tempestatis,Wetar Scops-owl,molsco2,203921661,FALSE,Ćuk sa ostrva Vetar
Otus beccarii,Biak Scops-owl,biasco1,203997151,FALSE,Biački ćuk
Pyrroglaux podarginus,Palau Owl,,,FALSE,Sova sa ostrva Palau
Ptilopsis leucotis,Northern White-faced Owl,nwfowl1,643593096,FALSE,Severna belolika sova
Ptilopsis granti,Southern White-faced Owl,swfowl1,545705171,FALSE,Severna belolika sova
Asio stygius,Stygian Owl,styowl1,141785331,FALSE,Stigijska sova
Asio otus,Northern Long-eared Owl,loeowl,49057,FALSE,Utina
Asio abyssinicus,African Long-eared Owl,aleowl1,,FALSE,Afrička utina
Asio madagascariensis,Madagascar Long-eared Owl,mleowl1,331614611,FALSE,Madagaskarska utina
Asio clamator,Striped Owl,strowl1,457235371,FALSE,Prugasta sova
Asio flammeus,Short-eared Owl,sheowl,198229341,FALSE,ritska sova
Asio capensis,Marsh Owl,marowl2,214791831,FALSE,Afrička ritska sova
Pseudoscops grammicus,Jamaican Owl,jamowl1,629042505,FALSE,Jamajkanska sova
Nesasio solomonensis,Fearful Owl,feaowl1,,FALSE,Sova sa Solomonskih ostrva
Psiloscops flammeolus,Flammulated Owl,flaowl,340633911,FALSE,Plameni ćuk
Megascops kennicottii,Western Screech-owl,wesowl1,632812368,TRUE,Zapadni američki ćuk
Megascops seductus,Balsas Screech-owl,basowl,385692971,FALSE,Smeđooki meksički ćuk
Megascops cooperi,Pacific Screech-owl,pasowl4,106775411,FALSE,Pacifički ćuk
Megascops asio,Eastern Screech-owl,easowl1,168804731,TRUE,Istočni američki ćuk
Megascops trichopsis,Whiskered Screech-owl,whsowl1,97811691,FALSE,Brkati američki ćuk
Megascops choliba,Tropical Screech-owl,trsowl,278666921,FALSE,Tropski američki ćuk
Megascops roboratus,Peruvian Screech-owl,persco1,104749951,FALSE,Peruanski američki ćuk
Megascops koepckeae,Koepcke's Screech-owl,koesco1,203889381,FALSE,Andski ćuk
Megascops clarkii,Bare-shanked Screech-owl,bssowl,298268241,FALSE,Golonogi američki ćuk
Megascops barbarus,Bearded Screech-owl,besowl,144123381,FALSE,Bradati američki ćuk
Megascops colombianus,Colombian Screech-owl,,,FALSE,Kolumbijski američki ćuk
Megascops ingens,Rufescent Screech-owl,rufsco1,204022541,FALSE,Riđi ćuk
Megascops petersoni,Cinnamon Screech-owl,cinsco1,622190035,FALSE,Cimetasti američki ćuk
Megascops marshalli,Cloudforest Screech-owl,clfsco1,611500720,FALSE,Bolivijski ćuk
Megascops watsonii,Tawny-bellied Screech-owl,tabsco1,613872283,FALSE,Žutotrbi američki ćuk
Megascops guatemalae,Guatemalan Screech-owl,vesowl,174698701,FALSE,Gvatemalski ćuk
Megascops vermiculatus,Vermiculated Screech-owl,,,FALSE,
Megascops hoyi,Yungas Screech-owl,mofsco1,203701471,FALSE,Visokoplaninski ćuk
Megascops atricapilla,Black-capped Screech-owl,bkcsco1,203997001,FALSE,Crnokapi ćuk
Megascops sanctaecatarinae,Long-tufted Screech-owl,lotsco1,39217731,FALSE,Istočnobrazilski ćuk
Megascops nudipes,Puerto Rican Screech-owl,,,FALSE,Portorikanski američki ćuk
Megascops albogularis,White-throated Screech-owl,whtsco1,245137651,FALSE,Belogrli ćuk
Margarobyas lawrencii,Bare-legged Screech-owl,balowl,133237,FALSE,Golonoga sova
Pulsatrix perspicillata,Spectacled Owl,speowl1,4510,TRUE,Naočarasta sova
Pulsatrix koeniswaldiana,Tawny-browed Owl,tabowl1,115219791,FALSE,Žutoobrvasta sova
Pulsatrix melanota,Band-bellied Owl,babowl1,617300167,FALSE,Tamnotrba sova
Strix seloputo,Spotted Wood-owl,spwowl1,70648,FALSE,Pegava šumska sova
Strix ocellata,Mottled Wood-owl,mowowl1,352115881,FALSE,Mramorasta šumska sova
Strix leptogrammica,Brown Wood-owl,brwowl1,317116931,FALSE,Smeđa šumska sova
Strix aluco,Tawny Owl,tawowl1,243339011,TRUE,Šumska sova
S. a. mauritanica,Maghreb Tawny Owl,,,FALSE,
Strix nivicolum,Himalayan Owl,himowl1,146757731,FALSE,Himalajska šumska sova
Strix butleri,Hume's Owl,omaowl1,204013641,FALSE,Sinajska šumska sova
Strix omanensis,Omani Owl,omaowl1,204013641,FALSE,Sinajska šumska sova
Strix occidentalis,Spotted Owl,spoowl,274753161,TRUE,Pegava američka sova
Strix varia,Barred Owl,brdowl,93169341,TRUE,Prugasta američka sova
Strix fulvescens,Fulvous Owl,fulowl1,213476191,FALSE,Žuta sova
Strix hylophila,Rusty-barred Owl,rubowl2,203700461,FALSE,Riđopruga sova
Strix chacoensis,Chaco Owl,chaowl1,203963481,FALSE,Čakoanska sova
Strix rufipes,Rufous-legged Owl,rulowl1,31979111,FALSE,Riđonoga sova
Strix uralensis,Ural Owl,uraowl1,60712291,FALSE,Uralska sova
S. u. davidi,Sichuan Owl,,,FALSE,
Strix nebulosa,Great Grey Owl,grgowl,227005,TRUE,Laponska sova
Strix woodfordii,African Wood-owl,afwowl1,9400,FALSE,Afrička šumska sova
Jubula lettii,Maned Owl,manowl1,,FALSE,Grivasta sova
Lophostrix cristata,Crested Owl,creowl1,176466471,FALSE,Ćubasta sova
Bubo scandiacus,Snowy Owl,snoowl1,233160,TRUE,Snežna sova
Bubo virginianus,Great Horned Owl,grhowl,132729861,TRUE,Američka buljina/magelanska buljina
Bubo magellanicus,Magellanic Horned Owl,grhowl2,584197581,FALSE,Magelanska buljina
Bubo bubo,Eurasian Eagle-owl,eueowl1,59172501,TRUE,Buljina
Bubo ascalaphus,Pharaoh Eagle-owl,pheowl1,439904091,FALSE,Faraonska buljina
Bubo bengalensis,Rock Eagle-owl,roeowl1,194664311,FALSE,Bengalska buljina
Bubo capensis,Cape Eagle-owl,caeowl1,8353,FALSE,Afrička buljina
Bubo africanus,Spotted Eagle-owl,spoeao2,203938471,FALSE,Pegava buljina
B. a. milesi,Arabian Spotted Eagle-owl,,,FALSE,
Bubo cinerascens,Greyish Eagle-owl,graeao1,627805233,FALSE,Sivkasta buljina
Bubo poensis,Fraser's Eagle-owl,fraeao1,280533,FALSE,Frejžerova buljina
Bubo lacteus,Verreaux's Eagle-owl,veeowl1,203952381,FALSE,Veroova buljina
Bubo shelleyi,Shelley's Eagle-owl,sheowl1,615106407,FALSE,Šelijeva buljina
Bubo sumatranus,Barred Eagle-owl,baeowl1,345636391,FALSE,Sumatranska buljina
Bubo nipalensis,Spot-bellied Eagle-owl,sbeowl1,306057371,FALSE,Pegava crnooka buljina
Bubo coromandus,Dusky Eagle-owl,dueowl1,484029641,FALSE,Tamna buljina
Bubo leucostictus,Akun Eagle-owl,akeowl1,203909531,FALSE,Mala buljina
Bubo philippensis,Philippine Eagle-owl,pheowl2,203999841,FALSE,Filipinska buljina
Bubo blakistoni,Blakiston's Eagle-owl,,,FALSE,Sibirska sova ribar
Ketupa zeylonensis,Brown Fish-owl,brfowl1,357928591,FALSE,Azijska sova ribar
Ketupa flavipes,Tawny Fish-owl,tafowl1,646555291,FALSE,Kineska sova ribar
Ketupa ketupu,Buffy Fish-owl,bufowl2,37256091,FALSE,Indonezijska sova ribar
Scotopelia peli,Pel's Fishing-owl,pefowl1,310488,FALSE,Afrička sova ribar
Scotopelia ussheri,Rufous Fishing-owl,rufowl1,42040991,FALSE,Liberijska sova ribar
Scotopelia bouvieri,Vermiculated Fishing-owl,vefowl1,611760780,FALSE,Kongoanska sova ribar
Ciccaba virgata,Mottled Owl,motowl,48255711,FALSE,Pirgasta šumska sova
Ciccaba nigrolineata,Black-and-white Owl,bawowl1,203952181,FALSE,Crno-bela sova
Ciccaba huhula,Black-banded Owl,bkbowl1,471539831,FALSE,Zebrasta sova
Ciccaba albitarsis,Rufous-banded Owl,rubowl3,621767103,FALSE,Riđolika andska sova
Spilornis cheela,Crested Serpent-eagle,crseag1,285999481,FALSE,Ćubasti zmijar
Spilornis holospilus,Philippine Serpent-eagle,phseag1,203894621,FALSE,Filipinski zmijar
Spilornis klossi,Great Nicobar Serpent-eagle,nicsee1,649339633,FALSE,Nikobarski zmijar
Spilornis kinabaluensis,Kinabalu Serpent-eagle,moseag1,622613519,FALSE,Planinski zmijar
Spilornis rufipectus,Sulawesi Serpent-eagle,suseag1,640793010,FALSE,Celebeski zmijar
Spilornis elgini,Andaman Serpent-eagle,anseag1,290061431,FALSE,Andamanski zmijar
Dryotriorchis spectabilis,Congo Serpent-eagle,,,FALSE,Kongoanski zmijar
Terathopius ecaudatus,Bateleur,batele1,135449,FALSE,Kratkorepi zmijar
Pithecophaga jefferyi,Great Philippine Eagle,grpeag1,183492,TRUE,Filipinski orao
Circaetus gallicus,Short-toed Snake-eagle,shteag1,203921371,FALSE,Zmijar
Circaetus beaudouini,Beaudouin's Snake-eagle,beasne1,310001,FALSE,Bjuduinov zmijar
Circaetus pectoralis,Black-breasted Snake-eagle,bkbsne1,,FALSE,Crnogrudi zmijar
Circaetus cinereus,Brown Snake-eagle,brseag1,399655781,FALSE,Smeđi zmijar
Circaetus fasciolatus,Southern Banded Snake-eagle,faseag1,615708226,FALSE,Južni prugasti zmijar
Circaetus cinerascens,Western Banded Snake-eagle,baseag1,305958511,FALSE,Prugasti zmijar
Sarcogyps calvus,Red-headed Vulture,rehvul1,,FALSE,Crvenoglavi strvinar
Trigonoceps occipitalis,White-headed Vulture,whhvul1,,FALSE,Beloglavi afrički strvinar
Necrosyrtes monachus,Hooded Vulture,hoovul1,21635991,FALSE,Crna kanja
Gyps himalayensis,Himalayan Griffon,himgri1,286816191,FALSE,Himalajski sup
Gyps bengalensis,White-rumped Vulture,whrvul1,310239,FALSE,Bengalski sup
Gyps africanus,White-backed Vulture,whbvul1,276362,FALSE,Beloleđi sup
Gyps indicus,Indian Vulture,indvul1,310243,TRUE,Indijski sup
Gyps tenuirostris,Slender-billed Vulture,slbvul1,612412143,FALSE,Uskokljuni sup
Gyps coprotheres,Cape Vulture,capgri1,612256787,FALSE,Kapski sup
Gyps rueppellii,Rüppell's Vulture,,,FALSE,Pegavi sup
Gyps fulvus,Griffon Vulture,eurgri1,627212609,TRUE,Beloglavi sup
Aegypius monachus,Cinereous Vulture,cinvul1,625694722,FALSE,crni strvinar
Torgos tracheliotus,Lappet-faced Vulture,lafvul1,,FALSE,Ćelavi strvinar
T. t. negevensis,Arabian Lappet-faced Vulture,,,FALSE,
Macheiramphus alcinus,Bat Hawk,bathaw1,639242498,FALSE,Jastreb koji lovi slepe miševe
Harpyopsis novaeguineae,Papuan Eagle,negeag1,42744971,FALSE,Novogvinejski orao
Morphnus guianensis,Crested Eagle,creeag1,171507441,FALSE,Ćubasti orao
Harpia harpyja,Harpy Eagle,hareag1,176929541,TRUE,Harpija
Stephanoaetus coronatus,Crowned Hawk-eagle,crheag1,203948541,FALSE,Krunasti orao
Nisaetus nipalensis,Mountain Hawk-eagle,mouhae1,533521141,FALSE,Planinski jastrebasti orao
Nisaetus bartelsi,Javan Hawk-eagle,javhae1,485521631,FALSE,Javanski jastrebasti orao
Nisaetus nanus,Wallace's Hawk-eagle,walhae1,282798,FALSE,Valasov jastrebasti orao
Nisaetus alboniger,Blyth's Hawk-eagle,blyhae1,620701450,FALSE,Blitov jastrebasti orao
Nisaetus lanceolatus,Sulawesi Hawk-eagle,sulhae1,203909261,FALSE,Celebeski jastrebasti orao
Nisaetus philippensis,North Philippine Hawk-eagle,phihae1,203997421,FALSE,Filipinski jastrebasti orao
Nisaetus pinskeri,South Philippine Hawk-eagle,pinhae1,421059261,FALSE,Pinskerov jastrebasti orao
Nisaetus cirrhatus,Changeable Hawk-eagle,y00839,251042241,FALSE,Raznobojni jastrebasti orao
Nisaetus floris,Flores Hawk-eagle,flohae1,609103067,FALSE,Raznobojni/ćubasti jastrebasti orao
Lophotriorchis kienerii,Rufous-bellied Eagle,rubeag2,320993571,FALSE,Riđotrbi orao
Polemaetus bellicosus,Martial Eagle,mareag1,425796191,FALSE,Ratnički orao
Spizaetus tyrannus,Black Hawk-eagle,blheag1,382920141,FALSE,Crni jastrebasti orao
Spizaetus melanoleucus,Black-and-white Hawk-eagle,bawhae1,305703241,FALSE,Aguja orao
Spizaetus ornatus,Ornate Hawk-eagle,orheag1,207695371,FALSE,Ukrašeni jastrebasti orao
Spizaetus isidori,Black-and-chestnut Eagle,baceag2,190160601,FALSE,Crno-kestenjasti jastrebasti orao
Ictinaetus malaiensis,Black Eagle,blaeag1,426580691,FALSE,Malajski crni orao
Lophaetus occipitalis,Long-crested Eagle,loceag1,609066606,FALSE,Afrički ćubasti orao
Clanga pomarina,Lesser Spotted Eagle,leseag1,625831477,FALSE,Orao kliktaš
Clanga hastata,Indian Spotted Eagle,inseag1,621508122,FALSE,Indijski pegavi orao
Clanga clanga,Greater Spotted Eagle,grseag1,633609421,TRUE,Crni orao
Aquila rapax,Tawny Eagle,taweag1,632606154,FALSE,Savanski orao/stepski orao
Aquila nipalensis,Steppe Eagle,steeag1,211633851,TRUE,Stepski orao
Aquila adalberti,Spanish Imperial Eagle,spaeag1,630788286,FALSE,Španski orao krstaš
Aquila heliaca,Eastern Imperial Eagle,impeag1,605642091,TRUE,Orao krstaš
Aquila gurneyi,Gurney's Eagle,gureag1,,FALSE,Gernijev orao
Aquila chrysaetos,Golden Eagle,goleag,202143881,TRUE,Suri orao
Aquila audax,Wedge-tailed Eagle,weteag1,204008151,TRUE,Klinorepi orao
Aquila verreauxii,Verreaux's Eagle,vereag1,278444,FALSE,Afrički crni orao
Aquila fasciata,Bonelli's Eagle,boneag2,535764151,TRUE,Prugasti orao
Aquila spilogaster,African Hawk-eagle,afrhae1,28073311,FALSE,Afrički jastrebasti orao
Aquila africana,Cassin's Hawk-eagle,cashae1,528593631,FALSE,Kasinov jastrebasti orao
Hieraaetus wahlbergi,Wahlberg's Eagle,waheag3,194536401,FALSE,Valbergov orao
Hieraaetus pennatus,Booted Eagle,booeag1,269267001,FALSE,patuljasti orao
Hieraaetus weiskei,Pygmy Eagle,liteag3,648364054,FALSE,Pigmejski orao
