Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,uk
Caprimulgus madagascariensis,Madagascar Nightjar,madnig1,23150,FALSE,Дрімлюга мадагаскарський
Caprimulgus natalensis,Swamp Nightjar,swanig1,465018231,FALSE,Дрімлюга болотяний
Caprimulgus solala,Nechisar Nightjar,necnig1,,FALSE,дрімлюга субтропічний
Caprimulgus inornatus,Plain Nightjar,planig1,620781862,FALSE,Дрімлюга блідий
Caprimulgus stellatus,Star-spotted Nightjar,stsnig1,569507741,FALSE,Дрімлюга джибутійський
Caprimulgus affinis,Savanna Nightjar,savnig1,408726221,FALSE,Дрімлюга савановий
Caprimulgus tristigma,Freckled Nightjar,frenig1,203940191,FALSE,Дрімлюга плямистий
Caprimulgus prigoginei,Prigogine's Nightjar,itonig1,,FALSE,Дрімлюга заїрський
Caprimulgus batesi,Bates's Nightjar,batnig2,467681541,FALSE,Дрімлюга джунглевий
Caprimulgus climacurus,Long-tailed Nightjar,lotnig1,643643490,FALSE,Дрімлюга польовий
Caprimulgus clarus,Slender-tailed Nightjar,sltnig1,27830421,FALSE,Дрімлюга ефіопський
Caprimulgus fossii,Mozambique Nightjar,sqtnig1,277103,FALSE,Дрімлюга габонський
Caprimulgus longipennis,Standard-winged Nightjar,stwnig1,23338,FALSE,Дрімлюга-прапорокрил камерунський
Caprimulgus vexillarius,Pennant-winged Nightjar,pewnig1,277294,FALSE,Дрімлюга-прапорокрил ангольський
Veles binotatus,Brown Nightjar,bronig1,203911961,FALSE,Дрімлюга бурий
NYCTIBIIDAE,Potoos,,,FALSE,
Nyctibius grandis,Great Potoo,grepot1,203700031,TRUE,Поту великий
Nyctibius aethereus,Long-tailed Potoo,lotpot1,610220132,FALSE,Поту довгохвостий
Nyctibius jamaicensis,Northern Potoo,norpot1,4566,FALSE,Поту ямайський
Nyctibius griseus,Common Potoo,compot1,59964,FALSE,Поту ямайський
Nyctibius maculosus,Andean Potoo,andpot1,519441211,FALSE,Поту гірський
Nyctibius leucopterus,White-winged Potoo,whwpot1,622549691,FALSE,Поту білокрилий
Nyctibius bracteatus,Rufous Potoo,rufpot1,270955651,FALSE,Поту рудий
CAPRIMULGIDAE,Nightjars,,,FALSE,
Eurostopodus argus,Spotted Nightjar,sponig1,258553431,FALSE,Ночнар австралійський
Eurostopodus mystacalis,White-throated Nightjar,whtnig3,91666971,FALSE,Ночнар білогорлий
Eurostopodus nigripennis,Solomons Nightjar,solnig1,365269841,FALSE,ночнар соломонський
Eurostopodus exul,New Caledonian Nightjar,necnig2,,FALSE,ночнар новокаледонський
Eurostopodus diabolicus,Heinrich's Nightjar,dianig1,650621574,FALSE,Ночнар острівний
Eurostopodus archboldi,Archbold's Nightjar,arcnig1,,FALSE,Ночнар високогірний
Eurostopodus papuensis,Papuan Nightjar,papnig1,622574498,FALSE,Ночнар папуанський
Lyncornis macrotis,Great Eared-nightjar,grenig1,132344651,TRUE,Ночнар південний
Lyncornis temminckii,Malay Eared-nightjar,malnig1,36571,FALSE,Ночнар малазійський
Gactornis enarratus,Collared Nightjar,colnig1,,FALSE,Дрімлюга мангровий
Chordeiles nacunda,Nacunda Nighthawk,nacnig1,203961871,FALSE,Накунда
Chordeiles pusillus,Least Nighthawk,leanig1,72483,FALSE,Анаперо карликовий
Chordeiles minor,Common Nighthawk,comnig,516720,TRUE,Анаперо віргінський/антильський
Chordeiles gundlachii,Antillean Nighthawk,antnig,5903,FALSE,Анаперо антильський
Chordeiles acutipennis,Lesser Nighthawk,lesnig,112564821,FALSE,Анаперо малий
Chordeiles rupestris,Sand-colored Nighthawk,sacnig1,91397,FALSE,Анаперо блідий
Lurocalis semitorquatus,Short-tailed Nighthawk,shtnig1,557877541,FALSE,Анаперо-довгокрил бурий
Lurocalis rufiventris,Rufous-bellied Nighthawk,rubnig1,582141691,FALSE,Анаперо-довгокрил рудочеревий
Nyctiprogne leucopyga,Band-tailed Nighthawk,batnig1,305861661,FALSE,Анаперо смугастохвостий
Nyctiprogne vielliardi,Bahian Nighthawk,bahnig1,54957,FALSE,Анаперо багійський
Nyctipolus nigrescens,Blackish Nightjar,blanig1,127402,FALSE,Дрімлюга траурний
Nyctipolus hirundinaceus,Pygmy Nightjar,pygnig1,235983,FALSE,Дрімлюга бразильський
Systellura roraimae,Tepui Nightjar,,,FALSE,
Systellura decussata,Lesser Band-winged Nightjar,,,FALSE,
Systellura longirostris,Greater Band-winged Nightjar,bawnig1,624030727,FALSE,Дрімлюга довгодзьобий
Nyctidromus albicollis,Pauraque,compau,87464,TRUE,Пораке рудощокий
Nyctidromus anthonyi,Scrub Nightjar,scrnig1,67364811,FALSE,Дрімлюга еквадорський
Eleothreptus anomalus,Sickle-winged Nightjar,siwnig1,278098981,FALSE,Дрімлюга-короткохвіст
Eleothreptus candicans,White-winged Nightjar,whwnig1,609532198,FALSE,Дрімлюга білокрилий
Uropsalis segmentata,Swallow-tailed Nightjar,swtnig1,649992231,FALSE,Дрімлюга-лірохвіст колумбійський
Uropsalis lyra,Lyre-tailed Nightjar,lytnig1,178055221,FALSE,Дрімлюга-лірохвіст рудошиїй
Setopagis heteura,Todd's Nightjar,samnig1,367590841,FALSE,
Setopagis parvula,Little Nightjar,litnig1,626105034,FALSE,Дрімлюга малий
Setopagis whitelyi,Roraiman Nightjar,rornig1,134213,FALSE,Дрімлюга венесуельський
Setopagis maculosa,Cayenne Nightjar,caynig1,,FALSE,Дрімлюга гаянський
Hydropsalis climacocerca,Ladder-tailed Nightjar,latnig1,96671,FALSE,Дрімлюга-вилохвіст колумбійський
Hydropsalis torquata,Scissor-tailed Nightjar,sctnig2,217025,FALSE,Дрімлюга-вилохвіст бразильський
Hydropsalis cayennensis,White-tailed Nightjar,whtnig1,127082,FALSE,Дрімлюга білохвостий
Hydropsalis maculicaudus,Spot-tailed Nightjar,sptnig1,608440733,FALSE,Дрімлюга світлобровий
Macropsalis forcipata,Long-trained Nightjar,lotnig2,221803411,FALSE,Дрімлюга-лірохвіст бразильський
Siphonorhis americana,Jamaican Poorwill,jampau,,FALSE,Пораке ямайський
Siphonorhis brewsteri,Least Poorwill,leapau1,162724221,FALSE,Пораке гаїтійський
Nyctiphrynus rosenbergi,Choco Poorwill,chopoo1,68286731,FALSE,Леляк колумбійський
Nyctiphrynus mcleodii,Eared Poorwill,earpoo1,611748042,FALSE,Леляк мексиканський
Nyctiphrynus yucatanicus,Yucatan Poorwill,yucpoo1,33207361,FALSE,Леляк юкатанський
Nyctiphrynus ocellatus,Ocellated Poorwill,ocepoo1,109906321,FALSE,Леляк бразильський
Phalaenoptilus nuttallii,Common Poorwill,compoo,105772661,FALSE,Пораке чорнощокий
Antrostomus vociferus,Eastern Whip-poor-will,easwpw1,340367651,TRUE,Дрімлюга канадський/мексиканський
Antrostomus arizonae,Mexican Whip-poor-will,souwpw1,56862,FALSE,дрімлюга мексиканський
Antrostomus noctitherus,Puerto Rican Nightjar,purnig1,204011941,FALSE,Дрімлюга пуерто-риканський
Antrostomus saturatus,Dusky Nightjar,dusnig1,145214851,FALSE,Дрімлюга коста-риканський
Antrostomus ridgwayi,Buff-collared Nightjar,bucnig,56511901,FALSE,Тукухіло
Antrostomus salvini,Tawny-collared Nightjar,tacnig1,4937,FALSE,Дрімлюга східний
AEGOTHELIDAE,Owlet-nightjars,,,FALSE,
Aegotheles savesi,New Caledonian Owlet-nightjar,nconig1,,FALSE,Еготело новокаледонський
Aegotheles insignis,Feline Owlet-nightjar,feonig1,168273331,FALSE,Еготело великий
Aegotheles tatei,Spangled Owlet-nightjar,spaown1,473427391,FALSE,Татеї
Aegotheles crinifrons,Moluccan Owlet-nightjar,molown1,643079423,FALSE,Еготело молуцький
Aegotheles cristatus,Australian Owlet-nightjar,auonig1,203886691,TRUE,Еготело австралійський
Aegotheles affinis,Allied Owlet-nightjar,barown2,,FALSE,Еготело новогвінейський
Aegotheles bennettii,Barred Owlet-nightjar,barown1,141998,FALSE,Еготело смугастоголовий
Aegotheles wallacii,Wallace's Owlet-nightjar,waonig1,609065423,FALSE,Еготело темнокрилий
Aegotheles archboldi,Archbold's Owlet-nightjar,,,FALSE,
Aegotheles albertisi,Mountain Owlet-nightjar,moonig1,251638781,FALSE,Еготело гірський
HEMIPROCNIDAE,Treeswifts,,,FALSE,
Hemiprocne coronata,Crested Treeswift,cretre1,290907811,FALSE,Клехо індійський
Hemiprocne longipennis,Grey-rumped Treeswift,gyrtre1,336872101,FALSE,Клехо індійський
Hemiprocne comata,Whiskered Treeswift,whitre1,282622,TRUE,Клехо малий
Hemiprocne mystacea,Moustached Treeswift,moutre1,197442621,FALSE,Клехо великий
APODIDAE,Swifts,,,FALSE,
Cypseloides cherriei,Spot-fronted Swift,spfswi1,52504401,FALSE,Свіфт плямистолобий
Cypseloides cryptus,White-chinned Swift,whcswi1,284175801,FALSE,Свіфт нікарагуанський
Cypseloides storeri,White-fronted Swift,whfswi1,30085881,FALSE,Свіфт гуєрерський
Cypseloides niger,Black Swift,blkswi,365687911,FALSE,Свіфт західний
Cypseloides lemosi,White-chested Swift,whcswi2,64300191,FALSE,Свіфт білогрудий
Cypseloides rothschildi,Rothschild' s Swift,rotswi1,618603325,FALSE,Свіфт аргентинський
Cypseloides fumigatus,Sooty Swift,sooswi1,115707,FALSE,Свіфт парагвайський
Cypseloides senex,Great Dusky Swift,grdswi1,121697381,FALSE,Свіфт світлоголовий
Streptoprocne rutila,Chestnut-collared Swift,chcswi1,204023261,FALSE,Свіфт рудошиїй
Streptoprocne phelpsi,Tepui Swift,tepswi1,116004271,FALSE,Свіфт венесуельський
Streptoprocne zonaris,White-collared Swift,whcswi,47631151,FALSE,Свіфт болівійський
Streptoprocne biscutata,Biscutate Swift,bisswi1,278593981,FALSE,Свіфт бразильський
Streptoprocne semicollaris,White-naped Swift,whnswi1,49212801,FALSE,Свіфт мексиканський
Mearnsia picina,Philippine Spinetail,phinee1,,FALSE,Голкохвіст філіпінський
Mearnsia novaeguineae,Papuan Spinetail,papnee1,120611331,FALSE,Голкохвіст новогвінейський
Zoonavena grandidieri,Madagascar Spinetail,malspi1,624029003,FALSE,Голкохвіст мадагаскарський
Zoonavena thomensis,Sao Tome Spinetail,satspi1,,FALSE,Голкохвіст сан-томейський
Zoonavena sylvatica,White-rumped Spinetail,whrnee1,621898824,FALSE,Голкохвіст індійський
Telecanthura ussheri,Mottled Spinetail,motspi1,625982457,FALSE,Голкохвіст плямистоволий
Telecanthura melanopygia,Black Spinetail,blaspi1,310204,FALSE,Голкохвіст ітурійський
Rhaphidura leucopygialis,Silver-rumped Spinetail,sirnee1,620983245,FALSE,Голкохвіст сивогузий
Rhaphidura sabini,Sabine's Spinetail,sabspi1,310206,FALSE,Голкохвіст білочеревий
Neafrapus cassini,Cassin's Spinetail,casspi1,310207,FALSE,Голкохвіст нігерійський
Neafrapus boehmi,Böhm's Spinetail,balspi1,47075,FALSE,Голкохвіст ангольський
Chaetura fumosa,Costa Rican Swift,corswi,299896,FALSE,голкохвіст коста-риканський
Chaetura spinicaudus,Band-rumped Swift,barswi,203930961,FALSE,Голкохвіст анапайський
Chaetura martinica,Lesser Antillean Swift,leaswi1,51048,FALSE,Голкохвіст антильський
Chaetura cinereiventris,Grey-rumped Swift,grrswi1,622175190,FALSE,Голкохвіст сірогузий
Chaetura egregia,Pale-rumped Swift,parswi1,346321591,FALSE,Голкохвіст еквадорський
Chaetura vauxi,Vaux's Swift,vauswi,63130,TRUE,Голкохвіст сірочеревий
Chaetura pelagica,Chimney Swift,chiswi,527296,TRUE,Голкохвіст східний
Chaetura chapmani,Chapman's Swift,chaswi2,126853,FALSE,Голкохвіст колумбійський
Chaetura meridionalis,Southern Swift,sicswi1,292766081,FALSE,Голкохвіст південний
Chaetura brachyura,Short-tailed Swift,shtswi1,533583881,FALSE,Голкохвіст вохристогузий
Hirundapus caudacutus,White-throated Needletail,whtnee,550834681,FALSE,Колючохвіст білогорлий
Hirundapus cochinchinensis,Silver-backed Needletail,sibnee1,175403,FALSE,Колючохвіст бурогорлий
Hirundapus giganteus,Brown-backed Needletail,brbnee1,181328281,FALSE,Колючохвіст великий
Hirundapus celebensis,Purple Needletail,purnee1,617604757,FALSE,Колючохвіст пурпуровий
Collocalia troglodytes,Pygmy Swiftlet,pygswi2,196942,FALSE,Салангана мала
Collocalia linchi,Cave Swiftlet,cavswi2,622323194,FALSE,Саланґана зеленкувата
Collocalia esculenta,Glossy Swiftlet,gloswi1,119098041,FALSE,Саланґана білочерева
Hydrochous gigas,Waterfall Swift,watswi1,609676941,FALSE,Салангана велика
Aerodramus papuensis,Papuan Swiftlet,papswi1,,FALSE,Салангана папуанська
Aerodramus whiteheadi,Whitehead's Swiftlet,whiswi1,,FALSE,Саланґана датайська
Aerodramus nuditarsus,Bare-legged Swiftlet,balswi1,,FALSE,Салангана голонога
Aerodramus orientalis,Mayr's Swiftlet,mayswi1,,FALSE,Саланґана меланезійська
Aerodramus infuscatus,Moluccan Swiftlet,molswi5,197455321,FALSE,Салангана молуцька
Aerodramus hirundinaceus,Mountain Swiftlet,mouswi2,119098341,FALSE,Салангана гірська
Aerodramus terraereginae,Australian Swiftlet,ausswi1,611823302,FALSE,Салангана австралійська
Aerodramus brevirostris,Himalayan Swiftlet,himswi2,537994571,FALSE,Саланґана гімалайська
Aerodramus vulcanorum,Volcano Swiftlet,volswi1,,FALSE,салангана вулканійська
Aerodramus maximus,Black-nest Swiftlet,blnswi1,219358,FALSE,Саланґана чорногніздна
Aerodramus vanikorensis,Uniform Swiftlet,uniswi1,134502351,FALSE,Саланґана бура
Aerodramus sawtelli,Atiu Swiftlet,atiswi1,204001521,FALSE,Салангана атіуйська
Aerodramus leucophaeus,Polynesian Swiftlet,polswi1,,FALSE,Саланґана таїтійська
Aerodramus inquietus,Caroline Swiftlet,caiswi1,5509,FALSE,Саланґана каролінська
Aerodramus pelewensis,Palau Swiftlet,palswi1,610012636,FALSE,Салангана атолова
Aerodramus bartschi,Mariana Swiftlet,marswi,610224448,FALSE,Саланґана маріанська
Aerodramus mearnsi,Philippine Swiftlet,phiswi1,204002691,FALSE,Салангана мінданайська
Aerodramus spodiopygius,White-rumped Swiftlet,whrswi2,203908261,FALSE,Саланґана світлогуза
Aerodramus unicolor,Indian Swiftlet,indswi1,621789548,FALSE,Салангана індійська
Aerodramus francicus,Mascarene Swiftlet,masswi1,72143,FALSE,Саланґана маврикійська
Aerodramus elaphrus,Seychelles Swiftlet,seyswi1,310193,FALSE,Салангана сейшельська
Aerodramus fuciphagus,Edible-nest Swiftlet,y00731,612513984,FALSE,Саланґана білогніздна
Aerodramus salangana,Mossy-nest Swiftlet,monswi2,,FALSE,Салангана яванська
Schoutedenapus myoptilus,Scarce Swift,scaswi1,275795871,FALSE,серпокрилець зімбабвійський
Schoutedenapus schoutedeni,Schouteden's Swift,,,FALSE,
Aeronautes saxatilis,White-throated Swift,whtswi,242502201,TRUE,Серпокрилець білогорлий
Aeronautes montivagus,White-tipped Swift,whtswi1,68827,FALSE,Серпокрилець гірський
Aeronautes andecolus,Andean Swift,andswi1,589396691,FALSE,Серпокрилець андійський
Tachornis phoenicobia,Antillean Palm-swift,anpswi,619397975,FALSE,Серпокрилець-крихітка антильський
Tachornis furcata,Pygmy Swift,pygswi1,82092,FALSE,Серпокрилець-крихітка колумбійський
Tachornis squamata,Fork-tailed Palm-swift,ftpswi1,121300651,FALSE,Серпокрилець-крихітка неотропічний
Panyptila sanctihieronymi,Great Swallow-tailed Swift,gstswi1,130501571,FALSE,Серпокрилець-вилохвіст великий
Panyptila cayennensis,Lesser Swallow-tailed Swift,lstswi1,409715331,FALSE,Серпокрилець-вилохвіст малий
Cypsiurus parvus,African Palm-swift,afpswi1,593006411,FALSE,Серпокрилець пальмовий
Cypsiurus balasiensis,Asian Palm-swift,aspswi1,491383121,FALSE,Серпокрилець південноазійський
Tachymarptis melba,Alpine Swift,alpswi1,477625571,TRUE,Серпокрилець білочеревий
Tachymarptis aequatorialis,Mottled Swift,motswi2,591105441,FALSE,Серпокрилець еритрейський
Apus acuticauda,Dark-rumped Swift,darswi1,148938811,FALSE,Серпокрилець гімалайський
Apus pacificus,Pacific Swift,fotswi,619656938,FALSE,Серпокрилець сибірський
Apus caffer,White-rumped Swift,whrswi1,277258,FALSE,Серпокрилець білогузий
Apus batesi,Bates's Swift,batswi1,,FALSE,Серпокрилець ліберійський
Apus horus,Horus Swift,horswi1,5992,FALSE,Серпокрилець ефіопський
Apus nipalensis,House Swift,houswi1,73412751,FALSE,Серпокрилець непальський
Apus affinis,Little Swift,litswi1,81146361,FALSE,Серпокрилець малий/непальський
Apus niansae,Nyanza Swift,nyaswi1,31366351,FALSE,Серпокрилець бурий
Apus bradfieldi,Bradfield's Swift,braswi1,277763,FALSE,Серпокрилець намібійський
Apus barbatus,African Swift,afrswi1,611798673,FALSE,Серпокрилець капський
Apus sladeniae,Fernando Po Swift,,,FALSE,
Apus balstoni,Madagascar Swift,madswi1,501497711,FALSE,серпокрилець коморський
Apus berliozi,Forbes-Watson's Swift,fowswi1,223164731,FALSE,Серпокрилець сокотрійський
Apus unicolor,Plain Swift,plaswi1,298946681,FALSE,Серпокрилець канарський
Apus alexandri,Alexander's Swift,aleswi1,633937763,FALSE,Серпокрилець острівний
Apus pallidus,Pallid Swift,palswi3,109549961,FALSE,Серпокрилець блідий
Apus apus,Common Swift,comswi,344866661,TRUE,Серпокрилець чорний
TROCHILIDAE,Hummingbirds,,,FALSE,
Topaza pella,Crimson Topaz,critop1,451505841,TRUE,Колібрі-топаз малиновий/вогнистий
Topaza pyra,Fiery Topaz,fietop1,203979591,FALSE,Колібрі-топаз вогнистий
Florisuga mellivora,White-necked Jacobin,whnjac1,102605,TRUE,Колібрі-якобін синьоголовий
Florisuga fusca,Black Jacobin,blkjac1,343640201,FALSE,Колібрі-якобін чорний
Eutoxeres aquila,White-tipped Sicklebill,whtsic1,627615456,TRUE,Ерміт-серподзьоб темнохвостий
Eutoxeres condamini,Buff-tailed Sicklebill,butsic1,84876621,FALSE,Ерміт-серподзьоб рудохвостий
Ramphodon naevius,Saw-billed Hermit,sabher1,293230,TRUE,Ерміт прибережний
Glaucis dohrnii,Hook-billed Hermit,hobher2,627902763,FALSE,Ерміт-самітник багійський
Glaucis aeneus,Bronzy Hermit,broher,618601473,FALSE,Ерміт-самітник бронзовий
Glaucis hirsutus,Rufous-breasted Hermit,rubher,437142001,TRUE,Ерміт-самітник бразильський
Threnetes ruckeri,Band-tailed Barbthroat,batbar1,435781651,FALSE,Ерміт смугастохвостий
Threnetes leucurus,Pale-tailed Barbthroat,patbar1,84877021,FALSE,Ерміт світлохвостий
Threnetes niger,Sooty Barbthroat,soobar1,,FALSE,Ерміт чорногорлий
Anopetia gounellei,Broad-tipped Hermit,brther2,257336011,FALSE,Ерміт бразильський
Phaethornis squalidus,Dusky-throated Hermit,duther1,644743459,FALSE,Ерміт санта-катаринський
Phaethornis rupurumii,Streak-throated Hermit,stther1,389947281,FALSE,Ерміт гаянський
Phaethornis longuemareus,Little Hermit,lither2,203930881,FALSE,Ерміт тринідадський
Phaethornis aethopygus,Tapajos Hermit,lither3,623453637,FALSE,Ерміт еквадорський
Phaethornis idaliae,Minute Hermit,minher1,113278,TRUE,Ерміт малий
Phaethornis nattereri,Cinnamon-throated Hermit,cither1,330723631,FALSE,Ерміт болівійський
Phaethornis atrimentalis,Black-throated Hermit,bkther1,121287921,FALSE,Ерміт еквадорський
Phaethornis striigularis,Stripe-throated Hermit,stther2,591042431,TRUE,Ерміт чагарниковий
Phaethornis griseogularis,Grey-chinned Hermit,gycher1,609812706,FALSE,Ерміт сірогорлий
Phaethornis porcullae,Porculla Hermit,,,FALSE,Ерміт сірогорлий (підвид porcullae)
Phaethornis ruber,Reddish Hermit,redher1,64905,FALSE,Ерміт рудий
Phaethornis stuarti,White-browed Hermit,whbher3,626710111,FALSE,Ерміт перуанський
Phaethornis subochraeus,Buff-bellied Hermit,bubher1,506181131,FALSE,
Phaethornis augusti,Sooty-capped Hermit,socher1,612408043,FALSE,Ерміт сіроволий
Phaethornis pretrei,Planalto Hermit,plaher1,103852,FALSE,Ерміт парагвайський
Phaethornis eurynome,Scale-throated Hermit,scther1,112764,FALSE,Ерміт багійський
Phaethornis anthophilus,Pale-bellied Hermit,pabher1,412425591,FALSE,Ерміт світлочеревий
Phaethornis hispidus,White-bearded Hermit,whbher1,81006,FALSE,Ерміт сірогузий
Phaethornis yaruqui,White-whiskered Hermit,whwher1,80976,FALSE,Ерміт колумбійський
Phaethornis guy,Green Hermit,greher1,609061941,FALSE,Ерміт зелений
Phaethornis syrmatophorus,Tawny-bellied Hermit,tabher1,288259401,FALSE,Ерміт рудогрудий
Phaethornis koepckeae,Koepcke's Hermit,koeher1,218198,FALSE,Ерміт білогорлий
Phaethornis philippii,Needle-billed Hermit,nebher1,235675,FALSE,Ерміт тонкодзьобий
Phaethornis bourcieri,Straight-billed Hermit,stbher1,384679551,FALSE,Ерміт прямодзьобий
Phaethornis mexicanus,Mexican Hermit,mexher1,556088531,FALSE,ерміт південний
Phaethornis longirostris,Long-billed Hermit,lobher,629888645,TRUE,Ерміт мексиканський
Phaethornis baroni,Ecuadorian Hermit,,,FALSE,Ерміт мексиканський (підвид baroni)
Phaethornis superciliosus,Long-tailed Hermit,lother1,113072,FALSE,Ерміт мексиканський/венесуельський
Phaethornis malaris,Great-billed Hermit,grbher1,494522731,FALSE,Ерміт довгодзьобий
Doryfera ludovicae,Green-fronted Lancebill,grflan1,636562641,FALSE,Колібрі-довгодзьоб зеленолобий
Doryfera johannae,Blue-fronted Lancebill,blflan1,84878371,FALSE,Колібрі-довгодзьоб синьолобий
Schistes albogularis,Western Wedge-billed Hummingbird,webhum3,611544134,FALSE,колібрі-капуцин білогорлий
Schistes geoffroyi,Eastern Wedge-billed Hummingbird,webhum1,304183571,FALSE,Колібрі-капуцин білогорлий/клинодзьобий
Augastes scutatus,Hyacinth Visorbearer,hyavis1,426540681,TRUE,Колібрі-капуцин гіацинтовий
Augastes lumachella,Hooded Visorbearer,hoovis2,614635877,FALSE,Колібрі-капуцин рудохвостий
Colibri delphinae,Brown Violet-ear,brvear1,621765447,FALSE,Колібрі бурий
Colibri thalassinus,Green Violet-ear,grnvie1,85480051,FALSE,Колібрі зелений
Colibri coruscans,Sparkling Violet-ear,spvear1,203700921,TRUE,Колібрі синьочеревий
Colibri serrirostris,White-vented Violet-ear,wvvear1,6152,FALSE,Колібрі зеленочеревий
Androdon aequatorialis,Tooth-billed Hummingbird,tobhum1,539214051,FALSE,Колібрі гачкодзьобий
Heliactin bilophus,Horned Sungem,horsun2,305069431,TRUE,Колібрі рогатий
Heliothryx barroti,Purple-crowned Fairy,pucfai1,610833638,FALSE,Колібрі-фея фіолетоволобий
Heliothryx auritus,Black-eared Fairy,bkefai1,302304,TRUE,Колібрі-фея зеленолобий
Polytmus guainumbi,White-tailed Goldenthroat,whtgol1,353664301,FALSE,Колібрі-зеленохвіст золотистий
Polytmus milleri,Tepui Goldenthroat,tepgol1,290661,FALSE,Колібрі-зеленохвіст тепуйський
Polytmus theresiae,Green-tailed Goldenthroat,grtgol1,469977551,FALSE,Колібрі-зеленохвіст гвіанський
Chrysolamphis mosquitus,Ruby-topaz Hummingbird,ruthum1,630929509,TRUE,
Avocettula recurvirostris,Fiery-tailed Awlbill,fitawl1,203956901,FALSE,Колібрі-манго шилодзьобий
Anthracothorax viridigula,Green-throated Mango,grtman1,70608511,FALSE,Колібрі-манго зеленогорлий
Anthracothorax prevostii,Green-breasted Mango,gnbman,562087211,FALSE,Колібрі-манго зеленогрудий
Anthracothorax nigricollis,Black-throated Mango,bltman1,254055231,TRUE,Колібрі-манго чорногорлий
Anthracothorax veraguensis,Veraguas Mango,verman1,643755024,FALSE,Колібрі-манго панамський
Anthracothorax dominicus,Hispaniolan Mango,antman2,180794601,FALSE,Колібрі-манго антильський
Anthracothorax aurulentus,Puerto Rucan Mango,antman3,204013561,FALSE,колібрі-манго пуерто-риканський
Anthracothorax viridis,Green Mango,greman1,53883,FALSE,Колібрі-манго смарагдовий
Anthracothorax mango,Jamaican Mango,jamman1,203886191,TRUE,Колібрі-манго ямайський
Eulampis holosericeus,Green-throated Carib,grtcar1,463853931,FALSE,Колібрі карибський
Eulampis jugularis,Purple-throated Carib,putcar1,122618,TRUE,колібрі аметистовогорлий
Heliangelus mavors,Orange-throated Sunangel,ortsun1,203889901,FALSE,Колібрі-німфа золотогорлий
Heliangelus spencei,Merida Sunangel,amtsun4,241823291,FALSE,колібрі-німфа меридський
Heliangelus clarisse,Longuemare's Sunangel,amtsun2,627935528,FALSE,Колібрі-німфа колумбійський
Heliangelus amethysticollis,Amethyst-throated Sunangel,amtsun3,69256571,FALSE,Колібрі-німфа аметистовий
Heliangelus strophianus,Gorgeted Sunangel,gorsun1,242946,FALSE,Колібрі-німфа еквадорський
Heliangelus exortis,Tourmaline Sunangel,tousun1,553396251,FALSE,Колібрі-німфа турмаліновий
Heliangelus micraster,Little Sunangel,litsun1,21775,FALSE,Колібрі-німфа малий
Heliangelus viola,Purple-throated Sunangel,putsun1,471617091,FALSE,Колібрі-німфа пурпуровогорлий
Heliangelus regalis,Royal Sunangel,roysun1,510498201,FALSE,Колібрі-німфа перуанський
Heliangelus zusii,Bogota Sunangel,,,FALSE,Колібрі-сильф королівський х колібрієві sp.
Sephanoides sephanoides,Green-backed Firecrown,grbfir1,615770780,FALSE,Колібрі вогнеголовий
Sephanoides fernandensis,Juan Fernandez Firecrown,juffir1,63494541,FALSE,Колібрі фернандеський
Discosura conversii,Green Thorntail,gretho1,203979481,FALSE,Колібрі-голкохвіст зелений
Discosura popelairii,Wire-crested Thorntail,wictho2,509223111,FALSE,Колібрі-голкохвіст чубатий
Discosura langsdorffi,Black-bellied Thorntail,bkbtho1,165607521,FALSE,Колібрі-голкохвіст чорногрудий
Discosura letitiae,Coppery Thorntail,coptho2,,FALSE,Колібрі-голкохвіст бурштиновий
Discosura longicaudus,Racquet-tailed Coquette,ratcoq2,,FALSE,Рабудито
Lophornis ornatus,Tufted Coquette,tufcoq1,143381851,FALSE,Колібрі-кокетка золотовусий
Lophornis gouldii,Dot-eared Coquette,doecoq1,361690541,FALSE,Колібрі-кокетка плямистовусий
Lophornis magnificus,Frilled Coquette,fricoq1,203977681,FALSE,Колібрі-кокетка смугастовусий
Lophornis brachylophus,Short-crested Coquette,shccoq,158849241,FALSE,Колібрі-кокетка короткочубий
Lophornis delattrei,Rufous-crested Coquette,ruccoq1,64360951,TRUE,Колібрі-кокетка довгочубий
Lophornis stictolophus,Spangled Coquette,spacoq1,203930131,FALSE,Колібрі-кокетка плямисточубий
Lophornis chalybeus,Festive Coquette,fescoq3,460903011,FALSE,Колібрі-кокетка рудохвостий
Lophornis verreauxi,Butterfly Coquette,fescoq2,610286872,FALSE,колібрі-кокетка метеликовий
Lophornis pavoninus,Peacock Coquette,peacoq1,,FALSE,Колібрі-кокетка зеленовусий
Lophornis helenae,Black-crested Coquette,blccoq1,486349691,FALSE,Колібрі-вусань чорночубий
Lophornis adorabilis,White-crested Coquette,whccoq1,49401981,FALSE,Колібрі-вусань білочубий
Phlogophilus hemileucurus,Ecuadorian Piedtail,ecupie1,219926541,FALSE,Коліпінто еквадорський
Phlogophilus harterti,Peruvian Piedtail,perpie1,65738441,FALSE,Коліпінто перуанський
Adelomyia melanogenys,Speckled Hummingbird,spehum1,92178,TRUE,Колібрі плямистоволий
Aglaiocercus kingi,Long-tailed Sylph,lotsyl1,203930051,TRUE,Колібрі-сильф королівський
Aglaiocercus coelestis,Violet-tailed Sylph,vitsyl1,649000331,FALSE,Колібрі-сильф довгохвостий
