Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,cs
Ptilinopus hyogastrus,Grey-headed Fruit-dove,gyhfrd1,203906721,FALSE,holub molucký
Ptilinopus granulifrons,Carunculated Fruit-dove,cafdov1,63848881,FALSE,holub obijský
Ptilinopus wallacii,Wallace's Fruit-dove,wafdov1,203925881,FALSE,holub Wallaceův
Ptilinopus aurantiifrons,Orange-fronted Fruit-dove,offdov1,640007110,FALSE,holub zlatočelý
Ptilinopus ornatus,Western Ornate Fruit-dove,orfdov1,204011041,FALSE,holub ozdobný
Ptilinopus gestroi,Eastern Ornate Fruit-dove,,,FALSE,
Ptilinopus perlatus,Pink-spotted Fruit-dove,psfdov1,639775376,FALSE,holub bělobradý
Ptilinopus iozonus,Orange-bellied Fruit-dove,obfdov1,522761261,FALSE,holub oranžovobřichý
Ptilinopus insolitus,Knob-billed Fruit-dove,kbfdov1,490046151,FALSE,holub knoflíkový
Ptilinopus viridis,Clared-breasted Fruit-dove,cbfdov1,203910081,FALSE,holub vínovoprsý
Ptilinopus eugeniae,White-headed Fruit-dove,whfdov2,117225481,FALSE,holub bělohlavý
Ptilinopus pulchellus,Beautiful Fruit-dove,befdov1,203976671,FALSE,holub malovaný
Ptilinopus monacha,Blue-capped Fruit-dove,bcfdov2,203906731,FALSE,holub mniší
Ptilinopus coronulatus,Coroneted Fruit-dove,cofdov1,204011031,FALSE,holub diadémový
Ptilinopus regina,Rose-crowned Fruit-dove,rcfdov1,203925871,FALSE,holub královský
†Ptilinopus mercierii,Red-moustached Fruit-dove,rmfdov1,,FALSE,
Ptilinopus dupetithouarsii,White-capped Fruit-dove,wcfdov1,203895671,FALSE,holub plodožravý
Ptilinopus pelewensis,Palau Fruit-dove,pafdov1,140143,FALSE,holub angaurský
Ptilinopus richardsii,Silver-capped Fruit-dove,scfdov1,203905871,FALSE,holub stříbrokorunkatý
Ptilinopus roseicapilla,Mariana Fruit-dove,mafdov2,124304021,FALSE,holub růžovohlavý
Ptilinopus ponapensis,Pohnpei Fruit-dove,pucfrd1,139991,FALSE,holub karolínský
Ptilinopus hernsheimi,Kosrae Fruit-dove,kosfrd1,55627,FALSE,holub kosraeský
Ptilinopus greyi,Red-bellied Fruit-dove,rbfdov1,203912231,FALSE,holub Greyův
Ptilinopus porphyraceus,Tongan Fruit-dove,ccfdov1,203912931,FALSE,holub tonžský
Ptilinopus fasciatus,Samoan Fruit-dove,,,FALSE,
Ptilinopus perousii,Many-coloured Fruit-dove,mcfdov1,203908351,TRUE,holub samojský
Ptilinopus huttoni,Rapa Fruit-dove,rafdov1,,FALSE,holub rapský
Ptilinopus insularis,Henderson Fruit-dove,hifdov1,203895681,FALSE,holub hendersonský
Ptilinopus chalcurus,Makatea Fruit-dove,mafdov1,203895661,FALSE,holub makatejský
Ptilinopus coralensis,Atoll Fruit-dove,atfdov1,203895741,FALSE,holub atolový
Ptilinopus chrysogaster,Raiatea Fruit-dove,gygfrd2,203895731,FALSE,holub raiatejský
Ptilinopus rarotongensis,Rarotonga Fruit-dove,cifdov1,64543,FALSE,holub rarotonžský
Ptilinopus purpuratus,Grey-green Fruit-dove,gygfrd1,94994,FALSE,holub šedozelený
Hemiphaga novaeseelandiae,New Zealand Pigeon,nezpig2,363058921,TRUE,holub maorský
Hemiphaga chathamensis,Chatham Pigeon,nezpig3,,FALSE,holub chathamský
Cryptophaps poecilorrhoa,Sombre Pigeon,sompig2,642839894,FALSE,holub pralesní
Gymnophaps albertisii,Papuan Mountain-pigeon,pampig2,285735251,FALSE,holub Albertisův
Gymnophaps stalkeri,Seram Mountain-pigeon,lotmop2,518107,FALSE,holub šarlatovooký
Gymnophaps mada,Buru Mountain-pigeon,lotmop1,,FALSE,holub madaský
Gymnophaps solomonensis,Pale Mountain-pigeon,pampig1,,FALSE,holub bledý
Lopholaimus antarcticus,Topknot Pigeon,toppig1,622991696,FALSE,holub australský
PTEROCLIFORMES,,,,FALSE,
PTEROCLIDAE,Sandgrouse,,,FALSE,
Syrrhaptes paradoxus,Pallas's Sandgrouse,palsan1,503629661,FALSE,stepokur kirgizský
Syrrhaptes tibetanus,Tibetan Sandgrouse,tibsan1,643583811,FALSE,stepokur tibetský
Pterocles orientalis,Black-bellied Sandgrouse,blbsan1,633728529,FALSE,stepokur písečný
Pterocles namaqua,Namaqua Sandgrouse,namsan1,221449,FALSE,stepokur jihoafrický
Pterocles exustus,Chestnut-bellied Sandgrouse,chbsan,21726131,FALSE,stepokur hnědobřichý
Pterocles senegallus,Spotted Sandgrouse,sposan1,547505111,FALSE,stepokur saharský
Pterocles gutturalis,Yellow-throated Sandgrouse,yetsan1,310309,FALSE,stepokur žlutohrdlý
Pterocles personatus,Madagascar Sandgrouse,madsan1,95979,FALSE,stepokur madagaskarský
Pterocles coronatus,Crowned Sandgrouse,crosan1,391579761,FALSE,stepokur korunkatý
Pterocles alchata,Pin-tailed Sandgrouse,pitsan1,440092611,FALSE,stepokur krásný
Pterocles burchelli,Burchell's Sandgrouse,bursan1,277969,FALSE,stepokur kropenatý
Pterocles decoratus,Black-faced Sandgrouse,blfsan1,21585121,FALSE,stepokur východoafrický
Pterocles bicinctus,Double-banded Sandgrouse,dobsan1,282307491,FALSE,stepokur dvoupruhý
Pterocles quadricinctus,Four-banded Sandgrouse,fobsan1,204022371,FALSE,stepokur ozdobný
Pterocles lichtensteinii,Lichtenstein's Sandgrouse,licsan1,204005001,FALSE,stepokur pruhovaný
Pterocles indicus,Painted Sandgrouse,paisan1,623697473,FALSE,stepokur indický
CAPRIMULGIFORMES,,,,FALSE,
STEATORNITHIDAE,Oilbird,oilbir1,599958121,TRUE,
Steatornis caripensis,Oilbird,oilbir1,599958121,TRUE,gvačaro jeskynní
PODARGIDAE,Frogmouths,,,FALSE,
Rigidipenna inexpectata,Solomons Frogmouth,soifro1,203932761,FALSE,lelkoun šalomounský
Podargus ocellatus,Marbled Frogmouth,marfro1,203932751,FALSE,lelkoun mramorovaný
Podargus papuensis,Papuan Frogmouth,papfro1,605450721,FALSE,lelkoun papuánský
Podargus strigoides,Tawny Frogmouth,tawfro1,514138641,TRUE,lelkoun soví
Batrachostomus auritus,Large Frogmouth,larfro1,204006861,FALSE,lelkoun ušatý
Batrachostomus harterti,Dulit Frogmouth,dulfro1,622644648,FALSE,lelkoun Hartertův
Batrachostomus septimus,Philippine Frogmouth,phifro1,203894561,FALSE,lelkoun filipínský
Batrachostomus stellatus,Gould's Frogmouth,goufro1,609063336,FALSE,lelkoun pralesní
Batrachostomus moniliger,Sri Lanka Frogmouth,ceyfro1,271243701,TRUE,lelkoun srílanský
Batrachostomus hodgsoni,Hodgon's Frogmouth,hodfro1,203889171,FALSE,lelkoun dlouhoocasý
Batrachostomus poliolophus,Short-tailed Frogmouth,shtfro3,342490221,FALSE,lelkoun krátkoocasý
Batrachostomus mixtus,Bornean Frogmouth,shtfro2,618195619,FALSE,lelkoun krátkoocasý
Batrachostomus javensis,Horsfield's Frogmouth,javfro3,611478013,FALSE,lelkoun jávský
Batrachostomus cornutus,Sunda Frogmouth,sunfro1,101909491,FALSE,lelkoun sundský
Antrostomus badius,Yucatan Nightjar,yucnig1,33208341,FALSE,lelek yukatanský
Antrostomus sericocaudatus,Silky-tailed Nightjar,sitnig1,126708,FALSE,lelek hedvábný
Antrostomus carolinensis,Chuck-will's-widow,chwwid,63553851,FALSE,lelek karolinský
Antrostomus rufus,Rufous Nightjar,rufnig1,385501931,FALSE,lelek červenavý
Antrostomus cubanensis,Cuban Nightjar,granig2,170877471,FALSE,lelek kubánský
Antrostomus ekmani,Hispaniolan Nightjar,granig3,4586,FALSE,lelek hispaniolský
Caprimulgus ruficollis,Red-necked Nightjar,rennig1,241077281,FALSE,lelek rezavokrký
Caprimulgus indicus,Jungle Nightjar,grynig2,325685451,FALSE,lelek indický/čínský
Caprimulgus jotaka,Grey Nightjar,grynig1,203902541,FALSE,lelek indický/čínský
Caprimulgus phalaena,Palau Nightjar,palnig1,612841376,FALSE,lelek palauský
Caprimulgus europaeus,European Nightjar,eurnig1,59214491,FALSE,lelek lesní
Caprimulgus fraenatus,Sombre Nightjar,somnig1,74592,FALSE,lelek východoafrický
Caprimulgus rufigena,Rufous-cheeked Nightjar,rucnig1,507029101,FALSE,lelek rezavolící
Caprimulgus aegyptius,Egyptian Nightjar,egynig1,456334631,FALSE,lelek světlý
Caprimulgus mahrattensis,Sykes's Nightjar,syknig1,631558903,FALSE,lelek sindhský
Caprimulgus centralasicus,Vaurie's Nightjar,,,FALSE,
Caprimulgus nubicus,Nubian Nightjar,nubnig1,439855561,FALSE,lelek núbijský
Caprimulgus eximius,Golden Nightjar,golnig1,133219581,FALSE,lelek zlatý
Caprimulgus atripennis,Jerdon's Nightjar,jernig1,427309011,FALSE,lelek malovaný
Caprimulgus macrurus,Large-tailed Nightjar,latnig2,233528,FALSE,lelek indomalajský
Caprimulgus meesi,Mees's Nightjar,meenig1,199785881,FALSE,lelek floreský
Caprimulgus andamanicus,Andaman Nightjar,andnig1,203952101,FALSE,lelek andamanský
Caprimulgus manillensis,Philippine Nightjar,phinig1,203893931,FALSE,lelek filipínský
Caprimulgus celebensis,Sulawesi Nightjar,sulnig1,650618537,FALSE,lelek celebeský
Caprimulgus concretus,Bonaparte's Nightjar,bonnig1,168613931,FALSE,lelek sumaterský
Caprimulgus pulchellus,Salvadori's Nightjar,salnig1,625114296,FALSE,lelek sundský
Caprimulgus donaldsoni,Donaldson-Smith's Nightjar,dosnig1,33721921,FALSE,lelek Donaldsonův
Caprimulgus pectoralis,Fiery-necked Nightjar,finnig1,203938461,FALSE,lelek hvízdavý
Caprimulgus poliocephalus,Montane Nightjar,monnig1,4902,FALSE,lelek etiopský
Caprimulgus asiaticus,Indian Nightjar,indnig1,407487431,FALSE,lelek džunglový
Caprimulgus madagascariensis,Madagascar Nightjar,madnig1,23150,FALSE,lelek madagaskarský
Caprimulgus natalensis,Swamp Nightjar,swanig1,465018231,FALSE,lelek natalský
Caprimulgus solala,Nechisar Nightjar,necnig1,,FALSE,lelek nachisarský
Caprimulgus inornatus,Plain Nightjar,planig1,620781862,FALSE,lelek mramorovaný
Caprimulgus stellatus,Star-spotted Nightjar,stsnig1,569507741,FALSE,lelek hvězdičkový
Caprimulgus affinis,Savanna Nightjar,savnig1,408726221,FALSE,lelek savanový
Caprimulgus tristigma,Freckled Nightjar,frenig1,203940191,FALSE,lelek tečkovaný
Caprimulgus prigoginei,Prigogine's Nightjar,itonig1,,FALSE,lelek Prigogineův
Caprimulgus batesi,Bates's Nightjar,batnig2,467681541,FALSE,lelek Batesův
Caprimulgus climacurus,Long-tailed Nightjar,lotnig1,643643490,FALSE,lelek dlouhoocasý
Caprimulgus clarus,Slender-tailed Nightjar,sltnig1,27830421,FALSE,lelek štíhlý
Caprimulgus fossii,Mozambique Nightjar,sqtnig1,277103,FALSE,lelek lemoocasý
Caprimulgus longipennis,Standard-winged Nightjar,stwnig1,23338,FALSE,lelek dlouhoperý
Caprimulgus vexillarius,Pennant-winged Nightjar,pewnig1,277294,FALSE,lelek vlajkový
Veles binotatus,Brown Nightjar,bronig1,203911961,FALSE,lelek hnědý
NYCTIBIIDAE,Potoos,,,FALSE,
Nyctibius grandis,Great Potoo,grepot1,203700031,TRUE,potu velký
Nyctibius aethereus,Long-tailed Potoo,lotpot1,610220132,FALSE,potu dlouhoocasý
Nyctibius jamaicensis,Northern Potoo,norpot1,4566,FALSE,potu jamajský
Nyctibius griseus,Common Potoo,compot1,59964,FALSE,potu jamajský
Nyctibius maculosus,Andean Potoo,andpot1,519441211,FALSE,potu andský
Nyctibius leucopterus,White-winged Potoo,whwpot1,622549691,FALSE,potu bělokřídlý
Nyctibius bracteatus,Rufous Potoo,rufpot1,270955651,FALSE,potu rezavý
CAPRIMULGIDAE,Nightjars,,,FALSE,
Eurostopodus argus,Spotted Nightjar,sponig1,258553431,FALSE,lelek australský
Eurostopodus mystacalis,White-throated Nightjar,whtnig3,91666971,FALSE,lelek bělohrdlý
Eurostopodus nigripennis,Solomons Nightjar,solnig1,365269841,FALSE,lelek šalomounský
Eurostopodus exul,New Caledonian Nightjar,necnig2,,FALSE,lelek novokaledonský
Eurostopodus diabolicus,Heinrich's Nightjar,dianig1,650621574,FALSE,lelek vulkánový
Eurostopodus archboldi,Archbold's Nightjar,arcnig1,,FALSE,lelek Archboldův
Eurostopodus papuensis,Papuan Nightjar,papnig1,622574498,FALSE,lelek papuánský
Lyncornis macrotis,Great Eared-nightjar,grenig1,132344651,TRUE,lelek ušatý
Lyncornis temminckii,Malay Eared-nightjar,malnig1,36571,FALSE,lelek Temminckův
Gactornis enarratus,Collared Nightjar,colnig1,,FALSE,lelek obojkový
Chordeiles nacunda,Nacunda Nighthawk,nacnig1,203961871,FALSE,lelek skvrnokřídlý
Chordeiles pusillus,Least Nighthawk,leanig1,72483,FALSE,lelek nejmenší
Chordeiles minor,Common Nighthawk,comnig,516720,TRUE,lelek sokolí/antilský
Chordeiles gundlachii,Antillean Nighthawk,antnig,5903,FALSE,lelek Gundlachův
Chordeiles acutipennis,Lesser Nighthawk,lesnig,112564821,FALSE,lelek menší
Chordeiles rupestris,Sand-colored Nighthawk,sacnig1,91397,FALSE,lelek pískobarvý
Lurocalis semitorquatus,Short-tailed Nighthawk,shtnig1,557877541,FALSE,lelek netopýří
Lurocalis rufiventris,Rufous-bellied Nighthawk,rubnig1,582141691,FALSE,lelek rezavobřichý
Nyctiprogne leucopyga,Band-tailed Nighthawk,batnig1,305861661,FALSE,lelek pruhoocasý
Nyctiprogne vielliardi,Bahian Nighthawk,bahnig1,54957,FALSE,lelek Vielliardův
Nyctipolus nigrescens,Blackish Nightjar,blanig1,127402,FALSE,lelek černavý
Nyctipolus hirundinaceus,Pygmy Nightjar,pygnig1,235983,FALSE,lelek vlaštovčí
Systellura roraimae,Tepui Nightjar,,,FALSE,
Systellura decussata,Lesser Band-winged Nightjar,,,FALSE,
Systellura longirostris,Greater Band-winged Nightjar,bawnig1,624030727,FALSE,lelek pruhokřídlý
Nyctidromus albicollis,Pauraque,compau,87464,TRUE,lelek šedočelý
Nyctidromus anthonyi,Scrub Nightjar,scrnig1,67364811,FALSE,lelek křovinný
Eleothreptus anomalus,Sickle-winged Nightjar,siwnig1,278098981,FALSE,lelek srpkokřídlý
Eleothreptus candicans,White-winged Nightjar,whwnig1,609532198,FALSE,lelek bělokřídlý
Uropsalis segmentata,Swallow-tailed Nightjar,swtnig1,649992231,FALSE,lelek vidloocasý
Uropsalis lyra,Lyre-tailed Nightjar,lytnig1,178055221,FALSE,lelek lyroocasý
Setopagis heteura,Todd's Nightjar,samnig1,367590841,FALSE,
Setopagis parvula,Little Nightjar,litnig1,626105034,FALSE,lelek malý
Setopagis whitelyi,Roraiman Nightjar,rornig1,134213,FALSE,lelek Whitelyův
Setopagis maculosa,Cayenne Nightjar,caynig1,,FALSE,lelek skvrnitý
Hydropsalis climacocerca,Ladder-tailed Nightjar,latnig1,96671,FALSE,lelek rezavolímcový
Hydropsalis torquata,Scissor-tailed Nightjar,sctnig2,217025,FALSE,lelek kopistoocasý
Hydropsalis cayennensis,White-tailed Nightjar,whtnig1,127082,FALSE,lelek běloocasý
Hydropsalis maculicaudus,Spot-tailed Nightjar,sptnig1,608440733,FALSE,lelek kropenatý
Macropsalis forcipata,Long-trained Nightjar,lotnig2,221803411,FALSE,lelek vlečkoocasý
Siphonorhis americana,Jamaican Poorwill,jampau,,FALSE,lelek jamajský
Siphonorhis brewsteri,Least Poorwill,leapau1,162724221,FALSE,lelek drobný
Nyctiphrynus rosenbergi,Choco Poorwill,chopoo1,68286731,FALSE,lelek Rosenbergův
Nyctiphrynus mcleodii,Eared Poorwill,earpoo1,611748042,FALSE,lelek mexický
Nyctiphrynus yucatanicus,Yucatan Poorwill,yucpoo1,33207361,FALSE,lelek aztécký
Nyctiphrynus ocellatus,Ocellated Poorwill,ocepoo1,109906321,FALSE,lelek očkatý
Phalaenoptilus nuttallii,Common Poorwill,compoo,105772661,FALSE,lelek americký
Antrostomus vociferus,Eastern Whip-poor-will,easwpw1,340367651,TRUE,lelek křiklavý/volavý
Antrostomus arizonae,Mexican Whip-poor-will,souwpw1,56862,FALSE,lelek volavý
Antrostomus noctitherus,Puerto Rican Nightjar,purnig1,204011941,FALSE,lelek portorický
Antrostomus saturatus,Dusky Nightjar,dusnig1,145214851,FALSE,lelek šerý
Antrostomus ridgwayi,Buff-collared Nightjar,bucnig,56511901,FALSE,lelek Ridgwayův
Antrostomus salvini,Tawny-collared Nightjar,tacnig1,4937,FALSE,lelek Salvinův
AEGOTHELIDAE,Owlet-nightjars,,,FALSE,
Aegotheles savesi,New Caledonian Owlet-nightjar,nconig1,,FALSE,lelčík černý
Aegotheles insignis,Feline Owlet-nightjar,feonig1,168273331,FALSE,lelčík velký
Aegotheles tatei,Spangled Owlet-nightjar,spaown1,473427391,FALSE,lelčík nížinný
Aegotheles crinifrons,Moluccan Owlet-nightjar,molown1,643079423,FALSE,lelčík molucký
Aegotheles cristatus,Australian Owlet-nightjar,auonig1,203886691,TRUE,lelčík australský
Aegotheles affinis,Allied Owlet-nightjar,barown2,,FALSE,lelčík vlnkovaný
Aegotheles bennettii,Barred Owlet-nightjar,barown1,141998,FALSE,lelčík proužkovaný
Aegotheles wallacii,Wallace's Owlet-nightjar,waonig1,609065423,FALSE,lelčík skvrnitý
Aegotheles archboldi,Archbold's Owlet-nightjar,,,FALSE,
Aegotheles albertisi,Mountain Owlet-nightjar,moonig1,251638781,FALSE,lelčík horský
HEMIPROCNIDAE,Treeswifts,,,FALSE,
Hemiprocne coronata,Crested Treeswift,cretre1,290907811,FALSE,klecho rezavolící
Hemiprocne longipennis,Grey-rumped Treeswift,gyrtre1,336872101,FALSE,klecho rezavolící
Hemiprocne comata,Whiskered Treeswift,whitre1,282622,TRUE,klecho menší
Hemiprocne mystacea,Moustached Treeswift,moutre1,197442621,FALSE,klecho vousatý
APODIDAE,Swifts,,,FALSE,
Cypseloides cherriei,Spot-fronted Swift,spfswi1,52504401,FALSE,rorýs skvrnolící
Cypseloides cryptus,White-chinned Swift,whcswi1,284175801,FALSE,rorýs bělobradý
Cypseloides storeri,White-fronted Swift,whfswi1,30085881,FALSE,rorýs Storerův
Cypseloides niger,Black Swift,blkswi,365687911,FALSE,rorýs černý
Cypseloides lemosi,White-chested Swift,whcswi2,64300191,FALSE,rorýs běloprsý
Cypseloides rothschildi,Rothschild' s Swift,rotswi1,618603325,FALSE,rorýs pastelový
Cypseloides fumigatus,Sooty Swift,sooswi1,115707,FALSE,rorýs kouřový
Cypseloides senex,Great Dusky Swift,grdswi1,121697381,FALSE,rorýs zavalitý
Streptoprocne rutila,Chestnut-collared Swift,chcswi1,204023261,FALSE,rorýs hnědohrdlý
Streptoprocne phelpsi,Tepui Swift,tepswi1,116004271,FALSE,rorýs tepuový
Streptoprocne zonaris,White-collared Swift,whcswi,47631151,FALSE,rorýs bělokrký
Streptoprocne biscutata,Biscutate Swift,bisswi1,278593981,FALSE,rorýs brazilský
Streptoprocne semicollaris,White-naped Swift,whnswi1,49212801,FALSE,rorýs mexický
Mearnsia picina,Philippine Spinetail,phinee1,,FALSE,rorýs ostnitoocasý
Mearnsia novaeguineae,Papuan Spinetail,papnee1,120611331,FALSE,rorýs papuánský
Zoonavena grandidieri,Madagascar Spinetail,malspi1,624029003,FALSE,rorýs madagaskarský
Zoonavena thomensis,Sao Tome Spinetail,satspi1,,FALSE,rorýs svatotomášský
Zoonavena sylvatica,White-rumped Spinetail,whrnee1,621898824,FALSE,rorýs indický
Telecanthura ussheri,Mottled Spinetail,motspi1,625982457,FALSE,rorýs proužkobradý
Telecanthura melanopygia,Black Spinetail,blaspi1,310204,FALSE,rorýs iturský
Rhaphidura leucopygialis,Silver-rumped Spinetail,sirnee1,620983245,FALSE,rorýs stříbroocasý
Rhaphidura sabini,Sabine's Spinetail,sabspi1,310206,FALSE,rorýs Sabinův
Neafrapus cassini,Cassin's Spinetail,casspi1,310207,FALSE,rorýs Cassinův
Neafrapus boehmi,Böhm's Spinetail,balspi1,47075,FALSE,rorýs netopýří
Chaetura fumosa,Costa Rican Swift,corswi,299896,FALSE,rorýs kostarický
Chaetura spinicaudus,Band-rumped Swift,barswi,203930961,FALSE,rorýs tmavopláštíkový
Chaetura martinica,Lesser Antillean Swift,leaswi1,51048,FALSE,rorýs antilský
Chaetura cinereiventris,Grey-rumped Swift,grrswi1,622175190,FALSE,rorýs šedobřichý
Chaetura egregia,Pale-rumped Swift,parswi1,346321591,FALSE,rorýs ekvádorský
Chaetura vauxi,Vaux's Swift,vauswi,63130,TRUE,rorýs srpokřídlý
Chaetura pelagica,Chimney Swift,chiswi,527296,TRUE,rorýs ostnitý
Chaetura chapmani,Chapman's Swift,chaswi2,126853,FALSE,rorýs Chapmanův
Chaetura meridionalis,Southern Swift,sicswi1,292766081,FALSE,rorýs stěhovavý
Chaetura brachyura,Short-tailed Swift,shtswi1,533583881,FALSE,rorýs krátkoocasý
Hirundapus caudacutus,White-throated Needletail,whtnee,550834681,FALSE,rorýs východní
Hirundapus cochinchinensis,Silver-backed Needletail,sibnee1,175403,FALSE,rorýs bělořitý
Hirundapus giganteus,Brown-backed Needletail,brbnee1,181328281,FALSE,rorýs hnědohřbetý
Hirundapus celebensis,Purple Needletail,purnee1,617604757,FALSE,rorýs fialovohřbetý
Collocalia troglodytes,Pygmy Swiftlet,pygswi2,196942,FALSE,salangana drobná
Collocalia linchi,Cave Swiftlet,cavswi2,622323194,FALSE,salangana sundská
Collocalia esculenta,Glossy Swiftlet,gloswi1,119098041,FALSE,salangana bělobřichá
Hydrochous gigas,Waterfall Swift,watswi1,609676941,FALSE,salangana vodopádová
Aerodramus papuensis,Papuan Swiftlet,papswi1,,FALSE,salangana papuánská
Aerodramus whiteheadi,Whitehead's Swiftlet,whiswi1,,FALSE,salangana filipínská
Aerodramus nuditarsus,Bare-legged Swiftlet,balswi1,,FALSE,salangana novoguinejská
Aerodramus orientalis,Mayr's Swiftlet,mayswi1,,FALSE,salangana šalomounská
Aerodramus infuscatus,Moluccan Swiftlet,molswi5,197455321,FALSE,salangana molucká
Aerodramus hirundinaceus,Mountain Swiftlet,mouswi2,119098341,FALSE,salangana horská
Aerodramus terraereginae,Australian Swiftlet,ausswi1,611823302,FALSE,salangana australská
Aerodramus brevirostris,Himalayan Swiftlet,himswi2,537994571,FALSE,salangana himálajská
Aerodramus vulcanorum,Volcano Swiftlet,volswi1,,FALSE,salangana jávská
Aerodramus maximus,Black-nest Swiftlet,blnswi1,219358,FALSE,salangana černohnízdá
Aerodramus vanikorensis,Uniform Swiftlet,uniswi1,134502351,FALSE,salangana vanikorská
Aerodramus sawtelli,Atiu Swiftlet,atiswi1,204001521,FALSE,salangana atiuská
Aerodramus leucophaeus,Polynesian Swiftlet,polswi1,,FALSE,salangana tahitská
Aerodramus inquietus,Caroline Swiftlet,caiswi1,5509,FALSE,salangana karolínská
Aerodramus pelewensis,Palau Swiftlet,palswi1,610012636,FALSE,salangana palauská
Aerodramus bartschi,Mariana Swiftlet,marswi,610224448,FALSE,salangana marianská
Aerodramus mearnsi,Philippine Swiftlet,phiswi1,204002691,FALSE,salangana hnědořitá
Aerodramus spodiopygius,White-rumped Swiftlet,whrswi2,203908261,FALSE,salangana melanéská
Aerodramus unicolor,Indian Swiftlet,indswi1,621789548,FALSE,salangana indická
Aerodramus francicus,Mascarene Swiftlet,masswi1,72143,FALSE,salangana maskarénská
Aerodramus elaphrus,Seychelles Swiftlet,seyswi1,310193,FALSE,salangana seychelská
Aerodramus fuciphagus,Edible-nest Swiftlet,y00731,612513984,FALSE,salangana ostrovní
Aerodramus salangana,Mossy-nest Swiftlet,monswi2,,FALSE,salangana mechová
Schoutedenapus myoptilus,Scarce Swift,scaswi1,275795871,FALSE,rorýs myší
Schoutedenapus schoutedeni,Schouteden's Swift,,,FALSE,
Aeronautes saxatilis,White-throated Swift,whtswi,242502201,TRUE,rorýs bělohrdlý
Aeronautes montivagus,White-tipped Swift,whtswi1,68827,FALSE,rorýs horský
Aeronautes andecolus,Andean Swift,andswi1,589396691,FALSE,rorýs andský
Tachornis phoenicobia,Antillean Palm-swift,anpswi,619397975,FALSE,rorýs kubánský
Tachornis furcata,Pygmy Swift,pygswi1,82092,FALSE,rorýs drobný
Tachornis squamata,Fork-tailed Palm-swift,ftpswi1,121300651,FALSE,rorýs vidloocasý
Panyptila sanctihieronymi,Great Swallow-tailed Swift,gstswi1,130501571,FALSE,rorýs vlaštovčí
Panyptila cayennensis,Lesser Swallow-tailed Swift,lstswi1,409715331,FALSE,rorýs guyanský
Cypsiurus parvus,African Palm-swift,afpswi1,593006411,FALSE,rorýs africký
Cypsiurus balasiensis,Asian Palm-swift,aspswi1,491383121,FALSE,rorýs palmový
Tachymarptis melba,Alpine Swift,alpswi1,477625571,TRUE,rorýs velký
Tachymarptis aequatorialis,Mottled Swift,motswi2,591105441,FALSE,rorýs šupinkový
Apus acuticauda,Dark-rumped Swift,darswi1,148938811,FALSE,rorýs ásámský
Apus pacificus,Pacific Swift,fotswi,619656938,FALSE,rorýs východoasijský
Apus caffer,White-rumped Swift,whrswi1,277258,FALSE,rorýs kaferský
Apus batesi,Bates's Swift,batswi1,,FALSE,rorýs tmavý
Apus horus,Horus Swift,horswi1,5992,FALSE,rorýs Hórův
Apus nipalensis,House Swift,houswi1,73412751,FALSE,rorýs indočínský
Apus affinis,Little Swift,litswi1,81146361,FALSE,rorýs domovní/domácí
Apus niansae,Nyanza Swift,nyaswi1,31366351,FALSE,rorýs somálský
Apus bradfieldi,Bradfield's Swift,braswi1,277763,FALSE,rorýs damarský
Apus barbatus,African Swift,afrswi1,611798673,FALSE,rorýs tmavoprsý
Apus sladeniae,Fernando Po Swift,,,FALSE,
Apus balstoni,Madagascar Swift,madswi1,501497711,FALSE,rorýs Balstonův
Apus berliozi,Forbes-Watson's Swift,fowswi1,223164731,FALSE,rorýs světlehrdlý
Apus unicolor,Plain Swift,plaswi1,298946681,FALSE,rorýs jednobarvý
Apus alexandri,Alexander's Swift,aleswi1,633937763,FALSE,rorýs Alexandrův
Apus pallidus,Pallid Swift,palswi3,109549961,FALSE,rorýs šedohnědý
Apus apus,Common Swift,comswi,344866661,TRUE,rorýs obecný
TROCHILIDAE,Hummingbirds,,,FALSE,
Topaza pella,Crimson Topaz,critop1,451505841,TRUE,kolibřík topasovohrdlý/zelenokostřečný
Topaza pyra,Fiery Topaz,fietop1,203979591,FALSE,kolibřík zelenokostřečný
Florisuga mellivora,White-necked Jacobin,whnjac1,102605,TRUE,kolibřík bělokrký
Florisuga fusca,Black Jacobin,blkjac1,343640201,FALSE,kolibřík černobílý
Eutoxeres aquila,White-tipped Sicklebill,whtsic1,627615456,TRUE,kolibřík orlozobec
Eutoxeres condamini,Buff-tailed Sicklebill,butsic1,84876621,FALSE,kolibřík rusoocasý
Ramphodon naevius,Saw-billed Hermit,sabher1,293230,TRUE,kolibřík pilozobý
Glaucis dohrnii,Hook-billed Hermit,hobher2,627902763,FALSE,kolibřík bronzovoocasý
Glaucis aeneus,Bronzy Hermit,broher,618601473,FALSE,kolibřík bronzový
Glaucis hirsutus,Rufous-breasted Hermit,rubher,437142001,TRUE,kolibřík ryšavoocasý
Threnetes ruckeri,Band-tailed Barbthroat,batbar1,435781651,FALSE,kolibřík pruhoocasý
Threnetes leucurus,Pale-tailed Barbthroat,patbar1,84877021,FALSE,kolibřík světloocasý
Threnetes niger,Sooty Barbthroat,soobar1,,FALSE,kolibřík kouřový
Anopetia gounellei,Broad-tipped Hermit,brther2,257336011,FALSE,kolibřík tmavohrdlý
