Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,ca
Amazilia grayi,Gray's Hummingbird,,,FALSE,Colibrí amazília de caputxa blava
Trochilus polytmus,Red-billed Streamertail,stream2,173316381,FALSE,colibrí cua de cinta bec-roig/cua de cinta becnegre
Trochilus scitulus,Black-billed Streamertail,stream3,204456,FALSE,Colibrí cua-de-cinta becnegre
Chrysuronia oenone,Golden-tailed Sapphire,gotsap1,68846,FALSE,colibrí safir cua de foc
Goethalsia bella,Pirre Hummingbird,ruchum1,195030421,FALSE,Colibrí de Cerro Pirré
Goldmania violiceps,Violet-capped Hummingbird,vichum1,51649,FALSE,Colibrí de Goldman
Lepidopyga coeruleogularis,Sapphire-throated Hummingbird,sathum1,621885575,FALSE,
Lepidopyga lilliae,Sapphire-bellied Hummingbird,sabhum1,167379,FALSE,Colibrí de ventre safir
Lepidopyga goudoti,Shining-green Hummingbird,shghum1,395654271,FALSE,Colibrí de Goudot
Juliamyia julie,Violet-belied Hummingbird,,,FALSE,Colibrí de Júlia
Hylocharis eliciae,Blue-throated Goldentail,bltgol1,51785961,FALSE,Colibrí d'orelles blanques
Hylocharis cyanus,White-chinned Sapphire,whcsap1,624733747,FALSE,Colibrí amazília gola-roig
Hylocharis chrysura,Gilded Hummingbird,gilhum1,114385521,TRUE,Colibrí safir bronzat
Basilinna xantusii,Xanthus's Hummingbird,xanhum,616382357,FALSE,Colibrí de Xantus
Basilinna leucotis,White-eared Hummingbird,whehum,373787061,FALSE,Colibrí d'orelles blanques
Sternoclyta cyanopectus,Violet-chested Hummingbird,vichum2,287226,FALSE,Colibrí pitviolaci
Hylonympha macrocerca,Scissor-tailed Hummingbird,scthum1,382591891,FALSE,Colibrí cua de tisora
Eugenes fulgens,Magnificent Hummingbird,maghum1,401927741,FALSE,colibrí magnífic
Panterpe insignis,Fiery-throated Hummingbird,fithum1,46235681,TRUE,Colibrí insigne
Heliomaster constantii,Plain-capped Starthroat,plcsta,109155,FALSE,Colibrí de Constant
Heliomaster longirostris,Long-billed Starthroat,lobsta1,451442311,FALSE,Colibrí becllarg
Heliomaster squamosus,Stripe-breasted Starthroat,stbsta1,520946891,TRUE,Colibrí escatós
Heliomaster furcifer,Blue-tufted Starthroat,bltsta2,217496,TRUE,Colibrí de plomall blau
Lampornis viridipallens,Green-throated Mountain-gem,gtmgem1,101,FALSE,colibrí de gorja escatosa
Lampornis sybillae,Green-breasted Mountain-gem,gbmgem1,141285911,FALSE,Colibrí de la Sibil·la
Lampornis amethystinus,Amethyst-throated Hummingbird,amthum1,615523568,FALSE,Colibrí de gola ametista
Lampornis clemenciae,Blue-throated Hummingbird,buthum,452435381,FALSE,Colibrí golablau
Lampornis hemileucus,White-bellied Mountain-gem,wbmgem1,558718511,FALSE,Colibrí golamorat
Lampornis calolaemus,Purple-throated Mountain-gem,ptmgem,72830,FALSE,Colibrí de gola porpra
Lampornis cinereicauda,Grey-tailed Mountain-gem,,,FALSE,colibrí cuagrís
Lampornis castaneoventris,White-throated Mountain-gem,wtmgem1,615159475,FALSE,colibrí de ventre castany
Lamprolaima rhami,Garnet-throated Hummingbird,gathum1,362559071,FALSE,Colibrí golagranat
Myrtis fanny,Purple-collared Woodstar,pucwoo1,630769732,FALSE,Colibrí de collar porpra
Eulidia yarrellii,Chilean Woodstar,chiwoo1,651868516,FALSE,Colibrí d'Arica
Rhodopis vesper,Oasis Hummingbird,oashum1,439762321,TRUE,Colibrí d'Atacama
Thaumastura cora,Peruvian Sheartail,pershe2,439751101,FALSE,Colibrí cua de pinça
Chaetocercus mulsant,White-bellied Woodstar,whbwoo6,509223161,TRUE,Colibrí de Mulsant
Chaetocercus bombus,Little Woodstar,litwoo5,203979441,FALSE,Colibrí borinot
Chaetocercus heliodor,Gorgeted Woodstar,gorwoo2,68289161,FALSE,colibrí d'Héliodore
Chaetocercus astreans,Santa Marta Woodstar,samwoo2,608697168,FALSE,Colibrí astral
Chaetocercus berlepschi,Esmeraldas Woodstar,esmwoo2,471713701,FALSE,Colibrí d'Esmeraldas
Chaetocercus jourdanii,Rufous-shafted Woodstar,ruswoo1,249144041,FALSE,Colibrí de Jourdan
Myrmia micrura,Short-tailed Woodstar,shtwoo1,471976321,TRUE,Colibrí cuacurt
Microstilbon burmeisteri,Slender-tailed Woodstar,sltwoo1,617549628,FALSE,Colibrí de Burmeister
Calliphlox amethystina,Amethyst Woodstar,amewoo1,622627532,TRUE,Colibrí ametista
Calliphlox evelynae,Bahama Woodstar,bahwoo,32872721,FALSE,
Calliphlox bryantae,Magenta-throated Woodstar,matwoo1,469921491,FALSE,Colibrí magenta
Calliphlox mitchellii,Purple-throated Woodstar,putwoo1,203699321,FALSE,Colibrí de Mitchell
Doricha enicura,Slender Sheartail,sleshe1,474780291,FALSE,Colibrí cua d'oreneta
Doricha eliza,Mexican Sheartail,mexshe1,33207121,FALSE,Colibrí d'Elisa
Tilmatura dupontii,Sparkling-tailed Woodstar,spthum1,85419291,FALSE,Colibrí de Dupont
Calothorax lucifer,Lucifer Hummingbird,luchum,456261851,FALSE,Colibrí Llucifer
Calothorax pulcher,Beautiful Hummingbird,beahum1,475161391,FALSE,Colibrí d'altiplà
Mellisuga minima,Vervain Hummingbird,verhum1,203886251,FALSE,Colibrí nan verdós
Mellisuga helenae,Bee Hummingbird,beehum1,121901,TRUE,Colibrí nan abella
Calypte anna,Anna's Hummingbird,annhum,406556071,TRUE,Colibrí d'Anna
Calypte costae,Costa's Hummingbird,coshum,203939681,FALSE,Colibrí de Costa
Archilochus alexandri,Black-chinned Hummingbird,bkchum,220757581,TRUE,Colibrí golanegre
Archilochus colubris,Ruby-throated Hummingbird,rthhum,604314061,TRUE,Colibrí gorja-robí
Selasphorus platycercus,Broad-tailed Hummingbird,brthum,303538531,FALSE,Colibrí cuaample
Selasphorus calliope,Calliope Hummingbird,calhum,283565581,FALSE,Colibrí cal·líope
Selasphorus rufus,Rufous Hummingbird,rufhum,457241371,TRUE,Colibrí rogenc
Selasphorus sasin,Allen's Hummingbird,allhum,123291231,FALSE,Colibrí d'Allen
Selasphorus flammula,Volcano Hummingbird,volhum1,49402841,FALSE,Colibrí dels volcans
Selasphorus scintilla,Scintillant Hummingbird,scihum1,186080321,FALSE,Colibrí llampant
Selasphorus ardens,Glow-throated Hummingbird,glthum1,616224105,FALSE,Colibrí ardent
Atthis heloisa,Bumblebee Hummingbird,bumhum,203996491,FALSE,Colibrí d'Heloïsa
Atthis ellioti,Wine-throated Hummingbird,withum1,20352,FALSE,Colibrí d'Elliot
OPISTHOCOMIFORMES,,,,FALSE,
Opisthocomus hoazin,Hoatzin,hoatzi1,325134081,TRUE,Hoatzín
Clamator jacobinus,Jacobin Cuckoo,piecuc1,8204,FALSE,Cucut reial jacobí
Clamator levaillantii,Levaillant's Cuckoo,levcuc1,8206,FALSE,Cucut reial de Levaillant
Clamator coromandus,Chestnut-winged Cuckoo,chwcuc1,618704316,FALSE,Cucut reial oriental
Clamator glandarius,Great Spotted Cuckoo,grscuc1,59209431,FALSE,Cucut reial europeu
Coccycua minuta,Little Cuckoo,litcuc2,303630481,FALSE,Cucut esquirol menut
Coccycua pumila,Dwarf Cuckoo,dwacuc1,71989,FALSE,Cucut nan
Coccycua cinerea,Ash-colored Cuckoo,asccuc1,613645477,FALSE,Cucut cendrós
Piaya mexicana,Mexican Squirrel-cuckoo,squcuc2,109209,FALSE,cucut esquirol de Mèxic
Piaya cayana,Squirrel Cuckoo,squcuc1,373492111,TRUE,cucut esquirol comú
Piaya melanogaster,Black-bellied Cuckoo,blbcuc1,203919001,FALSE,Cucut esquirol bec-roig
Coccyzus americanus,Yellow-billed Cuckoo,yebcuc,634354421,TRUE,Cucut becgroc
Coccyzus euleri,Pearly-breasted Cuckoo,pebcuc1,318062371,FALSE,Cucut d'Euler
Coccyzus minor,Mangrove Cuckoo,mancuc,100789631,FALSE,cucut de manglar
Coccyzus ferrugineus,Cocos Cuckoo,coccuc1,512767411,FALSE,Cucut de l'illa de Cocos
Coccyzus melacoryphus,Dark-billed Cuckoo,dabcuc1,132854,FALSE,Cucut daurat
Coccyzus erythrophtalmus,Black-billed Cuckoo,bkbcuc,479617311,FALSE,Cucut becnegre
Coccyzus lansbergi,Grey-capped Cuckoo,gyccuc,203930011,FALSE,Cucut capgrís
Coccyzus pluvialis,Chestnut-bellied Cuckoo,chbcuc4,203886231,FALSE,Cucut becgròs de Jamaica
Coccyzus rufigularis,Bay-breasted Cuckoo,babcuc4,75700181,FALSE,Cucut becgròs de la Hispaniola
Coccyzus merlini,Cuban Lizard-cuckoo,grelic1,203885341,FALSE,Cucut sargantaner de Cuba
Coccyzus bahamensis,Bahama Lizard-cuckoo,,,FALSE,
Coccyzus vetula,Jamaican Lizard-cuckoo,jamlic1,203886271,FALSE,cucut sargantaner de Jamaica
Coccyzus longirostris,Hispaniolan Lizard-cuckoo,hislic1,181775701,FALSE,Cucut sargantaner de la Hispaniola
Coccyzus vieilloti,Puerto Rican Lizard-cuckoo,purlic1,204011811,FALSE,Cucut sargantaner de Puerto Rico
†Nannococcyx psix,St Helena Cuckoo,,,FALSE,
Pachycoccyx audeberti,Thick-billed Cuckoo,thbcuc1,586937891,FALSE,Cucut cuaample
Microdynamis parva,Dwarf Koel,dwakoe1,166190461,FALSE,Cucut capnegre
Eudynamys scolopaceus,Asian Koel,asikoe2,85461311,TRUE,cucut koel asiàtic
Eudynamys orientalis,Eastern Koel,asikoe3,44253641,FALSE,cucut koel de Nova Guinea
Urodynamys taitensis,Long-tailed Koel,lotkoe1,203924211,FALSE,Cucut coel del Pacífic
Scythrops novaehollandiae,Channel-billed Cuckoo,chbcuc2,191800241,FALSE,Cucut tucà
Chalcites megarhynchus,Long-billed Cuckoo,lobcuc1,628921068,FALSE,Cucut becllarg
Chalcites basalis,Horsfield's Bronze-cuckoo,hobcuc1,643176739,TRUE,Cucut bronzat de Horsfield
Chalcites osculans,Black-eared Cuckoo,blecuc1,608848789,FALSE,Cucut bronzat de pit cremós
Chalcites ruficollis,Rufous-throated Bronze-cuckoo,rtbcuc1,203981571,FALSE,Cucut bronzat cara-rogenc
Chalcites lucidus,Shinning Bronze-cuckoo,shbcuc1,265311091,FALSE,Cucut bronzat lluent
Chalcites meyeri,White-eared Bronze-cuckoo,webcuc1,167078,FALSE,Cucut maragda d'orelles blanques
Chalcites minutillus,Little Bronze-cuckoo,libcuc1,549280871,FALSE,cucut bronzat menut
Chalcites crassirostris,Pied Bronze-cuckoo,litbrc5,203925991,FALSE,Cucut bronzat garser
Chrysococcyx maculatus,Asian Emerald Cuckoo,asecuc1,438463741,FALSE,Cucut maragda asiàtic
Chrysococcyx xanthorhynchus,Violet Cuckoo,viocuc1,203955281,TRUE,Cucut violaci
Chrysococcyx flavigularis,Yellow-throated Cuckoo,yetcuc1,236554,FALSE,Cucut golagroc
Chrysococcyx klaas,Klaas's Cuckoo,klacuc1,8203,FALSE,Cucut maragda de Klaas
Chrysococcyx cupreus,African Emerald Cuckoo,afecuc1,51431,FALSE,Cucut maragda ventregroc
Chrysococcyx caprius,Diederik Cuckoo,didcuc1,8593,FALSE,Cucut maragda pitblanc
Cacomantis castaneiventris,Chestnut-breasted Cuckoo,chbcuc3,204010961,FALSE,Cucut de ventre castany
Cacomantis flabelliformis,Fan-tailed Cuckoo,fatcuc1,123962531,FALSE,Cucut cua de ventall
Cacomantis sonneratii,Banded Bay Cuckoo,babcuc2,234136261,FALSE,Cucut barrat
Cacomantis merulinus,Plaintive Cuckoo,placuc1,169228561,FALSE,cucut ploraner/pitgrís
Cacomantis passerinus,Grey-bellied Cuckoo,placuc3,326554521,FALSE,Cucut pitgrís
Cacomantis variolosus,Brush Cuckoo,brucuc3,627159029,FALSE,cucut de matollar
Cacomantis aeruginosus,Moluccan Cuckoo,molcuc1,615678054,FALSE,Cucut de les Moluques
Heteroscenes pallidus,Pallid Cuckoo,palcuc1,647554498,FALSE,Cucut pàl·lid
Caliechthrus leucolophus,White-crowned Cuckoo,whckoe1,203961631,FALSE,Cucut de coroneta blanca
Cercococcyx mechowi,Dusky Long-tailed Cuckoo,dltcuc1,94100,FALSE,Cucut cuallarg fosc
Cercococcyx olivinus,Olive Long-tailed Cuckoo,oltcuc1,203974571,FALSE,Cucut cuallarg olivaci
Cercococcyx montanus,Barred Long-tailed Cuckoo,bltcuc1,56526011,FALSE,Cucut cuallarg de muntanya
Surniculus dicruroides,Fork-tailed Drongo-cuckoo,asidrc2,358179801,FALSE,cucut drongo cuaforcat
Surniculus lugubris,Square-tailed Drongo-cuckoo,asidrc3,203489841,FALSE,cucut drongo de la Sonda
Surniculus velutinus,Philippine Drongo-cuckoo,phidrc1,203894541,FALSE,Cucut-drongo de les Filipines
Surniculus musschenbroeki,Moluccan Drongo-cuckoo,asidrc4,700485,FALSE,Cucut-drongo de les Moluques
Hierococcyx bocki,Dark Hawk-cuckoo,larhac1,637366088,FALSE,Cucut esparverenc fosc
Hierococcyx sparverioides,Large Hawk-cuckoo,larhac2,240963151,FALSE,cucut esparverenc gros/fosc
Hierococcyx varius,Common Hawk-cuckoo,cohcuc1,284331471,FALSE,Cucut shikra
Hierococcyx vagans,Moustached Hawk-cuckoo,mohcuc1,203968431,FALSE,Cucut mostatxut
Hierococcyx nisicolor,Whistling Hawk-cuckoo,hodhac1,323493911,FALSE,cucut xiulador
Hierococcyx fugax,Malay Hawk-cuckoo,malhac1,463856681,FALSE,cucut fugisser
Hierococcyx hyperythrus,Northern Hawk-cuckoo,nohcuc1,204001471,FALSE,Cucut de la Xina
Hierococcyx pectoralis,Philippine Hawk-cuckoo,phhcuc1,203894591,FALSE,Cucut de les Filipines
Cuculus crassirostris,Sulawesi Cuckoo,suhcuc1,700483,FALSE,Cucut de Sulawesi
Cuculus solitarius,Red-chested Cuckoo,reccuc1,8273,FALSE,Cucut pit-roig
Cuculus clamosus,Black Cuckoo,blacuc1,203948581,FALSE,Cucut negre
Cuculus micropterus,Indian Cuckoo,indcuc1,244271771,FALSE,Cucut alacurt
Cuculus canorus,Common Cuckoo,comcuc,144060371,TRUE,cucut africà/comú
Cuculus gularis,African Cuckoo,afrcuc1,277813,FALSE,Cucut africà
Cuculus saturatus,Oriental Cuckoo,himcuc1,203902361,FALSE,cucut de l'Himàlaia
Cuculus lepidus,Sunda Cuckoo,suncuc2,609673058,FALSE,Cucut de la Sonda
CUCULIFORMES,,,,FALSE,
CUCULIDAE,Cuckoos,,,FALSE,
Crotophaga major,Greater Ani,greani1,300752,FALSE,Aní gros
Crotophaga ani,Smooth-billed Ani,smbani,265597421,TRUE,Aní de bec llis
Crotophaga sulcirostrist,Groove-billed Ani,grbani,140225,FALSE,
Guira guira,Guira Cuckoo,guicuc1,216440,FALSE,Guira
Tapera naevia,American Striped Cuckoo,strcuc1,410689341,FALSE,Cucut estriat
Dromococcyx phasianellus,Pheasant Cuckoo,phecuc1,211973891,FALSE,Cucut faisà
Dromococcyx pavoninus,Pavonine Cuckoo,pavcuc1,362843521,FALSE,Cucut paó
Morococcyx erythropygus,Lesser Ground-cuckoo,legcuc1,177641251,FALSE,Cucut babau
Geococcyx velox,Lesser Roadrunner,lesroa1,41271831,FALSE,Correcamins menut
Geococcyx californianus,Greater Roadrunner,greroa,256178591,TRUE,Correcamins gros
Neomorphus geoffroyi,Rufous-vented Ground-cuckoo,rvgcuc1,306543181,FALSE,cucut formiguer becgroc
Neomorphus radiolosus,Banded Ground-cuckoo,bagcuc1,648913142,FALSE,Cucut formiguer barrat
