Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,hr
Megapodius cumingii,Philippine Scrubfowl,tabscr1,203893311,FALSE,sivoprsa kokošina
Megapodius bernsteinii,Sula Scrubfowl,sulscr1,203905281,FALSE,riđa kokošina
Megapodius tenimberensis,Tanimbar Scrubfowl,tanscr1,616243717,FALSE,tanimbarska kokošina
Megapodius layardi,Vanuatu Scrubfowl,vanscr1,159476231,FALSE,vanuatska kokošina
Megapodius laperouse,Micronesian Scrubfowl,micscr1,140190,FALSE,mala kokošina
Megapodius pritchardii,Polynesian Scrubfowl,niuscr1,,FALSE,tongaska kokošina
Megapodius freycinet,Dusky Scrubfowl,dusscr1,203908891,FALSE,crvenolica kokošina
Megapodius geelvikanus,Biak Scrubfowl,,,FALSE,biačka kokošina
Megapodius decollatus,New Guinea Scrubfowl,negscr1,608353878,FALSE,novogvinejska kokošina
Megapodius eremita,Melanesian Scrubfowl,melscr1,203908291,FALSE,melanezijska kokošina
Megapodius reinwardt,Orange-footed Scrubfowl,orfscr1,58969901,TRUE,kukmasta kokošina
CRACIDAE,Guans Chachalacas Curassows,,,FALSE,guani čačalake hokoi
Chamaepetes unicolor,Black Guan,blagua1,53957,FALSE,crni guan
Chamaepetes goudotii,Sickle-winged Guan,siwgua1,167255,FALSE,modrolici guan
Penelopina nigra,Highland Guan,higgua1,203692671,FALSE,planinski guan
Penelope argyrotis,Band-tailed Guan,batgua1,167175,FALSE,riđorepi guan
Penelope barbata,Bearded Guan,beagua1,203915771,FALSE,riđi guan
Penelope ortoni,Baudo Guan,baugua1,168703,FALSE,tamnoglavi guan
Penelope montagnii,Andean Guan,andgua1,591553691,FALSE,andski guan
Penelope marail,Marail Guan,margua1,67615,FALSE,maslinasti guan
Penelope superciliaris,Rusty-margined Guan,rumgua1,102319,FALSE,sivolici guan
Penelope dabbenei,Red-faced Guan,refgua1,203985251,FALSE,crvenolici guan
Penelope jacquacu,Spix's Guan,spigua1,190225,FALSE,spixov guan
Penelope purpurascens,Crested Guan,cregua1,173510751,FALSE,kudravi guan
Penelope perspicax,Cauca Guan,caugua1,24042071,FALSE,kaukanski guan
Penelope albipennis,White-winged Guan,whwgua1,13277,FALSE,bjelokrili guan
Penelope obscura,Dusky-legged Guan,dulgua1,17658,FALSE,tamnonogi guan
Penelope pileata,White-crested Guan,whcgua1,203895021,FALSE,riđoprsi guan
Penelope ochrogaster,Chestnut-bellied Guan,chbgua1,193678891,FALSE,riđotrbi guan
Penelope jacucaca,White-browed Guan,whbgua1,248626081,FALSE,bjeločeli guan
Pipile pipile,Trinidad Piping-guan,trpgua1,619307334,FALSE,trinidadski guan
Pipile cumanensis,Blue-throated Piping-guan,butpig1,321834561,FALSE,plavogrli guan
Pipile grayi,White-throated Piping-guan,butpig2,396896121,FALSE,bjelogrli guan
Pipile cujubi,Red-throated Piping-guan,rtpgua1,81437,FALSE,crvenobradi guan
Pipile jacutinga,Black-fronted Piping-guan,bfpgua1,184775031,FALSE,crnočeli guan
Aburria aburri,Wattled Guan,watgua1,101066981,FALSE,plavokljuni guan
Oreophasis derbianus,Horned Guan,horgua1,177575,TRUE,rogati guan
Ortalis vetula,Plain Chachalaca,placha,172754021,TRUE,sivoleđa čačalaka
Ortalis cinereiceps,Grey-headed Chachalaca,grhcha1,456443461,FALSE,sivoglava čačalaka
Ortalis garrula,Chestnut-winged Chachalaca,chwcha1,624280923,FALSE,kestenjastokrila čačalaka
Ortalis ruficauda,Rufous-vented Chachalaca,ruvcha1,2320,FALSE,venezuelska čačalaka
Ortalis erythroptera,Rufous-headed Chachalaca,ruhcha1,514472621,FALSE,riđoglava čačalaka
Ortalis wagleri,Rufous-bellied Chachalaca,rubcha1,49211281,FALSE,riđotrba čačalaka
Ortalis poliocephala,West Mexican Chachalaca,wemcha1,153248731,FALSE,velika čačalaka
Ortalis canicollis,Chaco Chachalaca,chacha1,572139481,FALSE,riđorepa čačalaka
Ortalis leucogastra,White-bellied Chachalaca,whbcha1,20375,FALSE,bjelotrba čačalaka
Ortalis columbiana,Colombian Chachalaca,colcha1,212229,FALSE,kolumbijska čačalaka
Ortalis guttata,Speckled Chachalaca,specha3,183366391,FALSE,pjegava čačalaka
Ortalis araucan,East Brasilian Chachalaca,,,FALSE,riđokapa čačalaka
Ortalis squamata,Scaled Chachalaca,specha4,332027481,FALSE,ljuskastoprsa čačalaka
Ortalis motmot,Little Chachalaca,varcha1,78010,FALSE,kestenjastoglava čačalaka
CASUARIIDAE,Cassowaries Emus,,,FALSE,kazuari emui
Casuarius casuarius,Southern Cassowary,soucas1,203989761,TRUE,veliki kazuar
Casuarius bennetti,Dwarf Cassowary,dwacas1,203987101,FALSE,mali kazuar
Casuarius unappendiculatus,Northern Cassowary,norcas1,536563291,FALSE,šarenovrati kazuar
Dromaius novaehollandiae,Emu,emu1,623096519,TRUE,emu
†Dromaius minor,King Island Emu,,,FALSE,patuljasti emu
†Dromaius baudinianus,Kangoroo Island Emu,,,FALSE,mali emu
APTERYGIDAE,Kiwis,,,FALSE,kiviji
Apteryx haastii,Great Spotted Kiwi,grskiw1,617700522,TRUE,pjegavi kivi
Apteryx owenii,Little Spotted Kiwi,liskiw1,596188651,FALSE,mali kivi
Apteryx mantelli,Northern Brown Kiwi,nibkiw1,623165890,TRUE,smeđi kivi
Apteryx australis,Southern Brown Kiwi,sobkiw1,85614831,FALSE,mrki kivi
Ortalis superciliaris,Buff-browed Chachalaca,bubcha1,349286621,FALSE,mala čačalaka
Nothocrax urumutum,Nocturnal Curassow,noccur1,34378,FALSE,noćni hoko
Crax rubra,Great Curassow,grecur1,398165901,TRUE,kudravi hoko
Crax alberti,Blue-billed Curassow,bubcur1,203963551,FALSE,plavokljuni hoko
Crax daubentoni,Yellow-knobbed Curassow,yekcur1,386558971,FALSE,žutokljuni hoko
Crax alector,Black Curassow,blacur1,322191801,FALSE,crni hoko
Crax fasciolata,Bare-faced Curassow,bafcur1,203894921,FALSE,gololici hoko
Crax pinima,Belem Curassow,,,FALSE,bjelotrbi hoko
Crax globulosa,Wattled Curassow,watcur1,219106901,FALSE,crvenokljuni hoko
Crax blumenbachii,Red-billed Curassow,rebcur1,625223109,FALSE,krunati hoko
Mitu tomentosum,Crestless Curassow,crecur2,317505041,FALSE,venezuelski hoko
Mitu mitu,Alagoas Curassow,alacur1,,FALSE,alagoaški hoko
Mitu tuberosum,Razor-billed Curassow,rabcur2,559592971,FALSE,amazonski hoko
Mitu salvini,Salvin's Curassow,salcur1,629970995,FALSE,krupnokljuni hoko
Pauxi unicornis,Horned Curassow,horcur3,534805601,FALSE,rogati hoko
Pauxi koepckeae,Sira Curassow,horcur2,32320171,FALSE,peruanski hoko
Pauxi pauxi,Helmeted Curassow,helcur1,63667,FALSE,kacigasti hoko
Arborophila crudigularis,Taiwan Partridge,taipar1,39795,FALSE,tajvanska trčka
Arborophila mandellii,Chestnut-breasted Partridge,chbpar2,239603,FALSE,riđoprsa trčka
Arborophila brunneopectus,Bar-backed Partridge,babpar1,113529,FALSE,smeđoprsa trčka
Arborophila rufipectus,Sichuan Partridge,sicpar1,637394890,FALSE,sečuanska trčka
