Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,hr
CHARADRIIDAE,Plovers,,,FALSE,kulici vivci
Pluvialis squatarola,Grey Plover,bkbplo,167886311,FALSE,zlatar pijukavac
Pluvialis apricaria,Eurasian Golden Plover,eugplo,103332581,TRUE,troprsti zlatar
Pluvialis fulva,Pacific Golden Plover,pagplo,516983,FALSE,mali zlatar
Pluvialis dominica,American Golden Plover,amgplo,31731481,TRUE,američki zlatar
Oreopholus ruficollis,Tawny-throared Dotterel,tatdot1,470069241,FALSE,sivoprsi kulik
Phegornis mitchellii,Diademed Plover,diaplo1,623062002,FALSE,prugastotrbi kulik
Eudromias morinellus,Eurasian Dotterel,eurdot,234987261,FALSE,šareni kulik
Charadrius aquilonius,Northern Red-breasted Plover,,,FALSE,novozelandski kulik
Charadrius obscurus,Southern Red-breasted Plover,,,FALSE,kestenjastoprsi kulik
Charadrius hiaticula,Common Ringed Plover,corplo,587493441,FALSE,kulik blatarić
Charadrius semipalmatus,Semipalmated Plover,semplo,259863421,FALSE,američki kulik
Charadrius placidus,Long-billed Plover,lobplo1,97072621,FALSE,dugokljuni kulik
Charadrius dubius,Little Ringed Plover,lirplo,445145071,TRUE,kulik sljepčić
Charadrius wilsonia,Wilson's Plover,wilplo,101852641,FALSE,krupnokljuni kulik
Charadrius vociferus,Killdeer,killde,104731171,TRUE,klinorepi kulik
Charadrius melodus,Piping Plover,pipplo,27747281,TRUE,kulik zviždar
Charadrius thoracicus,Black-banded Plover,,,FALSE,madagaskarski kulik
Charadrius pecuarius,Kittlitz's Plover,kitplo1,215023921,FALSE,mali kulik
ANHINGIDAE,Anhingas,,,FALSE,zmijovrate
Anhinga anhinga,Anhinga,anhing,178385161,TRUE,američka zmijovrata
Anhinga rufa,African Darter,darter3,177489221,FALSE,afrička zmijovrata
A. r. vulsini,Madagascar Darter,,,FALSE,madagaskarska zmijovrata
Anhinga melanogaster,Oriental Darter,darter2,239749,FALSE,azijska zmijovrata
Anhinga novaehollandiae,Australasian Darter,darter4,59760711,FALSE,australska zmijovrata
CHARADRIIFORMES,Shorebird sp.,shoreb1,263655401,FALSE,šljukarice
BURHINIDAE,Thick-knees,,,FALSE,ćukavice
Charadrius sanctaehelenae,St Helena Plover,,,FALSE,svetohelenski kulik
Charadrius tricollaris,African Three-banded Plover,,,FALSE,troprugi kulik
Charadrius bifrontatus,Madagascar Three-banded Plover,,,FALSE,pepeljastolici kulik
Charadrius forbesi,Forbes's Plover,forplo1,279895,FALSE,smeđoglavi kulik
Charadrius marginatus,White-fronted Plover,whfplo1,618481264,FALSE,obalni kulik
Charadrius alexandrinus,Kentish Plover,kenplo1,394341091,FALSE,morski kulik
Charadrius dealbatus,White-faced Plover,whfplo2,619218715,FALSE,bjelolici kulik
Charadrius nivosus,Snowy Plover,snoplo5,71563311,FALSE,sivoleđi kulik
Charadrius javanicus,Javan Plover,javplo1,20369221,FALSE,javanski kulik
Charadrius ruficapillus,Red-capped Plover,recplo1,623186243,FALSE,riđokapi kulik
Charadrius peronii,Malay Plover,,,FALSE,indonezijski kulik
Charadrius pallidus,Chestnut-banded Plover,chbplo1,277958,FALSE,riđoprugasti kulik
Charadrius collaris,Collared Plover,colplo1,615398635,FALSE,južnoamerički kulik
Charadrius alticola,Puna Plover,punplo1,86011591,FALSE,punski kulik
Charadrius falklandicus,Two-banded Plover,twbplo1,405171861,FALSE,patagonski kulik
Charadrius bicinctus,Double-banded Plover,dobplo1,515759401,FALSE,riđoprsi kulik
Charadrius mongolus,Lesser Sandplover,,,FALSE,mongolski kulik
C. m. atrifrons,Tibetan Sandplover,,,FALSE,tibetski kulik
Charadrius leschenaultii,Greater Sandplover,,,FALSE,pustinjski kulik
Charadrius asiaticus,Caspian Plover,casplo1,41716,FALSE,kaspijski kulik
Charadrius veredus,Oriental Plover,oriplo1,643781701,FALSE,kineski kulik
Charadrius montanus,Mountain Plover,mouplo,311635271,FALSE,prerijski kulik
Charadrius modestus,Rufous-chested Plover,,,FALSE,sivolici kulik
Thinornis cucullatus,Hooded Plover,hooplo2,101314511,FALSE,crnoglavi kulik
Thinornis novaeseelandiae,Shore Plover,shoplo1,298236081,TRUE,čatamski kulik
Elseyornis melanops,Black-fronted Dotterel,blfdot1,273100491,FALSE,crnočeli kulik
Hoploxypterus cayanus,Pied Lapwing,pielap1,32242441,FALSE,crnolici vivak
Vanellus vanellus,Northern Lapwing,norlap,246408711,FALSE,vivak
Vanellus crassirostris,Long-toed Lapwing,lotlap1,651407732,FALSE,dugoprsti vivak
Vanellus armatus,Blacksmith Lapwing,blaplo1,539413331,FALSE,bjelokapi vivak
Vanellus spinosus,Spur-winged Lapwing,spwlap1,617827101,FALSE,ostrugasti vivak
Vanellus duvaucelii,River Lapwing,rivlap1,249603,FALSE,riječni vivak
Vanellus tectus,Black-headed Lapwing,blhlap1,648447006,FALSE,crnokapi vivak
Vanellus malabaricus,Yellow-wattled Lapwing,yewlap2,352435851,FALSE,indijski vivak
Vanellus albiceps,White-headed Lapwing,whhlap1,650127587,FALSE,sivovrati vivak
Vanellus lugubris,Senegal Lapwing,senlap1,204006911,FALSE,bjeločeli vivak
Vanellus melanopterus,Black-winged Lapwing,blwlap1,3034,FALSE,smeđoleđi vivak
Vanellus coronatus,Crowned Lapwing,crolap1,31374031,FALSE,krunati vivak
Vanellus senegallus,Wattled Lapwing,watlap1,28225811,FALSE,smeđi vivak
Vanellus melanocephalus,Spot-breasted Lapwing,spblap1,31372611,FALSE,pjegavoprsi vivak
Vanellus superciliosus,Brown-chested Lapwing,brclap1,244134421,FALSE,riđoprsi vivak
Vanellus cinereus,Grey-headed Lapwing,gyhlap1,203940131,FALSE,sivoglavi vivak
Vanellus indicus,Red-wattled Lapwing,rewlap1,239274571,TRUE,vivak naočar
Vanellus macropterus,Javanese Wattled Lapwing,sunlap1,,FALSE,javanski vivak
Vanellus tricolor,Banded Lapwing,banlap1,629248130,FALSE,australski vivak
Vanellus miles,Masked Lapwing,maslap1,273100541,TRUE,žutokljuni vivak
Vanellus novaehollandiae,Black-shouldered Lapwing,,,FALSE,ogrličasti vivak
Vanellus gregarius,Sociable Lapwing,soclap1,588192451,FALSE,stepski vivak
Vanellus leucurus,White-tailed Lapwing,whtlap1,345090061,FALSE,bjelorepi vivak
Vanellus chilensis,Southern Lapwing,soulap1,471577881,TRUE,crnoprsi vivak
Vanellus resplendens,Andean Lapwing,andlap1,210223,FALSE,andski vivak
Erythrogonys cinctus,Red-kneed Dotterel,rekdot1,600348021,FALSE,mali vivak
Peltohyas australis,Inland Dotterel,inldot2,613461091,FALSE,smeđi kulik
Anarhynchus frontalis,Wrybill,wrybil1,2974,TRUE,krivokljuni kulik
Actophilornis africanus,African Jacana,afrjac1,609068433,FALSE,afrička jakana
Actophilornis albinucha,Madagascar Jacana,madjac1,97452,FALSE,madagaskarska jakana
Metopidius indicus,Bronze-winged Jacana,brwjac1,204024191,FALSE,mrka jakana
Irediparra gallinacea,Comb-crested Jacana,cocjac1,33171581,FALSE,crvenočela jakana
Microparra capensis,Lesser Jacana,lesjac1,609068617,FALSE,mala jakana
SCOLOPACIDAE,Sandpipers Snipes Phalaropes,,,FALSE,šljuke prutke žalari
Bartramia longicauda,Upland Sandpiper,uplsan,249618851,FALSE,prerijska prutka
Numenius tahitiensis,Bristle-thighed Curlew,brtcur,516988,FALSE,pacifički pozviždač
Numenius phaeopus,Whimbrel,whimbr5,207360,FALSE,prugasti pozviždač
N. p. hudsonicus,American Whimbrel,,,FALSE,američki prugasti pozviždač
Numenius minutus,Little Curlew,litcur,633651651,FALSE,mali pozviždač
Numenius borealis,Eskimo Curlew,eskcur,,FALSE,eskimski pozviždač
Numenius tenuirostris,Slender-billed Curlew,slbcur,,FALSE,tankokljuni pozviždač
Numenius americanus,Long-billed Curlew,lobcur,351892901,FALSE,riđi pozviždač
Numenius arquata,Eurasian Curlew,eurcur,345945161,TRUE,veliki pozviždač
Numenius madagascariensis,Far Eastern Curlew,faecur,372201601,FALSE,dugokljuni pozviždač
Limosa lapponica,Bar-tailed Godwit,batgod,132114,FALSE,riđa muljača
Limosa fedoa,Marbled Godwit,margod,340884511,FALSE,pjegava muljača
Limosa haemastica,Hudsonian Godwit,hudgod,79090561,FALSE,američka muljača
Limosa limosa,Black-tailed Godwit,bktgod,203953591,TRUE,crnorepa muljača
Arenaria interpres,Ruddy Turnstone,rudtur,205697,TRUE,kameničar
Arenaria melanocephala,Black Turnstone,blktur,262658431,FALSE,mrki kameničar
Calidris tenuirostris,Great Knot,grekno,217167841,FALSE,veliki žalar
Calidris canutus,Red Knot,redkno,31731521,TRUE,hrđasti žalar
Calidris virgata,Surfbird,surfbi,49596,TRUE,debelokljuni žalar
Calidris pugnax,Ruff,ruff,121526871,TRUE,pršljivac
Calidris falcinellus,Broad-billed Sandpiper,brbsan,578035591,FALSE,plosnatokljuni žalar
Calidris acuminata,Sharp-tailed Sandpiper,shtsan,101486061,FALSE,oštrorepi žalar
Calidris himantopus,Stilt Sandpiper,stisan,262674661,FALSE,dugonogi žalar
Calidris ferruginea,Curlew Sandpiper,cursan,203969981,FALSE,krivokljuni žalar
Calidris temminckii,Temminck's Stint,temsti,203974011,FALSE,sijedi žalar
Calidris subminuta,Long-toed Stint,lotsti,634852091,FALSE,dugoprsti žalar
Calidris pygmaea,Spoon-billed Sandpiper,spbsan1,166378,TRUE,žalar žličar
Calidris ruficollis,Red-necked Stint,rensti,176409,FALSE,riđovrati žalar
Calidris alba,Sanderling,sander,138266,FALSE,bijeli žalar
Calidris alpina,Dunlin,dunlin,179516,FALSE,žalar cirikavac
Calidris ptilocnemis,Rock Sandpiper,rocsan,261590171,FALSE,žalar stjenjak
Calidris maritima,Purple Sandpiper,pursan,103333191,FALSE,morski žalar
Calidris bairdii,Baird's Sandpiper,baisan,32797461,FALSE,bairdov žalar
Calidris minuta,Little Stint,litsti,533917821,FALSE,mali žalar
Calidris minutilla,Least Sandpiper,leasan,250155331,FALSE,kanadski žalar
Calidris fuscicollis,White-rumped Sandpiper,whrsan,116123881,FALSE,eskimski žalar
Calidris subruficollis,Buff-breasted Sandpiper,bubsan,63770,FALSE,žutonogi žalar
Calidris melanotos,Pectoral Sandpiper,pecsan,31730401,FALSE,žalar šljukar
Calidris pusilla,Semipalmated Sandpiper,semsan,137536,FALSE,žalar pješčar
Calidris mauri,Western Sandpiper,wessan,105875,FALSE,aljaski žalar
†Prosobonia leucoptera,Tahiti Sandpiper,,,FALSE,tahitska prutka
†Prosobonia ellisi,Moorea Sandpiper,moosan1,,FALSE,riđotrba prutka
†Prosobonia cancellata,Christmas Sandpiper,,,FALSE,polinezijska prutka
Prosobonia parvirostris,Tuamotu Sandpiper,tuasan1,203895411,FALSE,tuamotska prutka
Limnodromus semipalmatus,Asian Dowitcher,asidow1,232829801,FALSE,azijska šljukolika
Limnodromus griseus,Short-billed Dowitcher,shbdow,66312751,FALSE,kratkokljuna šljukolika
Limnodromus scolopaceus,Long-billed Dowitcher,lobdow,263152871,FALSE,dugokljuna šljukolika
Scolopax rusticola,Eurasian Woodcock,eurwoo,223253541,FALSE,šumska šljuka
Scolopax mira,Amami Woodcock,amawoo1,545998771,FALSE,riukiuška šljuka
Scolopax saturata,Javan Woodcock,duswoo4,639332972,FALSE,mrka šljuka
Scolopax rosenbergii,New Guinea Woodcock,duswoo3,203970291,FALSE,novogvinejska šljuka
Scolopax bukidnonensis,Bukidnon Woodcock,bukwoo1,203890591,FALSE,filipinska šljuka
Scolopax celebensis,Sulawesi Woodcock,sulwoo1,649061526,FALSE,sulaveška šljuka
Scolopax rochussenii,Moluccan Woodcock,molwoo1,203902941,FALSE,molučka šljuka
Scolopax minor,American Woodcock,amewoo,96879691,TRUE,američka šljuka
Coenocorypha pusilla,Chatham Snipe,chisni1,220229321,FALSE,čatamska šljuka
†Coenocorypha iredalei,South Island Snipe,soisni1,,FALSE,ljuskastoboka šljuka
Coenocorypha huegeli,Snares Snipe,snisni1,203919681,FALSE,snerska šljuka
Coenocorypha aucklandica,Auckland Snipe,subsni1,613601246,FALSE,kratkorepa šljuka
†Coenocorypha barrierensis,North Island Snipe,noisni1,,FALSE,novozelandska šljuka
Gallinago imperialis,Imperial Snipe,impsni1,86008171,FALSE,riđa šljuka
Gallinago jamesoni,Andean Snipe,andsni1,195145,FALSE,andska šljuka
Gallinago stricklandii,Fuegian Snipe,fuesni1,388297881,FALSE,patagonska šljuka
Gallinago solitaria,Solitary Snipe,solsni1,617554141,FALSE,planinska šljuka
Gallinago hardwickii,Latham's Snipe,latsni1,593752771,FALSE,japanska šljuka
Gallinago nemoricola,Wood Snipe,woosni1,338905451,FALSE,himalajska šljuka
Gallinago stenura,Pintail Snipe,pitsni,412194641,FALSE,sibirska šljuka
Gallinago megala,Swinhoe's Snipe,swisni1,448249421,FALSE,bajkalska šljuka
PEDIONOMIDAE,Plains-wanderer,plawan1,496959781,TRUE,kulik prepeličar
Pedionomus torquatus,Plains-wanderer,plawan1,496959781,TRUE,kulik prepeličar
THINOCORIDAE,Seedsnipes,,,FALSE,tinokore
Attagis gayi,Rufous-bellied Seedsnipe,rubsee2,615679654,FALSE,riđotrba tinokora
Attagis malouinus,White-bellied Seedsnipe,whbsee2,34738601,FALSE,bjelotrba tinokora
Thinocorus orbignyianus,Grey-breasted Seedsnipe,gybsee1,305280421,FALSE,bjelogrla tinokora
Thinocorus rumicivorus,Least Seedsnipe,leasee1,470064751,TRUE,mala tinokora
ROSTRATULIDAE,Painted-snipes,,,FALSE,šarene šljuke
Rostratula benghalensis,Greater Painted-snipe,grpsni1,354933991,FALSE,šarena šljuka
Rostratula australis,Australian Painted-snipe,auspas1,632481280,FALSE,australska šljuka
Nycticryphes semicollaris,South American Painted-snipe,soapas1,267264381,FALSE,crnoprsa šljuka
JACANIDAE,Jacanas,,,FALSE,jakane
Jacana spinosa,Northern Jacana,norjac,251027681,FALSE,žutočela jakana
Jacana jacana,Wattled Jacana,watjac1,102079791,TRUE,južnoamerička jakana
Hydrophasianus chirurgus,Pheasant-tailed Jacana,phtjac1,77083251,FALSE,dugorepa jakana
Gallinago nigripennis,African Snipe,afrsni1,214405201,FALSE,afrička šljuka
Gallinago macrodactyla,Madagascar Snipe,madsni1,93105,FALSE,madagaskarska šljuka
Gallinago media,Great Snipe,gresni1,203915881,FALSE,šljuka livadarka
Gallinago gallinago,Common Snipe,comsni,459120821,TRUE,šljuka kokošica
Gallinago delicata,Wilson Snipe,wilsni1,94350,TRUE,tamnokrila šljuka
Gallinago paraguaiae,South American Snipe,soasni2,87805851,FALSE,južnoamerička šljuka
Gallinago andina,Puna Snipe,punsni1,606162571,FALSE,punska šljuka
Gallinago nobilis,Noble Snipe,nobsni1,204007001,FALSE,kolumbijska šljuka
Gallinago undulata,Giant Snipe,giasni1,203952011,FALSE,velika šljuka
Lymnocryptes minimus,Jack Snipe,jacsni,121526901,FALSE,mala šljuka
Steganopus tricolor,Wilson's Phalarope,wilpha,263159581,FALSE,velika liskonoga
Phalaropus lobatus,Red-necked Phalarope,renpha,103332941,FALSE,tankokljuna liskonoga
Phalaropus fulicarius,Red Phalarope,redpha1,31731051,FALSE,riđa liskonoga
Xenus cinereus,Terek Sandpiper,tersan,359544591,FALSE,prutka sabljarka
Actitis hypoleucos,Common Sandpiper,comsan,233203,TRUE,mala prutka
Actitis macularia,Spotted Sandpiper,sposan,170913191,TRUE,pjegava prutka
Tringa ochropus,Green Sandpiper,grnsan,622258100,FALSE,crnokrila prutka
Tringa solitaria,Solitary Sandpiper,solsan,79091261,FALSE,samotna prutka
Tringa brevipes,Grey-tailed Tattler,gyttat1,258936451,FALSE,sivorepa prutka
Tringa incana,Wandering Tattler,wantat1,203884851,FALSE,pacifička prutka
Tringa semipalmata,Willet,willet1,458691321,TRUE,šarenokrila prutka
Tringa flavipes,Lesser Yellowlegs,lesyel,207171,FALSE,kratkokljuna prutka
Tringa erythropus,Spotted Redshank,spored,211565161,FALSE,crna prutka
Tringa nebularia,Common Greenshank,comgre,439989201,FALSE,krivokljuna prutka
Tringa melanoleuca,Greater Yellowlegs,greyel,54156951,FALSE,žutonoga prutka
Tringa totanus,Common Redshank,comred1,385661291,FALSE,crvenonoga prutka
Tringa glareola,Wood Sandpiper,woosan,360769611,FALSE,prutka migavica
Tringa stagnatilis,Marsh Sandpiper,marsan,408383461,FALSE,dugonoga prutka
Tringa guttifer,Spotted Greenshank,norgre1,633014455,FALSE,sahalinska prutka
Anous stolidus,Brown Noddy,brnnod,3267,FALSE,smeđa čigra
Anous tenuirostris,Lesser Noddy,lesnod1,203917641,FALSE,tankokljuna čigra
Anous minutus,Black Noddy,blknod,140105,TRUE,bjelokapa čigra
Procelsterna cerulea,Blue Noddy,,,FALSE,sinja čigra
Procelsterna albivitta,Grey Noddy,,,FALSE,bjeloglava čigra
Gygis alba,Common White Tern,whiter3,31641521,FALSE,bijela čigra
Gygis microrhyncha,Little White Tern,whiter5,203895611,FALSE,markezaška čigra
Rynchops niger,Black Skimmer,blkski,179806,TRUE,američki vodosijek
Rynchops flavirostris,African Skimmer,afrski1,203966551,FALSE,afrički vodosijek
Rynchops albicollis,Indian Skimmer,indski1,204024911,FALSE,indijski vodosijek
Saundersilarus saundersi,Saunders's Gull,saugul2,70262551,FALSE,kratkokljuni galeb
Hydrocoloeus minutus,Little Gull,litgul,203913571,FALSE,mali galeb
Rhodostethia rosea,Ross's Gull,rosgul,105353261,FALSE,ružičasti galeb
Creagrus furcatus,Swallow-tailed Gull,swtgul1,31541,FALSE,galapagoski galeb
Xema sabini,Sabine's Gull,sabgul,179514,FALSE,galeb lastar
Pagophila eburnea,Ivory Gull,ivogul,137334,TRUE,bijeli galeb
Rissa brevirostris,Red-legged Kittiwake,relkit,648005265,FALSE,berinški galeb
Rissa tridactyla,Black-legged Kittiwake,bklkit,203907481,FALSE,troprsti galeb
Larus philadelphia,Bonaparte's Gull,bongul,138200,FALSE,šumski galeb
Larus genei,Slender-billed Gull,slbgul1,258883441,FALSE,tankokljuni galeb
Larus brunnicephalus,Brown-headed Gull,bnhgul1,556861581,FALSE,planinski galeb
Larus ridibundus,Black-headed Gull,bkhgul,348631941,TRUE,riječni galeb
Larus serranus,Andean Gull,andgul1,295618241,FALSE,andski galeb
Larus maculipennis,Brown-hooded Gull,brhgul2,303826411,FALSE,smeđoglavi galeb
Larus hartlaubii,Hartlaub's Gull,hargul1,609054772,FALSE,južnoafrički galeb
Larus cirrocephalus,Grey-headed Gull,,,FALSE,sivoglavi galeb
Larus novaehollandiae,Silver Gull,silgul2,464937981,FALSE,australski galeb
L. n. scopulinus,Red-billed Gull,,,FALSE,novozelandski galeb
Larus bulleri,Black-billed Gull,blbgul1,3306,FALSE,crnokljuni galeb
Larus modestus,Grey Gull,,,FALSE,sivi galeb
Larus scoresbii,Dolphin Gull,dolgul2,595326161,FALSE,mageljanski galeb
Larus pipixcan,Franklin's Gull,fragul,408843621,TRUE,prerijski galeb
Larus atricilla,Laughing Gull,laugul,441673631,TRUE,astečki galeb
Larus fuliginosus,Lava Gull,lavgul1,220926811,FALSE,mrki galeb
Larus ichthyaetus,Pallas's Gull,gbhgul2,215664111,FALSE,veliki crnoglavi galeb
Larus relictus,Relict Gull,relgul2,633572061,FALSE,mongolski galeb
Larus melanocephalus,Mediterranean Gull,medgul1,305586,FALSE,crnoglavi galeb
Larus hemprichii,Sooty Gull,soogul2,450012901,FALSE,tamnoprsi galeb
Larus leucophtalmus,White-eyed Gull,whegul2,131356431,FALSE,crvenomorski galeb
Larus audouinii,Audouin's Gull,audgul1,447641181,TRUE,sredozemni galeb
Larus heermanni,Heermann's Gull,heegul,476586841,FALSE,kalifornijski galeb
Larus pacificus,Pacific Gull,pacgul1,418013801,FALSE,krupnokljuni galeb
Larus crassirostris,Black-tailed Gull,bktgul,596967951,FALSE,japanski galeb
Larus belcheri,Belcher's Gull,belgul,616763069,FALSE,humboltski galeb
Larus atlanticus,Olrog's Gull,olrgul1,203988261,FALSE,patagonski galeb
Larus delawarensis,Ring-billed Gull,ribgul,317477141,TRUE,prstenokljuni galeb
Larus canus,Mew Gull,mewgul,203916041,FALSE,burni galeb
L. c. kamtschatschensis,Kamchatka Gull,,,FALSE,istočnosibirski galeb
L. c. brachyrhynchos,Short-billed Gull,mewgul2,280841231,FALSE,američki burni galeb
Larus livens,Yellow-footed Gull,yefgul,313341201,FALSE,meksički galeb
Larus occidentalis,Western Gull,wesgul,3361,FALSE,obalni galeb
Larus californicus,California Gull,calgul,64929341,FALSE,kanadski galeb
Larus dominicanus,Kelp Gull,kelgul,3341,TRUE,južni galeb
Larus fuscus,Lesser Black-backed Gull,lbbgul,304063,FALSE,tamnoleđi galeb
L. f. graellsi,Lesser Black-backed Gull,lbbgul,304063,FALSE,sivoleđi galeb
L. f. heuglini,Heuglin's Gull,,,FALSE,sibirski galeb
L. f. barabensis,Steppe Gull,,,FALSE,stepski galeb
Larus argentatus,European Herring Gull,euhgul1,536477691,TRUE,srebrnasti galeb
Larus armenicus,Armenian Gull,armgul1,463209681,FALSE,armenski galeb
Larus michahellis,Yellow-legged Gull,yelgul1,297111911,FALSE,galeb klaukavac
Larus cachinnans,Caspian Gull,casgul2,620266035,FALSE,pontski galeb
Larus smithsonianus,Arctic Herring Gull,amhgul1,165927,FALSE,američki srebrnasti galeb
Larus thayeri,Thayer's Gull,,,FALSE,eskimski galeb
Larus glaucoides,Iceland Gull,y00478,521686071,FALSE,arktički galeb
L. g. kumlieni,Kumliens's Gull,,,FALSE,bafinski galeb
Larus schistisagus,Slaty-backed Gull,slbgul,281920,FALSE,sinji galeb
Larus glaucescens,Glaucous-winged Gull,glwgul,183066141,FALSE,sjevernopacifički galeb
Larus hyperboreus,Glaucous Gull,glagul,61432851,FALSE,sjeverni galeb
Larus marinus,Great Black-backed Gull,gbbgul,165920,FALSE,veliki galeb
Onychoprion aleuticus,Aleutian Tern,aleter1,79092981,FALSE,aleutska čigra
Onychoprion fuscatus,Sooty Tern,sooter1,89594,FALSE,crnoleđa čigra
Onychoprion anaethetus,Bridled Tern,briter1,294277031,FALSE,smeđokrila čigra
Onychoprion lunatus,Grey-backed Tern,gybter1,203895321,FALSE,pacifička čigra
Sternula albifrons,Little Tern,litter1,466250791,FALSE,mala čigra
Sternula saundersii,Saunders's Tern,sauter2,464699051,FALSE,Saundersova čigra
Sternula antillarum,Least Tern,leater1,170029491,FALSE,američka mala čigra
Sternula superciliaris,Yellow-billed Tern,yebter2,629713581,FALSE,amazonska čigra
TURNICIDAE,Buttonquails,,,FALSE,trkuše
Turnix sylvaticus,Common Buttonquail,smabut2,634338894,FALSE,bjelogrla trkuša
Turnix maculosus,Red-backed Buttonquail,rebbut2,389622091,FALSE,sivoleđa trkuša
Turnix tanki,Yellow-legged Buttonquail,yelbut1,641094861,FALSE,žutonoga trkuša
Turnix nanus,Black-rumped Buttonquail,hotbut3,275759,FALSE,bjelotrba trkuša
Turnix hottentottus,Hottentot Buttonquail,hotbut1,,FALSE,kapska trkuša
Turnix ocellatus,Spotted Buttonquail,spobut2,277886741,FALSE,filipinska trkuša
Turnix suscitator,Barred Buttonquail,barbut1,641334422,FALSE,prugasta trkuša
Turnix nigricollis,Madagascar Buttonquail,madbut1,95290,FALSE,madagaskarska trkuša
Turnix melanogaster,Black-breasted Buttonquail,blbbut2,266142281,FALSE,pjegava trkuša
Turnix novaecaledoniae,New Caledonian Buttonquail,paibut1,,FALSE,novokaledonska trkuša
Turnix varius,Painted Buttonquail,paibut,204009861,FALSE,velika trkuša
Turnix olivii,Buff-breasted Buttonquail,bubbut1,,FALSE,sivoglava trkuša
Turnix castanotus,Chestnut-backed Buttonquail,chbbut2,87639491,FALSE,kestenjasta trkuša
Turnix pyrrhothorax,Red-chested Buttonquail,recbut1,625756167,FALSE,crvenoprsa trkuša
Turnix everetti,Sumba Buttonquail,sumbut1,,FALSE,sumpska trkuša
Turnix worcesteri,Luzon Buttonquail,luzbut1,,FALSE,luzonska trkuša
Turnix velox,Little Buttonquail,litbut1,398984261,FALSE,mala trkuša
Ortyxelos meiffrenii,Quail-plover,quailp1,615990555,FALSE,bjelokrila trkuša
DROMADIDAE,Crab-plover,craplo1,345089591,FALSE,dromas
Dromas ardeola,Crab-plover,craplo1,345089591,FALSE,dromas
GLAREOLIDAE,Coursers Pratincoles,,,FALSE,pješčarke
Smutsornis africanus,Double-banded Courser,dobcou2,21725971,FALSE,mala trkalica
Rhinoptilus cinctus,Three-banded Courser,thbcou1,546679161,FALSE,prugasta trkalica
Rhinoptilus chalcopterus,Bronze-winged Courser,brwcou1,634989144,FALSE,velika trkalica
Rhinoptilus bitorquatus,Jerdon's Courser,jercou1,274543,FALSE,penarska trkalica
Cursorius cursor,Cream-coloured Courser,crccou1,609099204,FALSE,smeđa trkalica
Cursorius somaliensis,Somali Courser,somcou1,615535702,FALSE,somalijska trkalica
Cursorius rufus,Burchell's Courser,burcou2,277943,FALSE,riđa trkalica
Cursorius temminckii,Temminck's Courser,temcou1,280174,FALSE,riđokapa trkalica
Cursorius coromandelicus,Indian Courser,indcou1,631203777,TRUE,indijska trkalica
Stiltia isabella,Australian Pratincole,auspra1,203943721,FALSE,australska pješčarka
Glareola pratincola,Collared Pratincole,colpra,354857241,FALSE,riđokrila pješčarka
Glareola maldivarum,Oriental Pratincole,oripra,203914741,FALSE,kratkorepa pješčarka
Glareola nordmani,Black-winged Pratincole,blwpra1,203964311,FALSE,crnokrila pješčarka
Glareola ocularis,Madagascar Pratincole,madpra1,204013701,FALSE,madagaskarska pješčarka
Glareola nuchalis,Rock Pratincole,rocpra1,140935,FALSE,mrka pješčarka
Glareola cinerea,Grey Pratincole,grypra1,,FALSE,sivoleđa pješčarka
Glareola lactea,Little Pratincole,smapra1,203914821,FALSE,mala pješčarka
LARIDAE,Gulls,,,FALSE,galebovi
Sternula lorata,Peruvian Tern,perter2,622893362,FALSE,peruanska čigra
Sternula nereis,Fairy Tern,faiter2,204006941,FALSE,bjeločela čigra
Sternula balaenarum,Damara Tern,damter2,336121171,FALSE,južnoafrička čigra
Phaetusa simplex,Large-billed Tern,labter1,179801,FALSE,žutokljuna čigra
Gelochelidon nilotica,Common Gull-billed Tern,gubter2,389145611,FALSE,debelokljuna čigra
Gelochelidon macrotarsa,Australian Gull-billed Tern,gubter3,632388298,FALSE,australska čigra
Hydroprogne caspia,Caspian Tern,caster1,114881411,FALSE,velika čigra
Larosterna inca,Inca Tern,incter1,434770631,TRUE,brkata čigra
Chlidonias albostriatus,Black-fronted Tern,blfter1,3397,FALSE,novozelandska čigra
Chlidonias hybrida,Whiskered Tern,whiter2,358721141,FALSE,bjelobrada čigra
Chlidonias leucopterus,White-winged Tern,whwter,63376271,FALSE,bjelokrila čigra
Chlidonias niger,Black Tern,blkter,359707141,TRUE,crna čigra
C. n. surinamensis,American Black Tern,,,FALSE,američka crna čigra
Sterna aurantia,River Tern,rivter1,410709661,FALSE,indijska čigra
Sterna dougallii,Roseate Tern,roster,171679831,FALSE,dugorepa čigra
Sterna striata,White-fronted Tern,whfter1,546325461,FALSE,crnokljuna čigra
Sterna sumatrana,Black-naped Tern,blnter1,281654,FALSE,svijetla čigra
Sterna hirundinacea,South American Tern,soater1,366623111,FALSE,južnoamerička čigra
Sterna hirundo,Common Tern,comter,236009821,TRUE,crvenokljuna čigra
Sterna repressa,White-cheeked Tern,whcter1,351058181,FALSE,siva čigra
Sterna paradisaea,Arctic Tern,arcter,187385,FALSE,arktička čigra
Sterna vittata,Antarctic Tern,antter1,203899371,FALSE,antarktička čigra
Sterna virgata,Kerguelen Tern,kerter1,,FALSE,sivorepa čigra
