Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,lt
Chordeiles acutipennis,Lesser Nighthawk,lesnig,112564821,FALSE,Mažasis sutemų lėlys
Chordeiles rupestris,Sand-colored Nighthawk,sacnig1,91397,FALSE,Smėlinis sutemų lėlys
Lurocalis semitorquatus,Short-tailed Nighthawk,shtnig1,557877541,FALSE,
Lurocalis rufiventris,Rufous-bellied Nighthawk,rubnig1,582141691,FALSE,rusvapilvis apykaklėtasis lėlys
Nyctiprogne leucopyga,Band-tailed Nighthawk,batnig1,305861661,FALSE,
Nyctiprogne vielliardi,Bahian Nighthawk,bahnig1,54957,FALSE,Brazilinis sutemų lėlys
Nyctipolus nigrescens,Blackish Nightjar,blanig1,127402,FALSE,
Nyctipolus hirundinaceus,Pygmy Nightjar,pygnig1,235983,FALSE,Lėlys mažylis
Systellura roraimae,Tepui Nightjar,,,FALSE,
Systellura decussata,Lesser Band-winged Nightjar,,,FALSE,
Systellura longirostris,Greater Band-winged Nightjar,bawnig1,624030727,FALSE,
Nyctidromus albicollis,Pauraque,compau,87464,TRUE,Baltakaklis lėlys
Nyctidromus anthonyi,Scrub Nightjar,scrnig1,67364811,FALSE,Ekvadorinis lėlys
Eleothreptus anomalus,Sickle-winged Nightjar,siwnig1,278098981,FALSE,Plačiasparnis lėlys
Eleothreptus candicans,White-winged Nightjar,whwnig1,609532198,FALSE,Baltasparnis lėlys
Uropsalis segmentata,Swallow-tailed Nightjar,swtnig1,649992231,FALSE,skeltauodegis kregždinis lėlys
Uropsalis lyra,Lyre-tailed Nightjar,lytnig1,178055221,FALSE,lyrauodegis kregždinis lėlys
Setopagis heteura,Todd's Nightjar,samnig1,367590841,FALSE,
Setopagis parvula,Little Nightjar,litnig1,626105034,FALSE,
Setopagis whitelyi,Roraiman Nightjar,rornig1,134213,FALSE,Venesuelinis lėlys
Setopagis maculosa,Cayenne Nightjar,caynig1,,FALSE,Kajeninis lėlys
Hydropsalis climacocerca,Ladder-tailed Nightjar,latnig1,96671,FALSE,Pietų Amerikos lėlys
Hydropsalis torquata,Scissor-tailed Nightjar,sctnig2,217025,FALSE,Brazilinis lėlys
Hydropsalis cayennensis,White-tailed Nightjar,whtnig1,127082,FALSE,Baltauodegis lėlys
Hydropsalis maculicaudus,Spot-tailed Nightjar,sptnig1,608440733,FALSE,Dėmėtauodegis lėlys
Macropsalis forcipata,Long-trained Nightjar,lotnig2,221803411,FALSE,Lyrauodegis lėlys
Siphonorhis americana,Jamaican Poorwill,jampau,,FALSE,
Siphonorhis brewsteri,Least Poorwill,leapau1,162724221,FALSE,Haitinis lėlys
Nyctiphrynus rosenbergi,Choco Poorwill,chopoo1,68286731,FALSE,Čokinis amerikinis lėlys
Nyctiphrynus mcleodii,Eared Poorwill,earpoo1,611748042,FALSE,Ausuotasis amerikinis lėlys
Nyctiphrynus yucatanicus,Yucatan Poorwill,yucpoo1,33207361,FALSE,Jukataninis amerikinis lėlys
Nyctiphrynus ocellatus,Ocellated Poorwill,ocepoo1,109906321,FALSE,
Phalaenoptilus nuttallii,Common Poorwill,compoo,105772661,FALSE,Baltagurklis lėlys
Antrostomus vociferus,Eastern Whip-poor-will,easwpw1,340367651,TRUE,
Antrostomus arizonae,Mexican Whip-poor-will,souwpw1,56862,FALSE,Meksikinis lėlys
Antrostomus noctitherus,Puerto Rican Nightjar,purnig1,204011941,FALSE,Puertorikinis lėlys
Antrostomus saturatus,Dusky Nightjar,dusnig1,145214851,FALSE,Tamsusis lėlys
Antrostomus ridgwayi,Buff-collared Nightjar,bucnig,56511901,FALSE,Geltonkaklis lėlys
Antrostomus salvini,Tawny-collared Nightjar,tacnig1,4937,FALSE,
AEGOTHELIDAE,Owlet-nightjars,,,FALSE,
Aegotheles savesi,New Caledonian Owlet-nightjar,nconig1,,FALSE,Naujosios Kaledonijos pelėdinis varliažiotis
Aegotheles insignis,Feline Owlet-nightjar,feonig1,168273331,FALSE,
Aegotheles tatei,Spangled Owlet-nightjar,spaown1,473427391,FALSE,Dryžauodegis pelėdinis varliažiotis
Aegotheles crinifrons,Moluccan Owlet-nightjar,molown1,643079423,FALSE,Molukinis pelėdinis varliažiotis
Aegotheles cristatus,Australian Owlet-nightjar,auonig1,203886691,TRUE,
Aegotheles affinis,Allied Owlet-nightjar,barown2,,FALSE,
Aegotheles bennettii,Barred Owlet-nightjar,barown1,141998,FALSE,
Aegotheles wallacii,Wallace's Owlet-nightjar,waonig1,609065423,FALSE,Voleso pelėdinis varliažiotis
Aegotheles archboldi,Archbold's Owlet-nightjar,,,FALSE,
Aegotheles albertisi,Mountain Owlet-nightjar,moonig1,251638781,FALSE,Kalninis pelėdinis varliažiotis
HEMIPROCNIDAE,Treeswifts,,,FALSE,
Hemiprocne coronata,Crested Treeswift,cretre1,290907811,FALSE,Paprastasis kuoduotasis čiurlys
Hemiprocne longipennis,Grey-rumped Treeswift,gyrtre1,336872101,FALSE,Paprastasis kuoduotasis čiurlys
Hemiprocne comata,Whiskered Treeswift,whitre1,282622,TRUE,Mažasis kuoduotasis čiurlys
Hemiprocne mystacea,Moustached Treeswift,moutre1,197442621,FALSE,Ūsuotasis kuoduotasis čiurlys
APODIDAE,Swifts,,,FALSE,
Cypseloides cherriei,Spot-fronted Swift,spfswi1,52504401,FALSE,Dėmėtakaktis amerikinis čiurlys
Cypseloides cryptus,White-chinned Swift,whcswi1,284175801,FALSE,
Cypseloides storeri,White-fronted Swift,whfswi1,30085881,FALSE,Baltakaktis amerikinis čiurlys
Cypseloides niger,Black Swift,blkswi,365687911,FALSE,Juodasis amerikinis čiurlys
Cypseloides lemosi,White-chested Swift,whcswi2,64300191,FALSE,Baltakrūtis amerikinis čiurlys
Cypseloides rothschildi,Rothschild' s Swift,rotswi1,618603325,FALSE,Rotšildo amerikinis čiurlys
Cypseloides fumigatus,Sooty Swift,sooswi1,115707,FALSE,
Cypseloides senex,Great Dusky Swift,grdswi1,121697381,FALSE,Teminko amerikinis čiurlys
Streptoprocne rutila,Chestnut-collared Swift,chcswi1,204023261,FALSE,Rudakaklis amerikinis čiurlys
Streptoprocne phelpsi,Tepui Swift,tepswi1,116004271,FALSE,Venesuelinis amerikinis čiurlys
Streptoprocne zonaris,White-collared Swift,whcswi,47631151,FALSE,Baltakaklis amerikinis čiurlys
Streptoprocne biscutata,Biscutate Swift,bisswi1,278593981,FALSE,Šarvuotasis amerikinis čiurlys
Streptoprocne semicollaris,White-naped Swift,whnswi1,49212801,FALSE,Baltasprandis amerikinis čiurlys
Mearnsia picina,Philippine Spinetail,phinee1,,FALSE,Filipininė mearnsija
Mearnsia novaeguineae,Papuan Spinetail,papnee1,120611331,FALSE,Papuasinė mearnsija
Zoonavena grandidieri,Madagascar Spinetail,malspi1,624029003,FALSE,Madagaskarinė zoonavena
Zoonavena thomensis,Sao Tome Spinetail,satspi1,,FALSE,santominė zoonavena
Zoonavena sylvatica,White-rumped Spinetail,whrnee1,621898824,FALSE,Indinė zoonavena
Telecanthura ussheri,Mottled Spinetail,motspi1,625982457,FALSE,Dėmėtagurklė telekantura
Telecanthura melanopygia,Black Spinetail,blaspi1,310204,FALSE,Juodoji telekantura
Rhaphidura leucopygialis,Silver-rumped Spinetail,sirnee1,620983245,FALSE,Baltasturplė rafidura
Rhaphidura sabini,Sabine's Spinetail,sabspi1,310206,FALSE,Balinė rafidura
Neafrapus cassini,Cassin's Spinetail,casspi1,310207,FALSE,Kasino neafrapas
Neafrapus boehmi,Böhm's Spinetail,balspi1,47075,FALSE,Bomo neafrapas
Chaetura fumosa,Costa Rican Swift,corswi,299896,FALSE,Kostarikinė chetura
Chaetura spinicaudus,Band-rumped Swift,barswi,203930961,FALSE,
Chaetura martinica,Lesser Antillean Swift,leaswi1,51048,FALSE,Antilinė chetura
Chaetura cinereiventris,Grey-rumped Swift,grrswi1,622175190,FALSE,Pilkasturplė chetura
Chaetura egregia,Pale-rumped Swift,parswi1,346321591,FALSE,Blyškiasturplė chetura
Chaetura vauxi,Vaux's Swift,vauswi,63130,TRUE,Vo chetura
Chaetura pelagica,Chimney Swift,chiswi,527296,TRUE,Dūminė chetura
Chaetura chapmani,Chapman's Swift,chaswi2,126853,FALSE,Čapmeno chetura
Chaetura meridionalis,Southern Swift,sicswi1,292766081,FALSE,
Chaetura brachyura,Short-tailed Swift,shtswi1,533583881,FALSE,Trumpauodegė chetura
Hirundapus caudacutus,White-throated Needletail,whtnee,550834681,FALSE,Baltagurklis hirundapas
Hirundapus cochinchinensis,Silver-backed Needletail,sibnee1,175403,FALSE,Gelsvagurklis hirundapas
Hirundapus giganteus,Brown-backed Needletail,brbnee1,181328281,FALSE,
Hirundapus celebensis,Purple Needletail,purnee1,617604757,FALSE,Sulavesinis hirundapas
Collocalia troglodytes,Pygmy Swiftlet,pygswi2,196942,FALSE,Mažoji salangana
Collocalia linchi,Cave Swiftlet,cavswi2,622323194,FALSE,
Collocalia esculenta,Glossy Swiftlet,gloswi1,119098041,FALSE,
Hydrochous gigas,Waterfall Swift,watswi1,609676941,FALSE,Didysis čiurlys
Aerodramus papuensis,Papuan Swiftlet,papswi1,,FALSE,Papuasinis erodramas
Aerodramus whiteheadi,Whitehead's Swiftlet,whiswi1,,FALSE,
Aerodramus nuditarsus,Bare-legged Swiftlet,balswi1,,FALSE,Plikakojis erodramas
Aerodramus orientalis,Mayr's Swiftlet,mayswi1,,FALSE,
Aerodramus infuscatus,Moluccan Swiftlet,molswi5,197455321,FALSE,Molukinis erodramas
Aerodramus hirundinaceus,Mountain Swiftlet,mouswi2,119098341,FALSE,Kalninis erodramas
Aerodramus terraereginae,Australian Swiftlet,ausswi1,611823302,FALSE,Australinis erodramas
Aerodramus brevirostris,Himalayan Swiftlet,himswi2,537994571,FALSE,
Aerodramus vulcanorum,Volcano Swiftlet,volswi1,,FALSE,Vulkaninis erodramas
Aerodramus maximus,Black-nest Swiftlet,blnswi1,219358,FALSE,
Aerodramus vanikorensis,Uniform Swiftlet,uniswi1,134502351,FALSE,
Aerodramus sawtelli,Atiu Swiftlet,atiswi1,204001521,FALSE,Kuko erodramas
Aerodramus leucophaeus,Polynesian Swiftlet,polswi1,,FALSE,
Aerodramus inquietus,Caroline Swiftlet,caiswi1,5509,FALSE,
Aerodramus pelewensis,Palau Swiftlet,palswi1,610012636,FALSE,Palaujinis erodramas
Aerodramus bartschi,Mariana Swiftlet,marswi,610224448,FALSE,
Aerodramus mearnsi,Philippine Swiftlet,phiswi1,204002691,FALSE,Filipininis erodramas
Aerodramus spodiopygius,White-rumped Swiftlet,whrswi2,203908261,FALSE,
Aerodramus unicolor,Indian Swiftlet,indswi1,621789548,FALSE,Indinis erodramas
Aerodramus francicus,Mascarene Swiftlet,masswi1,72143,FALSE,
Aerodramus elaphrus,Seychelles Swiftlet,seyswi1,310193,FALSE,Seišelinis erodramas
Aerodramus fuciphagus,Edible-nest Swiftlet,y00731,612513984,FALSE,
Aerodramus salangana,Mossy-nest Swiftlet,monswi2,,FALSE,Sundinis erodramas
Schoutedenapus myoptilus,Scarce Swift,scaswi1,275795871,FALSE,retasis afrikinis čiurlys
Schoutedenapus schoutedeni,Schouteden's Swift,,,FALSE,
Aeronautes saxatilis,White-throated Swift,whtswi,242502201,TRUE,Baltagurklis šeriuotakojis čiurlys
Aeronautes montivagus,White-tipped Swift,whtswi1,68827,FALSE,Kalninis šeriuotakojis čiurlys
Aeronautes andecolus,Andean Swift,andswi1,589396691,FALSE,Andinis šeriuotakojis čiurlys
Tachornis phoenicobia,Antillean Palm-swift,anpswi,619397975,FALSE,Antilinis čiurlelis
Tachornis furcata,Pygmy Swift,pygswi1,82092,FALSE,Centrinės Amerikos čiurlelis
Tachornis squamata,Fork-tailed Palm-swift,ftpswi1,121300651,FALSE,Skeltauodegis čiurlelis
Panyptila sanctihieronymi,Great Swallow-tailed Swift,gstswi1,130501571,FALSE,Didysis skeltauodegis čiurlys
Panyptila cayennensis,Lesser Swallow-tailed Swift,lstswi1,409715331,FALSE,Mažasis skeltauodegis čiurlys
Cypsiurus parvus,African Palm-swift,afpswi1,593006411,FALSE,
Cypsiurus balasiensis,Asian Palm-swift,aspswi1,491383121,FALSE,Azijinis palminis čiurlys
Tachymarptis melba,Alpine Swift,alpswi1,477625571,TRUE,Baltapilvis alpinis čiurlys
Tachymarptis aequatorialis,Mottled Swift,motswi2,591105441,FALSE,Šeriuotasis alpinis čiurlys
Apus acuticauda,Dark-rumped Swift,darswi1,148938811,FALSE,
Apus pacificus,Pacific Swift,fotswi,619656938,FALSE,Rytinis čiurlys
Apus caffer,White-rumped Swift,whrswi1,277258,FALSE,Baltasturplis čiurlys
Apus batesi,Bates's Swift,batswi1,,FALSE,Beitso čiurlys
Apus horus,Horus Swift,horswi1,5992,FALSE,Etiopinis čiurlys
Apus nipalensis,House Swift,houswi1,73412751,FALSE,Malajinis čiurlys
Apus affinis,Little Swift,litswi1,81146361,FALSE,Mažasis čiurlys
Apus niansae,Nyanza Swift,nyaswi1,31366351,FALSE,Rudasis čiurlys
Apus bradfieldi,Bradfield's Swift,braswi1,277763,FALSE,Bredfildo čiurlys
Apus barbatus,African Swift,afrswi1,611798673,FALSE,
Apus sladeniae,Fernando Po Swift,,,FALSE,
Apus balstoni,Madagascar Swift,madswi1,501497711,FALSE,Madagaskarinis čiurlys
Apus berliozi,Forbes-Watson's Swift,fowswi1,223164731,FALSE,Rytų Afrikos čiurlys
Apus unicolor,Plain Swift,plaswi1,298946681,FALSE,Vienspalvis čiurlys
Apus alexandri,Alexander's Swift,aleswi1,633937763,FALSE,Salinis čiurlys
Apus pallidus,Pallid Swift,palswi3,109549961,FALSE,Blyškusis čiurlys
Apus apus,Common Swift,comswi,344866661,TRUE,Juodasis čiurlys
TROCHILIDAE,Hummingbirds,,,FALSE,
Topaza pella,Crimson Topaz,critop1,451505841,TRUE,
Topaza pyra,Fiery Topaz,fietop1,203979591,FALSE,
Florisuga mellivora,White-necked Jacobin,whnjac1,102605,TRUE,Baltakaklis jakobinas
Florisuga fusca,Black Jacobin,blkjac1,343640201,FALSE,Juodasis jakobinas
Eutoxeres aquila,White-tipped Sicklebill,whtsic1,627615456,TRUE,Paprastasis kabliasnapis
Eutoxeres condamini,Buff-tailed Sicklebill,butsic1,84876621,FALSE,Geltonuodegis kabliasnapis
Ramphodon naevius,Saw-billed Hermit,sabher1,293230,TRUE,Dančiasnapis ramfodonas
Glaucis dohrnii,Hook-billed Hermit,hobher2,627902763,FALSE,Aštriasnapis kolibris atsiskyrėlis
Glaucis aeneus,Bronzy Hermit,broher,618601473,FALSE,Bronzinis kolibris atsiskyrėlis
Glaucis hirsutus,Rufous-breasted Hermit,rubher,437142001,TRUE,
Threnetes ruckeri,Band-tailed Barbthroat,batbar1,435781651,FALSE,Dryžauodegis barzdotasis kolibris
Threnetes leucurus,Pale-tailed Barbthroat,patbar1,84877021,FALSE,
Threnetes niger,Sooty Barbthroat,soobar1,,FALSE,
Anopetia gounellei,Broad-tipped Hermit,brther2,257336011,FALSE,Brazilinis plačiauodegis kolibris
Phaethornis squalidus,Dusky-throated Hermit,duther1,644743459,FALSE,
Phaethornis rupurumii,Streak-throated Hermit,stther1,389947281,FALSE,Raibagurklis saulėtasis kolibris
Phaethornis longuemareus,Little Hermit,lither2,203930881,FALSE,
Phaethornis aethopygus,Tapajos Hermit,lither3,623453637,FALSE,Juodagurklis saulėtasis kolibris
Phaethornis idaliae,Minute Hermit,minher1,113278,TRUE,Mažasis saulėtasis kolibris
Phaethornis nattereri,Cinnamon-throated Hermit,cither1,330723631,FALSE,Rudagurklis saulėtasis kolibris
Phaethornis atrimentalis,Black-throated Hermit,bkther1,121287921,FALSE,
Phaethornis striigularis,Stripe-throated Hermit,stther2,591042431,TRUE,Dryžagurklis saulėtasis kolibris
Phaethornis griseogularis,Grey-chinned Hermit,gycher1,609812706,FALSE,Pilkasmakris saulėtasis kolibris
Phaethornis porcullae,Porculla Hermit,,,FALSE,
Phaethornis ruber,Reddish Hermit,redher1,64905,FALSE,Rausvasis saulėtasis kolibris
Phaethornis stuarti,White-browed Hermit,whbher3,626710111,FALSE,Baltabruvis saulėtasis kolibris
Phaethornis subochraeus,Buff-bellied Hermit,bubher1,506181131,FALSE,
Phaethornis augusti,Sooty-capped Hermit,socher1,612408043,FALSE,Pilkakepuris saulėtasis kolibris
Phaethornis pretrei,Planalto Hermit,plaher1,103852,FALSE,Pretro saulėtasis kolibris
Phaethornis eurynome,Scale-throated Hermit,scther1,112764,FALSE,Žvynuotagurklis saulėtasis kolibris
Phaethornis anthophilus,Pale-bellied Hermit,pabher1,412425591,FALSE,Blyškiapilvis saulėtasis kolibris
Phaethornis hispidus,White-bearded Hermit,whbher1,81006,FALSE,Baltabarzdis saulėtasis kolibris
Phaethornis yaruqui,White-whiskered Hermit,whwher1,80976,FALSE,Ūsuotasis saulėtasis kolibris
Phaethornis guy,Green Hermit,greher1,609061941,FALSE,Žaliasis saulėtasis kolibris
Phaethornis syrmatophorus,Tawny-bellied Hermit,tabher1,288259401,FALSE,Rudapilvis saulėtasis kolibris
Phaethornis koepckeae,Koepcke's Hermit,koeher1,218198,FALSE,Andinis saulėtasis kolibris
Phaethornis philippii,Needle-billed Hermit,nebher1,235675,FALSE,Plonasnapis saulėtasis kolibris
Phaethornis bourcieri,Straight-billed Hermit,stbher1,384679551,FALSE,Tiesiasnapis saulėtasis kolibris
Phaethornis mexicanus,Mexican Hermit,mexher1,556088531,FALSE,
Phaethornis longirostris,Long-billed Hermit,lobher,629888645,TRUE,
Phaethornis baroni,Ecuadorian Hermit,,,FALSE,
Phaethornis superciliosus,Long-tailed Hermit,lother1,113072,FALSE,
Phaethornis malaris,Great-billed Hermit,grbher1,494522731,FALSE,Didžiasnapis saulėtasis kolibris
Doryfera ludovicae,Green-fronted Lancebill,grflan1,636562641,FALSE,Žaliakaktis iečiasnapis kolibris
Doryfera johannae,Blue-fronted Lancebill,blflan1,84878371,FALSE,mėlynkaktis iečiasnapis kolibris
Schistes albogularis,Western Wedge-billed Hummingbird,webhum3,611544134,FALSE,
Schistes geoffroyi,Eastern Wedge-billed Hummingbird,webhum1,304183571,FALSE,
Augastes scutatus,Hyacinth Visorbearer,hyavis1,426540681,TRUE,Hiacintinis kapucinas
Augastes lumachella,Hooded Visorbearer,hoovis2,614635877,FALSE,Kaukėtasis kapucinas
Colibri delphinae,Brown Violet-ear,brvear1,621765447,FALSE,Rudasis kolibris
Colibri thalassinus,Green Violet-ear,grnvie1,85480051,FALSE,
Colibri coruscans,Sparkling Violet-ear,spvear1,203700921,TRUE,Blizgusis kolibris
Colibri serrirostris,White-vented Violet-ear,wvvear1,6152,FALSE,Baltapilvis kolibris
Androdon aequatorialis,Tooth-billed Hummingbird,tobhum1,539214051,FALSE,Dantytasnapis kolibris
Heliactin bilophus,Horned Sungem,horsun2,305069431,TRUE,Raguotasis kolibris
Heliothryx barroti,Purple-crowned Fairy,pucfai1,610833638,FALSE,purpuragalvis ausytasis kolibris
Heliothryx auritus,Black-eared Fairy,bkefai1,302304,TRUE,
Polytmus guainumbi,White-tailed Goldenthroat,whtgol1,353664301,FALSE,Baltauodegis auksagurklis kolibris
Polytmus milleri,Tepui Goldenthroat,tepgol1,290661,FALSE,Tepujinis auksagurklis kolibris
Polytmus theresiae,Green-tailed Goldenthroat,grtgol1,469977551,FALSE,Žaliauodegis auksagurklis kolibris
Chrysolamphis mosquitus,Ruby-topaz Hummingbird,ruthum1,630929509,TRUE,
Avocettula recurvirostris,Fiery-tailed Awlbill,fitawl1,203956901,FALSE,Juodapilvis mangas
Anthracothorax viridigula,Green-throated Mango,grtman1,70608511,FALSE,Žaliagurklis mangas
Anthracothorax prevostii,Green-breasted Mango,gnbman,562087211,FALSE,
Anthracothorax nigricollis,Black-throated Mango,bltman1,254055231,TRUE,
Anthracothorax veraguensis,Veraguas Mango,verman1,643755024,FALSE,Veraguavinis mangas
Anthracothorax dominicus,Hispaniolan Mango,antman2,180794601,FALSE,
Anthracothorax aurulentus,Puerto Rucan Mango,antman3,204013561,FALSE,
Anthracothorax viridis,Green Mango,greman1,53883,FALSE,Žaliasis mangas
Anthracothorax mango,Jamaican Mango,jamman1,203886191,TRUE,Jamaikinis mangas
Eulampis holosericeus,Green-throated Carib,grtcar1,463853931,FALSE,Žaliagurklis kolibris
Eulampis jugularis,Purple-throated Carib,putcar1,122618,TRUE,Purpurgurklis kolibris
Heliangelus mavors,Orange-throated Sunangel,ortsun1,203889901,FALSE,Rusvagurklė nimfa
Heliangelus spencei,Merida Sunangel,amtsun4,241823291,FALSE,
Heliangelus clarisse,Longuemare's Sunangel,amtsun2,627935528,FALSE,
Heliangelus amethysticollis,Amethyst-throated Sunangel,amtsun3,69256571,FALSE,
Heliangelus strophianus,Gorgeted Sunangel,gorsun1,242946,FALSE,Pilkapilvė nimfa
Heliangelus exortis,Tourmaline Sunangel,tousun1,553396251,FALSE,
Heliangelus micraster,Little Sunangel,litsun1,21775,FALSE,Mažoji nimfa
Heliangelus viola,Purple-throated Sunangel,putsun1,471617091,FALSE,Mėlynkaktė nimfa
Heliangelus regalis,Royal Sunangel,roysun1,510498201,FALSE,Karališkoji nimfa
Heliangelus zusii,Bogota Sunangel,,,FALSE,
Sephanoides sephanoides,Green-backed Firecrown,grbfir1,615770780,FALSE,Čilinis liepsnavainikis kolibris
Sephanoides fernandensis,Juan Fernandez Firecrown,juffir1,63494541,FALSE,Salinis liepsnavainikis kolibris
Discosura conversii,Green Thorntail,gretho1,203979481,FALSE,Žaliasis dygliauodegis kolibris
Discosura popelairii,Wire-crested Thorntail,wictho2,509223111,FALSE,Aštriakuodis dygliauodegis kolibris
Discosura langsdorffi,Black-bellied Thorntail,bkbtho1,165607521,FALSE,Juodapilvis dygliauodegis kolibris
Discosura letitiae,Coppery Thorntail,coptho2,,FALSE,Varinis dygliauodegis kolibris
Discosura longicaudus,Racquet-tailed Coquette,ratcoq2,,FALSE,Paprastasis dygliauodegis kolibris
Lophornis ornatus,Tufted Coquette,tufcoq1,143381851,FALSE,Puikusis elfas
Lophornis gouldii,Dot-eared Coquette,doecoq1,361690541,FALSE,Guldo elfas
Lophornis magnificus,Frilled Coquette,fricoq1,203977681,FALSE,Puošnusis elfas
Lophornis brachylophus,Short-crested Coquette,shccoq,158849241,FALSE,Trumpakuodis elfas
Lophornis delattrei,Rufous-crested Coquette,ruccoq1,64360951,TRUE,
Lophornis stictolophus,Spangled Coquette,spacoq1,203930131,FALSE,Kukutinis elfas
Lophornis chalybeus,Festive Coquette,fescoq3,460903011,FALSE,
Lophornis verreauxi,Butterfly Coquette,fescoq2,610286872,FALSE,
Lophornis pavoninus,Peacock Coquette,peacoq1,,FALSE,Povinis elfas
Lophornis helenae,Black-crested Coquette,blccoq1,486349691,FALSE,Juodakuodis elfas
Lophornis adorabilis,White-crested Coquette,whccoq1,49401981,FALSE,Baltakuodis elfas
Phlogophilus hemileucurus,Ecuadorian Piedtail,ecupie1,219926541,FALSE,Ekvadorinis flogofilas
Phlogophilus harterti,Peruvian Piedtail,perpie1,65738441,FALSE,Peruvinis flogofilas
Adelomyia melanogenys,Speckled Hummingbird,spehum1,92178,TRUE,Raibasis kolibris
Aglaiocercus kingi,Long-tailed Sylph,lotsyl1,203930051,TRUE,
Aglaiocercus coelestis,Violet-tailed Sylph,vitsyl1,649000331,FALSE,Violetinis silfas
Aglaiocercus berlepschi,Venezuelan Sylph,vensyl1,388516961,FALSE,Venesuelinis silfas
Sappho sparganurus,Red-tailed Comet,retcom1,203961961,TRUE,Rausvauodegė kometa
Taphrolesbia griseiventris,Grey-bellied Comet,gybcom1,204012141,FALSE,Pilkapilvis kolibris
Polyonymus caroli,Bronze-tailed Comet,brtcom1,203934231,FALSE,Paprastoji kometa
Oreotrochilus chimborazo,Ecuadorian Hillstar,ecuhil1,84879381,FALSE,Ekvadorinė kalnų žvaigždė
Oreotrochilus estella,Andean Hillstar,andhil3,165577221,FALSE,
Oreotrochilus stolzmanni,Green-headed Hillstar,andhil2,621412844,FALSE,žaliagalvė kalnų žvaigždė
Oreotrochilus leucopleurus,White-sided Hillstar,whshil1,441591771,FALSE,Baltašonė kalnų žvaigždė
Oreotrochilus melanogaster,Black-breasted Hillstar,blbhil1,31743991,FALSE,Juodakrūtė kalnų žvaigždė
Oreotrochilus adela,Wedge-tailed Hillstar,wethil1,84880271,FALSE,Pleištauodegė kalnų žvaigždė
Opisthoprora euryptera,Mountain Avocetbill,mouavo1,613768141,FALSE,Plonasnapis kolibris
Lesbia victoriae,Black-tailed Trainbearer,blttra1,203700851,FALSE,Juodauodegė lesbija
Lesbia nuna,Green-tailed Trainbearer,grttra1,598051021,FALSE,Žaliauodegė lesbija
Ramphomicron dorsale,Black-backed Thornbill,blbtho1,84880671,FALSE,Juodnugaris trumpasnapis kolibris
Ramphomicron microrhynchum,Purple-backed Thornbill,pubtho1,626786316,FALSE,Purpurinis trumpasnapis kolibris
Chalcostigma ruficeps,Rufous-capped Thornbill,ructho1,523108281,FALSE,rusvakepuris dygliasnapis kolibris
Chalcostigma olivaceum,Olivaceous Thornbill,olitho1,638017728,FALSE,alyvinis dygliasnapis kolibris
Chalcostigma stanleyi,Blue-mantled Thornbill,blmtho1,84880901,FALSE,Stanlio dygliasnapis kolibris
Chalcostigma heteropogon,Bronze-tailed Thornbill,brttho1,540583771,FALSE,Bronzinis dygliasnapis kolibris
Chalcostigma herrani,Rainbow-bearded Thornbill,rabtho1,611063220,FALSE,Vaivorykštinis dygliasnapis kolibris
Oxypogon cyanolaemus,Blue-bearded Helmetcrest,bubhel1,303941331,FALSE,
Oxypogon lindenii,White-bearded Helmetcrest,whbhel1,391183001,FALSE,
Oxypogon guerinii,Green-bearded Helmetcrest,gnbhel1,384062661,FALSE,
Oxypogon stuebelii,Buffy Helmetcrest,bufhel1,616219697,FALSE,
Oreonympha albolimbata,Western Mountaineer,,,FALSE,
Oreonympha nobilis,Eastern Mountaineer,beamou1,509371071,FALSE,Kalnų nimfa
Metallura iracunda,Perija Metaltail,permet1,556728541,FALSE,Auksinė metalura
Metallura tyrianthina,Tyrian Metaltail,tyrmet1,410603821,FALSE,Smaragdinė metalura
Metallura williami,Viridian Metaltail,virmet1,619694911,FALSE,Žalioji metalura
Metallura baroni,Violet-throated Metaltail,vitmet1,617942177,FALSE,Violetagurklė metalura
Metallura odomae,Neblina Metaltail,nebmet1,84881551,FALSE,Angolinė metalura
Metallura theresiae,Coppery Metaltail,copmet1,17295,FALSE,Varinė metalura
Metallura eupogon,Fire-throated Metaltail,fitmet1,195169,FALSE,
Metallura aeneocauda,Scaled Metaltail,scamet1,62954831,FALSE,Žvynuotoji metalura
Metallura phoebe,Black Metaltail,blamet1,306137321,FALSE,Juodoji metalura
Haplophaedia aureliae,Greenish Puffleg,grepuf1,273721781,FALSE,
Haplophaedia assimilis,Buff-thighed Puffleg,butpuf1,613953397,FALSE,Geltonšlaunė haplofedija
Haplophaedia lugens,Hoary Puffleg,hoapuf1,203694061,FALSE,Žiloji haplofedija
Eriocnemis nigrivestis,Black-breasted Puffleg,blbpuf3,42406621,FALSE,Juodakrūtis erionas
Eriocnemis isabellae,Gorgeted Puffleg,gorpuf1,,FALSE,Izabelos erionas
Eriocnemis vestita,Glowing Puffleg,glopuf2,246687,FALSE,Puošnusis erionas
Eriocnemis derbyi,Black-thighed Puffleg,bltpuf1,203963601,FALSE,Juodašlaunis erionas
Eriocnemis godini,Turquoise-throated Puffleg,tutpuf1,,FALSE,Juodakrūtis erionas
Eriocnemis cupreoventris,Coppery-bellied Puffleg,cobpuf1,416567381,FALSE,Rudapilvis erionas
