Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,no
STRUTHIONIFORMES,,,,FALSE,
STRUTHIONIDAE,Ostriches,,,FALSE,
Apteryx rowi,Okarito Kiwi,okbkiw1,197661661,FALSE,Okaritokivi
†DINORNITHIDAE,Moas,,,FALSE,
Struthio camelus,Ostrich,ostric2,645938838,FALSE,slettestruts/somalistruts
Struhio molybdophanes,Somali Ostrich,ostric3,,FALSE,
†Dinornis gigantheus,Great Moa,,,FALSE,
†Megalapteryx didinus,Lesser Megalapteryx,,,FALSE,
RHEIDAE,Rheas,,,FALSE,
†AEPYORNITHIDAE,Elephantbirds,,,FALSE,
Rhea americana,Greater Rhea,grerhe1,203988441,TRUE,Stornandu
Rhea pennata,Lesser Rhea,lesrhe2,49399691,FALSE,Fjellnandu
Rhea tarapacensis,Puna Rhea,,,FALSE,fjellnandu (tarapacensis/garleppi)
†Aepyornis maximus,Elephantbird,,,FALSE,
GALLIFORMES,,,,FALSE,
MEGAPODIIDAE,Megapodes,,,FALSE,
TINAMIDAE,Tinamous,,,FALSE,
Nothocercus julius,Tawny-breasted Tinamou,tabtin1,462300061,FALSE,Brunbrysttinamu
Nothocercus bonapartei,Highland Tinamou,higtin1,871,FALSE,Bambustinamu
Nothocercus nigrocapillus,Hooded Tinamou,hootin1,203940161,FALSE,Blyhettetinamu
Tinamus tao,Grey Tinamou,grytin1,58702,FALSE,Taotinamu
Tinamus solitarius,Solitary Tinamou,soltin1,18804,FALSE,Eremittinamu
Tinamus osgoodi,Black Tinamou,blatin1,60456,FALSE,Svarttinamu
Tinamus major,Great Tinamou,gretin1,57320,FALSE,Stortinamu
Tinamus guttatus,White-throated Tinamou,whttin1,31950,FALSE,Perletinamu
Crypturellus berlepschi,Berlepsch's Tinamou,bertin1,629455957,FALSE,Sottinamu
Crypturellus cinereus,Cinereous Tinamou,cintin1,203696311,FALSE,gråtinamu
Crypturellus ptaritepui,Tepui Tinamou,teptin1,204027571,FALSE,Tepuitinamu
Crypturellus soui,Little Tinamou,littin1,117119,TRUE,Småtinamu
Crypturellus obsoletus,Brown Tinamou,brotin1,164251,FALSE,Bruntinamu
Crypturellus undulatus,Undulated Tinamou,undtin1,626373802,FALSE,Amazontinamu
Crypturellus strigulosus,Brazilian Tinamou,bratin1,204022031,FALSE,Brasiltinamu
Crypturellus duidae,Grey-legged Tinamou,gyltin1,158883681,FALSE,Gråbeintinamu
Crypturellus erythropus,Red-legged Tinamou,reltin1,461593031,FALSE,Rødbeintinamu
Crypturellus noctivagus,Yellow-legged Tinamou,yeltin1,385079961,FALSE,gulbeintinamu
Crypturellus atrocapillus,Black-capped Tinamou,blctin1,76049,FALSE,Svarthettetinamu
Crypturellus occidentalis,Western Thicket Tinamou,,,FALSE,krattinamu (occidentalis)
Crypturellus cinnamomeus,Eastern Thicket Tinamou,thitin1,33206801,FALSE,krattinamu
Crypturellus transfasciatus,Pale-browed Tinamou,pabtin1,143809,FALSE,Hvitbryntinamu
Crypturellus boucardi,Slaty-breasted Tinamou,slbtin1,127724071,FALSE,gråbrysttinamu
Crypturellus kerriae,Choco Tinamou,chotin1,324633271,FALSE,Panamatinamu
Crypturellus varieagatus,Variegated Tinamou,vartin1,203934011,FALSE,
Crypturellus brevirostris,Rusty Tinamou,rustin1,614660336,FALSE,Jungeltinamu
Crypturellus barletti,Barlett's Tinamou,,,FALSE,
Crypturellus casiquiare,Barred Tinamou,bartin1,630722708,FALSE,Stripetinamu
Crypturellus parvirostris,Small-billed Tinamou,smbtin1,51850,FALSE,Kortnebbtinamu
Crypturellus tataupa,Tataupa Tinamou,tattin1,217313,FALSE,Tataupatinamu
Rhynchotus rufescens,Red-winged Tinamou,rewtin1,203696371,FALSE,rødvingetinamu
Nothoprocta taczanowskii,Taczanowski's Tinamu,tactin1,628474647,FALSE,Perutinamu
Nothoprocta ornata,Ornate Tinamou,orntin1,609546694,FALSE,Fjelltinamu
Nothoprocta perdicaria,Chilean Tinamou,chitin1,303573,FALSE,Chiletinamu
Nothoprocta cinerascens,Brushland Tinamou,brutin1,634961756,FALSE,Busktinamu
Nothoprocta pentlandii,Andean Tinamou,andtin1,46168,FALSE,Andestinamu
Nothoprocta curvirostris,Curve-billed Tinamou,cubtin1,633661342,FALSE,Krumnebbtinamu
Nothura boraquira,White-bellied Nothura,whbnot1,219138941,FALSE,Hvitøyetinamu
Nothura minor,Lesser Nothura,lesnot1,424395341,FALSE,Dvergtinamu
Nothura darwinii,Darwin's Nothura,darnot1,426123241,FALSE,Darwintinamu
Nothura maculosa,Spotted Nothura,sponot1,114397301,TRUE,Flekktinamu
Nothura chacoensis,Chaco Nothura,,,FALSE,
Taoniscus nanus,Dwarf Tinamou,dwatin1,643569796,FALSE,Pygmétinamu
Eudromia elegans,Elegant Crested-Tinamou,elctin1,236936911,FALSE,Sørtopptinamu
Eudromia formosa,Quebracho Crested-Tinamou,quctin1,626262181,FALSE,Nordtopptinamu
Tinamotis pentlandii,Puna Tinamou,puntin1,210229,FALSE,Punatinamu
Tinamotis ingoufi,Patagonian Tinamou,pattin1,612106908,FALSE,Patagoniatinamu
Alectura lathami,Australian Brush-turkey,ausbrt1,381591551,FALSE,Klaveovnhøne
Aepypodius arfakianus,Wattled Brush-turkey,watbrt1,,FALSE,Hvitstrupeovnhøne
Aepypodius bruijnii,Bruijn's Brush-turkey,brubrt1,,FALSE,Treflikovnhøne
Talegalla cuvieri,Red-billed Brush-turkey,rebbrt1,617189538,FALSE,Rødnebbovnhøne
Talegalla fuscirostris,Black-billed Brush-turkey,bkbbrt1,65819,FALSE,Svartovnhøne
Talegalla jobiensis,Brown-collared Brush-turkey,bncbrt1,204011051,FALSE,Rødbeinovnhøne
Leipoa ocellata,Malleefowl,mallee1,507328321,TRUE,Malleeovnhøne
Macrocephalon maleo,Maleo,maleo1,210744231,FALSE,Hammerovnhøne
Eulipoa wallacei,Moluccan Scrubfowl,molscr1,,FALSE,Molukkovnhøne
Megapodius nicobariensis,Nicobar Scrubfowl,nicscr1,648533499,FALSE,nikobarovnhøne
Megapodius cumingii,Philippine Scrubfowl,tabscr1,203893311,FALSE,Mjaueovnhøne
Megapodius bernsteinii,Sula Scrubfowl,sulscr1,203905281,FALSE,Sulaovnhøne
Megapodius tenimberensis,Tanimbar Scrubfowl,tanscr1,616243717,FALSE,Tanimbarovnhøne
Megapodius layardi,Vanuatu Scrubfowl,vanscr1,159476231,FALSE,Vanuatuovnhøne
Megapodius laperouse,Micronesian Scrubfowl,micscr1,140190,FALSE,Dvergovnhøne
Megapodius pritchardii,Polynesian Scrubfowl,niuscr1,,FALSE,Tongaovnhøne
Megapodius freycinet,Dusky Scrubfowl,dusscr1,203908891,FALSE,sotovnhøne
Megapodius geelvikanus,Biak Scrubfowl,,,FALSE,
Megapodius decollatus,New Guinea Scrubfowl,negscr1,608353878,FALSE,Papuaovnhøne
Megapodius eremita,Melanesian Scrubfowl,melscr1,203908291,FALSE,Melanesiaovnhøne
Megapodius reinwardt,Orange-footed Scrubfowl,orfscr1,58969901,TRUE,oransjebeinovnhøne
CRACIDAE,Guans Chachalacas Curassows,,,FALSE,
Chamaepetes unicolor,Black Guan,blagua1,53957,FALSE,Svarthokko
Chamaepetes goudotii,Sickle-winged Guan,siwgua1,167255,FALSE,Blåmaskehokko
Penelopina nigra,Highland Guan,higgua1,203692671,FALSE,Smekkehokko
Penelope argyrotis,Band-tailed Guan,batgua1,167175,FALSE,sølvørehokko
Penelope barbata,Bearded Guan,beagua1,203915771,FALSE,Skjegghokko
Penelope ortoni,Baudo Guan,baugua1,168703,FALSE,Mørkhodehokko
Penelope montagnii,Andean Guan,andgua1,591553691,FALSE,andeshokko
Penelope marail,Marail Guan,margua1,67615,FALSE,Marailhokko
Penelope superciliaris,Rusty-margined Guan,rumgua1,102319,FALSE,Brasilhokko
Penelope dabbenei,Red-faced Guan,refgua1,203985251,FALSE,Rødbrillehokko
Penelope jacquacu,Spix's Guan,spigua1,190225,FALSE,jungelhokko
Penelope purpurascens,Crested Guan,cregua1,173510751,FALSE,parykkhokko
Penelope perspicax,Cauca Guan,caugua1,24042071,FALSE,Caucahokko
Penelope albipennis,White-winged Guan,whwgua1,13277,FALSE,Hvitvingehokko
Penelope obscura,Dusky-legged Guan,dulgua1,17658,FALSE,sothokko
Penelope pileata,White-crested Guan,whcgua1,203895021,FALSE,Rustnakkehokko
Penelope ochrogaster,Chestnut-bellied Guan,chbgua1,193678891,FALSE,Sumphokko
Penelope jacucaca,White-browed Guan,whbgua1,248626081,FALSE,Hvitbrynhokko
Pipile pipile,Trinidad Piping-guan,trpgua1,619307334,FALSE,trinidadhokko
Pipile cumanensis,Blue-throated Piping-guan,butpig1,321834561,FALSE,blåstrupehokko/hvitstrupehokko
Pipile grayi,White-throated Piping-guan,butpig2,396896121,FALSE,hvitstrupehokko
Pipile cujubi,Red-throated Piping-guan,rtpgua1,81437,FALSE,Rødstrupehokko
Pipile jacutinga,Black-fronted Piping-guan,bfpgua1,184775031,FALSE,Svartpannehokko
Aburria aburri,Wattled Guan,watgua1,101066981,FALSE,Gulflikhokko
Oreophasis derbianus,Horned Guan,horgua1,177575,TRUE,Hornhokko
Ortalis vetula,Plain Chachalaca,placha,172754021,TRUE,kratthokko
Ortalis cinereiceps,Grey-headed Chachalaca,grhcha1,456443461,FALSE,Gråhodehokko
Ortalis garrula,Chestnut-winged Chachalaca,chwcha1,624280923,FALSE,kastanjevingehokko
Ortalis ruficauda,Rufous-vented Chachalaca,ruvcha1,2320,FALSE,Llanoshokko
Ortalis erythroptera,Rufous-headed Chachalaca,ruhcha1,514472621,FALSE,Rusthodehokko
Ortalis wagleri,Rufous-bellied Chachalaca,rubcha1,49211281,FALSE,Sinaloahokko
Ortalis poliocephala,West Mexican Chachalaca,wemcha1,153248731,FALSE,guerrerohokko
Ortalis canicollis,Chaco Chachalaca,chacha1,572139481,FALSE,Chacohokko
Ortalis leucogastra,White-bellied Chachalaca,whbcha1,20375,FALSE,Hvitbukhokko
Ortalis columbiana,Colombian Chachalaca,colcha1,212229,FALSE,Colombiahokko
Ortalis guttata,Speckled Chachalaca,specha3,183366391,FALSE,buskhokko
Ortalis araucan,East Brasilian Chachalaca,,,FALSE,
Ortalis squamata,Scaled Chachalaca,specha4,332027481,FALSE,skjellhokko
Ortalis motmot,Little Chachalaca,varcha1,78010,FALSE,guyanahokko
CASUARIIDAE,Cassowaries Emus,,,FALSE,
Casuarius casuarius,Southern Cassowary,soucas1,203989761,TRUE,Toflikkasuar
Casuarius bennetti,Dwarf Cassowary,dwacas1,203987101,FALSE,Dvergkasuar
Casuarius unappendiculatus,Northern Cassowary,norcas1,536563291,FALSE,Enflikkasuar
Dromaius novaehollandiae,Emu,emu1,623096519,TRUE,Emu
†Dromaius minor,King Island Emu,,,FALSE,
†Dromaius baudinianus,Kangoroo Island Emu,,,FALSE,
APTERYGIDAE,Kiwis,,,FALSE,
Apteryx haastii,Great Spotted Kiwi,grskiw1,617700522,TRUE,Flekkivi
Apteryx owenii,Little Spotted Kiwi,liskiw1,596188651,FALSE,Dvergkivi
Apteryx mantelli,Northern Brown Kiwi,nibkiw1,623165890,TRUE,Nordbrunkivi
Apteryx australis,Southern Brown Kiwi,sobkiw1,85614831,FALSE,sørbrunkivi
Ortalis superciliaris,Buff-browed Chachalaca,bubcha1,349286621,FALSE,Blekbrynhokko
Nothocrax urumutum,Nocturnal Curassow,noccur1,34378,FALSE,Brunhokko
Crax rubra,Great Curassow,grecur1,398165901,TRUE,Storhokko
