Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,sk
Otus enganensis,Enggano Scops-owl,ensowl1,175561,FALSE,výrik hnedý
Otus umbra,Simeulue Scops-owl,sisowl1,164184,FALSE,výrik pobrežný
Otus alius,Nicobar Scops-owl,nicsco1,185345491,FALSE,výrik nikobarský
Otus balli,Andaman Scops-owl,ansowl1,405569401,FALSE,výrik andamanský
Otus alfredi,Flores Scops-owl,flsowl1,203996761,FALSE,výrik floreský
Otus spilocephalus,Mountain Scops-owl,mosowl2,359321921,FALSE,výrik horský
Otus angelinae,Javan Scops-owl,jasowl2,189483991,FALSE,výrik jávsky
Otus brookii,Rajah Scops-owl,rasowl1,175523,FALSE,výrik radža
Otus pamelae,Arabian Scops-owl,arasco1,535731511,FALSE,výrik arabský
Otus pembaensis,Pemba Scops-owl,pesowl2,137401,FALSE,výrik pembský
Otus senegalensis,African Scops-owl,afsowl1,53584,FALSE,výrik africký
Otus feae,Annobon Scops-owl,,,FALSE,výrik annobónsky (skup.)
Otus hartlaubi,Sao Tome Scops-owl,stsowl1,203963341,FALSE,výrik plantážový
Otus scops,Eurasian Scops-owl,eursco1,541814831,FALSE,výrik lesný
O. s. cyprius,Cyprus Scops-owl,eursco3,465264171,FALSE,
Otus brucei,Pallid Scops-owl,pasowl3,425098581,FALSE,výrik bledý
Otus longicornis,Luzon Scops-owl,lusowl1,203976401,FALSE,výrik luzonský
Otus mirus,Mindanao Highland Scops-owl,misowl1,526851561,FALSE,výrik mindanajský
Otus mindorensis,Mindoro Scops-owl,misowl2,113554061,FALSE,výrik mindorský
Otus rutilus,Madagascar Scops-owl,madsco1,203448241,FALSE,výrik pralesný
Otus mayottensis,Mayotte Scops-owl,maysco1,,FALSE,výrik brukavý
Otus capnodes,Anjouan Scops-owl,ansowl2,203979021,FALSE,výrik pískavý
Otus pauliani,Grand Comoro Scops-owl,cosowl3,287187521,FALSE,výrik sliedivý
Otus moheliensis,Moheli Scops-owl,mohsco1,475229971,FALSE,výrik syčavý
Otus socotranus,Socotra Scops-owl,afrsco2,625121284,FALSE,výrik sokotranský
Otus insularis,Seychelles Scops-owl,sesowl1,622585470,FALSE,výrik seychelský
Otus sunia,Oriental Scops-owl,orsowl,630681203,FALSE,výrik sunia
Otus elegans,Ryukyu Scops-owl,ryusco1,203899261,FALSE,výrik pôvabný
Otus siaoensis,Siau Scops-owl,sulsco2,,FALSE,výrik pustovnícky
Otus manadensis,Sulawesi Scops-owl,susowl1,203909211,FALSE,výrik svetlobruchý
Otus mendeni,Banggai Scops-owl,sulsco5,203903211,FALSE,výrik pelengský
Otus sulaensis,Sula Scops-owl,sulsco3,203903041,FALSE,výrik sulský
Otus collari,Sangihe Scops-owl,sansco1,175407031,FALSE,výrik dlhokrídly
Otus mantananensis,Mantanani Scops-owl,masowl2,633422448,FALSE,výrik kokosový
Otus magicus,Moluccan Scops-owl,mosowl1,203996771,FALSE,výrik molucký
Otus jolandae,Rinjani Scops-owl,rinsco1,202582,FALSE,výrik lombocký
Otus tempestatis,Wetar Scops-owl,molsco2,203921661,FALSE,výrik wetarský
Otus beccarii,Biak Scops-owl,biasco1,203997151,FALSE,výrik biacky
Pyrroglaux podarginus,Palau Owl,,,FALSE,výrik palauský
Ptilopsis leucotis,Northern White-faced Owl,nwfowl1,643593096,FALSE,myšiarka bielolíca
Ptilopsis granti,Southern White-faced Owl,swfowl1,545705171,FALSE,myšiarka bielolíca
Asio stygius,Stygian Owl,styowl1,141785331,FALSE,myšiarka tmavá
Asio otus,Northern Long-eared Owl,loeowl,49057,FALSE,myšiarka ušatá
Asio abyssinicus,African Long-eared Owl,aleowl1,,FALSE,myšiarka etiópska
Asio madagascariensis,Madagascar Long-eared Owl,mleowl1,331614611,FALSE,myšiarka madagaskarská
Asio clamator,Striped Owl,strowl1,457235371,FALSE,myšiarka krikľavá
Asio flammeus,Short-eared Owl,sheowl,198229341,FALSE,myšiarka močiarna
Asio capensis,Marsh Owl,marowl2,214791831,FALSE,myšiarka jednofarebná
Pseudoscops grammicus,Jamaican Owl,jamowl1,629042505,FALSE,myšiarka jamajská
Nesasio solomonensis,Fearful Owl,feaowl1,,FALSE,myšiarka šalamúnska
Psiloscops flammeolus,Flammulated Owl,flaowl,340633911,FALSE,výrček ohnivý
Megascops kennicottii,Western Screech-owl,wesowl1,632812368,TRUE,výrček západný
Megascops seductus,Balsas Screech-owl,basowl,385692971,FALSE,výrček balsaský
Megascops cooperi,Pacific Screech-owl,pasowl4,106775411,FALSE,výrček mangrovový
Megascops asio,Eastern Screech-owl,easowl1,168804731,TRUE,výrček škriekavý
Megascops trichopsis,Whiskered Screech-owl,whsowl1,97811691,FALSE,výrček škvrnitý
Megascops choliba,Tropical Screech-owl,trsowl,278666921,FALSE,výrček čóliba
Megascops roboratus,Peruvian Screech-owl,persco1,104749951,FALSE,výrček peruánsky
Megascops koepckeae,Koepcke's Screech-owl,koesco1,203889381,FALSE,výrček andský
Megascops clarkii,Bare-shanked Screech-owl,bssowl,298268241,FALSE,výrček holonohý
Megascops barbarus,Bearded Screech-owl,besowl,144123381,FALSE,výrček bradatý
Megascops colombianus,Colombian Screech-owl,,,FALSE,výrček hnedkastý (skup.)
Megascops ingens,Rufescent Screech-owl,rufsco1,204022541,FALSE,výrček červenkastý
Megascops petersoni,Cinnamon Screech-owl,cinsco1,622190035,FALSE,výrček škoricový
Megascops marshalli,Cloudforest Screech-owl,clfsco1,611500720,FALSE,výrček prúžkovaný
Megascops watsonii,Tawny-bellied Screech-owl,tabsco1,613872283,FALSE,výrček mahagónový
Megascops guatemalae,Guatemalan Screech-owl,vesowl,174698701,FALSE,výrček ropuší
Megascops vermiculatus,Vermiculated Screech-owl,,,FALSE,
Megascops hoyi,Yungas Screech-owl,mofsco1,203701471,FALSE,výrček horský
Megascops atricapilla,Black-capped Screech-owl,bkcsco1,203997001,FALSE,výrček tmavohlavý
Megascops sanctaecatarinae,Long-tufted Screech-owl,lotsco1,39217731,FALSE,výrček dlhouchý
Megascops nudipes,Puerto Rican Screech-owl,,,FALSE,výrček portorický
Megascops albogularis,White-throated Screech-owl,whtsco1,245137651,FALSE,výrček bielohrdlý
Margarobyas lawrencii,Bare-legged Screech-owl,balowl,133237,FALSE,kuvičok holonohý
Pulsatrix perspicillata,Spectacled Owl,speowl1,4510,TRUE,sova okuliarnatá
Pulsatrix koeniswaldiana,Tawny-browed Owl,tabowl1,115219791,FALSE,sova kolohrivá
Pulsatrix melanota,Band-bellied Owl,babowl1,617300167,FALSE,sova pestropása
Strix seloputo,Spotted Wood-owl,spwowl1,70648,FALSE,sova pagodová
Strix ocellata,Mottled Wood-owl,mowowl1,352115881,FALSE,sova hájová
Strix leptogrammica,Brown Wood-owl,brwowl1,317116931,FALSE,sova hnedá
Strix aluco,Tawny Owl,tawowl1,243339011,TRUE,sova obyčajná
S. a. mauritanica,Maghreb Tawny Owl,,,FALSE,
Strix nivicolum,Himalayan Owl,himowl1,146757731,FALSE,sova horská
Strix butleri,Hume's Owl,omaowl1,204013641,FALSE,sova svetlá
Strix omanensis,Omani Owl,omaowl1,204013641,FALSE,sova svetlá
Strix occidentalis,Spotted Owl,spoowl,274753161,TRUE,sova škvrnitá
Strix varia,Barred Owl,brdowl,93169341,TRUE,sova pásikavá
Strix fulvescens,Fulvous Owl,fulowl1,213476191,FALSE,sova plavá
Strix hylophila,Rusty-barred Owl,rubowl2,203700461,FALSE,sova gaštanová
Strix chacoensis,Chaco Owl,chaowl1,203963481,FALSE,sova jarabá
Strix rufipes,Rufous-legged Owl,rulowl1,31979111,FALSE,sova patagónska
Strix uralensis,Ural Owl,uraowl1,60712291,FALSE,sova dlhochvostá
S. u. davidi,Sichuan Owl,,,FALSE,
Strix nebulosa,Great Grey Owl,grgowl,227005,TRUE,sova tmavá
Strix woodfordii,African Wood-owl,afwowl1,9400,FALSE,sova pruhovaná
Jubula lettii,Maned Owl,manowl1,,FALSE,sova hrivnatá
Lophostrix cristata,Crested Owl,creowl1,176466471,FALSE,sova veľkobrvá
Bubo scandiacus,Snowy Owl,snoowl1,233160,TRUE,belaňa tundrová
Bubo virginianus,Great Horned Owl,grhowl,132729861,TRUE,výr bielobradý/rožkatý
Bubo magellanicus,Magellanic Horned Owl,grhowl2,584197581,FALSE,výr rožkatý
Bubo bubo,Eurasian Eagle-owl,eueowl1,59172501,TRUE,výr skalný
Bubo ascalaphus,Pharaoh Eagle-owl,pheowl1,439904091,FALSE,výr púšťový
Bubo bengalensis,Rock Eagle-owl,roeowl1,194664311,FALSE,výr brahmanský
Bubo capensis,Cape Eagle-owl,caeowl1,8353,FALSE,výr škvrnitý
Bubo africanus,Spotted Eagle-owl,spoeao2,203938471,FALSE,výr africký
B. a. milesi,Arabian Spotted Eagle-owl,,,FALSE,
Bubo cinerascens,Greyish Eagle-owl,graeao1,627805233,FALSE,výr vlnkovaný
Bubo poensis,Fraser's Eagle-owl,fraeao1,280533,FALSE,výr malovaný
Bubo lacteus,Verreaux's Eagle-owl,veeowl1,203952381,FALSE,výr belavý
Bubo shelleyi,Shelley's Eagle-owl,sheowl1,615106407,FALSE,výr tmavý
Bubo sumatranus,Barred Eagle-owl,baeowl1,345636391,FALSE,výr veľkouchý
Bubo nipalensis,Spot-bellied Eagle-owl,sbeowl1,306057371,FALSE,výr žltozobý
Bubo coromandus,Dusky Eagle-owl,dueowl1,484029641,FALSE,výr brvnatoprstý
Bubo leucostictus,Akun Eagle-owl,akeowl1,203909531,FALSE,výr malozobý
Bubo philippensis,Philippine Eagle-owl,pheowl2,203999841,FALSE,výr čiarkový
Bubo blakistoni,Blakiston's Eagle-owl,,,FALSE,výr vodný
Ketupa zeylonensis,Brown Fish-owl,brfowl1,357928591,FALSE,ketupa rybárka
Ketupa flavipes,Tawny Fish-owl,tafowl1,646555291,FALSE,ketupa hrdzavá
Ketupa ketupu,Buffy Fish-owl,bufowl2,37256091,FALSE,ketupa riečna
Scotopelia peli,Pel's Fishing-owl,pefowl1,310488,FALSE,hlavaňa rybárka
Scotopelia ussheri,Rufous Fishing-owl,rufowl1,42040991,FALSE,hlavaňa hrdzavá
Scotopelia bouvieri,Vermiculated Fishing-owl,vefowl1,611760780,FALSE,hlavaňa žltozobá
Ciccaba virgata,Mottled Owl,motowl,48255711,FALSE,sova čiarková
Ciccaba nigrolineata,Black-and-white Owl,bawowl1,203952181,FALSE,sova čiernohlavá
Ciccaba huhula,Black-banded Owl,bkbowl1,471539831,FALSE,sova čierna
Ciccaba albitarsis,Rufous-banded Owl,rubowl3,621767103,FALSE,sova hrdzavá
Spilornis cheela,Crested Serpent-eagle,crseag1,285999481,FALSE,hadiar čepcový
Spilornis holospilus,Philippine Serpent-eagle,phseag1,203894621,FALSE,hadiar filipínsky
Spilornis klossi,Great Nicobar Serpent-eagle,nicsee1,649339633,FALSE,hadiar nikobarský
Spilornis kinabaluensis,Kinabalu Serpent-eagle,moseag1,622613519,FALSE,hadiar horský
Spilornis rufipectus,Sulawesi Serpent-eagle,suseag1,640793010,FALSE,hadiar celebeský
Spilornis elgini,Andaman Serpent-eagle,anseag1,290061431,FALSE,hadiar andamanský
Dryotriorchis spectabilis,Congo Serpent-eagle,,,FALSE,hadiar dlhochvostý
Terathopius ecaudatus,Bateleur,batele1,135449,FALSE,hadiar krátkochvostý
Pithecophaga jefferyi,Great Philippine Eagle,grpeag1,183492,TRUE,opičiar veľkozobý
Circaetus gallicus,Short-toed Snake-eagle,shteag1,203921371,FALSE,hadiar krátkoprstý
Circaetus beaudouini,Beaudouin's Snake-eagle,beasne1,310001,FALSE,hadiar čiarkový
Circaetus pectoralis,Black-breasted Snake-eagle,bkbsne1,,FALSE,hadiar bielobruchý
Circaetus cinereus,Brown Snake-eagle,brseag1,399655781,FALSE,hadiar tmavohnedý
Circaetus fasciolatus,Southern Banded Snake-eagle,faseag1,615708226,FALSE,hadiar pásikavý
Circaetus cinerascens,Western Banded Snake-eagle,baseag1,305958511,FALSE,hadiar popolavý
Sarcogyps calvus,Red-headed Vulture,rehvul1,,FALSE,sup červenohlavý
Trigonoceps occipitalis,White-headed Vulture,whhvul1,,FALSE,sup červenozobý
Necrosyrtes monachus,Hooded Vulture,hoovul1,21635991,FALSE,sup čiapočkatý
Gyps himalayensis,Himalayan Griffon,himgri1,286816191,FALSE,sup snežný
Gyps bengalensis,White-rumped Vulture,whrvul1,310239,FALSE,sup černastý
Gyps africanus,White-backed Vulture,whbvul1,276362,FALSE,sup hrdzavohnedý
Gyps indicus,Indian Vulture,indvul1,310243,TRUE,sup dlhozobý
Gyps tenuirostris,Slender-billed Vulture,slbvul1,612412143,FALSE,sup tenkozobý
Gyps coprotheres,Cape Vulture,capgri1,612256787,FALSE,sup plavý
Gyps rueppellii,Rüppell's Vulture,,,FALSE,sup jarabý
Gyps fulvus,Griffon Vulture,eurgri1,627212609,TRUE,sup bielohlavý
Aegypius monachus,Cinereous Vulture,cinvul1,625694722,FALSE,sup tmavohnedý
Torgos tracheliotus,Lappet-faced Vulture,lafvul1,,FALSE,sup ušatý
T. t. negevensis,Arabian Lappet-faced Vulture,,,FALSE,
Macheiramphus alcinus,Bat Hawk,bathaw1,639242498,FALSE,netopierar súmračný
Harpyopsis novaeguineae,Papuan Eagle,negeag1,42744971,FALSE,harpya novoguinejská
Morphnus guianensis,Crested Eagle,creeag1,171507441,FALSE,harpya strakatá
Harpia harpyja,Harpy Eagle,hareag1,176929541,TRUE,harpya opičiarka
Stephanoaetus coronatus,Crowned Hawk-eagle,crheag1,203948541,FALSE,orol korunkatý
Nisaetus nipalensis,Mountain Hawk-eagle,mouhae1,533521141,FALSE,orlovec hnedosivý
Nisaetus bartelsi,Javan Hawk-eagle,javhae1,485521631,FALSE,orlovec pralesný
Nisaetus nanus,Wallace's Hawk-eagle,walhae1,282798,FALSE,orlovec džungľový
Nisaetus alboniger,Blyth's Hawk-eagle,blyhae1,620701450,FALSE,orlovec vrchovský
Nisaetus lanceolatus,Sulawesi Hawk-eagle,sulhae1,203909261,FALSE,orlovec krahulčí
Nisaetus philippensis,North Philippine Hawk-eagle,phihae1,203997421,FALSE,orlovec filipínsky
Nisaetus pinskeri,South Philippine Hawk-eagle,pinhae1,421059261,FALSE,orlovec Pinskerov
Nisaetus cirrhatus,Changeable Hawk-eagle,y00839,251042241,FALSE,orlovec viactvarý
Nisaetus floris,Flores Hawk-eagle,flohae1,609103067,FALSE,orlovec viactvarý
Lophotriorchis kienerii,Rufous-bellied Eagle,rubeag2,320993571,FALSE,orol hrdzavobruchý
Polemaetus bellicosus,Martial Eagle,mareag1,425796191,FALSE,orol bojovný
Spizaetus tyrannus,Black Hawk-eagle,blheag1,382920141,FALSE,orlovec ebenový
Spizaetus melanoleucus,Black-and-white Hawk-eagle,bawhae1,305703241,FALSE,myšiak aguja
Spizaetus ornatus,Ornate Hawk-eagle,orheag1,207695371,FALSE,orlovec ozdobný
Spizaetus isidori,Black-and-chestnut Eagle,baceag2,190160601,FALSE,orlovec andský
Ictinaetus malaiensis,Black Eagle,blaeag1,426580691,FALSE,orol štíhly
Lophaetus occipitalis,Long-crested Eagle,loceag1,609066606,FALSE,orol dlhochochlatý
Clanga pomarina,Lesser Spotted Eagle,leseag1,625831477,FALSE,orol krikľavý
Clanga hastata,Indian Spotted Eagle,inseag1,621508122,FALSE,orol indický
Clanga clanga,Greater Spotted Eagle,grseag1,633609421,TRUE,orol hrubozobý
Aquila rapax,Tawny Eagle,taweag1,632606154,FALSE,orol bronzový/stepný
Aquila nipalensis,Steppe Eagle,steeag1,211633851,TRUE,orol stepný
Aquila adalberti,Spanish Imperial Eagle,spaeag1,630788286,FALSE,orol iberský
Aquila heliaca,Eastern Imperial Eagle,impeag1,605642091,TRUE,orol kráľovský
Aquila gurneyi,Gurney's Eagle,gureag1,,FALSE,orol tmavý
Aquila chrysaetos,Golden Eagle,goleag,202143881,TRUE,orol skalný
Aquila audax,Wedge-tailed Eagle,weteag1,204008151,TRUE,orol klinochvostý
Aquila verreauxii,Verreaux's Eagle,vereag1,278444,FALSE,orol sedlatý
Aquila fasciata,Bonelli's Eagle,boneag2,535764151,TRUE,orol jastrabovitý
Aquila spilogaster,African Hawk-eagle,afrhae1,28073311,FALSE,orol škvrnitoprsý
Aquila africana,Cassin's Hawk-eagle,cashae1,528593631,FALSE,orol pláštikatý
Hieraaetus wahlbergi,Wahlberg's Eagle,waheag3,194536401,FALSE,orol savanový
Hieraaetus pennatus,Booted Eagle,booeag1,269267001,FALSE,orol malý
Hieraaetus weiskei,Pygmy Eagle,liteag3,648364054,FALSE,orol novoguinejský
Hieraaetus morphnoides,Little Eagle,liteag1,273379511,FALSE,orol austrálsky
Hieraaetus ayresii,Ayres's Hawk-eagle,ayheag1,142208511,FALSE,orol holubiar
Kaupifalco monogrammicus,Lizard Buzzard,lizbuz1,4350,FALSE,jašteričiar pásikavý
Melierax metabates,Dark Chanting-goshawk,dacgos1,633021894,FALSE,jastrabec pláštikový
Melierax canorus,Pale Chanting-goshawk,pacgos1,582106661,FALSE,jastrabec sivý
Melierax poliopterus,Eastern Chanting-goshawk,eacgos1,280118,FALSE,jastrabec spevavý
Micronisus gabar,Gabar Goshawk,gabgos2,634391127,FALSE,jastrabec gabar
Harpagus bidentatus,Double-toothed Kite,dotkit1,470408421,FALSE,opičiarka pásavá
Harpagus diodon,Rufous-thighed Kite,rutkit1,292552981,FALSE,opičiarka sivoprsá
CATHARTIFORMES,,,,FALSE,
CATHARTIDAE,New World Vultures,,,FALSE,holohlavec skalný
Cathartes aura,Turkey Vulture,turvul,317760061,TRUE,kondor morkovitý
Cathartes burrovianus,Lesser Yellow-headed Vulture,lyhvul1,437900471,FALSE,kondor modrohlavý
Cathartes melambrotus,Greater Yellow-headed Vulture,gyhvul1,482548071,FALSE,kondor modrotemenný
Coragyps atratus,American Black Vulture,blkvul,458200071,TRUE,kondor krkavcovitý
Sarcorhamphus papa,King Vulture,kinvul1,166695961,TRUE,kondor kráľovský
Gymnogyps californianus,California Condor,calcon,163900,TRUE,kondor veľkozobý
Vultur gryphus,Andean Condor,andcon1,220146481,TRUE,kondor veľký
ACCIPITRIFORMES,Diurnal raptor sp.,diurap1,87390,FALSE,
SAGITTARIIDAE,Secretarybird,secret2,348379561,FALSE,
Sagittarius serpentarius,Secretarybird,secret2,348379561,FALSE,hadožrút nohatý
PANDIONIDAE,Osprey,osprey,34075051,TRUE,
Pandion haliaetus,Osprey,osprey,34075051,TRUE,kršiak rybár
ACCIPITRIDAE,Hawks Eagles,,,FALSE,Accipitridae neurčený druh (starosvetský supovitý dravec neurčený druh)
Elanus caeruleus,Black-winged Kite,bkskit1,465025481,FALSE,luniak sivý
Elanus axillaris,Black-shouldered Kite,auskit1,335258821,TRUE,luniak striebristý
Elanus leucurus,White-tailed Kite,whtkit,4329,FALSE,luniak bielochvostý
Elanus scriptus,Letter-winged Kite,lewkit1,642470917,FALSE,luniak popolavý
Gampsonyx swainsonii,Pearl Kite,peakit1,58956,FALSE,luniak pestrý
Chelictinia riocourii,Scissor-tailed Kite,sctkit1,4317,FALSE,luniak vidlochvostý
Leptodon cayanensis,Grey-headed Kite,grhkit1,266536541,FALSE,luň menlivý
Leptodon forbesi,White-collared Kite,whckit1,622581947,FALSE,luň bielohlavý
Chondrohierax uncinatus,Hook-billed Kite,hobkit,141335,FALSE,luň hákozobý
Chondrohierax wilsonii,Cuban Kite,hobkit2,,FALSE,luň kubánsky
Elanoides forficatus,Swallow-tailed Kite,swtkit,133304,FALSE,koršun vidlochvostý
Pernis apivorus,European Honey-buzzard,euhbuz1,203695051,TRUE,včelár lesný
Pernis ptilorhynchus,Oriental Honey-buzzard,orihob2,285082491,FALSE,včelár chochlatý
Pernis celebensis,Sulawesi Honey-buzzard,barhob1,,FALSE,včelár pásikavý
Pernis steerei,Philippine Honey-buzzard,barhob2,609063968,FALSE,včelár filipínsky
Hamirostra melanosternon,Black-breasted Buzzard,bkbkit1,647824418,FALSE,včelárovec veľkozobý
Lophoictinia isura,Square-tailed Kite,sqtkit1,611032162,FALSE,včelárovec svetlohlavý
Henicopernis longicauda,Long-tailed Honey-Buzzard,lthbuz1,,FALSE,včelárovec chvostnatý
Henicopernis infuscatus,Black Honey-Buzzard,blhbuz1,,FALSE,včelárovec tmavý
Aviceda cuculoides,African Cuckoo-hawk,afrcuh1,434619211,FALSE,kochláč kukučí
Aviceda madagascariensis,Madagascar Cuckoo-hawk,madcuh1,95167,FALSE,kochláč bieloprsý
Aviceda jerdoni,Jerdon's Baza,jerbaz1,203944101,FALSE,kochláč jarabý
Aviceda subcristata,Pacific Baza,pacbaz1,556362701,FALSE,kochláč hnedochrbtý
Aviceda leuphotes,Black Baza,blabaz1,633664127,FALSE,kochláč strakatý
Eutriorchis astur,Madagascar Serpent-eagle,maseag1,,FALSE,hadožer jastrabí
Polyboroides typus,African Harrier-hawk,afhhaw1,223342921,FALSE,kutraňa dutinárka
Polyboroides radiatus,Madagascar Harrier-hawk,mahhaw1,93905,FALSE,kutraňa madagaskarská
Gypohierax angolensis,Palm-nut Vulture,panvul1,310236,FALSE,orlosup strakatý
Gypaetus barbatus,Bearded Vulture,lammer1,353604881,FALSE,bradáň žltohlavý
Neophron percnopterus,Egyptian Vulture,egyvul1,354072661,FALSE,zdochlinár biely
Circus aeruginosus,Western Marsh-harrier,wemhar1,613407946,TRUE,kaňa močiarna
Circus spilonotus,Eastern Marsh-harrier,easmah1,549698611,FALSE,kaňa kapucňová
Circus approximans,Swamp Harrier,swahar1,259809771,FALSE,kaňa barinná
Circus ranivorus,African Marsh-harrier,afmhar1,4318,FALSE,kaňa žabožravá
Circus maillardi,Madagascar Marsh-harrier,reuhar2,642706114,FALSE,kaňa tmavochrbtá
Circus buffoni,Long-winged Harrier,lowhar1,613614215,FALSE,kaňa tmavá
Circus assimilis,Spotted Harrier,spohar1,634842908,FALSE,kaňa bodkovaná
Circus maurus,Black Harrier,blahar1,622404884,FALSE,kaňa počerná
Circus cyaneus,Hen Harrier,norhar1,493144381,FALSE,kaňa sivá/americká
Circus hudsonius,Northern Harrier,norhar2,248049481,TRUE,kaňa americká
Circus cinereus,Cinereous Harrier,cinhar1,210066391,FALSE,kaňa pásikavá
Circus macrourus,Pallid Harrier,palhar1,68671901,FALSE,kaňa stepná
Circus melanoleucus,Pied Harrier,piehar1,196391291,FALSE,kaňa strakatá
Circus pygargus,Montagu's Harrier,monhar1,351289931,TRUE,kaňa popolavá
Accipiter poliogaster,Grey-bellied Goshawk,gybhaw1,558225821,FALSE,jastrab sivobruchý
Accipiter trivirgatus,Crested Goshawk,cregos1,291362181,FALSE,jastrab chochlatý
Accipiter griseiceps,Sulawesi Goshawk,sulgos1,,FALSE,jastrab sivohlavý
Accipiter toussenelii,Red-chested Goshawk,,,FALSE,
Accipiter tachiro,African Goshawk,afrgos1,203919591,FALSE,jastrab tachiro
Accipiter castanilius,Chestnut-flanked Sparrowhawk,chfspa1,,FALSE,jastrab gaštanový
Accipiter badius,Shikra,shikra1,282934151,FALSE,jastrab šikra
Accipiter butleri,Nicobar Sparrowhawk,nicspa1,610320277,FALSE,jastrab nikobarský
Accipiter brevipes,Levant Sparrowhawk,levspa1,102917821,FALSE,jastrab krátkoprstý
Accipiter soloensis,Chinese Goshawk,,,FALSE,jastrab čínsky
Accipiter francesiae,Frances's Sparrowhawk,fragos2,203978961,FALSE,jastrab bledoprsý
Accipiter trinotatus,Spot-tailled Goshawk,,,FALSE,jastrab trojškvrnový
Accipiter sylvestris,Lesser Sundas Goshawk,,,FALSE,
Accipiter hiogaster,Variable Goshawk,vargos1,203994701,FALSE,jastrab hrdzavobruchý
A. h. griseogularis,Grey-throated Goshawk,,,FALSE,
Accipiter novaehollandiae,Grey Goshawk,,,FALSE,
Accipiter poliocephalus,Grey-headed Goshawk,,,FALSE,jastrab sivý
Accipiter princeps,New Britain Goshawk,nebgos1,,FALSE,jastrab birarský
Accipiter fasciatus,Brown Goshawk,brogos1,629541704,FALSE,
Accipiter melanochlamys,Black-mantled Goshawk,blmgos1,,FALSE,jastrab pláštikový
Accipiter albogularis,Pied Goshawk,piegos1,634784138,FALSE,
Accipiter haplochrous,White-bellied Sparrowhawk,,,FALSE,jastrab kapucňový
Accipiter rufitorques,Fiji Goshawk,fijgos1,203908381,FALSE,jastrab ružovobruchý
Accipiter henicogrammus,Moluccan Goshawk,molgos1,203906781,FALSE,jastrab hnedý
Accipiter luteoschistaceus,Slaty-backed Goshawk,,,FALSE,jastrab bledobruchý
Accipiter imitator,Imitator Goshawk,,,FALSE,jastrab čierny
Accipiter erythropus,Red-thighed Sparrowhawk,retspa1,434682891,FALSE,jastrab červenonohý
Accipiter minullus,Little Sparrowhawk,litspa1,627268191,FALSE,jastrab krahulček
Accipiter gularis,Japanese Sparrowhawk,japspa1,329104491,FALSE,
Accipiter virgatus,Besra,besra1,471424081,FALSE,
Accipiter nanus,Dwarf Sparrowhawk,,,FALSE,jastrab malý
Accipiter erythrauchen,Rufous-necked Sparrowhawk,runspa1,616606454,FALSE,jastrab hrdzavokrký
Accipiter cirrhocephalus,Collared Sparrowhawk,colspa1,412118721,FALSE,jastrab goliernatý
Accipiter brachyurus,New Britain Sparrowhawk,nebspa1,,FALSE,jastrab bielobruchý
Accipiter rhodogaster,Vinous-breasted Sparrowhawk,vibspa1,267147611,FALSE,jastrab ružovoprsý
Accipiter madagascariensis,Madagascar Sparrowhawk,madspa1,203989991,FALSE,jastrab madagaskarský
Accipiter ovampensis,Ovambo Sparrowhawk,ovaspa2,643864722,FALSE,jastrab ovambský
Accipiter nisus,Eurasian Sparrowhawk,eurspa1,496607621,TRUE,jastrab krahulec
Accipiter rufiventris,Rufous-breasted Sparrowhawk,rucspa2,405351511,FALSE,jastrab hrdzavoprsý
Accipiter striatus,Sharp-shinned Hawk,shshaw,91176131,FALSE,jastrab čiarkový
A. s. chionogaster,White-breasted Hawk,,,FALSE,
A. s. ventralis,Plain-breasted Hawk,,,FALSE,
A. s. erythronemius,Rufous-thighed Hawk,,,FALSE,
Accipiter cooperii,Cooper's Hawk,coohaw,231229351,TRUE,jastrab čiapočkatý
Accipiter gundlachi,Gundlach's Hawk,gunhaw1,183590,FALSE,jastrab okrovoprsý
Accipiter bicolor,Bicolored Hawk,bichaw1,512444021,FALSE,jastrab dvojfarebný/čilský
A. b. chilensis,Chilean Hawk,bichaw4,291112731,FALSE,
Accipiter henstii,Henst's Goshawk,hengos1,203970221,FALSE,jastrab Henstov
Accipiter melanoleucus,Black Sparrowhawk,,,FALSE,jastrab čierno-biely
Accipiter gentilis,Northern Goshawk,,,TRUE,jastrab veľký/indiánsky
A. g. atricapillus,American Goshawk,norgos,124126921,FALSE,
Accipiter meyerianus,Meyer's Goshawk,meygos1,,FALSE,jastrab tmavý
Accipiter collaris,Semi-collared Hawk,,,FALSE,jastrab krahuliak
Accipiter superciliosus,Tiny Hawk,tinhaw1,250820571,FALSE,jastrab drobný
Erythrotriorchis buergersi,Chestnut-shouldered Goshawk,chsgos1,,FALSE,jastrab novoguinejský
Erythrotriorchis radiatus,Red Goshawk,redgos1,62325001,FALSE,jastrab hajovitý
Megatriorchis doriae,Doria's Hawk,dorgos1,251433971,FALSE,jastrab dlhochvostý
Urotriorchis macrourus,Long-tailled Hawk,lothaw1,203922951,FALSE,jastrabec chvostnatý
Haliaeetus leucogaster,White-bellied Sea-eagle,wbseag1,363042201,TRUE,orliak bielobruchý
Haliaeetus sanfordi,Sanford's Sea-eagle,solsee1,247231,FALSE,orliak hnedý
Haliaeetus vocifer,African Fish-eagle,affeag1,4343,FALSE,orliak jasnohlasý
Haliaeetus vociferoides,Madagascar Fish-eagle,mafeag1,609067051,FALSE,orliak bielolíci
