Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,dk
Laterallus levraudi,Rusty-flanked Crake,rufcra2,454845621,FALSE,Rustflanket Dværgrikse
Laterallus ruber,Ruddy Crake,rudcra1,224201931,FALSE,Hættedværgrikse
Laterallus albigularis,White-throated Crake,whtcra1,78967391,FALSE,Hvidstrubet Dværgrikse
Laterallus exilis,Grey-breasted Crake,grbcra1,203932211,FALSE,Gråbrystet Dværgrikse
Laterallus jamaicensis,Black Rail,blkrai,49998091,TRUE,Sort Dværgrikse
Laterallus tuerosi,Junin Rail,,,FALSE,Sort Dværgrikse (Junín)
Laterallus spilonota,Galapagos Rail,galrai1,203698271,FALSE,Galapagosdværgrikse
Laterallus leucopyrrhus,Red-and-white Crake,rawcra1,609184339,FALSE,Hvidbuget Dværgrikse
Laterallus xenopterus,Rufous-faced Crake,rufcra1,499624321,FALSE,Paraguaydværgrikse
Rallus longirostris,Mangrove Rail,manrai1,406587451,FALSE,Klapperrikse
Rallus tenuirostris,Mexican Rail,kinrai2,470683061,FALSE,Tyndnæbbet Kongerikse
Rallus obsoletus,Ridgway's Rail,ridrai1,323622841,FALSE,San Francisco-klapperrikse
Rallus elegans,King Rail,kinrai4,457670641,TRUE,Kongerikse
Rallus crepitans,Clapper Rail,clarai11,30326001,FALSE,Connecticut Klapperrikse
Rallus wetmorei,Plain-flanked Rail,plfrai1,647207695,FALSE,Venezuelarikse
Rallus limicola,Virginia Rail,virrai,45633,TRUE,Virginiarikse
Rallus semiplumbeous,Bogota Rail,bograi1,621180909,FALSE,Bogotárikse
Rallus antarcticus,Austral Rail,ausrai1,28617701,FALSE,Patagonsk Rikse
Rallus aquaticus,Western Water Rail,watrai1,203920771,FALSE,Vandrikse/Sibirisk Vandrikse
Rallus indicus,Eastern Water Rail,bncrai1,620128113,FALSE,Østlig vandrikse
Rallus caerulescens,African Rail,afrrai1,46083,FALSE,Afrikansk Rikse
Rallus madagascariensis,Madagascar Rail,madrai1,360288161,FALSE,Madagaskarrikse
Aramidopsis plateni,Snoring Rail,plarai1,627891546,FALSE,Sulawesirikse
Lewinia striata,Slaty-breasted Rail,slbrai1,375152391,FALSE,Gråbrystet Skovrikse
Lewinia mirifica,Brown-banded Rail,luzrai1,,FALSE,Filippinerrikse
Lewinia pectoralis,Lewin's Rail,lewrai1,27017081,FALSE,Skiferbrystet Rikse
Lewinia muelleri,Auckland Rail,auirai1,,FALSE,Aucklandrikse
Habroptila wallacii,Drummer Rail,,,FALSE,Halmaherarikse
Gallirallus calayanensis,Calayan Rail,calrai1,203997481,FALSE,Calayan Rikse
Gallirallus lafresnayanus,New Caledonian Rail,necrai1,,FALSE,Ny Caledonisk Skovrikse
Gallirallus australis,Weka,weka1,117428871,TRUE,Weka
†Diaphorapteryx hawkinsi,Hawkins's Rail,hawrai1,,FALSE,
†Aphanapteryx bonasia,Red Rail,redrai1,,FALSE,
†Erythromachus leguati,Rodrigues Rail,rodrai1,,FALSE,
Eulabeornis castaneoventris,Chestnut Rail,cherai1,620592500,FALSE,Mangroverikse
†Cabalus modestus,Chatam Rail,,,FALSE,
Hypotaenidia okinawae,Okinawa Rail,okirai1,203896011,FALSE,Okinawarikse
Ardeotis australis,Australian Bustard,ausbus1,622865585,FALSE,Arabisk Trappe
Houbaropsis bengalensis,Bengal Florican,benflo2,616731084,TRUE,Stor Florikan
Sypheotides indicus,Lesser Florican,lesflo2,109115121,FALSE,Florikan
Lophotis savilei,Savile's Bustard,savbus1,145542981,FALSE,Pygmætrappe
Lophotis gindiana,Buff-crested Bustard,bucbus1,615535305,FALSE,Okkertoppet Trappe
Lophotis ruficrista,Red-crested Bustard,recbus1,582445171,FALSE,Rødtoppet Trappe
Heterotetrax vigorsii,Karoo Bustard,karbus1,208765711,FALSE,Brungrå Trappe
Heterotetrax rueppellii,Rüppell's Bustard,ruebus1,203936711,FALSE,
Heterotetrax humilis,Little Brown Bustard,libbus1,635023062,FALSE,Bruntrappe
Afrotis afra,Southern Black Bustard,blabus3,624906351,FALSE,Sorttrappe
Afrotis afraoides,Northern Black Bustard,whqbus1,194118891,FALSE,Hvidvinget Sorttrappe
Eupodotis senegalensis,White-bellied Bustard,whbbus2,611584708,FALSE,Rusttoppet Trappe
Eupodotis caerulescens,Blue Bustard,blubus1,208763191,FALSE,Blåtrappe
†Porphyrio caerulescens,Reunion Gallinule,reugal1,,FALSE,
†Porphyrio mantelli,Takahe,,,FALSE,
Porphyrio hochstetteri,South Island Takahe,takahe3,212043711,TRUE,Sydø Takahe
Porphyrio alleni,Allen's Gallinule,allgal1,649798707,FALSE,Lille Sultanhøne
Porphyrio martinicus,Purple Gallinule,purgal2,65208011,TRUE,Amerikansk Sultanhøne
Porphyrio flavirostris,Azure Gallinule,azugal1,541223001,FALSE,Gulnæbbet Sultanhøne
Pareudiastes silvestris,Makira Moorhen,sacmoo1,,FALSE,Makirarørhøne
Pareudiastes pacificus,Samoan Moorhen,sammoo1,,FALSE,Samoarørhøne
†Gallinula nesiotis,Tristan Moorhen,trimoo2,,FALSE,
Gallinula corneri,Gough Moorhen,trimoo3,204732,FALSE,
Gallinula chloropus,Common Moorhen,commoo3,203978971,TRUE,Grønbenet Rørhøne
Gallinula galeata,Common Gallinule,comgal1,152657871,FALSE,Grønbenet Rørhøne/Amerikansk Rørhøne
Gallinula tenebrosa,Dusky Moorhen,dusmoo1,534241901,FALSE,Mørk Rørhøne
Gallinula angulata,Lesser Moorhen,lesmoo1,652241994,FALSE,Lille Rørhøne
Gallinula melanops,Spot-flanked Gallinule,spfgal1,203988211,FALSE,Hvidplettet Rørhøne
Tribonyx ventralis,Black-tailed Native-hen,btnhen1,499295501,FALSE,Sorthalet Rørhøne
†Tribonyx hodgenorum,Hodgen's Waterhen,hodwat1,,FALSE,
Tribonyx mortierii,Tasmanian Native-hen,tanhen1,2902,FALSE,Tasmansk Rørhøne
Fulica cristata,Red-knobbed Coot,rekcoo1,386806321,FALSE,Kamblishøne
†Fulica newtonii,Mascarene Coot,mascoo1,,FALSE,
Fulica atra,Eurasian Coot,eurcoo,217023251,TRUE,Blishøne
Fulica alai,Hawaiian Coot,hawcoo,39455421,FALSE,Hawaiiblishøne
Fulica americana,American Coot,y00475,41572901,TRUE,Amerikansk Blishøne
Fulica leucoptera,White-winged Coot,whwcoo1,615044193,FALSE,Hvidvinget Blishøne
Fulica ardesiaca,Andean Coot,slccoo1,203930181,FALSE,Andesblishøne
Fulica armillata,Red-gartered Coot,regcoo1,398565231,FALSE,Gulpandet Blishøne
Fulica rufifrons,Red-fronted Coot,refcoo1,203986551,FALSE,Rødpandet Blishøne
Fulica gigantea,Giant Coot,giacoo1,204006991,FALSE,Kæmpeblishøne
Fulica cornuta,Horned Coot,horcoo1,87699,FALSE,Hornblishøne
MUSOPHAGIFORMES,,,,FALSE,
MUSOPHAGIDAE,Turacos,,,FALSE,
Corythaeola cristata,Great Blue Turaco,grbtur1,141040,FALSE,Kæmpeturako
Criniferoides leucogaster,White-bellied Go-away-bird,wbgbir1,33651941,FALSE,Hvidbuget Larmfugl
Crinifer zonurus,Eastern Plantain-eater,easple1,8556,FALSE,Østlig Larmfugl
Crinifer piscator,Western Plantain-eater,wesple1,643442726,FALSE,Vestafrikansk Larmfugl
Corythaixoides personatus,Brown-faced Go-away-bird,,,FALSE,Maskelarmfugl
Corythaixoides leopoldi,Black-faced Go-away-bird,,,FALSE,Maskelarmfugl (Sortmasket Larmfugl)
Corythaixoides concolor,Grey Go-away-bird,,,FALSE,Grå Larmfugl
Gallirex porphyreolophus,Purple-crested Turaco,puctur2,203942041,FALSE,Violettoppet Turako
Gallirex johnstoni,Ruwenzori Turaco,ruwtur2,639327962,FALSE,Ruwenzoriturako
Tauraco schalowi,Schalow's Turaco,schtur1,611401390,FALSE,Spidstoppet Turako
Tauraco hartlaubi,Hartlaub's Turaco,hartur1,8566,FALSE,Hartlaubs Turako
Tauraco schuetti,Black-billed Turaco,blbtur1,107755,FALSE,Sortnæbbet Turako
Tauraco livingstonii,Livingstone's Turaco,livtur1,208767241,FALSE,Livingstone´ Turako
Tauraco fischeri,Fischer's Turaco,fistur1,637776294,FALSE,Fischers Turako
Tauraco corythaix,Knysna Turaco,knytur1,203935591,FALSE,Kapturako
Tauraco persa,Green Turaco,guitur1,627571712,FALSE,Grøntoppet Turako
Tauraco leucotis,White-cheeked Turaco,whctur1,100334,FALSE,Hvidkindet Turako
Tauraco ruspolii,Ruspoli's Turaco,,,FALSE,Etiopisk Turako
Tauraco bannermani,Bannerman's Turaco,bantur1,,FALSE,Camerounturako
Tauraco erythrolophus,Red-crested Turaco,rectur1,502642671,FALSE,Angolaturako
Tauraco leucolophus,White-crested Turaco,whctur2,8569,FALSE,Hvidtoppet Turako
Tauraco macrorhynchus,Yellow-billed Turaco,yebtur1,203922931,FALSE,Gulnæbbet Turako
Musophaga rossae,Ross's Turaco,rostur1,8561,FALSE,Gulmasket Turako
Musophaga violacea,Violet Turaco,viotur1,627571721,FALSE,
PSOPHIIDAE,Trumpeters,,,FALSE,
Psophia crepitans,Grey-winged Trumpeter,gywtru1,388331501,FALSE,Grårygget Trompetérfugl
Psophia ochroptera,Ochre-winged Trumpeter,,,FALSE,
Psophia leucoptera,White-winged Trumpeter,pawtru2,110697,FALSE,Lysrygget Trompetérfugl
Psophia viridis,Green-winged Trumpeter,dawtru1,203983181,FALSE,Grønrygget Trompetérfugl
Psophia dextralis,Olive-winged Trumpeter,,,FALSE,
Psophia obscura,Black-winged Trumpeter,,,FALSE,Grønrygget Trompetérfugl (Sortvinget)
Aramus guarauna,Limpkin,limpki,73922,TRUE,Riksetrane
GAVIIFORMES,,,,FALSE,
GAVIIDAE,Loons/Divers,,,FALSE,
GRUIDAE,Cranes,,,FALSE,
Gavia stellata,Red-throated Loon,retloo,138234,FALSE,Rødstrubet Lom
Gavia arctica,Black-throated Loon,arcloo,279261871,TRUE,Sortstrubet Lom
Gavia pacifica,Pacific Loon,pacloo,31730221,FALSE,Stillehavslom
Gavia immer,Common Loon,comloo,33842721,TRUE,Islom
Gavia adamsii,White-billed Loon,yebloo,648381584,FALSE,Hvidnæbbet Lom
Balearica regulorum,Grey Crowned-crane,grccra1,2737,FALSE,Grå Kronetrane
Balearica pavonina,Black Crowned-crane,blccra1,310754,FALSE,Sort Krontrane
Leucogeranus leucogeranus,Siberian Crane,sibcra1,322122671,FALSE,Snetrane
Antigone canadensis,Sandhill Crane,sancra,539731,TRUE,Prærietrane
Antigone vipio,White-naped Crane,whncra1,203932671,FALSE,Hvidhalset Trane
Antigone antigone,Sarus Crane,sarcra1,204024641,TRUE,Sarustrane
Antigone rubicunda,Brolga,brolga1,26960611,TRUE,Brolgatrane
Bugeranus carunculatus,Wattled Crane,watcra2,21371401,FALSE,Vortetrane
Anthropoides paradiseus,Blue Crane,blucra2,203933071,FALSE,Paradistrane
Anthropoides virgo,Demoiselle Crane,demcra1,203926171,TRUE,Jomfrutrane
Grus japonensis,Red-crowned Crane,reccra1,21722401,TRUE,Japansk Trane
Grus americana,Whooping Crane,whocra,267590321,TRUE,Trompetértrane
Grus grus,Common Crane,comcra,205661,TRUE,Trane
Grus monacha,Hooded Crane,hoocra1,203932651,FALSE,Hættetrane
Grus nigricollis,Black-necked Crane,blncra1,423563901,FALSE,Sorthalset Trane
SPHENISCIFORMES,,,,FALSE,
SPHENISCIDAE,Penguins,,,FALSE,
Aptenodytes patagonicus,King Penguin,kinpen1,203899321,FALSE,Kongepingvin
Aptenodytes forsteri,Emperor Penguin,emppen1,388782961,FALSE,Kejserpingvin
Pygoscelis papua,Gentoo Penguin,genpen1,203973661,FALSE,Brillepingvin
Pygoscelis adeliae,Adelie Penguin,adepen1,196607,FALSE,Adeliepingvin
Pygoscelis antarcticus,Chinstrap Penguin,chipen2,51673,FALSE,Rempingvin
Eudyptes schlegeli,Royal Penguin,roypen1,31642031,FALSE,Hvidkindet Pingvin
Eudyptes chrysolophus,Macaroni Penguin,macpen1,204017071,FALSE,Guldlokket Pingvin
Eudyptes moseleyi,Northern Rockhopper Penguin,rocpen4,,FALSE,Rødfodet Springpingvin
Eudyptes chrysocome,Western Rockhopper Penguin,rocpen2,203972091,TRUE,Vestlig Springpingvin
Eudyptes sclateri,Erect-crested Penguin,bicpen1,364966691,FALSE,Guldtoppet Pingvin
Eudyptes pachyrhynchus,Fiordland Penguin,fiopen1,373472291,FALSE,Fiordlandpingvin
Eudyptes robustus,Snares Penguin,snapen1,141401,FALSE,Snarespingvin
Megadyptes antipodes,Yellow-eyed Penguin,yeepen1,203919671,TRUE,Guløjet Pingvin
Eudyptula minor,Little Penguin,litpen1,274612851,TRUE,Dværgpingvin
E. m. albosignata,White-flippered Penguin,,,FALSE,
Spheniscus demersus,African Penguin,jacpen1,563556521,FALSE,Æselpingvin
Spheniscus magellanicus,Magellanic Penguin,magpen1,203973671,FALSE,Magellanpingvin
Spheniscus humboldti,Humboldt Penguin,humpen1,462845251,FALSE,Humboldtpingvin
Spheniscus mendiculus,Galapagos Penguin,galpen1,237483,FALSE,Galapagospingvin
OTIDIFORMES,North Island Adzebill,,,FALSE,
OTIDIDAE,Bustards,,,FALSE,
Tetrax tetrax,Little Bustard,litbus1,203900211,TRUE,Dværgtrappe
Otis tarda,Great Bustard,grebus1,613266669,FALSE,Stortrappe
Chlamydotis undulata,African Houbara,houbus1,,FALSE,Kravetrappe
Chlamydotis macqueenii,Asian Houbara,macbus1,630567395,FALSE,Østlig Kravetrappe
Lissotis hartlaubii,Hartlaub's Bustard,harbus2,2905,FALSE,Sølvtrappe
Lissotis melanogaster,Black-bellied Bustard,bkbbus1,612461994,FALSE,Sortbuget Trappe
Neotis ludwigii,Ludwig's Bustard,ludbus1,,FALSE,Sorthalset Trappe
Neotis denhami,Denham's Bustard,stabus1,,FALSE,Brunhalset Trappe
Neotis heuglinii,Heuglin's Bustard,heubus1,621304890,FALSE,Sortmasket Trappe
Neotis nuba,Nubian Bustard,nubbus1,,FALSE,Nubisk Trappe
Ardeotis arabs,Arabian Bustard,arabus1,21725621,FALSE,Arabisk Trappe
Ardeotis kori,Kori Bustard,korbus1,31373311,FALSE,Koritrappe
Ardeotis nigriceps,Great Indian Bustard,indbus1,287143091,TRUE,Indisk Trappe
PROCELLARIIFORMES,,,,FALSE,
OCEANITIDAE,Southern Storm-petrels,,,FALSE,Stormsvale sp.
Oceanites oceanicus,Wilson's Storm-petrel,wispet,51676,TRUE,Wilson Stormsvale
Oceanites gracilis,White-vented Storm-petrel,wvspet1,613219105,FALSE,Hvidbuget Stormsvale
Oceanites pincoyae,Pincoya Storm-petrel,pumstp1,614566913,FALSE,Chile-stormsvale
Garrodia nereis,Grey-backed Storm-petrel,gybstp1,,FALSE,Grårygget Stormsvale
Pelagodroma marina,White-faced Storm-petrel,wfspet,219057791,FALSE,Fregatstormsvale
Fregetta grallaria,White-bellied Storm-petrel,wbspet1,,FALSE,Hvidbuget Fregatstormsvale/Sortbuget Fragatstormsvale
Fregetta tropica,Black-bellied Storm-petrel,bbspet1,614852182,FALSE,Sortbuget Fregatstormsvale
Fregetta maoriana,New-Zealand Storm-petrel,nezstp1,633945721,FALSE,Maoristormsvale
Nesofregetta fuliginosa,Polynesian Storm-petrel,pospet1,569038891,FALSE,Hvidstrubet Stormsvale
Pterodroma cookii,Cook's Petrel,coopet,978,FALSE,Grå Petrel
Pterodroma pycrofti,Pycroft's Petrel,pycpet1,340748951,FALSE,Newzealandsk Petrel
Pterodroma hypoleuca,Bonin Petrel,bonpet,486068291,FALSE,Boninpetrel
Pterodroma nigripennis,Black-winged Petrel,bkwpet,167513,FALSE,Sortvinget Petrel
Pterodroma axillaris,Chatham Petrel,chapet1,,FALSE,Chathampetrel
Pterodroma ultima,Murphy's Petrel,murpet,203897671,FALSE,Mørkvinget Petrel
Pterodroma solandri,Providence Petrel,solpet1,620273915,FALSE,Solanders Petrel
Pterodroma neglecta,Kermadec Petrel,kerpet,260508441,FALSE,Kermadecpetrel
Pterodroma arminjoniana,Trinidade Petrel,tripet1,72149,FALSE,Trindadepetrel
Pterodroma heraldica,Herald Petrel,herpet2,636005232,FALSE,Tongapetrel
Pterodroma atrata,Henderson Petrel,henpet1,203895381,FALSE,Hendersonpetrel
Pterodroma alba,Phoenix Petrel,phopet1,569031111,FALSE,Phoenixpetrel
Pterodroma baraui,Barau's Petrel,barpet1,,FALSE,Réunionpetrel
Pterodroma inexpectata,Mottled Petrel,motpet,203919741,FALSE,Marmorpetrel
Pterodroma sandwichensis,Hawaiian Petrel,hawpet1,480511531,FALSE,Hawaiipetrel
Pterodroma phaeopygia,Galapagos Petrel,galpet,89584,FALSE,Galápagospetrel/Hawaiipetrel
Pterodroma cervicalis,White-necked Petrel,whnpet,,FALSE,Hvidnakket Petrel
Pterodroma externa,Juan Fernandez Petrel,jufpet,650725737,FALSE,Juan Fernandez-petrel/Hvidnakket Petrel
Pterodroma mollis,Soft-plumaged Petrel,soppet1,293209481,FALSE,Fløjlspetrel
Pterodroma cahow,Bermuda Petrel,berpet,223921,FALSE,Bermudapetrel
Pterodroma hasitata,Black-capped Petrel,bkcpet,139296,FALSE,Cariberpetrel
Pterodroma caribbaea,Jamaican Petrel,bkcpet2,,FALSE,Jamaicapetrel
Pterodroma feae,Cape Verde Petrel,feapet3,499766051,FALSE,Kap Verde-petrel/Desertas Petrel
Pterodroma deserta,Desertas Petrel,feapet2,,FALSE,Desertas-petrel
Pterodroma madeira,Zino's Petrel,madpet,486929031,FALSE,Madeirapetrel
Pterodroma magentae,Magenta Petrel,magpet1,,TRUE,Magentapetrel
Pterodroma incerta,Atlantic Petrel,atlpet1,,FALSE,Hvidbuget Petrel
Pterodroma lessoni,White-headed Petrel,whhpet1,,FALSE,Hvidhovedet Petrel
Pterodroma macroptera,Great-winged Petrel,grwpet3,646514008,FALSE,Langvinget Petrel/Gråmasket Petrel
Pterodroma gouldi,Grey-faced Petrel,grwpet2,337646331,FALSE,Gråmasket Petrel
Procellaria cinerea,Grey Petrel,grapet,102179,FALSE,Grå Skråpe
Procellaria aequinoctialis,White-chinned Petrel,whcpet1,204018371,FALSE,Hvidhaget Skråpe
Procellaria conspicillata,Spectacled Petrel,spepet1,,FALSE,Brilleskråpe
Procellaria westlandica,Westland Petrel,wespet1,973,FALSE,Westlandskråpe
Procellaria parkinsoni,Black Petrel,parpet1,203926781,FALSE,Sort Skråpe
Ardenna pacifica,Wedge-tailed Shearwater,wetshe,1805,FALSE,Kilehalet Skråpe
Ardenna bulleri,Buller's Shearwater,bulshe,642289063,FALSE,Grårygget Skråpe
Ardenna tenuirostris,Short-tailed Shearwater,shtshe,23705881,FALSE,Tyndnæbbet Skråpe
Ardenna grisea,Sooty Shearwater,sooshe,411503791,FALSE,Sodfarvet Skråpe
Ardenna gravis,Great Shearwater,greshe,631614974,FALSE,Storskråpe
Ardenna carneipes,Flesh-footed Shearwater,flfshe,83329251,FALSE,Lysbenet Skråpe
Ardenna creatopus,Pink-footed Shearwater,pifshe,251662431,FALSE,Chileskråpe
Calonectris leucomelas,Streaked Shearwater,strshe,640562711,FALSE,Hvidmasket Skråpe
Calonectris diomedea,Scopoli's Shearwater,scoshe1,203889001,FALSE,Atlantisk/Kuhls/Kap Verde Skråpe
Calonectris borealis,Cory's Shearwater,corshe1,395441421,FALSE,Atlantisk/Kuhls/Kap Verde Skråpe
Calonectris edwardsii,Cape Verde Shearwater,cavshe1,548629261,FALSE,Kap Verde Skråpe
Puffinus nativitatis,Christmas Shearwater,chrshe,486349651,FALSE,Polynesisk Skråpe
Puffinus subalaris,Galapagos Shearwater,audshe3,167090471,FALSE,Galapagos Skråpe
Puffinus gavia,Fluttering Shearwater,flushe1,364540941,FALSE,Skærskråpe
Puffinus huttoni,Hutton's Shearwater,hutshe1,997,FALSE,Bjergskråpe
Puffinus opisthomelas,Black-vented Shearwater,bkvshe,407551811,FALSE,Californisk Skråpe
Puffinus bryani,Bryan's Shearwater,bryshe1,,FALSE,Ogasawara-skråpe
Puffinus newelli,Newell's Shearwater,towshe2,352724641,FALSE,Hawaiiskråpe/Rapa Skråpe
Puffinus auricularis,Townsend's Shearwater,towshe1,450757401,FALSE,Mexicansk Skråpe
Puffinus bailloni,Tropical Shearwater,troshe5,566340151,FALSE,Østlig Tropeskråpe
Puffinus persicus,Persian Shearwater,pershe1,,FALSE,Persisk Skråpe
Puffinus bannermani,Bannerman's Shearwater,troshe4,,FALSE,Boninskråpe
Puffinus puffinus,Manx Shearwater,manshe,540155541,TRUE,Almindelig Skråpe
Puffinus yelkouan,Mediterranean Shearwater,levshe1,310771,TRUE,Ægæerskråpe
Puffinus mauretanicus,Balearic Shearwater,balshe1,513102161,FALSE,Balearskråpe
Puffinus elegans,Subantarctic Shearwater,litshe4,647560772,FALSE,Sydatlantisk Skråpe
Puffinus assimilis,Little Shearwater,litshe8,364541351,FALSE,Lille Skråpe
Puffinus lherminieri,Audubon's Shearwater,audshe,42998,FALSE,Tropeskråpe
P. l. baroli,Macaronesian Shearwater,,,FALSE,
Puffinus heinrothi,Heinroth's Shearwater,heishe1,,FALSE,New Britain-skråpe
Pseudobulweria macgillivrayi,Fiji Petrel,fijpet1,,FALSE,Fijipetrel
Pseudobulweria aterrima,Mascarene Petrel,maspet1,645939935,FALSE,Mascarenerpetrel
Pseudobulweria becki,Beck's Petrel,becpet1,,FALSE,Lille Tahitipetrel
Pseudobulweria rostrata,Tahiti Petrel,tahpet1,644101393,FALSE,Tahitipetrel
Bulweria bulwerii,Bulwer's Petrel,bulpet,969,FALSE,Spidshalet Petrel
Bulweria fallax,Jouanin's Petrel,joupet,,FALSE,Arabisk Petrel
†Bulweria bifax,Small St Helena Petrel,,,FALSE,
Pelecanoides garnotii,Peruvian Diving-petrel,pedpet1,85076351,FALSE,Perualkestormfugl
Pelecanoides magellani,Magellanic Diving-petrel,madpet1,616124707,FALSE,Magellanalkestormfugl
Pelecanoides georgicus,South Georgia Diving-petrel,sgdpet1,,FALSE,Sydgeorgisk Alkestormfugl
Pelecanoides urinatrix,Common Diving-petrel,codpet1,360506441,FALSE,Alkestormfugl
HYDROBATIDAE,Northern Storm-petrels,,,FALSE,Stormsvale sp.
Hydrobates pelagicus,European Storm-petrel,bripet,639707083,FALSE,Lille Stormsvale
H.p. pelagicus,European Storm-petrel,bripet,639707083,FALSE,
H. p. melitensis,Mediterranean Storm-petrel,,,FALSE,
Hydrobates castro,Band-rumped Storm-petrel,barpet,631411075,FALSE,Madeirastormsvale
Hydrobates monteiroi,Monteiro's Storm-petrel,monstp1,639768310,FALSE,Acorestormsvale
Hydrobates matsudairae,Matsudaira's Storm-petrel,maspet2,,FALSE,Japansk Stormsvale
Hydrobates melania,Black Storm-petrel,bkspet,138130,FALSE,Sort Stormsvale
Hydrobates homochroa,Ashy Storm-petrel,asspet,185056821,FALSE,Askestormsvale
Hydrobates microsoma,Least Storm-petrel,lsspet,138122,FALSE,Dværgstormsvale
Hydrobates tethys,Wedge-rumped Storm-petrel,wrspet,614442214,FALSE,Galapagosstormsvale
Hydrobates leucorhous,Leach's Storm-petrel,lcspet,120441,FALSE,Stor Stormsvale
Hydrobates monorhis,Swinhoe's Storm-petrel,swspet,190995891,FALSE,Mørkrygget Stormsvale
Hydrobates macrodactylus,Guadalupe Storm-petrel,guspet,,FALSE,Guadelupestormsvale
Hydrobates tristrami,Tristram's Storm-petrel,trspet,627887459,FALSE,Sodfarvet Stormsvale
Hydrobates markhami,Markham's Storm-petrel,maspet,223861,FALSE,Grå Stormsvale
Hydrobates furcatus,Fork-tailed Storm-petrel,ftspet,132029,FALSE,Kløfthalet Stormsvale
Hydrobates hornbyi,Ringed Storm-petrel,rispet1,622065252,FALSE,Ringstormsvale
DIOMEDEIDAE,Albatrosses,,,FALSE,
Diomedea sanfordi,Northern Royal Albatross,royalb3,9232,FALSE,Nordlig Kongealbatros
Diomedea epomophora,Southern Royal Albatross,royalb2,204018211,FALSE,Nordlig Kongealbatros/Kongealbatros
Diomedea exulans,Snowy Albatross,wanalb1,42306,TRUE,Vandrealbatros
Diomedea antipodensis,Antipodean Albatross,antalb1,203922111,FALSE,Antipodes-albatros
Diomedea amsterdamensis,Amsterdam Albatross,wanalb5,,FALSE,Amsterdam-albatros
Diomedea dabbenena,Tristan Albatross,wanalb3,,FALSE,Tristan Albatros
Phoebetria fusca,Sooty Albatross,sooalb1,,FALSE,Mørk Sodalbatros
Phoebetria palpebrata,Light-mantled Albatros,limalb1,242423601,FALSE,Lys Sodalbatros
Phoebastria irrorata,Waved Albatross,wavalb,203698321,FALSE,Galapagosalbatros
Phoebastria nigripes,Black-footed Albatross,bkfalb,32592,FALSE,Sortfodet Albatros
Phoebastria immutabilis,Laysan Albatross,layalb,486076821,FALSE,Laysanalbatros
Phoebastria albatrus,Short-tailed Albatross,shtalb,620737952,FALSE,Korthalet Albatros
Thalassarche chlororhynchos,Atlantic Yellow-nosed Albatros,yenalb2,204749,FALSE,Gulnæbbet Albatros/Indisk Albatros
Thalassarche carteri,Indian Yellow-nosed Albatros,yenalb3,623103689,FALSE,Indisk Gulnæbbet Albatros
Thalassarche chrysostoma,Grey-headed Albatross,gyhalb,204019821,FALSE,Gråhovedet Albatros
Thalassarche melanophris,Black-browed Albatross,bkbalb,402964471,FALSE,Sortbrynet Albatros/Campbell Albatros
Thalassarche impavida,Campbell Albatross,,,FALSE,Campbell Albatros
Thalassarche bulleri,Buller's Albatross,bulalb2,203919801,FALSE,Bullers Albatros
Thalassarche cauta,Shy Albatross,whcalb1,117957991,FALSE,Hvidkronet Albatros/Grårygget Albatros/Chathamalbatros
Thalassarche steadi,White-capped Albatross,whcalb1,117957991,FALSE,
Thalassarche eremita,Chatham Albatross,shyalb2,630984083,FALSE,Chathamalbatros
Thalassarche salvini,Salvin's Albatross,salalb1,614726141,FALSE,Grårygget Albatros
PROCELLARIDAE,Petrels Shearwaters,,,FALSE,
Macronectes halli,Northern Giant Petrel,norgip1,31374291,FALSE,Nordlig Kæmpestormfugl
Macronectes gigantheus,Southern Giant Petrel,,,FALSE,
Fulmarus glacialis,Northern Fulmar,norful,619661932,FALSE,Mallemuk
Fulmarus glacialoides,Southern Fulmar,souful1,204017051,FALSE,Sydlig Mallemuk
Thalassoica antarctica,Antarctic Petrel,antpet1,34876001,FALSE,Sydpetrel
Daption capense,Cape Petrel,cappet,203971921,FALSE,Kappetrel
Pagodroma nivea,Snow Petrel,snopet1,42315,FALSE,Snepetrel
Halobaena caerulea,Blue Petrel,blupet1,488346561,FALSE,Blå Petrel
Pachyptila vittata,Broad-billed Prion,brbpri1,153841911,FALSE,Brednæbbet Hvalfugl/Salvin´ Hvalfugl/Amsterdam Hvalfugl
Pachyptila salvini,Salvin's Prion,salpri2,102177,FALSE,Salvin´ Hvalfugl/Amsterdam Hvalfugl
Pachyptila desolata,Antarctic Prion,dovpri1,418089501,FALSE,Antarktisk Hvalfugl
Pachyptila belcheri,Slender-billed Prion,slbpri1,203976191,FALSE,Tyndnæbbet Hvalfugl
Pachyptila turtur,Fairy Prion,faipri1,496565661,FALSE,Alfehvalfugl
Pachyptila crassirostris,Fulmar Prion,fulpri1,,FALSE,Tyknæbbet Hvalfugl
Aphrodroma brevirostris,Kerguelen Petrel,kerpet2,604653221,FALSE,Kerguelenpetrel
†Pterodroma rupinarum,Large St Helena Petrel,,,FALSE,
Pterodroma leucoptera,White-winged Petrel,goupet1,145356071,FALSE,Båndpetrel
Pterodroma brevipes,Collared Petrel,colpet1,,FALSE,Halsbåndspetrel
Pterodroma defilippiana,Masatierra Petrel,maspet3,432035321,FALSE,Mas-á-Tierra-petrel
Pterodroma longirostris,Stejneger's Petrel,stepet,650725749,FALSE,Grårygget Petrel
