Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,eo
Elanus caeruleus,Black-winged Kite,bkskit1,465025481,FALSE,
Elanus axillaris,Black-shouldered Kite,auskit1,335258821,TRUE,aŭstralia elanio
Elanus leucurus,White-tailed Kite,whtkit,4329,FALSE,blankvosta elanio
Elanus scriptus,Letter-winged Kite,lewkit1,642470917,FALSE,leterflugila elanio
Gampsonyx swainsonii,Pearl Kite,peakit1,58956,FALSE,perla elanio
Chelictinia riocourii,Scissor-tailed Kite,sctkit1,4317,FALSE,forkvosta elanio
Leptodon cayanensis,Grey-headed Kite,grhkit1,266536541,FALSE,
Leptodon forbesi,White-collared Kite,whckit1,622581947,FALSE,blankakola milvo
Chondrohierax uncinatus,Hook-billed Kite,hobkit,141335,FALSE,
Chondrohierax wilsonii,Cuban Kite,hobkit2,,FALSE,kuba milvo
Elanoides forficatus,Swallow-tailed Kite,swtkit,133304,FALSE,hirundovosta milvo
Pernis apivorus,European Honey-buzzard,euhbuz1,203695051,TRUE,
Pernis ptilorhynchus,Oriental Honey-buzzard,orihob2,285082491,FALSE,orienta vespobuteo
Pernis celebensis,Sulawesi Honey-buzzard,barhob1,,FALSE,
Pernis steerei,Philippine Honey-buzzard,barhob2,609063968,FALSE,filipina vespobuteo
Hamirostra melanosternon,Black-breasted Buzzard,bkbkit1,647824418,FALSE,nigrabrusta milvo
Lophoictinia isura,Square-tailed Kite,sqtkit1,611032162,FALSE,kvadratvosta milvo
Henicopernis longicauda,Long-tailed Honey-Buzzard,lthbuz1,,FALSE,
Henicopernis infuscatus,Black Honey-Buzzard,blhbuz1,,FALSE,nigra vespobuteo
Aviceda cuculoides,African Cuckoo-hawk,afrcuh1,434619211,FALSE,afrika kukolaglo
Aviceda madagascariensis,Madagascar Cuckoo-hawk,madcuh1,95167,FALSE,madagaskara kukolaglo
Aviceda jerdoni,Jerdon's Baza,jerbaz1,203944101,FALSE,azia kukolaglo
Aviceda subcristata,Pacific Baza,pacbaz1,556362701,FALSE,papua kukolaglo
Aviceda leuphotes,Black Baza,blabaz1,633664127,FALSE,nigra kukolaglo
Eutriorchis astur,Madagascar Serpent-eagle,maseag1,,FALSE,madagaskara serpentaglo
Polyboroides typus,African Harrier-hawk,afhhaw1,223342921,FALSE,afrika cirkuakcipitro
Polyboroides radiatus,Madagascar Harrier-hawk,mahhaw1,93905,FALSE,
Gypohierax angolensis,Palm-nut Vulture,panvul1,310236,FALSE,olepalma vulturo
Gypaetus barbatus,Bearded Vulture,lammer1,353604881,FALSE,barba vulturo
Neophron percnopterus,Egyptian Vulture,egyvul1,354072661,FALSE,egiptia vulturo
Circus aeruginosus,Western Marsh-harrier,wemhar1,613407946,TRUE,
Circus spilonotus,Eastern Marsh-harrier,easmah1,549698611,FALSE,
Circus approximans,Swamp Harrier,swahar1,259809771,FALSE,aŭstralazia cirkuo
Circus ranivorus,African Marsh-harrier,afmhar1,4318,FALSE,afrika cirkuo
Circus maillardi,Madagascar Marsh-harrier,reuhar2,642706114,FALSE,
Circus buffoni,Long-winged Harrier,lowhar1,613614215,FALSE,longflugila cirkuo
Circus assimilis,Spotted Harrier,spohar1,634842908,FALSE,makula cirkuo
Circus maurus,Black Harrier,blahar1,622404884,FALSE,nigra cirkuo
Circus cyaneus,Hen Harrier,norhar1,493144381,FALSE,
Circus hudsonius,Northern Harrier,norhar2,248049481,TRUE,amerika cirkuo
Circus cinereus,Cinereous Harrier,cinhar1,210066391,FALSE,cindra cirkuo
Circus macrourus,Pallid Harrier,palhar1,68671901,FALSE,stepa cirkuo
Circus melanoleucus,Pied Harrier,piehar1,196391291,FALSE,nigrablanka cirkuo
Circus pygargus,Montagu's Harrier,monhar1,351289931,TRUE,griza cirkuo
Accipiter poliogaster,Grey-bellied Goshawk,gybhaw1,558225821,FALSE,grizventra akcipitro
Accipiter trivirgatus,Crested Goshawk,cregos1,291362181,FALSE,kresta akcipitro
Accipiter griseiceps,Sulawesi Goshawk,sulgos1,,FALSE,celebesa akcipitro
Accipiter toussenelii,Red-chested Goshawk,,,FALSE,
Accipiter tachiro,African Goshawk,afrgos1,203919591,FALSE,afrika akcipitro
Accipiter castanilius,Chestnut-flanked Sparrowhawk,chfspa1,,FALSE,rufaflanka akcipitro
Accipiter badius,Shikra,shikra1,282934151,FALSE,ŝikra akcipitro
Accipiter butleri,Nicobar Sparrowhawk,nicspa1,610320277,FALSE,nikobara akcipitro
Accipiter brevipes,Levant Sparrowhawk,levspa1,102917821,FALSE,kurtkrura akcipitro
Accipiter soloensis,Chinese Goshawk,,,FALSE,ĉinia akcipitro
Accipiter francesiae,Frances's Sparrowhawk,fragos2,203978961,FALSE,francesa akcipitro
Accipiter trinotatus,Spot-tailled Goshawk,,,FALSE,makulvosta akcipitro
Accipiter sylvestris,Lesser Sundas Goshawk,,,FALSE,
Accipiter hiogaster,Variable Goshawk,vargos1,203994701,FALSE,varia akcipitro
A. h. griseogularis,Grey-throated Goshawk,,,FALSE,
Accipiter novaehollandiae,Grey Goshawk,,,FALSE,
Accipiter poliocephalus,Grey-headed Goshawk,,,FALSE,grizkapa akcipitro
Accipiter princeps,New Britain Goshawk,nebgos1,,FALSE,novbritia akcipitro
Accipiter fasciatus,Brown Goshawk,brogos1,629541704,FALSE,
Accipiter melanochlamys,Black-mantled Goshawk,blmgos1,,FALSE,nigramantela akcipitro
Accipiter albogularis,Pied Goshawk,piegos1,634784138,FALSE,
Accipiter haplochrous,White-bellied Sparrowhawk,,,FALSE,novkaledonia akcipitro
Accipiter rufitorques,Fiji Goshawk,fijgos1,203908381,FALSE,fiĝia akcipitro
Accipiter henicogrammus,Moluccan Goshawk,molgos1,203906781,FALSE,moluka akcipitro
Accipiter luteoschistaceus,Slaty-backed Goshawk,,,FALSE,ardezmantela akcipitro
Accipiter imitator,Imitator Goshawk,,,FALSE,imita akcipitro
Accipiter erythropus,Red-thighed Sparrowhawk,retspa1,434682891,FALSE,ruĝfemura akcipitro
Accipiter minullus,Little Sparrowhawk,litspa1,627268191,FALSE,eta akcipitro
Accipiter gularis,Japanese Sparrowhawk,japspa1,329104491,FALSE,
Accipiter virgatus,Besra,besra1,471424081,FALSE,
Accipiter nanus,Dwarf Sparrowhawk,,,FALSE,nana akcipitro
Accipiter erythrauchen,Rufous-necked Sparrowhawk,runspa1,616606454,FALSE,rufkola akcipitro
Accipiter cirrhocephalus,Collared Sparrowhawk,colspa1,412118721,FALSE,Brunkola akcipitro
Accipiter brachyurus,New Britain Sparrowhawk,nebspa1,,FALSE,trikolora akcipitro
Accipiter rhodogaster,Vinous-breasted Sparrowhawk,vibspa1,267147611,FALSE,vinbrusta akcipitro
Accipiter madagascariensis,Madagascar Sparrowhawk,madspa1,203989991,FALSE,madagaskara akcipitro
Accipiter ovampensis,Ovambo Sparrowhawk,ovaspa2,643864722,FALSE,ovamba akcipitro
Accipiter nisus,Eurasian Sparrowhawk,eurspa1,496607621,TRUE,eŭrazia akcipitro
Accipiter rufiventris,Rufous-breasted Sparrowhawk,rucspa2,405351511,FALSE,rufbrusta akcipitro
Accipiter striatus,Sharp-shinned Hawk,shshaw,91176131,FALSE,Striakcipitro
A. s. chionogaster,White-breasted Hawk,,,FALSE,
A. s. ventralis,Plain-breasted Hawk,,,FALSE,
A. s. erythronemius,Rufous-thighed Hawk,,,FALSE,
Accipiter cooperii,Cooper's Hawk,coohaw,231229351,TRUE,grizkrona akcipitro
Accipiter gundlachi,Gundlach's Hawk,gunhaw1,183590,FALSE,kuba akcipitro
Accipiter bicolor,Bicolored Hawk,bichaw1,512444021,FALSE,
A. b. chilensis,Chilean Hawk,bichaw4,291112731,FALSE,
Accipiter henstii,Henst's Goshawk,hengos1,203970221,FALSE,hensta akcipitro
Accipiter melanoleucus,Black Sparrowhawk,,,FALSE,nigra akcipitro
Accipiter gentilis,Northern Goshawk,,,TRUE,
A. g. atricapillus,American Goshawk,norgos,124126921,FALSE,
Accipiter meyerianus,Meyer's Goshawk,meygos1,,FALSE,papua akcipitro
Accipiter collaris,Semi-collared Hawk,,,FALSE,duonkoluma akcipitro
Accipiter superciliosus,Tiny Hawk,tinhaw1,250820571,FALSE,pigmea akcipitro
Erythrotriorchis buergersi,Chestnut-shouldered Goshawk,chsgos1,,FALSE,rufŝultra akcipitro
Erythrotriorchis radiatus,Red Goshawk,redgos1,62325001,FALSE,ruĝa akcipitro
Megatriorchis doriae,Doria's Hawk,dorgos1,251433971,FALSE,novgvinea akcipitro
Urotriorchis macrourus,Long-tailled Hawk,lothaw1,203922951,FALSE,longvosta akcipitro
Haliaeetus leucogaster,White-bellied Sea-eagle,wbseag1,363042201,TRUE,blankventra maraglo
Haliaeetus sanfordi,Sanford's Sea-eagle,solsee1,247231,FALSE,salomona maraglo
Haliaeetus vocifer,African Fish-eagle,affeag1,4343,FALSE,afrika maraglo
Haliaeetus vociferoides,Madagascar Fish-eagle,mafeag1,609067051,FALSE,madagaskara maraglo
Haliaeetus leucoryphus,Pallas's Fish-eagle,pafeag1,516134901,FALSE,strivosta maraglo
Haliaeetus albicilla,White-tailed Sea-eagle,whteag,59245071,FALSE,blankvosta maraglo
Haliaeetus leucocephalus,Bald Eagle,baleag,200943,TRUE,blankakapa maraglo
Haliaeetus pelagicus,Steller's Sea-eagle,stseag,21723301,TRUE,giganta maraglo
Ichthyophaga humilis,Lesser Fishing-eagle,,,FALSE,eta maraglo
Ichthyophaga ichthyaetus,Grey-headed Fishing-eagle,,,FALSE,grizkapa maraglo
Haliastur sphenurus,Whistling Kite,whikit1,352796781,FALSE,fajfa milvo
Haliastur indus,Brahminy Kite,brakit1,83210301,TRUE,hindia milvo
Milvus milvus,Red Kite,redkit1,203909571,TRUE,rufa milvo
M. m. fasciicauda,Cape Verde Kite,,,FALSE,
Milvus migrans,Black Kite,blakit1,1520,FALSE,Nigra milvo
M. m. lineatus,Black-eared Kite,,,FALSE,
M. m. aegyptius,Egyptian Kite,,,FALSE,
M. m. parasitus,Yellow-billed Kite,,,FALSE,
Busarellus nigricollis,Black-collared Hawk,blchaw1,390462921,FALSE,nigragorĝa buteo
Geranospiza caerulescens,Crane Hawk,crahaw,362108361,FALSE,longkrura buteo
Butastur rufipennis,Grasshopper Buzzard,grabuz1,310025,FALSE,akrida buteo
Butastur teesa,White-eyed Buzzard,whebuz1,650739018,FALSE,blankokula buteo
Butastur liventer,Rufous-winged Buzzard,ruwbuz1,493615851,FALSE,rufaflugila buteo
Butastur indicus,Grey-faced Buzzard,gyfbuz1,172332401,FALSE,grizvanga buteo
Ictinia mississippiensis,Mississippi Kite,miskit,256194901,TRUE,misisipia milvo
Ictinia plumbea,Plumbeous Kite,plukit1,166718721,FALSE,plumba milvo
Rostrhamus sociabilis,Snail Kite,snakit,199688641,FALSE,helika milvo
Helicolestes hamatus,Slender-billed Kite,slbkit1,203886641,FALSE,stretbeka milvo
Ropornis magnirostris,Roadside Hawk,roahaw,165010761,TRUE,
Parabuteo unicinctus,Harris' Hawk,hrshaw,132150761,FALSE,brunŝultra buteo
Parabuteo leucorrhous,White-rumped Hawk,whrhaw1,380636931,FALSE,blankpuga buteo
Cryptoleucopteryx plumbea,Plumbeous Hawk,pluhaw,46115981,FALSE,plumba buteo
Buteogallus schistaceus,Slate-colored Hawk,slchaw2,88302,FALSE,ardeza buteo
Buteogallus anthracinus,Common Black Hawk,comblh1,140250,FALSE,
B. a. subtilis,Mangrove Black Hawk,,,FALSE,
Buteogallus gundlachii,Cuban Black Hawk,cubblh1,138895,FALSE,kuba buteo
Buteogallus aequinoctialis,Rufous Crab-hawk,ruchaw1,382669101,FALSE,kraba buteo
Buteogallus meridionalis,Savanna Hawk,savhaw1,325148961,TRUE,savana buteo
Buteogallus lacernulatus,White-necked Hawk,whnhaw2,596818241,FALSE,blankakola buteo
Buteogallus urubitinga,Great Black Hawk,grbhaw1,514949,FALSE,granda buteo
Buteogallus solitarius,Black Solitary Eagle,soleag1,313522281,FALSE,soleca buteo
Buteogallus coronatus,Crowned Solitary Eagle,croeag1,630489203,FALSE,krona buteo
Morphnarchus princeps,Bared Hawk,barhaw1,141505181,FALSE,stria buteo
Geranoaetus albicaudatus,White-tailed Hawk,whthaw,398001741,FALSE,blankvosta buteo
Geranoaetus polyosoma,Red-backed Hawk,rebhaw2,608875099,FALSE,varia buteo
G. p. poecilochrous,Puna Hawk,,,FALSE,
Geranoaetus melanoleucus,Black-chested Buzzard-eagle,bcbeag1,242845561,FALSE,nigrabrusta buteo
Pseudastur albicollis,White Hawk,whihaw1,501387911,FALSE,
Pseudastur occidentalis,Grey-backed Hawk,gybhaw2,286084,FALSE,grizdorsa buteo
Pseudastur polionotus,Mantled Hawk,manhaw2,632273772,FALSE,mantela buteo
Leucopternis semiplumbeus,Semiplumbeous Hawk,semhaw,406906011,FALSE,duonplumba buteo
Leucopternis melanops,Black-faced Hawk,blfhaw1,386349501,FALSE,nigramaska buteo
Leucopternis kuhli,White-browed Hawk,whbhaw2,89158,FALSE,blankbrova buteo
†Bermuteo avivorus,Bermuda Hawk,berhaw1,,FALSE,
Buteo plagiatus,Grey Hawk,gryhaw2,288257391,FALSE,griza buteo
Buteo nitidus,Grey-lined Hawk,gryhaw3,58985,FALSE,
Buteo ridgwayi,Ridgway's Hawk,ridhaw1,179952081,FALSE,hispaniola buteo
Buteo lineatus,Red-shouldered Hawk,reshaw,229090,TRUE,ruĝaŝultra buteo
Buteo platypterus,Broad-winged Hawk,brwhaw,4308,TRUE,larĝflugila buteo
Buteo solitarius,Hawaiian Hawk,hawhaw,5197,FALSE,havaja buteo
Buteo albigula,White-throated Hawk,whthaw1,180196801,FALSE,blankagorĝa buteo
Buteo brachyurus,Short-tailed Hawk,shthaw,136268,FALSE,
Buteo swainsoni,Swainson's Hawk,swahaw,54752421,TRUE,preria buteo
Buteo galapagoensis,Galapagos Hawk,galhaw1,624845605,FALSE,galapaga buteo
Buteo albonotatus,Zone-tailed Hawk,zothaw,140243,FALSE,strivosta buteo
Buteo jamaicensis,Red-tailed Hawk,rethaw,229578,TRUE,ruĝvosta buteo
Buteo ventralis,Rufous-tailed Hawk,ruthaw1,241371421,FALSE,patagonia buteo
Buteo lagopus,Rough-legged Buzzard,rolhaw,133344,FALSE,vilkrura buteo
Buteo regalis,Ferruginous Hawk,ferhaw,505924511,TRUE,reĝa buteo
Buteo auguralis,Red-necked Buzzard,renbuz1,641551236,FALSE,ruĝkola buteo
Buteo augur,Augur Buzzard,augbuz2,31365371,FALSE,aŭgura buteo
Buteo rufofuscus,Jackal Buzzard,jacbuz1,275748,FALSE,
Buteo buteo,Eurasian Buzzard,combuz1,207612071,TRUE,
B. b. vulpinus,Steppe Buzzard,,,FALSE,
B. b. menetriesi,Eastern Steppe Buzzard,,,FALSE,
Buteo japonicus,Japanese Buzzard,combuz6,626281008,FALSE,orienta buteo
Buteo refectus,Himalayan Buzzard,combuz9,173593161,FALSE,
Buteo oreophilus,Mountain Buzzard,moubuz2,190292641,FALSE,
Buteo trizonatus,Forest Buzzard,moubuz3,318455561,FALSE,arbara buteo
Buteo brachypterus,Madagascar Buzzard,madbuz1,91664,FALSE,madagaskara buteo
Buteo rufinus,Long-legged Buzzard,lolbuz1,610599143,FALSE,
Buteo socotraensis,Socotra Buzzard,socbuz1,625122638,FALSE,sokotra buteo
Buteo hemilasius,Upland Buzzard,uplbuz1,111899891,FALSE,mongola buteo
Lophoceros bradfieldi,Bradfield's Hornbill,brahor1,640279025,FALSE,helbruna bucero
Tockus flavirostris,Eastern Yellow-billed Hornbill,eybhor1,31281881,FALSE,
Tockus leucomelas,Southern Yellow-billed Hornbill,sybhor1,621439142,FALSE,ruĝringa bucero
Tockus jacksoni,Jackson's Hornbill,jachor1,53590,FALSE,kenja bucero
Tockus deckeni,Von der Decken's Hornbill,vddhor1,105742141,FALSE,
Tockus monteiri,Monteiro's Hornbill,monhor1,460722511,FALSE,angola bucero
Tockus damarensis,Damara Hornbill,drbhor1,621573448,FALSE,namibia bucero
Tockus erythrorhynchus,Red-billed Hornbill,rebhor1,634522061,FALSE,
Berenicornis comatus,White-crowned Hornbill,whchor2,71302,FALSE,blanktufa bucero
Horizocerus albocristatus,Western Long-tailed Hornbill,whchor1,203981331,FALSE,
Horizocerus cassini,Eastern Long-tailed Hornbill,whchor4,535040941,FALSE,blankakrona bucero
Horizocerus granti,Eastern Little Hornbill,bkdhor2,609067754,FALSE,blankmakula bucero
Horizocerus hartlaubi,Western Little Hornbill,bkdhor1,203974531,FALSE,
Ceratogymna elata,Yellow-casqued Hornbill,yechor1,391074671,FALSE,flavkaska bucero
Ceratogymna atrata,Black-casqued Hornbill,blchor1,203972641,FALSE,nigrakaska bucero
Bycanistes brevis,Silvery-cheeked Hornbill,sichor1,203886671,FALSE,arĝentvanga bucero
Bycanistes subcylindricus,Grey-cheeked Hornbill,bawhor2,6685,FALSE,grizvanga bucero
Bycanistes cylindricus,Brown-cheeked Hornbill,bnchor1,203959951,FALSE,
Bycanistes albotibialis,White-thighed Hornbill,whthor1,203966571,FALSE,blankfemura bucero
Bycanistes bucinator,Trumpeter Hornbill,truhor1,22691,FALSE,
Bycanistes fistulator,Western Piping Hornbill,piphor1,203911681,FALSE,fajfa bucero
Bycanistes sharpii,Eastern Piping Hornbill,,,FALSE,
Rhynoplax vigil,Helmeted Hornbill,helhor1,473,FALSE,
Buceros hydrocorax,Northern Rufous Hornbill,rufhor1,18529,FALSE,rufa bucero
Buceros mindanensis,Southern Rufous Hornbill,,,FALSE,
Buceros bicornis,Great Hornbill,grehor1,191688691,TRUE,granda bucero
Buceros rhinoceros,Rhinoceros Hornbill,rhihor1,109749651,FALSE,rinocera bucero
Anorrhinus galeritus,Bushy-crested Hornbill,buchor1,129421,FALSE,nigrakresta bucero
Anorrhinus austeni,Austen's Brown Hornbill,brnhor1,393803991,FALSE,blankagorĝa bucero
Anorrhinus tickelli,Tickell's Brown Hornbill,ruchor1,207902661,FALSE,
Ocyceros birostris,Indian Grey Hornbill,inghor2,204027061,FALSE,hindia bucero
Ocyceros griseus,Malabar Grey Hornbill,maghor2,239036501,FALSE,
Ocyceros gingalensis,Sri Lankan Grey Hornbill,ceghor1,203933011,FALSE,srilanka bucero
Anthracoceros malayanus,Black Hornbill,blahor1,36630,FALSE,nigra bucero
Anthracoceros montani,Sulu Hornbill,sulhor2,631207956,TRUE,sulua bucero
Anthracoceros coronatus,Indian Pied Hornbill,maphor1,285082671,FALSE,malabara bucero
Anthracoceros albirostris,Oriental Pied Hornbill,orphor1,135846491,FALSE,
Anthracoceros marchei,Palawan Hornbill,palhor1,633422772,FALSE,palavana bucero
Aceros nipalensis,Rufous-necked Hornbill,runhor1,203901221,FALSE,rufkola bucero
Rhabdotorrhinus corrugatus,Wrinkled Hornbill,wrihor1,541558021,FALSE,falta bucero
Rhabdotorrhinus exarhatus,Sulawesi Hornbill,sulhor1,32939,FALSE,celebesa bucero
Rhabdotorrhinus leucocephalus,Writhed Hornbill,wrihor2,203999791,FALSE,
Rhabdotorrhinus waldeni,Rufous-headed Hornbill,wrbhor1,203899191,FALSE,panaja bucero
Penelopides panini,Visayan Hornbill,tarhor1,274903081,FALSE,
Penelopides affinis,Mindanao Hornbill,minhor1,651786611,FALSE,
Penelopides mindorensis,Mindoro Hornbill,minhor2,638563658,FALSE,mindora bucero
Penelopides manillae,Luzon Hornbill,luzhor1,632545278,FALSE,
Rhyticeros cassidix,Knobbed Hornbill,knohor1,203945551,FALSE,tubera bucero
Rhyticeros everetti,Sumba Hornbill,sumhor1,199793421,FALSE,sumba bucero
Rhyticeros undulatus,Wreathed Hornbill,wrehor1,609065063,FALSE,sulka bucero
Rhyticeros subruficollis,Plain-pouched Hornbill,plphor1,638940368,FALSE,helgorĝa bucero
Rhyticeros narcondami,Narcondam Hornbill,narhor1,151625211,FALSE,narkondama bucero
Rhyticeros plicatus,Papuan Hornbill,blyhor1,21222,TRUE,
COLIIFORMES,,,,FALSE,
COLIIDAE,Mousebirds,,,FALSE,
Colius striatus,Speckled Mousebird,spemou2,253840331,FALSE,stria musbirdo
Colius leucocephalus,White-headed Mousebird,whhmou1,612414112,FALSE,blankakapa musbirdo
Colius castanotus,Red-backed Mousebird,rebmou1,403272171,FALSE,ruĝdorsa musbirdo
Colius colius,White-backed Mousebird,whbmou1,177674361,FALSE,blankdorsa musbirdo
Urocolius macrourus,Blue-naped Mousebird,blnmou1,628154450,FALSE,blunuka musbirdo
Urocolius indicus,Red-faced Mousebird,refmou1,278774,FALSE,ruĝmaska musbirdo
LEPTOSOMIFORMES,,,,FALSE,
LEPTOSOMIDAE,Cuckoo-roller,cuckoo1,503630091,FALSE,
Leptosomus discolor,Cuckoo-roller,cuckoo1,503630091,FALSE,kurolo
TROGONIFORMES,,,,FALSE,
TROGONIDAE,Trogons,,,FALSE,
Apaloderma narina,Narina Trogon,nartro1,286240471,FALSE,afrika trogono
Apaloderma aequatoriale,Bare-cheeked Trogon,bactro1,541032611,FALSE,flavavanga trogono
Apaloderma vittatum,Bar-tailed Trogon,battro1,49871,FALSE,strivosta trogono
Apalharpactes reinwardtii,Javan Trogon,javtro1,523986911,FALSE,
Apalharpactes mackloti,Sumatran Trogon,sumtro1,70496,FALSE,sumatra trogono
Harpactes oreskios,Orange-breasted Trogon,orbtro2,203914961,FALSE,oranĝbrusta trogono
Harpactes orrhophaeus,Cinnamon-rumped Trogon,cirtro1,622870007,FALSE,cinampuga trogono
Harpactes duvaucelii,Scarlet-rumped Trogon,scrtro1,597825731,FALSE,skarlatpuga trogono
Harpactes fasciatus,Malabar Trogon,maltro1,615864758,FALSE,malabara trogono
Harpactes diardii,Diard's Trogon,diatro1,202062,FALSE,rozkoluma trogono
Harpactes erythrocephalus,Red-headed Trogon,rehtro1,203917091,FALSE,ruĝkapa trogono
Harpactes wardi,Ward's Trogon,wartro1,492684371,FALSE,rozvosta trogono
Harpactes whiteheadi,Whitehead's Trogon,whitro1,483509711,FALSE,grizbrusta trogono
Harpactes kasumba,Red-naped Trogon,rentro1,321955151,FALSE,ruĝnuka trogono
Harpactes ardens,Philippine Trogon,phitro1,222249691,FALSE,filipina trogono
Pharomachrus pavoninus,Pavonine Quetzal,pavque1,203934191,FALSE,
Pharomachrus auriceps,Golden-headed Quetzal,gohque1,360344591,FALSE,orkapa kvecalo
Pharomachrus fulgidus,White-tipped Quetzal,whtque1,370819031,FALSE,blankvosta kvecalo
Pharomachrus mocinno,Resplendent Quetzal,resque1,72825,TRUE,splenda kvecalo
Pharomachrus antisianus,Crested Quetzal,creque1,308546851,FALSE,kresta kvecalo
Euptilotis neoxenus,Eared Quetzal,earque,272465671,FALSE,orela kvecalo
Priotelus temnurus,Cuban Trogon,cubtro1,203883541,FALSE,kuba trogono
Temnotrogon roseigaster,Hispaniolan Trogon,histro1,203890851,FALSE,hispaniola trogono
Trogon clathratus,Lattice-tailed Trogon,lattro1,421832191,FALSE,latisvosta trogono
Trogon massena,Slaty-tailed Trogon,slttro1,168110541,FALSE,ardezvosta trogono
Trogon comptus,Choco Trogon,buttro1,611619117,FALSE,blankokula trogono
Trogon mesurus,Ecuadorian Trogon,bkttro2,637773250,FALSE,ekvadora trogono
Trogon melanurus,Black-tailed Trogon,blttro1,371690341,FALSE,
Trogon viridis,Green-backed Trogon,gnbtro1,388780721,FALSE,
Trogon chionurus,White-tailed Trogon,whttro1,616052182,FALSE,
Trogon melanocephalus,Black-headed Trogon,blhtro1,238579311,FALSE,nigrakapa trogono
Trogon citreolus,Citreoline Trogon,cittro1,630882426,FALSE,
Trogon bairdii,Baird's Trogon,baitro1,203939381,FALSE,bludorsa trogono
Trogon violaceus,Violaceous Trogon,viotro2,321838751,FALSE,
Trogon curucui,Blue-crowned Trogon,blctro1,204019411,FALSE,blukrona trogono
Trogon aurantius,Northern Surucua Trogon,,,FALSE,
Trogon surrucura,Southern Surucua Trogon,surtro1,25849791,FALSE,surukua trogono
Trogon rufus,Black-throated Trogon,bkttro6,203954121,FALSE,
Trogon elegans,Elegant Trogon,eletro2,63858501,TRUE,
Trogon ambiguus,Coppery-tailed Trogon,eletro1,255097111,FALSE,
Trogon mexicanus,Mountain Trogon,moutro1,612575312,FALSE,monta trogono
Trogon collaris,Collared Trogon,coltro1,389248371,FALSE,kolringa trogono
Trogon personatus,Masked Trogon,mastro1,382920941,FALSE,maska trogono
UPUPIDAE,Hoopoe,,,FALSE,
Upupa epops,Hoopoe,hoopoe,203693781,TRUE,
Upupa marginata,Madagascar Hoopoe,madhoo1,501787911,FALSE,madagaskara upupo
†Upupa antaios,St Helena Hoopoe,,,FALSE,
PHOENICULIDAE,Woodhoopoes,,,FALSE,
Phoeniculus purpureus,Green Woodhoopoe,grewoo2,628184519,FALSE,
Phoeniculus damarensis,Violet Woodhoopoe,viowoo1,338184971,FALSE,viola arbupupo
Phoeniculus somaliensis,Black-billed Woodhoopoe,blbwoo2,33721031,FALSE,nigrabeka arbupupo
Phoeniculus bollei,White-headed Woodhoopoe,whhwoo1,6668,FALSE,blankakapa arbupupo
Rhinopomastus castaneiceps,Forest Scimitarbill,forwoo1,203959971,FALSE,brunkapa arbupupo
Rhinopomastus aterrimus,Black Scimitarbill,blsbil1,627770054,FALSE,nigra arbupupo
Rhinopomastus cyanomelas,Common Scimitarbill,cosbil1,37848,FALSE,
Rhinopomastus minor,Abyssinian Scimitarbill,absbil1,33655491,FALSE,eta arbupupo
BUCEROTIFORMES,,,,FALSE,
BUCEROTIDAE,Hornbills,,,FALSE,
Bucorvus leadbeateri,Southern Ground Hornbill,soghor1,6676,FALSE,suda bukorvo
Bucorvus abyssinicus,Northern Ground Hornbill,noghor1,618641941,FALSE,norda bukorvo
Lophoceros pallidirostris,Pale-billed Hornbill,pabhor1,612782734,FALSE,palbeka bucero
Lophoceros nasutus,African Grey Hornbill,afghor1,6702,FALSE,nigrabeka bucero
Lophoceros semifasciatus,Western African Pied Hornbill,afphor2,203911871,FALSE,uestafrika bucero
Lophoceros fasciatus,African Pied Hornbill,afphor3,181157,FALSE,
Lophoceros hemprichii,Hemprich's Hornbill,hemhor1,33651961,FALSE,etiopia bucero
Lophoceros camurus,Dwarf Hornbill,rbdhor1,203923401,FALSE,pigmea bucero
Lophoceros alboterminatus,Crowned Hornbill,crohor1,6686,FALSE,krona bucero
CORACIIFORMES,,,,FALSE,
MEROPIDAE,Bee-eaters,,,FALSE,
Nyctyornis amictus,Red-bearded Bee-eater,rbbeat1,191897371,FALSE,ruĝbarba abelmanĝulo
Nyctyornis athertoni,Blue-bearded Bee-eater,bbbeat1,239667,FALSE,blubarba abelmanĝulo
Meropogon forsteni,Purple-bearded Bee-eater,pbbeat1,203990511,FALSE,celebesa abelmanĝulo
Merops bullockoides,White-fronted Bee-eater,wfbeat1,63115361,FALSE,blankfrunta abelmanĝulo
Merops bulocki,Red-throated Bee-eater,rtbeat1,203943561,FALSE,ruĝgorĝa abelmanĝulo
Merops breweri,Black-headed Bee-eater,bhbeat1,,FALSE,nigrakapa abelmanĝulo
Merops albicollis,White-throated Bee-eater,wtbeat1,1187,FALSE,blankagorĝa abelmanĝulo
Merops revoilii,Somali Bee-eater,sobeat1,625923994,FALSE,somalia abelmanĝulo
Merops malimbicus,Rosy Bee-eater,robeat1,626033020,FALSE,roza abelmanĝulo
Merops nubicus,Northern Carmine Bee-eater,ncbeat1,21612541,FALSE,
Merops nubicoides,Southern Carmine Bee-eater,scbeat1,609054295,FALSE,karmina abelmanĝulo
Merops viridissimus,African Green Bee-eater,grnbee1,628196764,FALSE,verda abelmanĝulo
Merops cyanophrys,Arabian Green Bee-eater,grnbee2,439853401,FALSE,blubrova abelmanĝulo
Merops orientalis,Asian Green Bee-eater,grnbee3,122658941,TRUE,
