Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,nl
Megapodius cumingii,Philippine Scrubfowl,tabscr1,203893311,FALSE,Filipijns Boshoen
Megapodius bernsteinii,Sula Scrubfowl,sulscr1,203905281,FALSE,Bruin Boshoen
Megapodius tenimberensis,Tanimbar Scrubfowl,tanscr1,616243717,FALSE,Tanimbarboshoen
Megapodius layardi,Vanuatu Scrubfowl,vanscr1,159476231,FALSE,Vanuatuboshoen
Megapodius laperouse,Micronesian Scrubfowl,micscr1,140190,FALSE,Marianenboshoen
Megapodius pritchardii,Polynesian Scrubfowl,niuscr1,,FALSE,Polynesisch Boshoen
Megapodius freycinet,Dusky Scrubfowl,dusscr1,203908891,FALSE,Zwart boshoen
Megapodius geelvikanus,Biak Scrubfowl,,,FALSE,
Megapodius decollatus,New Guinea Scrubfowl,negscr1,608353878,FALSE,Grijs Boshoen
Megapodius eremita,Melanesian Scrubfowl,melscr1,203908291,FALSE,Heremietboshoen
Megapodius reinwardt,Orange-footed Scrubfowl,orfscr1,58969901,TRUE,Rood boshoen
CRACIDAE,Guans Chachalacas Curassows,,,FALSE,
Chamaepetes unicolor,Black Guan,blagua1,53957,FALSE,Zwarte Goean
Chamaepetes goudotii,Sickle-winged Guan,siwgua1,167255,FALSE,Sikkelvleugelgoean
Penelopina nigra,Highland Guan,higgua1,203692671,FALSE,Berggoean
Penelope argyrotis,Band-tailed Guan,batgua1,167175,FALSE,Bandstaartsjakohoen
Penelope barbata,Bearded Guan,beagua1,203915771,FALSE,Baardsjakohoen
Penelope ortoni,Baudo Guan,baugua1,168703,FALSE,Ortons Sjakohoen
Penelope montagnii,Andean Guan,andgua1,591553691,FALSE,Andessjakohoen
Penelope marail,Marail Guan,margua1,67615,FALSE,Marailsjakohoen
Penelope superciliaris,Rusty-margined Guan,rumgua1,102319,FALSE,Witvoorhoofdsjakohoen
Penelope dabbenei,Red-faced Guan,refgua1,203985251,FALSE,Roodmaskersjakohoen
Penelope jacquacu,Spix's Guan,spigua1,190225,FALSE,Spixsjakohoen
Penelope purpurascens,Crested Guan,cregua1,173510751,FALSE,Kuifsjakohoen
Penelope perspicax,Cauca Guan,caugua1,24042071,FALSE,Caucasjakohoen
Penelope albipennis,White-winged Guan,whwgua1,13277,FALSE,Witvleugelsjakohoen
Penelope obscura,Dusky-legged Guan,dulgua1,17658,FALSE,Grijspootsjakohoen
Penelope pileata,White-crested Guan,whcgua1,203895021,FALSE,Witkuifsjakohoen
Penelope ochrogaster,Chestnut-bellied Guan,chbgua1,193678891,FALSE,Rossig Sjakohoen
Penelope jacucaca,White-browed Guan,whbgua1,248626081,FALSE,Witbrauwsjakohoen
Pipile pipile,Trinidad Piping-guan,trpgua1,619307334,FALSE,Trinidadgoean
Pipile cumanensis,Blue-throated Piping-guan,butpig1,321834561,FALSE,Blauwkeelgoean/Witkeelgoean
Pipile grayi,White-throated Piping-guan,butpig2,396896121,FALSE,Witkeelgoean
Pipile cujubi,Red-throated Piping-guan,rtpgua1,81437,FALSE,Roodkeelgoean
Pipile jacutinga,Black-fronted Piping-guan,bfpgua1,184775031,FALSE,Zwartmaskergoean
Aburria aburri,Wattled Guan,watgua1,101066981,FALSE,Lelgoean
Oreophasis derbianus,Horned Guan,horgua1,177575,TRUE,Hoorngoean
Ortalis vetula,Plain Chachalaca,placha,172754021,TRUE,Bruine chachalaca
Ortalis cinereiceps,Grey-headed Chachalaca,grhcha1,456443461,FALSE,Grijskopchachalaca
Ortalis garrula,Chestnut-winged Chachalaca,chwcha1,624280923,FALSE,Roodvleugelchachalaca
Ortalis ruficauda,Rufous-vented Chachalaca,ruvcha1,2320,FALSE,Roodbuikchachalaca
Ortalis erythroptera,Rufous-headed Chachalaca,ruhcha1,514472621,FALSE,Roodkopchachalaca
Ortalis wagleri,Rufous-bellied Chachalaca,rubcha1,49211281,FALSE,Waglers Chachalaca
Ortalis poliocephala,West Mexican Chachalaca,wemcha1,153248731,FALSE,West-Mexicaanse chachalaca
Ortalis canicollis,Chaco Chachalaca,chacha1,572139481,FALSE,Chacochachalaca
Ortalis leucogastra,White-bellied Chachalaca,whbcha1,20375,FALSE,Witbuikchachalaca
Ortalis columbiana,Colombian Chachalaca,colcha1,212229,FALSE,Colombiaanse Chachalaca
Ortalis guttata,Speckled Chachalaca,specha3,183366391,FALSE,Gevlekte chachalaca
Ortalis araucan,East Brasilian Chachalaca,,,FALSE,
Ortalis squamata,Scaled Chachalaca,specha4,332027481,FALSE,Geschubde chachalaca
Ortalis motmot,Little Chachalaca,varcha1,78010,FALSE,Kleine chachalaca
CASUARIIDAE,Cassowaries Emus,,,FALSE,
Casuarius casuarius,Southern Cassowary,soucas1,203989761,TRUE,Helmkasuaris
Casuarius bennetti,Dwarf Cassowary,dwacas1,203987101,FALSE,Dwergkasuaris
Casuarius unappendiculatus,Northern Cassowary,norcas1,536563291,FALSE,Oranjehalskasuaris
Dromaius novaehollandiae,Emu,emu1,623096519,TRUE,Emoe
†Dromaius minor,King Island Emu,,,FALSE,
†Dromaius baudinianus,Kangoroo Island Emu,,,FALSE,
APTERYGIDAE,Kiwis,,,FALSE,
Apteryx haastii,Great Spotted Kiwi,grskiw1,617700522,TRUE,Grote Grijze Kiwi
Apteryx owenii,Little Spotted Kiwi,liskiw1,596188651,FALSE,Kleine Grijze Kiwi
Apteryx mantelli,North Island Brown Kiwi,nibkiw1,623165890,TRUE,Noordereilandkiwi
Apteryx australis,Southern Brown Kiwi,sobkiw1,85614831,FALSE,Zuidelijke bruine kiwi
Ortalis superciliaris,Buff-browed Chachalaca,bubcha1,349286621,FALSE,Geelbrauwchachalaca
Nothocrax urumutum,Nocturnal Curassow,noccur1,34378,FALSE,Nachthokko
Crax rubra,Great Curassow,grecur1,398165901,TRUE,Bruine Hokko
Crax alberti,Blue-billed Curassow,bubcur1,203963551,FALSE,Blauwknobbelhokko
Crax daubentoni,Yellow-knobbed Curassow,yekcur1,386558971,FALSE,Geelknobbelhokko
Crax alector,Black Curassow,blacur1,322191801,FALSE,Zwarte Hokko
Crax fasciolata,Bare-faced Curassow,bafcur1,203894921,FALSE,Maskerhokko
Crax pinima,Belem Curassow,,,FALSE,Maskerhokko (pinima)
Crax globulosa,Wattled Curassow,watcur1,219106901,FALSE,Knobbelhokko
Crax blumenbachii,Red-billed Curassow,rebcur1,625223109,FALSE,Roodsnavelhokko
Mitu tomentosum,Crestless Curassow,crecur2,317505041,FALSE,Kleine Mesbekpauwies
Mitu mitu,Alagoas Curassow,alacur1,,FALSE,Alagoasmesbekpauwies
Mitu tuberosum,Razor-billed Curassow,rabcur2,559592971,FALSE,Mesbekpauwies
Mitu salvini,Salvin's Curassow,salcur1,629970995,FALSE,Salvins Mesbekpauwies
Pauxi unicornis,Horned Curassow,horcur3,534805601,FALSE,Hoornhokko
Pauxi koepckeae,Sira Curassow,horcur2,32320171,FALSE,Sirahokko
Pauxi pauxi,Helmeted Curassow,helcur1,63667,FALSE,Helmhokko
Arborophila crudigularis,Taiwan Partridge,taipar1,39795,FALSE,Taiwanbospatrijs
Arborophila mandellii,Chestnut-breasted Partridge,chbpar2,239603,FALSE,Roodborstbospatrijs
Arborophila brunneopectus,Bar-backed Partridge,babpar1,113529,FALSE,Bruinborstbospatrijs
Arborophila rufipectus,Sichuan Partridge,sicpar1,637394890,FALSE,Boultons Bospatrijs
Arborophila gingica,Collared Partridge,whnpar2,48693791,FALSE,Ricketts Bospatrijs
Arborophila davidi,Orange-necked Partridge,ornpar1,569348161,FALSE,Davids Bospatrijs
Arborophila cambodiana,Chestnut-headed Partridge,chhpar1,630487371,FALSE,Cambodjaanse Bospatrijs
Arborophila campbelli,Malay Partridge,gybpar3,203886611,FALSE,Maleise Bospatrijs
Arborophila rolli,Tan-breasted Partridge,gybpar5,175504,FALSE,Rolls Bospatrijs
Arborophila sumatrana,Sumatran Partridge,gybpar6,491844231,FALSE,Zuid-Sumatraanse bospatrijs
Arborophila orientalis,White-faced Partridge,gybpar4,181897,FALSE,Grijsborstbospatrijs
Arborophila javanica,Chestnut-bellied Partridge,chbpar1,647027343,FALSE,Javaanse Bospatrijs
Arborophila rubrirostris,Red-billed Partridge,rebpar3,642820203,FALSE,Roodsnavelbospatrijs
Arborophila hyperythra,Bornean Partridge,rebpar5,203956931,FALSE,Borneobospatrijs
Arborophila ardens,Hainan Partridge,haipar1,609066009,FALSE,Hainanbospatrijs
Arborophila chloropus,Green-legged Partridge,,,FALSE,Groenpootbospatrijs
Arborophila tonkinensis,Tonkin Partridge,,,FALSE,Groenpootbospatrijs (Tonkinbospatrijs)
Arborophila charltonii,Chestnut-necklaced Partridge,chnpar1,621122731,FALSE,
Arborophila graydoni,Sabah Partridge,chnpar3,642338035,FALSE,Sabahbospatrijs
Rhizothera longirostris,Long-billed Partridge,lobpar3,181633331,FALSE,Langsnavelbospatrijs
Rhizothera dulitensis,Dulit Partridge,lobpar2,,FALSE,Hoses Bospatrijs
Melanoperdix niger,Black Partridge,blapar2,629033581,FALSE,Zwarte Bospatrijs
Haematortyx sanguiniceps,Crimson-headed Partridge,crhpar1,609672173,FALSE,Roodkopbospatrijs
Caloperdix oculea,Ferruginous Partridge,ferpar2,600452771,FALSE,Gevlekte Bospatrijs
Galloperdix spadicea,Red Spurfowl,redspu1,349354171,FALSE,Rode Dwergfazant
Galloperdix lunulata,Painted Spurfowl,paispu1,207089521,FALSE,Pareldwergfazant
Galloperdix bicalcarata,Sri Lanka Spurfowl,ceyspu1,203990571,FALSE,Ceylondwergfazant
Afropavo congensis,Congo Peafowl,conpea1,519903871,FALSE,Congopauw
Pavo cristatus,Indian Peafowl,compea,91301711,TRUE,Blauwe pauw
Pavo muticus,Green Peafowl,grepea1,609104061,FALSE,Groene Pauw
Argusianus argus,Great Argus,grearg1,203944171,TRUE,Argusfazant
Rheinardia ocellata,Crested Argus,crearg1,609069136,FALSE,
R. o. nigrescens,Malaysian Argus,,,FALSE,
Polyplectron napoleonis,Palawan Peacock-pheasant,palpep1,212042841,FALSE,Palawanspiegelpauw
Polyplectron malacense,Malay Peacock-pheasant,mapphe1,36637,FALSE,Maleise spiegelpauw
Polyplectron schleiermacheri,Bornean Peacock-pheasant,bopphe1,522860261,FALSE,Borneospiegelpauw
Polyplectron germaini,Germain's Peacock-pheasant,gepphe1,204023661,FALSE,Germains Pauwfazant
Polyplectron katsumatae,Hainan Peacock-pheasant,grypep3,613345194,FALSE,Hainanspiegelpauw
Polyplectron bicalcaratum,Grey Peacock-pheasant,grypep2,628409328,FALSE,Spiegelpauw
Polyplectron inopinatum,Mountain Peacock-pheasant,mopphe1,174378541,FALSE,Rothschilds Pauwfazant
Polyplectron chalcurum,Bronze-tailed Peacock-pheasant,btpphe1,640131691,FALSE,Sumatraanse Pauwfazant
Margaroperdix madagarensis,Madagascar Partridge,madpar2,95730,FALSE,Madagaskarpatrijs
Coturnix coturnix,Common Quail,comqua1,204001791,FALSE,Kwartel
Coturnix japonica,Japanese Quail,japqua,308522651,FALSE,Japanse Kwartel
Coturnix coromandelica,Rain Quail,raiqua1,204026791,FALSE,Regenkwartel
Coturnix delegorguei,Harlequin Quail,harqua1,55993,FALSE,Harlekijnkwartel
Coturnix pectoralis,Stubble Quail,stuqua1,73173471,TRUE,Stoppelveldkwartel
†Coturnix novaezelandiae,New Zealand Quail,nezqua1,,FALSE,
Synoicus ypsilophorus,Brown Quail,broqua1,295926801,FALSE,Bruine Kwartel
Synoicus chinensis,Asian Blue Quail,blbqua1,385061761,FALSE,Chinese dwergkwartel
Synoicus adansonii,African Blue Quail,bluqua1,,FALSE,Blauwe Kwartel
Anurophasis monorthonyx,Snow Mountain Quail,snmqua2,,FALSE,Nieuw-Guinese Bergpatrijs
Tetraogallus caucasicus,Caucasian Snowcock,causno1,155121691,FALSE,Kaukasisch Berghoen
Tetraogallus caspius,Caspian Snowcock,cassno1,634394698,FALSE,Kaspisch Berghoen
Tetraogallus himalayensis,Himalayan Snowcock,himsno,601383721,FALSE,Himalayaberghoen
Tetraogallus tibetanus,Tibetan Snowcock,tibsno1,483108811,FALSE,Tibetaans Berghoen
Tetraogallus altaicus,Altai Snowcock,altsno1,639220722,FALSE,Altaiberghoen
Alectoris graeca,Rock Partridge,rocpar2,203977601,FALSE,Steenpatrijs
Alectoris chukar,Chukar,chukar,210513,FALSE,Aziatische Steenpatrijs
Alectoris magna,Przevalski's Partridge,przpar1,60496,FALSE,Chinese Steenpatrijs
