Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,nl
Amaurornis magnirostris,Talaud Bush-hen,talbuh1,203893281,FALSE,Talaudwaterhoen
Amaurornis moluccana,Pale-vented Bush-hen,rutbuh1,203886861,FALSE,Moluks Waterhoen
Amaurornis phoenicurus,White-breasted Waterhen,whbwat1,596624031,FALSE,Witborstwaterhoen
Amaurornis cinerea,White-browed Crake,whbcra1,346434421,FALSE,Wenkbrauwral
Amaurornis marginalis,Striped Crake,strcra1,650574370,FALSE,Porseleinhoen
Megacrex inepta,New Guinea Flightless Rail,ngfrai1,,FALSE,Kasuarisral
Gallicrex cinerea,Watercock,waterc1,369434801,FALSE,Waterhaan
Porphyrio porphyrio,Purple Swamphen,purswa1,356004491,FALSE,Purperkoet
P. p. madagascariensis,African Swamphen,purswa2,137584541,FALSE,
P. p. poliocephalus,Grey-headed Swamphen,,,FALSE,
†Porphyrio albus,White Swamphen,,,FALSE,
†Porphyrio paepae,Marquesan Swamphen,marswa1,,FALSE,
†Porphyrio kukwiedei,New Caledonia Gallinule,,,FALSE,
GRUIFORMES,,,,FALSE,
HELIORNITHIDAE,Finfoots,,,FALSE,
Podica senegalensis,African Finfoot,afrfin1,618612784,FALSE,Watertrapper
Heliopais personata,Masked Finfoot,masfin3,,FALSE,Maskerfuutkoet
Heliornis fulica,Sungrebe,sungre1,203988221,TRUE,Kleine Fuutkoet
RALLIDAE,Rails Gallinules Coots,,,FALSE,Rallidae sp. (ral/hoen sp.)
Sarothrura pulchra,White-spotted Flufftail,whsflu1,203965051,FALSE,Parelvlekral
Sarothrura elegans,Buff-spotted Flufftail,busflu1,177489191,FALSE,Bruinvlekral
Sarothrura rufa,Red-chested Flufftail,recflu1,177489341,FALSE,Roodborstral
Sarothrura lugens,Chestnut-headed Flufftail,chhflu1,24891,FALSE,Ugallaral
Sarothrura boehmi,Streaky-breasted Flufftail,stbflu1,296704481,FALSE,Böhms Ral
Sarothrura affinis,Striped Flufftail,strflu1,575772991,FALSE,Strepenral
Sarothrura insularis,Madagascar Flufftail,madflu1,506168581,FALSE,Hovaral
Sarothrura ayresi,White-winged Flufftail,whwflu1,,FALSE,Witvleugelral
Sarothrura watersi,Slender-billed Flufftail,slbflu1,97586,FALSE,Bartletts Ral
Himantornis haematopus,Nkulengu Rail,nkurai1,203974551,FALSE,Nkulengural
Canirallus oculeus,Grey-throated Rail,gytrai1,613658922,FALSE,Grijskeelral
Mentocrex kioloides,Madagascar Wood-rail,madwor1,506168051,FALSE,Witkinral
Mentocrex beankaensis,Tsingy Wood-rail,tsiwor1,,FALSE,Tsingygrijskeelral
Rallicula rubra,Chestnut Forest-rail,chfrai1,609065712,FALSE,Nieuw-Guinese Kaneelral
Rallicula leucospila,White-striped Forest-rail,wsfrai1,203997101,FALSE,Bonte kaneelral
Rallicula forbesi,Forbes's Forest-rail,forrai1,100546,FALSE,Forbes' Kaneelral
Rallicula mayri,Mayr's Forest-rail,mayrai1,139541,FALSE,Mayrs Kaneelral
Rallina tricolor,Red-necked Crake,rencra1,480338501,FALSE,Driekleurige Ral
Rallina canningi,Andaman Crake,andcra1,224649011,FALSE,Andamanenral
Rallina fasciata,Red-legged Crake,relcra1,599026891,FALSE,Roodpootral
Rallina eurizonoides,Slaty-legged Crake,sllcra1,203895951,FALSE,Zwartpootral
Coturnicops exquisitus,Swinhoe's Rail,swirai1,31429111,FALSE,Swinhoes Ral
Coturnicops noveboracensis,Yellow Rail,yelrai,128195241,FALSE,Gele ral
Coturnicops notatus,Speckled Rail,sperai1,166734,FALSE,Darwins Ral
Micropygia schomburgkii,Ocellated Crake,ocecra1,424945081,FALSE,Schomburgks Ral
Rufirallus castaneiceps,Chestnut-headed Crake,chhcra1,203999581,FALSE,Kastanjekopral
Rufirallus viridis,Russet-crowned Crake,ruccra1,203931201,FALSE,Roodkruinral
Laterallus melanophaius,Rufous-sided Crake,ruscra1,161530141,FALSE,Braziliaanse dwergral
Laterallus levraudi,Rusty-flanked Crake,rufcra2,454845621,FALSE,Levrauds Dwergral
Laterallus ruber,Ruddy Crake,rudcra1,224201931,FALSE,Rosse Dwergral
Laterallus albigularis,White-throated Crake,whtcra1,78967391,FALSE,Witkeeldwergral
Laterallus exilis,Grey-breasted Crake,grbcra1,203932211,FALSE,Amazonedwergral
Laterallus jamaicensis,Black Rail,blkrai,49998091,TRUE,Zwarte Dwergral
Laterallus tuerosi,Junin Rail,,,FALSE,Zwarte Dwergral (tuerosi)
Laterallus spilonota,Galapagos Rail,galrai1,203698271,FALSE,Galápagosdwergral
Laterallus leucopyrrhus,Red-and-white Crake,rawcra1,609184339,FALSE,Roodbonte Dwergral
Laterallus xenopterus,Rufous-faced Crake,rufcra1,499624321,FALSE,Conovers Dwergral
Rallus longirostris,Mangrove Rail,manrai1,406587451,FALSE,Grijze ral
Rallus tenuirostris,Mexican Rail,kinrai2,470683061,FALSE,Mexicaanse ral
Rallus obsoletus,Ridgway's Rail,ridrai1,323622841,FALSE,Californische Ral
Rallus elegans,King Rail,kinrai4,457670641,TRUE,Koningsral
Rallus crepitans,Clapper Rail,clarai11,30326001,FALSE,Klapperral
Rallus wetmorei,Plain-flanked Rail,plfrai1,647207695,FALSE,Wetmores Ral
Rallus limicola,Virginia Rail,virrai,45633,TRUE,Virginiaral
Rallus semiplumbeous,Bogota Rail,bograi1,621180909,FALSE,Bogotáwaterral
Rallus antarcticus,Austral Rail,ausrai1,28617701,FALSE,Magelhaenral
Rallus aquaticus,Western Water Rail,watrai1,203920771,FALSE,Waterral/Bruinwangral
Rallus indicus,Eastern Water Rail,bncrai1,620128113,FALSE,Bruinwangral
Rallus caerulescens,African Rail,afrrai1,46083,FALSE,Afrikaanse Waterral
Rallus madagascariensis,Madagascar Rail,madrai1,360288161,FALSE,Madagaskarwaterral
Aramidopsis plateni,Snoring Rail,plarai1,627891546,FALSE,Platens Ral
Lewinia striata,Slaty-breasted Rail,slbrai1,375152391,FALSE,Gebandeerde Ral
Lewinia mirifica,Brown-banded Rail,luzrai1,,FALSE,Luzonral
Lewinia pectoralis,Lewin's Rail,lewrai1,27017081,FALSE,Grijsborstral
Lewinia muelleri,Auckland Rail,auirai1,,FALSE,Müllers Ral
Habroptila wallacii,Drummer Rail,,,FALSE,Halmaheraral
Gallirallus calayanensis,Calayan Rail,calrai1,203997481,FALSE,Calayanral
Gallirallus lafresnayanus,New Caledonian Rail,necrai1,,FALSE,Nieuw-Caledonische Ral
Gallirallus australis,Weka,weka1,117428871,TRUE,Weka
†Diaphorapteryx hawkinsi,Hawkins's Rail,hawrai1,,FALSE,
†Aphanapteryx bonasia,Red Rail,redrai1,,FALSE,
†Erythromachus leguati,Rodrigues Rail,rodrai1,,FALSE,
Eulabeornis castaneoventris,Chestnut Rail,cherai1,620592500,FALSE,Mangroveral
†Cabalus modestus,Chatam Rail,,,FALSE,
Hypotaenidia okinawae,Okinawa Rail,okirai1,203896011,FALSE,Okinawaral
Ardeotis australis,Australian Bustard,ausbus1,622865585,FALSE,Australische Trap
Houbaropsis bengalensis,Bengal Florican,benflo2,616731084,TRUE,Baardtrap
Sypheotides indicus,Lesser Florican,lesflo2,109115121,FALSE,Kleine Indische Trap
Lophotis savilei,Savile's Bustard,savbus1,145542981,FALSE,Sahelkuiftrap
Lophotis gindiana,Buff-crested Bustard,bucbus1,615535305,FALSE,Ethiopische Kuiftrap
Lophotis ruficrista,Red-crested Bustard,recbus1,582445171,FALSE,Roodkuiftrap
Heterotetrax vigorsii,Karoo Bustard,karbus1,208765711,FALSE,Zwartkintrap
Heterotetrax rueppellii,Rüppell's Bustard,ruebus1,203936711,FALSE,
Heterotetrax humilis,Little Brown Bustard,libbus1,635023062,FALSE,Somalische Trap
Afrotis afra,Southern Black Bustard,blabus3,624906351,FALSE,Zwarte trap
Afrotis afraoides,Northern Black Bustard,whqbus1,194118891,FALSE,Botswanatrap
Eupodotis senegalensis,White-bellied Bustard,whbbus2,611584708,FALSE,Senegaltrap
Eupodotis caerulescens,Blue Bustard,blubus1,208763191,FALSE,Blauwe Trap
†Porphyrio caerulescens,Reunion Gallinule,reugal1,,FALSE,
†Porphyrio mantelli,Takahe,,,FALSE,
Porphyrio hochstetteri,South Island Takahe,takahe3,212043711,TRUE,Zuidereilandtakahe
Porphyrio alleni,Allen's Gallinule,allgal1,649798707,FALSE,Afrikaans Purperhoen
Porphyrio martinicus,Purple Gallinule,purgal2,65208011,TRUE,Amerikaans purperhoen
Porphyrio flavirostris,Azure Gallinule,azugal1,541223001,FALSE,Azuurpurperhoen
Pareudiastes silvestris,Makira Moorhen,sacmoo1,,FALSE,Makirawaterhoen
Pareudiastes pacificus,Samoan Moorhen,sammoo1,,FALSE,Samoawaterhoen
†Gallinula nesiotis,Tristan Moorhen,trimoo2,,FALSE,
Gallinula corneri,Gough Moorhen,trimoo3,204732,FALSE,
Gallinula chloropus,Common Moorhen,commoo3,203978971,TRUE,Waterhoen
Gallinula galeata,Common Gallinule,comgal1,152657871,FALSE,Waterhoen/Amerikaans Waterhoen
Gallinula tenebrosa,Dusky Moorhen,dusmoo1,534241901,FALSE,Zwart Waterhoen
Gallinula angulata,Lesser Moorhen,lesmoo1,652241994,FALSE,Afrikaans Waterhoen
Gallinula melanops,Spot-flanked Gallinule,spfgal1,203988211,FALSE,Zwartkopwaterhoen
Tribonyx ventralis,Black-tailed Native-hen,btnhen1,499295501,FALSE,Australisch Waterhoen
†Tribonyx hodgenorum,Hodgen's Waterhen,hodwat1,,FALSE,
Tribonyx mortierii,Tasmanian Native-hen,tanhen1,2902,FALSE,Tasmaans Waterhoen
Fulica cristata,Red-knobbed Coot,rekcoo1,386806321,FALSE,Knobbelmeerkoet
†Fulica newtonii,Mascarene Coot,mascoo1,,FALSE,
Fulica atra,Eurasian Coot,eurcoo,217023251,TRUE,Meerkoet
Fulica alai,Hawaiian Coot,hawcoo,39455421,FALSE,Hawaiimeerkoet
Fulica americana,American Coot,y00475,41572901,TRUE,Amerikaanse meerkoet
Fulica leucoptera,White-winged Coot,whwcoo1,615044193,FALSE,Witvleugelkoet
Fulica ardesiaca,Andean Coot,slccoo1,203930181,FALSE,Punakoet
Fulica armillata,Red-gartered Coot,regcoo1,398565231,FALSE,Roodbandkoet
Fulica rufifrons,Red-fronted Coot,refcoo1,203986551,FALSE,Roodschildkoet
Fulica gigantea,Giant Coot,giacoo1,204006991,FALSE,Reuzenkoet
Fulica cornuta,Horned Coot,horcoo1,87699,FALSE,Hoornkoet
MUSOPHAGIFORMES,,,,FALSE,
MUSOPHAGIDAE,Turacos,,,FALSE,
Corythaeola cristata,Great Blue Turaco,grbtur1,141040,FALSE,Reuzentoerako
Criniferoides leucogaster,White-bellied Go-away-bird,wbgbir1,33651941,FALSE,Witbuiktoerako
Crinifer zonurus,Eastern Plantain-eater,easple1,8556,FALSE,Bandstaartbananeneter
Crinifer piscator,Western Plantain-eater,wesple1,643442726,FALSE,Grijze bananeneter
Corythaixoides personatus,Brown-faced Go-away-bird,,,FALSE,Maskertoerako
Corythaixoides leopoldi,Black-faced Go-away-bird,,,FALSE,(Zwart)maskertoerako
Corythaixoides concolor,Grey Go-away-bird,,,FALSE,Vale Toerako
Gallirex porphyreolophus,Purple-crested Turaco,puctur2,203942041,FALSE,Purperkuiftoerako
Gallirex johnstoni,Ruwenzori Turaco,ruwtur2,639327962,FALSE,Ruwenzoritoerako
Tauraco schalowi,Schalow's Turaco,schtur1,611401390,FALSE,Schalows Toerako
Tauraco hartlaubi,Hartlaub's Turaco,hartur1,8566,FALSE,Hartlaubs Toerako
Tauraco schuetti,Black-billed Turaco,blbtur1,107755,FALSE,Zwartsnaveltoerako
Tauraco livingstonii,Livingstone's Turaco,livtur1,208767241,FALSE,Livingstones toerako
Tauraco fischeri,Fischer's Turaco,fistur1,637776294,FALSE,Fischers Toerako
Tauraco corythaix,Knysna Turaco,knytur1,203935591,FALSE,Knysnatoerako
Tauraco persa,Green Turaco,guitur1,627571712,FALSE,Groene toerako
Tauraco leucotis,White-cheeked Turaco,whctur1,100334,FALSE,Witwangtoerako
Tauraco ruspolii,Ruspoli's Turaco,,,FALSE,Ruspoli's Toerako
Tauraco bannermani,Bannerman's Turaco,bantur1,,FALSE,Bannermans Toerako
Tauraco erythrolophus,Red-crested Turaco,rectur1,502642671,FALSE,Roodkuiftoerako
Tauraco leucolophus,White-crested Turaco,whctur2,8569,FALSE,Witkuiftoerako
Tauraco macrorhynchus,Yellow-billed Turaco,yebtur1,203922931,FALSE,Geelsnaveltoerako
Musophaga rossae,Ross's Turaco,rostur1,8561,FALSE,Lady Ross' Toerako
Musophaga violacea,Violet Turaco,viotur1,627571721,FALSE,
PSOPHIIDAE,Trumpeters,,,FALSE,
Psophia crepitans,Grey-winged Trumpeter,gywtru1,388331501,FALSE,Trompetvogel
Psophia ochroptera,Ochre-winged Trumpeter,,,FALSE,
Psophia leucoptera,White-winged Trumpeter,pawtru2,110697,FALSE,Witvleugeltrompetvogel
Psophia viridis,Green-winged Trumpeter,dawtru1,203983181,FALSE,Groenvleugeltrompetvogel
Psophia dextralis,Olive-winged Trumpeter,,,FALSE,
Psophia obscura,Black-winged Trumpeter,,,FALSE,Groenvleugeltrompetvogel (obscura)
Aramus guarauna,Limpkin,limpki,73922,TRUE,Koerlan
GAVIIFORMES,,,,FALSE,
GAVIIDAE,Loons/Divers,,,FALSE,
GRUIDAE,Cranes,,,FALSE,
Gavia stellata,Red-throated Loon,retloo,138234,FALSE,Roodkeelduiker
Gavia arctica,Black-throated Loon,arcloo,279261871,TRUE,Parelduiker
Gavia pacifica,Pacific Loon,pacloo,31730221,FALSE,Pacifische Parelduiker
Gavia immer,Common Loon,comloo,33842721,TRUE,IJsduiker
Gavia adamsii,White-billed Loon,yebloo,648381584,FALSE,Geelsnavelduiker
Balearica regulorum,Grey Crowned-crane,grccra1,2737,FALSE,Grijze Kroonkraanvogel
Balearica pavonina,Black Crowned-crane,blccra1,310754,FALSE,Zwarte kroonkraanvogel
Leucogeranus leucogeranus,Siberian Crane,sibcra1,322122671,FALSE,Siberische Witte Kraanvogel
Antigone canadensis,Sandhill Crane,sancra,539731,TRUE,Canadese kraanvogel
Antigone vipio,White-naped Crane,whncra1,203932671,FALSE,Witnekkraanvogel
Antigone antigone,Sarus Crane,sarcra1,204024641,TRUE,Saruskraanvogel
Antigone rubicunda,Brolga,brolga1,26960611,TRUE,Brolgakraanvogel
Bugeranus carunculatus,Wattled Crane,watcra2,21371401,FALSE,Lelkraanvogel
Anthropoides paradiseus,Blue Crane,blucra2,203933071,FALSE,Stanleys Kraanvogel
Anthropoides virgo,Demoiselle Crane,demcra1,203926171,TRUE,Jufferkraanvogel
Grus japonensis,Red-crowned Crane,reccra1,21722401,TRUE,Chinese kraanvogel
Grus americana,Whooping Crane,whocra,267590321,TRUE,Trompetkraanvogel
Grus grus,Common Crane,comcra,205661,TRUE,Kraanvogel
Grus monacha,Hooded Crane,hoocra1,203932651,FALSE,Monnikskraanvogel
Grus nigricollis,Black-necked Crane,blncra1,423563901,FALSE,Zwarthalskraanvogel
SPHENISCIFORMES,,,,FALSE,
SPHENISCIDAE,Penguins,,,FALSE,
Aptenodytes patagonicus,King Penguin,kinpen1,203899321,FALSE,Koningspinguïn
Aptenodytes forsteri,Emperor Penguin,emppen1,388782961,FALSE,Keizerspinguïn
Pygoscelis papua,Gentoo Penguin,genpen1,203973661,FALSE,Ezelspinguïn
Pygoscelis adeliae,Adelie Penguin,adepen1,196607,FALSE,Adéliepinguïn
Pygoscelis antarcticus,Chinstrap Penguin,chipen2,51673,FALSE,Stormbandpinguïn
Eudyptes schlegeli,Royal Penguin,roypen1,31642031,FALSE,Schlegels Pinguïn
Eudyptes chrysolophus,Macaroni Penguin,macpen1,204017071,FALSE,Macaronipinguïn
Eudyptes moseleyi,Northern Rockhopper Penguin,rocpen4,,FALSE,Noordelijke Rotspinguïn
Eudyptes chrysocome,Western Rockhopper Penguin,rocpen2,203972091,TRUE,Westelijke rotspinguïn
Eudyptes sclateri,Erect-crested Penguin,bicpen1,364966691,FALSE,Grote Kuifpinguïn
Eudyptes pachyrhynchus,Fiordland Penguin,fiopen1,373472291,FALSE,Fjordlandkuifpinguïn
Eudyptes robustus,Snares Penguin,snapen1,141401,FALSE,Snareskuifpinguïn
Megadyptes antipodes,Yellow-eyed Penguin,yeepen1,203919671,TRUE,Geeloogpinguïn
Eudyptula minor,Little Penguin,litpen1,274612851,TRUE,Dwergpinguïn
E. m. albosignata,White-flippered Penguin,,,FALSE,
Spheniscus demersus,African Penguin,jacpen1,563556521,FALSE,Zwartvoetpinguïn
Spheniscus magellanicus,Magellanic Penguin,magpen1,203973671,FALSE,Magelhaenpinguïn
Spheniscus humboldti,Humboldt Penguin,humpen1,462845251,FALSE,Humboldtpinguïn
Spheniscus mendiculus,Galapagos Penguin,galpen1,237483,FALSE,Galápagospinguïn
OTIDIFORMES,North Island Adzebill,,,FALSE,
OTIDIDAE,Bustards,,,FALSE,
Tetrax tetrax,Little Bustard,litbus1,203900211,TRUE,Kleine trap
Otis tarda,Great Bustard,grebus1,613266669,FALSE,Grote Trap
Chlamydotis undulata,African Houbara,houbus1,,FALSE,Westelijke kraagtrap
Chlamydotis macqueenii,Asian Houbara,macbus1,630567395,FALSE,Oostelijke Kraagtrap
Lissotis hartlaubii,Hartlaub's Bustard,harbus2,2905,FALSE,Hartlaubs Trap
Lissotis melanogaster,Black-bellied Bustard,bkbbus1,612461994,FALSE,Zwartbuiktrap
Neotis ludwigii,Ludwig's Bustard,ludbus1,,FALSE,Ludwigs Trap
Neotis denhami,Denham's Bustard,stabus1,,FALSE,Denhams Trap
Neotis heuglinii,Heuglin's Bustard,heubus1,621304890,FALSE,Heuglins Trap
Neotis nuba,Nubian Bustard,nubbus1,,FALSE,Nubische Trap
Ardeotis arabs,Arabian Bustard,arabus1,21725621,FALSE,Arabische Trap
Ardeotis kori,Kori Bustard,korbus1,31373311,FALSE,Koritrap
Ardeotis nigriceps,Great Indian Bustard,indbus1,287143091,TRUE,Indische trap
PROCELLARIIFORMES,,,,FALSE,
OCEANITIDAE,Southern Storm-petrels,,,FALSE,Oceanitidae/Hydrobatidae sp.
Oceanites oceanicus,Wilson's Storm-petrel,wispet,51676,TRUE,Wilsons stormvogeltje
Oceanites gracilis,White-vented Storm-petrel,wvspet1,613219105,FALSE,Sierlijk Stormvogeltje
Oceanites pincoyae,Pincoya Storm-petrel,pumstp1,614566913,FALSE,Pincoyastormvogeltje
Garrodia nereis,Grey-backed Storm-petrel,gybstp1,,FALSE,Grijsrugstormvogeltje
Pelagodroma marina,White-faced Storm-petrel,wfspet,219057791,FALSE,Bont Stormvogeltje
Fregetta grallaria,White-bellied Storm-petrel,wbspet1,,FALSE,Witbuikstormvogeltje/Zwartbuikstormvogeltje
Fregetta tropica,Black-bellied Storm-petrel,bbspet1,614852182,FALSE,Zwartbuikstormvogeltje
Fregetta maoriana,New-Zealand Storm-petrel,nezstp1,633945721,FALSE,Nieuw-Zeelands Stormvogeltje
Nesofregetta fuliginosa,Polynesian Storm-petrel,pospet1,569038891,FALSE,Witkeelstormvogeltje
Pterodroma cookii,Cook's Petrel,coopet,978,FALSE,Cookstormvogel
Pterodroma pycrofti,Pycroft's Petrel,pycpet1,340748951,FALSE,Pycrofts Stormvogel
Pterodroma hypoleuca,Bonin Petrel,bonpet,486068291,FALSE,Boninstormvogel
Pterodroma nigripennis,Black-winged Petrel,bkwpet,167513,FALSE,Zwartvleugelstormvogel
Pterodroma axillaris,Chatham Petrel,chapet1,,FALSE,Chathamstormvogel
Pterodroma ultima,Murphy's Petrel,murpet,203897671,FALSE,Murphy's Stormvogel
Pterodroma solandri,Providence Petrel,solpet1,620273915,FALSE,Solanders Stormvogel
Pterodroma neglecta,Kermadec Petrel,kerpet,260508441,FALSE,Kermadecstormvogel
Pterodroma arminjoniana,Trinidade Petrel,tripet1,72149,FALSE,Arminjons stormvogel
Pterodroma heraldica,Herald Petrel,herpet2,636005232,FALSE,Salvinstormvogel
Pterodroma atrata,Henderson Petrel,henpet1,203895381,FALSE,Hendersonstormvogel
Pterodroma alba,Phoenix Petrel,phopet1,569031111,FALSE,Phoenixstormvogel
Pterodroma baraui,Barau's Petrel,barpet1,,FALSE,Baraus Stormvogel
Pterodroma inexpectata,Mottled Petrel,motpet,203919741,FALSE,Regenstormvogel
Pterodroma sandwichensis,Hawaiian Petrel,hawpet1,480511531,FALSE,Hawaiistormvogel
Pterodroma phaeopygia,Galapagos Petrel,galpet,89584,FALSE,Galápagosstormvogel/Hawaiistormvogel
Pterodroma cervicalis,White-necked Petrel,whnpet,,FALSE,Kermadec-witnekstormvogel
Pterodroma externa,Juan Fernandez Petrel,jufpet,650725737,FALSE,Masafuerastormvogel/Withalsstormvogel
Pterodroma mollis,Soft-plumaged Petrel,soppet1,293209481,FALSE,Donsstormvogel
Pterodroma cahow,Bermuda Petrel,berpet,223921,FALSE,Bermudastormvogel
Pterodroma hasitata,Black-capped Petrel,bkcpet,139296,FALSE,Zwartkapstormvogel
Pterodroma caribbaea,Jamaican Petrel,bkcpet2,,FALSE,Jamaicaanse Stormvogel
Pterodroma feae,Cape Verde Petrel,feapet3,499766051,FALSE,Kaapverdische stormvogel/Desertasstormvogel
Pterodroma deserta,Desertas Petrel,feapet2,,FALSE,Desertastormvogel
Pterodroma madeira,Zino's Petrel,madpet,486929031,FALSE,Freira
Pterodroma magentae,Magenta Petrel,magpet1,,TRUE,Magentastormvogel
Pterodroma incerta,Atlantic Petrel,atlpet1,,FALSE,Schlegels Stormvogel
Pterodroma lessoni,White-headed Petrel,whhpet1,,FALSE,Witkopstormvogel
Pterodroma macroptera,Great-winged Petrel,grwpet3,646514008,FALSE,Langvleugelstormvogel/Grijsmaskerstormvogel
Pterodroma gouldi,Grey-faced Petrel,grwpet2,337646331,FALSE,Grijsmaskerstormvogel
Procellaria cinerea,Grey Petrel,grapet,102179,FALSE,Bruine Stormvogel
Procellaria aequinoctialis,White-chinned Petrel,whcpet1,204018371,FALSE,Witkinstormvogel
Procellaria conspicillata,Spectacled Petrel,spepet1,,FALSE,Brilstormvogel
Procellaria westlandica,Westland Petrel,wespet1,973,FALSE,Westlandstormvogel
Procellaria parkinsoni,Black Petrel,parpet1,203926781,FALSE,Zwarte stormvogel
Ardenna pacifica,Wedge-tailed Shearwater,wetshe,1805,FALSE,Wigstaartpijlstormvogel
Ardenna bulleri,Buller's Shearwater,bulshe,642289063,FALSE,Bullers Pijlstormvogel
Ardenna tenuirostris,Short-tailed Shearwater,shtshe,23705881,FALSE,Dunbekpijlstormvogel
Ardenna grisea,Sooty Shearwater,sooshe,411503791,FALSE,Grauwe Pijlstormvogel
Ardenna gravis,Great Shearwater,greshe,631614974,FALSE,Grote Pijlstormvogel
Ardenna carneipes,Flesh-footed Shearwater,flfshe,83329251,FALSE,Australische Grote Pijlstormvogel
Ardenna creatopus,Pink-footed Shearwater,pifshe,251662431,FALSE,Chileense grote pijlstormvogel
Calonectris leucomelas,Streaked Shearwater,strshe,640562711,FALSE,Gestreepte Pijlstormvogel
Calonectris diomedea,Scopoli's Shearwater,scoshe1,203889001,FALSE,Kuhls Pijlstormvogel/Kaapverdische Pijlstormvogel
Calonectris borealis,Cory's Shearwater,corshe1,395441421,FALSE,Kuhls Pijlstormvogel/Kaapverdische Pijlstormvogel
Calonectris edwardsii,Cape Verde Shearwater,cavshe1,548629261,FALSE,Kaapverdische Pijlstormvogel
Puffinus nativitatis,Christmas Shearwater,chrshe,486349651,FALSE,Kleine Wigstaartpijlstormvogel
Puffinus subalaris,Galapagos Shearwater,audshe3,167090471,FALSE,Galápagospijlstormvogel
Puffinus gavia,Fluttering Shearwater,flushe1,364540941,FALSE,Vlinderpijlstormvogel
Puffinus huttoni,Hutton's Shearwater,hutshe1,997,FALSE,Huttons Pijlstormvogel
Puffinus opisthomelas,Black-vented Shearwater,bkvshe,407551811,FALSE,Zwartbuikpijlstormvogel
Puffinus bryani,Bryan's Shearwater,bryshe1,,FALSE,Bryans Pijlstormvogel
Puffinus newelli,Newell's Shearwater,towshe2,352724641,FALSE,Newells Pijlstormvogel/Puffinus myrtae
Puffinus auricularis,Townsend's Shearwater,towshe1,450757401,FALSE,Townsendpijlstormvogel
Puffinus bailloni,Tropical Shearwater,troshe5,566340151,FALSE,Tropische pijlstormvogel
Puffinus persicus,Persian Shearwater,pershe1,,FALSE,Perzische Kleine Pijlstormvogel
Puffinus bannermani,Bannerman's Shearwater,troshe4,,FALSE,Bannermans Pijlstormvogel
Puffinus puffinus,Manx Shearwater,manshe,540155541,TRUE,Noordse pijlstormvogel
Puffinus yelkouan,Mediterranean Shearwater,levshe1,310771,TRUE,Yelkouanpijlstormvogel
Puffinus mauretanicus,Balearic Shearwater,balshe1,513102161,FALSE,Vale pijlstormvogel
Puffinus elegans,Subantarctic Shearwater,litshe4,647560772,FALSE,Subantarctische kleine pijlstormvogel
Puffinus assimilis,Little Shearwater,litshe8,364541351,FALSE,Pacifische kleine pijlstormvogel
Puffinus lherminieri,Audubon's Shearwater,audshe,42998,FALSE,Audubonpijlstormvogel
P. l. baroli,Macaronesian Shearwater,,,FALSE,
Puffinus heinrothi,Heinroth's Shearwater,heishe1,,FALSE,Heinroths Pijlstormvogel
Pseudobulweria macgillivrayi,Fiji Petrel,fijpet1,,FALSE,MacGillivrays Stormvogel
Pseudobulweria aterrima,Mascarene Petrel,maspet1,645939935,FALSE,Maskarenenstormvogel
Pseudobulweria becki,Beck's Petrel,becpet1,,FALSE,Becks Stormvogel
Pseudobulweria rostrata,Tahiti Petrel,tahpet1,644101393,FALSE,Tahitistormvogel
Bulweria bulwerii,Bulwer's Petrel,bulpet,969,FALSE,Bulwers stormvogel
Bulweria fallax,Jouanin's Petrel,joupet,,FALSE,Jouanins Stormvogel
†Bulweria bifax,Small St Helena Petrel,,,FALSE,
Pelecanoides garnotii,Peruvian Diving-petrel,pedpet1,85076351,FALSE,Chileens Alkstormvogeltje
Pelecanoides magellani,Magellanic Diving-petrel,madpet1,616124707,FALSE,Magelhaenalkstormvogeltje
Pelecanoides georgicus,South Georgia Diving-petrel,sgdpet1,,FALSE,Zuid-Georgisch Alkstormvogeltje
Pelecanoides urinatrix,Common Diving-petrel,codpet1,360506441,FALSE,Alkstormvogeltje
HYDROBATIDAE,Northern Storm-petrels,,,FALSE,Oceanitidae/Hydrobatidae sp.
Hydrobates pelagicus,European Storm-petrel,bripet,639707083,FALSE,Stormvogeltje
H.p. pelagicus,European Storm-petrel,bripet,639707083,FALSE,
H. p. melitensis,Mediterranean Storm-petrel,,,FALSE,
Hydrobates castro,Band-rumped Storm-petrel,barpet,631411075,FALSE,Madeirastormvogeltje
Hydrobates monteiroi,Monteiro's Storm-petrel,monstp1,639768310,FALSE,Monteiro's Stormvogeltje
Hydrobates matsudairae,Matsudaira's Storm-petrel,maspet2,,FALSE,Japans Stormvogeltje
Hydrobates melania,Black Storm-petrel,bkspet,138130,FALSE,Zwart stormvogeltje
Hydrobates homochroa,Ashy Storm-petrel,asspet,185056821,FALSE,Californisch Stormvogeltje
Hydrobates microsoma,Least Storm-petrel,lsspet,138122,FALSE,Dwergstormvogeltje
Hydrobates tethys,Wedge-rumped Storm-petrel,wrspet,614442214,FALSE,Galápagosstormvogeltje
Hydrobates leucorhous,Leach's Storm-petrel,lcspet,120441,FALSE,Vaal stormvogeltje
Hydrobates monorhis,Swinhoe's Storm-petrel,swspet,190995891,FALSE,Chinees stormvogeltje
Hydrobates macrodactylus,Guadalupe Storm-petrel,guspet,,FALSE,Guadalupestormvogeltje
Hydrobates tristrami,Tristram's Storm-petrel,trspet,627887459,FALSE,Tristrams Stormvogeltje
