Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,fr
Chrysococcyx klaas,Klaas's Cuckoo,klacuc1,8203,FALSE,Coucou de Klaas
Chrysococcyx cupreus,African Emerald Cuckoo,afecuc1,51431,FALSE,Coucou foliotocol
Chrysococcyx caprius,Diederik Cuckoo,didcuc1,8593,FALSE,Coucou didric
Cacomantis castaneiventris,Chestnut-breasted Cuckoo,chbcuc3,204010961,FALSE,Coucou à poitrine rousse
Cacomantis flabelliformis,Fan-tailed Cuckoo,fatcuc1,123962531,FALSE,Coucou à éventail
Cacomantis sonneratii,Banded Bay Cuckoo,babcuc2,234136261,FALSE,Coucou de Sonnerat
Cacomantis merulinus,Plaintive Cuckoo,placuc1,169228561,FALSE,Coucou plaintif ou C. à tête grise
Cacomantis passerinus,Grey-bellied Cuckoo,placuc3,326554521,FALSE,Coucou à tête grise
Cacomantis variolosus,Brush Cuckoo,brucuc3,627159029,FALSE,Coucou des buissons ou C. endeuillé [incl. heinrichi]
Cacomantis aeruginosus,Moluccan Cuckoo,molcuc1,615678054,FALSE,Coucou de Heinrich
Heteroscenes pallidus,Pallid Cuckoo,palcuc1,647554498,FALSE,Coucou pâle
Caliechthrus leucolophus,White-crowned Cuckoo,whckoe1,203961631,FALSE,Coucou à calotte blanche
Cercococcyx mechowi,Dusky Long-tailed Cuckoo,dltcuc1,94100,FALSE,Coucou de Mechow
Cercococcyx olivinus,Olive Long-tailed Cuckoo,oltcuc1,203974571,FALSE,Coucou olivâtre
Cercococcyx montanus,Barred Long-tailed Cuckoo,bltcuc1,56526011,FALSE,Coucou montagnard
Surniculus dicruroides,Fork-tailed Drongo-cuckoo,asidrc2,358179801,FALSE,Coucou à queue fourchue [incl. stewarti excl. barussarum]
Surniculus lugubris,Square-tailed Drongo-cuckoo,asidrc3,203489841,FALSE,Coucou surnicou ou C. velouté
Surniculus velutinus,Philippine Drongo-cuckoo,phidrc1,203894541,FALSE,Coucou velouté
Surniculus musschenbroeki,Moluccan Drongo-cuckoo,asidrc4,700485,FALSE,Coucou des Moluques
Hierococcyx bocki,Dark Hawk-cuckoo,larhac1,637366088,FALSE,Coucou de Bock
Hierococcyx sparverioides,Large Hawk-cuckoo,larhac2,240963151,FALSE,Coucou épervier ou C. de Bock
Hierococcyx varius,Common Hawk-cuckoo,cohcuc1,284331471,FALSE,Coucou shikra
Hierococcyx vagans,Moustached Hawk-cuckoo,mohcuc1,203968431,FALSE,Coucou à moustaches
Hierococcyx nisicolor,Whistling Hawk-cuckoo,hodhac1,323493911,FALSE,Coucou fugitif ou C. de Chine
Hierococcyx fugax,Malay Hawk-cuckoo,malhac1,463856681,FALSE,Coucou fugitif ou C. des Philippines
Hierococcyx hyperythrus,Northern Hawk-cuckoo,nohcuc1,204001471,FALSE,Coucou de Chine
Hierococcyx pectoralis,Philippine Hawk-cuckoo,phhcuc1,203894591,FALSE,Coucou des Philippines
Cuculus crassirostris,Sulawesi Cuckoo,suhcuc1,700483,FALSE,Coucou des Célèbes
Cuculus solitarius,Red-chested Cuckoo,reccuc1,8273,FALSE,Coucou solitaire
Cuculus clamosus,Black Cuckoo,blacuc1,203948581,FALSE,Coucou criard
Cuculus micropterus,Indian Cuckoo,indcuc1,244271771,FALSE,Coucou à ailes courtes
Cuculus canorus,Common Cuckoo,comcuc,144060371,TRUE,Coucou gris
Cuculus gularis,African Cuckoo,afrcuc1,277813,FALSE,Coucou africain
Cuculus saturatus,Oriental Cuckoo,himcuc1,203902361,FALSE,Coucou de l'Himalaya C. oriental ou C. de la Sonde
Cuculus lepidus,Sunda Cuckoo,suncuc2,609673058,FALSE,Coucou de la Sonde
CUCULIFORMES,,,,FALSE,
CUCULIDAE,Cuckoos,,,FALSE,Cuculidé sp.
Crotophaga major,Greater Ani,greani1,300752,FALSE,Ani des palétuviers
Crotophaga ani,Smooth-billed Ani,smbani,265597421,TRUE,Ani à bec lisse
Crotophaga sulcirostrist,Groove-billed Ani,grbani,140225,FALSE,
Guira guira,Guira Cuckoo,guicuc1,216440,FALSE,Guira cantara
Tapera naevia,American Striped Cuckoo,strcuc1,410689341,FALSE,Géocoucou tacheté
Dromococcyx phasianellus,Pheasant Cuckoo,phecuc1,211973891,FALSE,Géocoucou faisan
Dromococcyx pavoninus,Pavonine Cuckoo,pavcuc1,362843521,FALSE,Géocoucou pavonin
Morococcyx erythropygus,Lesser Ground-cuckoo,legcuc1,177641251,FALSE,Géocoucou de Lesson
Geococcyx velox,Lesser Roadrunner,lesroa1,41271831,FALSE,Géocoucou véloce
Geococcyx californianus,Greater Roadrunner,greroa,256178591,TRUE,Grand géocoucou
Neomorphus geoffroyi,Rufous-vented Ground-cuckoo,rvgcuc1,306543181,FALSE,Géocoucou de Geoffroy ou G. écaillé
Neomorphus radiolosus,Banded Ground-cuckoo,bagcuc1,648913142,FALSE,Géocoucou barré
Neomorphus rufipennis,Rufous-winged Ground-cuckoo,rwgcuc1,384677891,FALSE,Géocoucou à ailes rousses
Neomorphus pucheranii,Red-billed Ground-cuckoo,rbgcuc1,614325199,FALSE,Géocoucou de Pucheran
†Coua delalandei,Snail-eating Coua,snecou1,,FALSE,
Coua gigas,Giant Coua,giacou1,203978911,FALSE,Coua géant
Coua coquereli,Coquerel's Coua,coqcou1,95476,FALSE,Coua de Coquerel
Coua serriana,Red-breasted Coua,rebcou1,203968581,FALSE,Coua de Serrès
Coua reynaudii,Red-fronted Coua,refcou1,503959221,FALSE,Coua de Reynaud
Coua cursor,Running Coua,runcou1,646454620,FALSE,Coua coureur
Coua ruficeps,Red-capped Coua,reccou2,95560,FALSE,Coua à tête rousse ou C. à tête olive
Coua olivaceiceps,Olive-capped Coua,reccou3,203930591,FALSE,Coua à tête olive
Coua cristata,Crested Coua,crecou1,100024,FALSE,Coua huppé
Coua pyropyga,Chestnut-vented Coua,,,FALSE,Coua huppé (pyropyga)
Coua verreauxi,Verreaux's Coua,vercou1,502290111,FALSE,Coua de Verreaux
Coua caerulea,Blue Coua,blucou1,93557,FALSE,Coua bleu
Carpococcyx radiceus,Bornean Ground-cuckoo,bogcuc1,203953801,FALSE,Calobate radieux ou C. de Sumatra
Carpococcyx viridis,Sumatran Ground-cuckoo,sugcuc1,641636661,FALSE,Calobate de Sumatra
Carpococcyx renauldi,Coral-billed Ground-cuckoo,cbgcuc1,428444651,FALSE,Calobate d'Annam
Centropus milo,Buff-headed Coucal,buhcou1,203910191,FALSE,Coucal à tête fauve
Centropus ateralbus,Pied Coucal,piecou1,203994681,FALSE,Coucal atralbin
Centropus menbeki,Ivory-billed Coucal,grbcou1,203987971,FALSE,Coucal mênebiki
Centropus chalybeus,Biak Coucal,biacou1,203997211,FALSE,Coucal de Biak
Centropus unirufus,Rufous Coucal,rufcou1,203999891,FALSE,Coucal roux
Centropus chlororhynchus,Green-billed Coucal,grbcou2,204000631,FALSE,Coucal de Ceylan
Centropus melanops,Black-faced Coucal,blfcou1,203894331,FALSE,Coucal à face noire
Centropus steerii,Black-hooded Coucal,blhcou1,555871721,FALSE,Coucal de Steere
Centropus rectunguis,Short-toed Coucal,shtcou1,636991204,FALSE,Coucal de Strickland
Centropus celebensis,Bay Coucal,baycou1,203909081,FALSE,Coucal des Célèbes
Centropus anselli,Gabon Coucal,gabcou1,609157444,FALSE,Coucal du Gabon
Centropus leucogaster,Black-throated Coucal,bltcou1,204006961,FALSE,Coucal à ventre blanc
Centropus senegalensis,Senegal Coucal,sencou1,203961431,FALSE,Coucal du Sénégal
Centropus monachus,Blue-headed Coucal,blhcou2,1358,FALSE,Coucal à nuque bleue ou C. des papyrus
Centropus cupreicaudus,Coppery-tailed Coucal,cotcou1,597814511,FALSE,Coucal des papyrus
Centropus superciliosus,White-browed Coucal,whbcou2,8579,FALSE,Coucal à sourcils blancs ou C. de Burchell
Centropus nigrorufus,Javan Coucal,suncou1,525811741,FALSE,Coucal noirou
Centropus sinensis,Greater Coucal,grecou1,407541021,FALSE,Grand Coucal ou C. des Andaman
Centropus andamanensis,Andaman Coucal,andcou1,203955261,FALSE,Coucal des Andaman
Centropus goliath,Goliath Coucal,golcou1,203906651,FALSE,Coucal goliath
Centropus toulou,Madagascar Coucal,madcou1,203970171,FALSE,Coucal noir ou C. rufin
Centropus grillii,Black Coucal,blacou1,3084,FALSE,Coucal noir
Centropus viridis,Philippine Coucal,phicou1,203999661,FALSE,Coucal vert
Centropus bengalensis,Lesser Coucal,lescou1,249865961,FALSE,Coucal rufin
Centropus violaceus,Violaceous Coucal,viocou1,203976811,FALSE,Coucal violet
Centropus bernsteini,Black-billed Coucal,lebcou1,251041021,FALSE,Coucal de Bernstein
Centropus phasianinus,Pheasant Coucal,phecou2,233567,TRUE,Coucal Faisan
Centropus spilopterus,Kai Coucal,,,FALSE,Coucal faisan (spilopterus)
Rhinortha chlorophaea,Raffles's Malkoha,rafmal1,541541851,FALSE,Malcoha de Raffles
Ceuthmochares aereus,Chattering Yellowbill,yellow5,434335841,FALSE,Malcoha à bec jaune ou M. austral
Ceuthmochares australis,Whistling Yellowbill,yellow6,211153291,FALSE,Malcoha à bec jaune (aereus)
Taccocua leschenaultii,Sirkeer Malkoha,sirmal1,371776741,FALSE,Malcoha sirkir
Zanclostomus javanicus,Red-billed Malkoha,rebmal2,626123229,FALSE,Malcoha javanais
Phaenicophaeus pyrrhocephalus,Red-faced Malkoha,refmal1,223439,FALSE,Malcoha à face rouge
Phaenicophaeus viridirostris,Blue-faced Malkoha,blfmal1,276002481,FALSE,Malcoha à bec vert
Phaenicophaeus diardi,Black-bellied Malkoha,blbmal1,71314,FALSE,Malcoha de Diard
Phaenicophaeus sumatranus,Chestnut-bellied Malkoha,chbmal1,391945241,FALSE,Malcoha à ventre roux
Phaenicophaeus tristis,Green-billed Malkoha,grbmal1,204016461,FALSE,Malcoha sombre
Phaenicophaeus curvirostris,Chestnut-breasted Malkoha,chbmal2,616241705,FALSE,Malcoha rouverdin
Phaenicophaeus oeneicaudus,Mentawai Malkoha,chbmal3,101923871,FALSE,Malcoha rouverdin (oeneicaudus)
Dasylophus superciliosus,Red-crested Malkoha,recmal1,202345281,FALSE,Malcoha à sourcils rouges
Lepidogrammus cumingi,Scale-feathered Malkoha,scfmal1,282684261,FALSE,Malcoha frisé
Rhamphococcyx calyorhynchus,Yellow-billed Malkoha,yebmal1,640716477,FALSE,Malcoha à bec peint
Cuculus poliocephalus,Lesser Cuckoo,lescuc1,168997341,FALSE,Petit Coucou ou C. de Madagascar
Cuculus rochii,Madagascar Cuckoo,madcuc1,203951991,FALSE,Coucou de Madagascar
Hypotaenidia torquata,Barred Rail,barrai1,203893411,FALSE,Râle à collier
Hypotaenidia insignis,New Britail Rail,,,FALSE,Râle de Nouvelle-Bretagne
†Hypotaenidia poeciloptera,Bar-winged Rail,bawrai1,,FALSE,
Hypotaenidia tertia,Bougainville Rail,,,FALSE,Râle de Woodford (tertius)
Hypotaenidia immaculata,Santa Isabel Rail,,,FALSE,Râle de Woodford (immaculatus)
Hypotaenidia woodfordi,Guadalcanal Rail,,,FALSE,Râle de Woodford
Hypotaenidia rovianae,Roviana Rail,rovrai1,,FALSE,Râle roviana
Hypotaenidia owstoni,Guam Rail,guarai1,533472181,FALSE,Râle de Guam
†Hypotaenidia wakensis,Wake Rail,,,FALSE,
†Hypotaenidia dieffenbachii,Dieffenbach's Rail,dierai1,,FALSE,
Hypotaenidia sylvestris,Lord Howe Woodhen,,,FALSE,Râle sylvestre
Hypotaenidia philippensis,Buff-banded Rail,bubrai1,275668211,FALSE,Râle tiklin ou R. roviana
†Hypotaenidia pacifica,Tahiti Rail,tahrai1,,FALSE,
Dryolimnas cuvieri,White-throated Rail,whtrai1,93687,FALSE,Râle de Cuvier
†Dryolimnas augusti,Reunion Rail,reurai1,,FALSE,
Crex egregia,African Crake,afrcra1,81483851,FALSE,Râle des prés
Crex crex,Corncrake,corcra,237871791,FALSE,Râle des genêts
Rougetius rougetii,Rouget's Rail,rourai1,642157786,FALSE,Râle de Rouget
Mundia elpenor,St Helena Crake,asccra1,,FALSE,Râle de l'Ascension
†Atlantisia podarces,Inaccessible Rail,,,FALSE,
Atlantisia rogersi,Inaccessible Rail,,,FALSE,Râle atlantis
Aramides ypecaha,Giant Wood-rail,giwrai1,173660121,FALSE,Râle ypécaha
Aramides wolfi,Brown Wood-rail,brwrai1,650930550,FALSE,Râle de Wolf
Aramides mangle,Little Wood-rail,liwrai1,235037781,FALSE,Râle des palétuviers
Aramides cajaneus,Grey-necked Wood-rail,gycwor1,2306,FALSE,Râle de Cayenne ou R. à ventre blanc
Aramides axillaris,Rufous-necked Wood-rail,rnwrai1,132338891,FALSE,Râle à cou roux
Aramides calopterus,Red-winged Wood-rail,rwwrai1,,FALSE,Râle à ailes rouges
Aramides saracura,Slaty-breasted Wood-rail,sbwrai1,408793251,FALSE,Râle saracura
Amaurolimnas concolor,Uniform Crake,unicra1,203931831,FALSE,Râle concolore
Cyanolimnas cerverai,Zapata Rail,zaprai1,,FALSE,Râle de Zapata
Neocrex colombiana,Colombian Crake,colcra2,,FALSE,Râle de Colombie
Neocrex erythrops,Paint-billed Crake,pabcra,281088611,FALSE,Râle à bec peint ou R. de Colombie
Pardirallus maculatus,Spotted Rail,sporai,486677801,FALSE,Râle tacheté
Pardirallus nigricans,Blackish Rail,blarai1,323816731,FALSE,Râle noirâtre
Pardirallus sanguinolentus,Plumbeous Rail,plurai1,31909,FALSE,Râle à bec ensanglanté
Gymnocrex rosenbergii,Bald-faced Rail,bafrai2,,FALSE,Râle de Rosenberg
Gymnocrex talaudensis,Talaud Rail,talrai1,,FALSE,Râle des Talaud
Gymnocrex plumbeiventris,Bare-eyed Rail,baerai1,182359,FALSE,Râle à ventre gris
Hapalocrex flaviventer,Yellow-breasted Crake,yebcra1,84256751,FALSE,Marouette à sourcils blancs
Porzana fasciata,Black-banded Crake,blbcra1,31399941,FALSE,Râle fascié
Porzana spiloptera,Dot-winged Crake,dowcra1,612246615,FALSE,Marouette maillée
Porzana albicollis,Ash-throated Crake,astcra1,99135181,FALSE,Râle plombé
Porzana carolina,Sora,sora,234407911,FALSE,Marouette de Caroline
Porzana porzana,Spotted Crake,spocra1,252565531,FALSE,Marouette ponctuée
Porzana fluminea,Australian Crake,auscra1,193897861,FALSE,Marouette d'Australie
Zapornia fusca,Ruddy-breasted Crake,rubcra1,643602129,FALSE,Marouette brune
Zapornia paykullii,Band-bellied Crake,babcra1,44671811,FALSE,Marouette mandarin
Zapornia akool,Brown Crake,brocra1,626690358,FALSE,Marouette akool
Zapornia flavirostra,Black Crake,blacra1,203935551,FALSE,Marouette à bec jaune
Zapornia parva,Little Crake,litcra1,311053011,FALSE,Marouette poussin
Zapornia pusilla,Baillon's Crake,baicra1,483230031,FALSE,Marouette de Baillon
†Zapornia astrictocarpus,St Helena Rail,,,FALSE,
†Zapornia palmeri,Laysan Rail,layrai,,FALSE,
Zapornia olivieri,Sakalava Rail,sakrai1,203985871,FALSE,Marouette d'Olivier
Zapornia bicolor,Black-tailed Crake,bltcra1,203925461,FALSE,Marouette bicolore
†Zapornia sandwichensis,Hawaiian Rail,hawrai,,FALSE,
†Zapornia nigra,Miller's Rail,milrai1,,FALSE,
Zapornia atra,Henderson Crake,heicra1,203895361,FALSE,Marouette de Henderson
Zapornia tabuensis,Spotless Crake,spocra2,203999161,TRUE,Marouette Fuligineuse
†Zapornia monasa,Kosrae Crake,koscra1,,FALSE,
Amaurornis isabellina,Isabelline Bush-hen,isabuh1,204012791,FALSE,Râle isabelle
Amaurornis olivacea,Plain Bush-hen,plabuh1,30137171,FALSE,Râle des Philippines ou R. à gros bec
Amaurornis magnirostris,Talaud Bush-hen,talbuh1,203893281,FALSE,Râle à gros bec
Amaurornis moluccana,Pale-vented Bush-hen,rutbuh1,203886861,FALSE,Râle des Moluques
Amaurornis phoenicurus,White-breasted Waterhen,whbwat1,596624031,FALSE,Râle à poitrine blanche ou R. des Philippines
Amaurornis cinerea,White-browed Crake,whbcra1,346434421,FALSE,Râle cendré
Amaurornis marginalis,Striped Crake,strcra1,650574370,FALSE,Marouette ponctuée
Megacrex inepta,New Guinea Flightless Rail,ngfrai1,,FALSE,Râle géant
Gallicrex cinerea,Watercock,waterc1,369434801,FALSE,Râle à crête
Porphyrio porphyrio,Purple Swamphen,purswa1,356004491,FALSE,Talève sultane
P. p. madagascariensis,African Swamphen,purswa2,137584541,FALSE,
P. p. poliocephalus,Grey-headed Swamphen,,,FALSE,
†Porphyrio albus,White Swamphen,,,FALSE,
†Porphyrio paepae,Marquesan Swamphen,marswa1,,FALSE,
†Porphyrio kukwiedei,New Caledonia Gallinule,,,FALSE,
GRUIFORMES,,,,FALSE,
HELIORNITHIDAE,Finfoots,,,FALSE,
Podica senegalensis,African Finfoot,afrfin1,618612784,FALSE,Grébifoulque d'Afrique
Heliopais personata,Masked Finfoot,masfin3,,FALSE,Grébifoulque d'Asie
Heliornis fulica,Sungrebe,sungre1,203988221,TRUE,Grébifoulque d'Amérique
RALLIDAE,Rails Gallinules Coots,,,FALSE,Râle ou Marouette sp.
Sarothrura pulchra,White-spotted Flufftail,whsflu1,203965051,FALSE,Râle perlé
Sarothrura elegans,Buff-spotted Flufftail,busflu1,177489191,FALSE,Râle ponctué
Sarothrura rufa,Red-chested Flufftail,recflu1,177489341,FALSE,Râle à camail
Sarothrura lugens,Chestnut-headed Flufftail,chhflu1,24891,FALSE,Râle à tête rousse
Sarothrura boehmi,Streaky-breasted Flufftail,stbflu1,296704481,FALSE,Râle de Böhm
Sarothrura affinis,Striped Flufftail,strflu1,575772991,FALSE,Râle affin
Sarothrura insularis,Madagascar Flufftail,madflu1,506168581,FALSE,Râle insulaire
Sarothrura ayresi,White-winged Flufftail,whwflu1,,FALSE,Râle à miroir
Sarothrura watersi,Slender-billed Flufftail,slbflu1,97586,FALSE,Râle de Waters
Himantornis haematopus,Nkulengu Rail,nkurai1,203974551,FALSE,Râle à pieds rouges
Canirallus oculeus,Grey-throated Rail,gytrai1,613658922,FALSE,Râle à gorge grise
Mentocrex kioloides,Madagascar Wood-rail,madwor1,506168051,FALSE,Râle à gorge blanche ou R. des tsingy
Mentocrex beankaensis,Tsingy Wood-rail,tsiwor1,,FALSE,Râle des tsingy
Rallicula rubra,Chestnut Forest-rail,chfrai1,609065712,FALSE,Râle marron
Rallicula leucospila,White-striped Forest-rail,wsfrai1,203997101,FALSE,Râle vergeté R. de Forbes ou R. de Mayr
Rallicula forbesi,Forbes's Forest-rail,forrai1,100546,FALSE,Râle de Forbes
Rallicula mayri,Mayr's Forest-rail,mayrai1,139541,FALSE,Râle de Mayr
Rallina tricolor,Red-necked Crake,rencra1,480338501,FALSE,Râle tricolore
Rallina canningi,Andaman Crake,andcra1,224649011,FALSE,Râle des Andaman
Rallina fasciata,Red-legged Crake,relcra1,599026891,FALSE,Râle barré
Rallina eurizonoides,Slaty-legged Crake,sllcra1,203895951,FALSE,Râle de forêt
Coturnicops exquisitus,Swinhoe's Rail,swirai1,31429111,FALSE,Râle de Swinhoe
Coturnicops noveboracensis,Yellow Rail,yelrai,128195241,FALSE,Râle jaune ou R. de Swinhoe
Coturnicops notatus,Speckled Rail,sperai1,166734,FALSE,Râle étoilé
Micropygia schomburgkii,Ocellated Crake,ocecra1,424945081,FALSE,Râle ocellé
Rufirallus castaneiceps,Chestnut-headed Crake,chhcra1,203999581,FALSE,Râle à masque rouge
Rufirallus viridis,Russet-crowned Crake,ruccra1,203931201,FALSE,Râle kiolo
Laterallus melanophaius,Rufous-sided Crake,ruscra1,161530141,FALSE,Râle brunoir ou R. à menton blanc
Laterallus levraudi,Rusty-flanked Crake,rufcra2,454845621,FALSE,Râle de Levraud
Laterallus ruber,Ruddy Crake,rudcra1,224201931,FALSE,Râle roux
Laterallus albigularis,White-throated Crake,whtcra1,78967391,FALSE,Râle à menton blanc
Laterallus exilis,Grey-breasted Crake,grbcra1,203932211,FALSE,Râle grêle
Laterallus jamaicensis,Black Rail,blkrai,49998091,TRUE,Râle noir
Laterallus tuerosi,Junin Rail,,,FALSE,Râle noir (tuerosi)
Laterallus spilonota,Galapagos Rail,galrai1,203698271,FALSE,Râle des Galapagos
Laterallus leucopyrrhus,Red-and-white Crake,rawcra1,609184339,FALSE,Râle blanc et roux
Laterallus xenopterus,Rufous-faced Crake,rufcra1,499624321,FALSE,Râle de Conover
Rallus longirostris,Mangrove Rail,manrai1,406587451,FALSE,Râle tapageur ou R. de Wetmore
Rallus tenuirostris,Mexican Rail,kinrai2,470683061,FALSE,Râle du Mexique [incl. rhizophorae nayaritensis]
Rallus obsoletus,Ridgway's Rail,ridrai1,323622841,FALSE,Râle de Californie
Rallus elegans,King Rail,kinrai4,457670641,TRUE,Râle élégant
Rallus crepitans,Clapper Rail,clarai11,30326001,FALSE,Râle des mangroves R. tapageur ou R. de Californie [excl. rhizophorae nayaritensis]
Rallus wetmorei,Plain-flanked Rail,plfrai1,647207695,FALSE,Râle de Wetmore
Rallus limicola,Virginia Rail,virrai,45633,TRUE,Râle de Virginie ou R. de Bogota
Rallus semiplumbeous,Bogota Rail,bograi1,621180909,FALSE,Râle de Bogota
Rallus antarcticus,Austral Rail,ausrai1,28617701,FALSE,Râle austral
Rallus aquaticus,Western Water Rail,watrai1,203920771,FALSE,Râle d'eau ou R. à joues brunes
Rallus indicus,Eastern Water Rail,bncrai1,620128113,FALSE,Râle à joues brunes
Rallus caerulescens,African Rail,afrrai1,46083,FALSE,Râle bleuâtre
Rallus madagascariensis,Madagascar Rail,madrai1,360288161,FALSE,Râle de Madagascar
Aramidopsis plateni,Snoring Rail,plarai1,627891546,FALSE,Râle de Platen
Lewinia striata,Slaty-breasted Rail,slbrai1,375152391,FALSE,Râle strié
Lewinia mirifica,Brown-banded Rail,luzrai1,,FALSE,Râle de Luçon
Lewinia pectoralis,Lewin's Rail,lewrai1,27017081,FALSE,Râle à poitrine grise ou R. des Auckland
Lewinia muelleri,Auckland Rail,auirai1,,FALSE,Râle des Auckland
Habroptila wallacii,Drummer Rail,,,FALSE,Râle de Wallace
Gallirallus calayanensis,Calayan Rail,calrai1,203997481,FALSE,Râle de Calayan
Gallirallus lafresnayanus,New Caledonian Rail,necrai1,,FALSE,Râle de Lafresnaye
Gallirallus australis,Weka,weka1,117428871,TRUE,Râle wéka
†Diaphorapteryx hawkinsi,Hawkins's Rail,hawrai1,,FALSE,
†Aphanapteryx bonasia,Red Rail,redrai1,,FALSE,
†Erythromachus leguati,Rodrigues Rail,rodrai1,,FALSE,
Eulabeornis castaneoventris,Chestnut Rail,cherai1,620592500,FALSE,Râle à ventre roux
†Cabalus modestus,Chatam Rail,,,FALSE,
Hypotaenidia okinawae,Okinawa Rail,okirai1,203896011,FALSE,Râle d'Okinawa
Ardeotis australis,Australian Bustard,ausbus1,622865585,FALSE,Outarde d'Australie
Houbaropsis bengalensis,Bengal Florican,benflo2,616731084,TRUE,Outarde du Bengale
Sypheotides indicus,Lesser Florican,lesflo2,109115121,FALSE,Outarde passarage
Lophotis savilei,Savile's Bustard,savbus1,145542981,FALSE,Outarde de Savile
Lophotis gindiana,Buff-crested Bustard,bucbus1,615535305,FALSE,Outarde d'Oustalet
Lophotis ruficrista,Red-crested Bustard,recbus1,582445171,FALSE,Outarde houppette ou O. de Savile
Heterotetrax vigorsii,Karoo Bustard,karbus1,208765711,FALSE,Outarde de Vigors
Heterotetrax rueppellii,Rüppell's Bustard,ruebus1,203936711,FALSE,
Heterotetrax humilis,Little Brown Bustard,libbus1,635023062,FALSE,Outarde somalienne
Afrotis afra,Southern Black Bustard,blabus3,624906351,FALSE,Outarde korhaan ou O. à miroir blanc
Afrotis afraoides,Northern Black Bustard,whqbus1,194118891,FALSE,Outarde à miroir blanc
Eupodotis senegalensis,White-bellied Bustard,whbbus2,611584708,FALSE,Outarde du Sénégal
Eupodotis caerulescens,Blue Bustard,blubus1,208763191,FALSE,Outarde plombée
†Porphyrio caerulescens,Reunion Gallinule,reugal1,,FALSE,
†Porphyrio mantelli,Takahe,,,FALSE,
Porphyrio hochstetteri,South Island Takahe,takahe3,212043711,TRUE,Talève mohoau ou T. takahé
Porphyrio alleni,Allen's Gallinule,allgal1,649798707,FALSE,Talève d'Allen
Porphyrio martinicus,Purple Gallinule,purgal2,65208011,TRUE,Talève violacée
Porphyrio flavirostris,Azure Gallinule,azugal1,541223001,FALSE,Talève favorite
Pareudiastes silvestris,Makira Moorhen,sacmoo1,,FALSE,Gallinule d'Edith
Pareudiastes pacificus,Samoan Moorhen,sammoo1,,FALSE,Gallinule punaé
†Gallinula nesiotis,Tristan Moorhen,trimoo2,,FALSE,
Gallinula corneri,Gough Moorhen,trimoo3,204732,FALSE,
Gallinula chloropus,Common Moorhen,commoo3,203978971,TRUE,Gallinule poule-d'eau
Gallinula galeata,Common Gallinule,comgal1,152657871,FALSE,Gallinule poule-d'eau ou G. d'Amérique
Gallinula tenebrosa,Dusky Moorhen,dusmoo1,534241901,FALSE,Gallinule sombre
Gallinula angulata,Lesser Moorhen,lesmoo1,652241994,FALSE,Gallinule africaine
Gallinula melanops,Spot-flanked Gallinule,spfgal1,203988211,FALSE,Gallinule à face noire
Tribonyx ventralis,Black-tailed Native-hen,btnhen1,499295501,FALSE,Gallinule aborigène
†Tribonyx hodgenorum,Hodgen's Waterhen,hodwat1,,FALSE,
Tribonyx mortierii,Tasmanian Native-hen,tanhen1,2902,FALSE,Gallinule de Tasmanie
Fulica cristata,Red-knobbed Coot,rekcoo1,386806321,FALSE,Foulque à crête
†Fulica newtonii,Mascarene Coot,mascoo1,,FALSE,
Fulica atra,Common Coot,eurcoo,217023251,TRUE,Foulque macroule
Fulica alai,Hawaiian Coot,hawcoo,39455421,FALSE,Foulque des Hawaï
Fulica americana,American Coot,y00475,41572901,TRUE,Foulque d'Amérique
Fulica leucoptera,White-winged Coot,whwcoo1,615044193,FALSE,Foulque leucoptère
Fulica ardesiaca,Andean Coot,slccoo1,203930181,FALSE,Foulque ardoisée
Fulica armillata,Red-gartered Coot,regcoo1,398565231,FALSE,Foulque à jarretières
Fulica rufifrons,Red-fronted Coot,refcoo1,203986551,FALSE,Foulque à front rouge
Fulica gigantea,Giant Coot,giacoo1,204006991,FALSE,Foulque géante
Fulica cornuta,Horned Coot,horcoo1,87699,FALSE,Foulque cornue
MUSOPHAGIFORMES,,,,FALSE,
MUSOPHAGIDAE,Turacos,,,FALSE,Touraco sp.
Corythaeola cristata,Great Blue Turaco,grbtur1,141040,FALSE,Touraco géant
Criniferoides leucogaster,White-bellied Go-away-bird,wbgbir1,33651941,FALSE,Touraco à ventre blanc
Crinifer zonurus,Eastern Plantain-eater,easple1,8556,FALSE,Touraco à queue barrée
Crinifer piscator,Western Plantain-eater,wesple1,643442726,FALSE,Touraco gris ou T. à queue barrée
Corythaixoides personatus,Brown-faced Go-away-bird,,,FALSE,Touraco masqué
Corythaixoides leopoldi,Black-faced Go-away-bird,,,FALSE,Touraco masqué (leopoldi)
Corythaixoides concolor,Grey Go-away-bird,,,FALSE,Touraco concolore
Gallirex porphyreolophus,Purple-crested Turaco,puctur2,203942041,FALSE,Touraco à huppe splendide
Gallirex johnstoni,Ruwenzori Turaco,ruwtur2,639327962,FALSE,Touraco du Rwenzori
Tauraco schalowi,Schalow's Turaco,schtur1,611401390,FALSE,Touraco de Schalow
Tauraco hartlaubi,Hartlaub's Turaco,hartur1,8566,FALSE,Touraco de Hartlaub
Tauraco schuetti,Black-billed Turaco,blbtur1,107755,FALSE,Touraco à bec noir
Tauraco livingstonii,Livingstone's Turaco,livtur1,208767241,FALSE,Touraco de Livingstone ou T. de Schalow
Tauraco fischeri,Fischer's Turaco,fistur1,637776294,FALSE,Touraco de Fischer
