Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,jp,jp_latn
Tyto soumagnei,Madagascar Red Owl,marowl1,,FALSE,マダガスカルメンフクロウ,
Tyto alba,Common Barn-owl,webowl1,435736051,TRUE,ニシメンフクロウ,
T. a. detorta,Cape Verde Barn-owl,,,FALSE,,
T. a. schmitzi,Madeira Barn-owl,,,FALSE,,
T. a. gracilirostris,Gran Canaria Barn-owl,,,FALSE,,
Tyto glaucops,Ashy-faced Owl,asfowl1,163149861,FALSE,メンフクロウ,
STRIGIDAE,Owls,,,FALSE,,
Ninox rufa,Rufous Owl,rufowl2,203888471,TRUE,アカチャアオバズク,
Ninox strenua,Powerful Owl,powowl1,169198551,FALSE,オニアオバズク,
Ninox connivens,Barking Owl,barowl1,233864,FALSE,オーストラリアアオバズク,
Ninox rudolphi,Sumba Boobook,sumboo1,199785721,FALSE,スンバアオバズク,
Ninox boobook,Southern Boobook,souboo8,530613881,FALSE,クリセスズメフクロウ,
Ninox leucopsis,Tasmanian Boobook,souboo3,612978764,FALSE,,
Ninox novaeseelandiae,Morepork,morepo2,380864781,FALSE,ニュージーランドアオバズク,
Ninox japonica,Northern Boobook,norboo1,203953621,FALSE,アオバズク,
Ninox scutulata,Brown Boobook,brnhao1,290843021,FALSE,チャイロアオバズク,
Ninox randi,Chocolate Boobook,choboo1,621965989,FALSE,チョコレートアオバズク,
Ninox obscura,Hume's Boobook,brnhao3,617654723,FALSE,アンダマナオバズク,
Ninox affinis,Andaman Boobook,andhao1,203955311,FALSE,アンダマンアオバズク,
Ninox philippensis,Luzon Boobook,phihao1,203894581,FALSE,フィリピンアオバズク,
Ninox spilocephala,Mindanao Boobook,minboo1,617164632,FALSE,ミンダナオアオバズク,
Ninox leventisi,Camiguin Boobook,camboo1,609056800,FALSE,カミギンアオバズク,
Ninox reyi,Sulu Boobook,sulboo1,631208397,FALSE,スールーアオバズク,
Ninox rumseyi,Cebu Boobook,cebboo1,203883351,FALSE,セブアオバズク,
Ninox spilonotus,Romblon Boobook,romboo1,566756741,FALSE,ロンブロンアオバズク,
Ninox mindorensis,Mindoro Boobook,minboo2,555866031,FALSE,ミンドアオバズク,
Ninox sumbaensis,Least Boobook,lishao1,609069791,FALSE,コアオバズク,
Ninox burhani,Togian Boobook,toghao1,219212311,FALSE,トギアンアオバズク,
Ninox ochracea,Ochre-bellied Boobook,ocbhao1,643079340,FALSE,チャバラアオバズク,
Ninox ios,Cinnabar Boobook,cinhao1,190311531,FALSE,シュイロアオバズク,
Ninox hypogramma,Halmahera Boobook,molhao3,204013211,FALSE,ハルマヘラアオバズク,
Ninox hantu,Buru Boobook,hanboo1,218102491,FALSE,ブルアオバズク,
Ninox squamipila,Seram Boobook,hanboo2,616288091,FALSE,セラムアオバズク,
Ninox forbesi,Tanimbar Boobook,molhao2,629527716,FALSE,タニンバルアオバズク,
Ninox natalis,Christmas Boobook,chihao1,640647491,FALSE,クリスマスアオバズク,
Ninox meeki,Manus Boobook,manhao1,650740370,FALSE,アドミラルチーアオバズク,
Ninox theomacha,Jungle Boobook,junhao1,203898451,FALSE,セグロアオバズク,
Ninox punctulata,Speckled Boobook,spehao1,203990211,FALSE,フイリアオバズク,
Ninox odiosa,New Britain Boobook,nebhao1,591948871,FALSE,ニューブリテンアオバズク,
Ninox variegata,Bismarck Boobook,bishao1,651259877,FALSE,ニューアイルランドアオバズク,
Ninox jacquinoti,West Solomons Boobook,,,FALSE,,
Ninox granti,Guadalcanal Boobook,,,FALSE,,
Ninox malaitae,Malaita Boobook,,,FALSE,,
Ninox roseoaxillaris,Makira Boobook,,,FALSE,,
Uroglaux dimorpha,Papuan Boobook,paphao1,641973494,FALSE,パプアオナガフクロウ,
†Sceloglaux albifacies,Laughing Owl,lauowl1,,FALSE,,
†Mascarenotus grucheti,Reunion Owl,,,FALSE,,
†Mascarenotus murivorus,Rodrigues Owl,,,FALSE,,
†Mascarenotus sauzieri,Maurutius Owl,,,FALSE,,
Surnia ulula,Northern Hawk-owl,nohowl,432200831,FALSE,オナガフクロウ,
Glaucidium passerinum,Eurasian Pygmy-owl,eupowl1,59173671,FALSE,スズメフクロウ,
Glaucidium brodiei,Collared Owlet,colowl1,207901771,FALSE,,
Glaucidium perlatum,Pearl-spotted Owlet,pesowl1,90736801,FALSE,アフリカスズメフクロウ,
Glaucidium tephronotum,Red-chested Owlet,recowl1,631745594,FALSE,ムネアカスズメフクロウ,
Glaucidium sjostedti,Sjostedt's Owlet,sjoowl1,541041421,FALSE,セアカスズメフクロウ,
Glaucidium cuculoides,Asian Barred Owlet,asbowl1,637497312,FALSE,オオスズメフクロウ,
Glaucidium castanopterum,Javan Owlet,javowl1,623307117,FALSE,ジャワスズメフクロウ,
Glaucidium radiatum,Jungle Owlet,junowl1,301074831,FALSE,モリスズメフクロウ,
Glaucidium castanonotum,Chestnut-backed Owlet,chbowl1,203990561,FALSE,クリセスズメフクロウ,
Glaucidium capense,African Barred Owlet,afbowl1,203909851,FALSE,ヨコジマスズメフクロウ,
Glaucidium castaneum,Chestnut Owlet,,,FALSE,,
Glaucidium albertinum,Albertine Owlet,albowl1,,FALSE,ザイールスズメフクロウ,
STERCORARIIDAE,Skuas,,,FALSE,,
Stercorarius longicaudus,Long-tailed Jaeger,lotjae,132205,FALSE,シロハラトウゾクカモメ,
Stercorarius parasiticus,Arctic Jaeger,parjae,356272971,FALSE,クロトウゾクカモメ,
Stercorarius pomarinus,Pomarine Jaeger,pomjae,105353121,FALSE,トウゾクカモメ,
Catharacta skua,Great Skua,gresku1,167766071,FALSE,,
Catharacta maccormicki,South Polar Skua,sopsku1,253538851,FALSE,オオトウゾクカモメ,
Catharacta antarctica,Brown Skua,brnsku3,203972051,FALSE,ミナミオオトウゾクカモメ,
Catharacta chilensis,Chilean Skua,chisku1,203960131,FALSE,チリオオトウゾクカモメ,
ALCIDAE,Auks,,,FALSE,,
Cerorhinca monocerata,Rhinoceros Auklet,rhiauk,110904,TRUE,ウトウ,
Fratercula cirrhata,Tufted Puffin,tufpuf,3863,TRUE,エトピリカ,
Fratercula arctica,Atlantic Puffin,atlpuf,167748861,TRUE,ニシツノメドリ,
Fratercula corniculata,Horned Puffin,horpuf,617448290,FALSE,ツノメドリ,
Ptychoramphus aleuticus,Cassin's Auklet,casauk,407552491,FALSE,アメリカウミスズメ,
Aethia psittacula,Parakeet Auklet,parauk,132055,FALSE,ウミオウム,
Aethia pusilla,Least Auklet,leaauk,284900151,FALSE,コウミスズメ,
Aethia pygmaea,Whiskered Auklet,whiauk,133048,FALSE,シラヒゲウミスズメ,
Aethia cristatella,Crested Auklet,creauk,203956601,FALSE,エトロフウミスズメ,
Brachyramphus perdix,Long-billed Murrelet,lobmur,,FALSE,マダラウミスズメ,
Brachyramphus marmoratus,Marbled Murrelet,marmur,74561791,FALSE,アメリカマダラウミスズメ,
Brachyramphus brevirostris,Kittlitz's Murrelet,kitmur,72779,FALSE,コバシウミスズメ,
Cepphus grylle,Black Guillemot,blkgui,620762410,FALSE,ハジロウミバト/ウミバト,
Cepphus columba,Pigeon Guillemot,piggui,633262907,FALSE,ウミバト,
Cepphus carbo,Spectacled Guillemot,spegui1,,FALSE,ケイマフリ,
Synthliboramphus antiquus,Ancient Murrelet,ancmur,250896271,FALSE,ウミスズメ,
Synthliboramphus wumizusume,Japanese Murrelet,japmur1,635079400,FALSE,カンムリウミスズメ,
Synthliboramphus scrippsi,Scripps's Murrelet,xanmur2,552937611,FALSE,スクリップスウミスズメ,
Synthliboramphus hypoleucus,Guadalupe Murrelet,xanmur1,588795931,FALSE,スクリップスウミスズメ/セグロウミスズメ,
Synthliboramphus craveri,Craveri's Murrelet,cramur,297757331,FALSE,クラベリーウミスズメ,
Alca torda,Razorbill,razorb,621601678,FALSE,オオハシウミガラス,
†Pinguinus impennis,Great Auk,greauk,,FALSE,,
Alle alle,Little Auk,doveki,629733713,TRUE,ヒメウミスズメ,
Uria lomvia,Thick-billed Murre,thbmur,278950301,FALSE,ハシブトウミガラス,
Uria aalge,Common Murre,commur,245917551,TRUE,ウミガラス/ハシブトウミガラス,
STRIGIFORMES,owl sp.,owl1,45172511,FALSE,,
TYTONIDAE,Barn-owls,,,FALSE,,
Phodilus badius,Oriental Bay-owl,orbowl1,504788831,TRUE,ニセメンフクロウ,
Phodilus assimilis,Sri Lanka Bay-owl,srlbao1,213323641,FALSE,スリランカメンフクロウ,
Glaucidium gnoma,Mountain Pygmy-owl,nopowl,226578011,FALSE,ロッキースズメフクロウ,
Glaucidium californicum,Northern Pygmy-owl,nopowl,226578011,FALSE,,
Glaucidium cobanense,Guatemalan Pygmy-owl,,,FALSE,ロッキースズメフクロウ（cobanense）,
Glaucidium hoskinsii,Baja Pygmy-owl,,,FALSE,ロッキースズメフクロウ（hoskinsii）,
Glaucidium costaricanum,Costa Rican Pygmy-owl,crpowl,423565281,FALSE,コスタリカスズメフクロウ,
Glaucidium nubicola,Cloudforest Pygmy-owl,clopyo1,170840451,FALSE,ウンムリンスズメフクロウ,
Glaucidium jardinii,Andean Pygmy-owl,anpowl1,194846851,FALSE,アンデススズメフクロウ,
Glaucidium bolivianum,Yungas Pygmy-owl,yupowl1,500913701,FALSE,ボリビアスズメフクロウ,
Glaucidium palmarum,Colima Pygmy-owl,copowl1,645690910,FALSE,コリマスズメフクロウ,
Glaucidium sanchezi,Tamaulipas Pygmy-owl,tapowl1,216568,FALSE,メキシコスズメフクロウ,
Glaucidium griseiceps,Central American Pygmy-owl,capowl1,374820851,FALSE,コスズメフクロウ,
Glaucidium parkeri,Subtropical Pygmy-owl,supowl1,611269167,FALSE,アネッタイスズメフクロウ,
Glaucidium hardyi,Amazonian Pygmy-owl,amapyo1,414515971,FALSE,ハーディスズメフクロウ,
Glaucidium minutissimum,Least Pygmy-owl,leapyo1,249931431,FALSE,ブラジルコスズメフクロウ,
Glaucidium mooreorum,Pernambuco Pygmy-owl,perpyo1,,FALSE,ペルナンブコスズメフクロウ,
Glaucidium brasilianum,Ferruginous Pygmy-owl,fepowl,204023561,TRUE,アカスズメフクロウ,
Glaucidium tucumanum,Tucuman Pygmy-owl,,,FALSE,,
Glaucidium peruanum,Peruvian Pygmy-owl,pepowl1,391930151,FALSE,ペルースズメフクロウ,
Glaucidium nana,Austral Pygmy-owl,aupowl1,306629301,FALSE,ミナミスズメフクロウ,
Glaucidium siju,Cuban Pygmy-owl,cupowl1,93011651,FALSE,キューバスズメフクロウ,
Xenoglaux loweryi,Long-whiskered Owlet,lowowl1,31432141,FALSE,カオカザリヒメフクロウ,
Micrathene whitneyi,Elf Owl,elfowl,105533,FALSE,サボテンフクロウ,
Athene cunicularia,Burrowing Owl,burowl,119479,TRUE,アナホリフクロウ,
Athene brama,Spotted Owlet,spoowl1,203919451,FALSE,インドコキンメフクロウ,
Athene noctua,Little Owl,litowl1,8351,TRUE,コキンメフクロウ,
A. n. glaux,Desert Little Owl,,,FALSE,,
A. n. lilith,Desert Little Owl,,,FALSE,,
Athene superciliaris,White-browed Owl,whbowl1,95261,FALSE,マダガスカルアオバズク,
Heteroglaux blewitti,Forest Owlet,forowl1,203909371,TRUE,モリコキンメフクロウ,
Aegolius funereus,Boreal Owl,borowl,8338,FALSE,キンメフクロウ,
A. f. richardsoni,Boreal Owl,borowl,8338,FALSE,,
†Aegolius gradyi,Bermuda Saw-whet Owl,bswowl1,,FALSE,,
Aegolius acadicus,Northern Saw-whet Owl,nswowl,125346,TRUE,アメリカキンメフクロウ,
Aegolius ridgwayi,Unspotted Saw-whet Owl,uswowl1,497850211,FALSE,メキシコキンメフクロウ,
Aegolius harrisii,Buff-fronted Owl,bufowl1,448969071,FALSE,セグロキンメフクロウ,
Otus sagittatus,White-fronted Scops-owl,wfsowl2,203913541,FALSE,ハナジロコノハズク,
Otus rufescens,Reddish Scops-owl,resowl1,549344441,FALSE,アカチャコノハズク,
Otus thilohoffmanni,Serendib Scops-owl,sersco1,282073,FALSE,セレンディブコノハズク,
Otus icterorhynchus,Sandy Scops-owl,sasowl1,310464,FALSE,アカヒメコノハズク,
Otus ireneae,Sokoke Scops-owl,sosowl1,625985747,FALSE,ハイイロコノハズク,
Otus gurneyi,Giant Scops-owl,mineao1,18503,FALSE,オニコノハズク,
Otus semitorques,Japanese Scops-owl,jasowl1,204001501,FALSE,オオコノハズク,
Otus lettia,Collared Scops-owl,cosowl1,634810363,FALSE,ヒガシオオコノハズク,
Otus lempiji,Sunda Scops-owl,susowl2,353407751,FALSE,スンダオオコノハズク,
Otus bakkamoena,Indian Scops-owl,insowl1,486635611,FALSE,インドオオコノハズク,
Otus megalotis,Luzon Lowland Scops-owl,phsowl1,482002981,FALSE,ルソンオオコノハズク,
Otus nigrorum,Visayan Scops-owl,negsco1,284723051,FALSE,ネグロスコノハズク,
Otus everetti,Mindanao Lowland Scops-owl,evesco1,638970339,FALSE,エベレットコノハズク,
Otus fuliginosus,Palawan Scops-owl,pasowl2,29730981,FALSE,パラワンオオコノハズク,
Otus mentawi,Mentawai Scops-owl,mesowl1,101909381,FALSE,メンタワイオオコノハズク,
Otus silvicola,Wallace's Scops-owl,wasowl1,168582,FALSE,フロレスオオコノハズク,
Otus enganensis,Enggano Scops-owl,ensowl1,175561,FALSE,エンガノコノハズク,
Otus umbra,Simeulue Scops-owl,sisowl1,164184,FALSE,ムンタワイコノハズク,
Otus alius,Nicobar Scops-owl,nicsco1,185345491,FALSE,ニコバルコノハズク,
Otus balli,Andaman Scops-owl,ansowl1,405569401,FALSE,アンダマンコノハズク,
Otus alfredi,Flores Scops-owl,flsowl1,203996761,FALSE,フロレスコノハズク,
Otus spilocephalus,Mountain Scops-owl,mosowl2,359321921,FALSE,タイワンコノハズク,
Otus angelinae,Javan Scops-owl,jasowl2,189483991,FALSE,ジャワコノハズク,
Otus brookii,Rajah Scops-owl,rasowl1,175523,FALSE,ラジャーオオコノハズク,
Otus pamelae,Arabian Scops-owl,arasco1,535731511,FALSE,アラビアコノハズク,
Otus pembaensis,Pemba Scops-owl,pesowl2,137401,FALSE,ペンバオオコノハズク,
Otus senegalensis,African Scops-owl,afsowl1,53584,FALSE,アフリカコノハズク,
Otus feae,Annobon Scops-owl,,,FALSE,アフリカコノハズク（feae）,
Otus hartlaubi,Sao Tome Scops-owl,stsowl1,203963341,FALSE,サントメコノハズク,
Otus scops,Eurasian Scops-owl,eursco1,541814831,FALSE,ヨーロッパコノハズク,
O. s. cyprius,Cyprus Scops-owl,eursco3,465264171,FALSE,,
Otus brucei,Pallid Scops-owl,pasowl3,425098581,FALSE,サバクミミズク,
Otus longicornis,Luzon Scops-owl,lusowl1,203976401,FALSE,ルソンコノハズク,
Otus mirus,Mindanao Highland Scops-owl,misowl1,526851561,FALSE,ミンダナオコノハズク,
Otus mindorensis,Mindoro Scops-owl,misowl2,113554061,FALSE,ミンドロコノハズク,
Otus rutilus,Madagascar Scops-owl,madsco1,203448241,FALSE,マダガスカルコノハズク,
Otus mayottensis,Mayotte Scops-owl,maysco1,,FALSE,マヨットコノハズク,
Otus capnodes,Anjouan Scops-owl,ansowl2,203979021,FALSE,アンジュアンコノハズク,
Otus pauliani,Grand Comoro Scops-owl,cosowl3,287187521,FALSE,コモロコノハズク,
Otus moheliensis,Moheli Scops-owl,mohsco1,475229971,FALSE,モヘリコノハズク,
Otus socotranus,Socotra Scops-owl,afrsco2,625121284,FALSE,ソコトラコノハズク,
Otus insularis,Seychelles Scops-owl,sesowl1,622585470,FALSE,セーシェルコノハズク,
Otus sunia,Oriental Scops-owl,orsowl,630681203,FALSE,コノハズク,
Otus elegans,Ryukyu Scops-owl,ryusco1,203899261,FALSE,リュウキュウコノハズク,
Otus siaoensis,Siau Scops-owl,sulsco2,,FALSE,シアウコノハズク,
Otus manadensis,Sulawesi Scops-owl,susowl1,203909211,FALSE,スラウェシコノハズク,
Otus mendeni,Banggai Scops-owl,sulsco5,203903211,FALSE,バンガイコノハズク,
Otus sulaensis,Sula Scops-owl,sulsco3,203903041,FALSE,スラコノハズク,
Otus collari,Sangihe Scops-owl,sansco1,175407031,FALSE,サンギヘコノハズク,
Otus mantananensis,Mantanani Scops-owl,masowl2,633422448,FALSE,ボルネオコノハズク,
Otus magicus,Moluccan Scops-owl,mosowl1,203996771,FALSE,モルッカコノハズク,
Otus jolandae,Rinjani Scops-owl,rinsco1,202582,FALSE,リンジャニコノハズク,
Otus tempestatis,Wetar Scops-owl,molsco2,203921661,FALSE,,
Otus beccarii,Biak Scops-owl,biasco1,203997151,FALSE,ビアクコノハズク,
Pyrroglaux podarginus,Palau Owl,,,FALSE,カキイロコノハズク,
Ptilopsis leucotis,Northern White-faced Owl,nwfowl1,643593096,FALSE,アフリカオオコノハズク,
Ptilopsis granti,Southern White-faced Owl,swfowl1,545705171,FALSE,アフリカオオコノハズク,
Asio stygius,Stygian Owl,styowl1,141785331,FALSE,ナンベイトラフズク,
Asio otus,Northern Long-eared Owl,loeowl,49057,FALSE,トラフズク,
Asio abyssinicus,African Long-eared Owl,aleowl1,,FALSE,アビシニアトラフズク,
Asio madagascariensis,Madagascar Long-eared Owl,mleowl1,331614611,FALSE,マダガスカルトラフズク,
Asio clamator,Striped Owl,strowl1,457235371,FALSE,タテジマフクロウ,
Asio flammeus,Short-eared Owl,sheowl,198229341,FALSE,コミミズク,
Asio capensis,Marsh Owl,marowl2,214791831,FALSE,アフリカコミミズク,
Pseudoscops grammicus,Jamaican Owl,jamowl1,629042505,FALSE,ジャマイカズク,
Nesasio solomonensis,Fearful Owl,feaowl1,,FALSE,オニコミミズク,
Psiloscops flammeolus,Flammulated Owl,flaowl,340633911,FALSE,アメリカコノハズク,
Megascops kennicottii,Western Screech-owl,wesowl1,632812368,TRUE,ニシアメリカオオコノハズク,
Megascops seductus,Balsas Screech-owl,basowl,385692971,FALSE,バルサスオオコノハズク,
Megascops cooperi,Pacific Screech-owl,pasowl4,106775411,FALSE,クーパーコノハズク,
Megascops asio,Eastern Screech-owl,easowl1,168804731,TRUE,ヒガシアメリカオオコノハズク,
Megascops trichopsis,Whiskered Screech-owl,whsowl1,97811691,FALSE,ヒゲコノハズク,
Megascops choliba,Tropical Screech-owl,trsowl,278666921,FALSE,スピックスコノハズク,
Megascops roboratus,Peruvian Screech-owl,persco1,104749951,FALSE,シロエリオオコノハズク,
Megascops koepckeae,Koepcke's Screech-owl,koesco1,203889381,FALSE,ペルーオオコノハズク,
Megascops clarkii,Bare-shanked Screech-owl,bssowl,298268241,FALSE,パナマオオコノハズク,
Megascops barbarus,Bearded Screech-owl,besowl,144123381,FALSE,ヒゲオオコノハズク,
Megascops colombianus,Colombian Screech-owl,,,FALSE,アンデスオオコノハズク（colombianus）,
Megascops ingens,Rufescent Screech-owl,rufsco1,204022541,FALSE,アンデスオオコノハズク,
Megascops petersoni,Cinnamon Screech-owl,cinsco1,622190035,FALSE,シナモンオオコノハズク,
Megascops marshalli,Cloudforest Screech-owl,clfsco1,611500720,FALSE,ウンムリンオオコノハズク,
Megascops watsonii,Tawny-bellied Screech-owl,tabsco1,613872283,FALSE,チャバラオオコノハズク,
Megascops guatemalae,Guatemalan Screech-owl,vesowl,174698701,FALSE,ハラグロオオコノハズク,
Megascops vermiculatus,Vermiculated Screech-owl,,,FALSE,,
Megascops hoyi,Yungas Screech-owl,mofsco1,203701471,FALSE,ホイオオコノハズク,
Megascops atricapilla,Black-capped Screech-owl,bkcsco1,203997001,FALSE,ズグロオオコノハズク,
Megascops sanctaecatarinae,Long-tufted Screech-owl,lotsco1,39217731,FALSE,ミミナガオオコノハズク,
Megascops nudipes,Puerto Rican Screech-owl,,,FALSE,プエルトリコオオコノハズク,
Megascops albogularis,White-throated Screech-owl,whtsco1,245137651,FALSE,ノドジロオオコノハズク,
Margarobyas lawrencii,Bare-legged Screech-owl,balowl,133237,FALSE,ユビナガフクロウ,
Pulsatrix perspicillata,Spectacled Owl,speowl1,4510,TRUE,メガネフクロウ,
Pulsatrix koeniswaldiana,Tawny-browed Owl,tabowl1,115219791,FALSE,キマユメガネフクロウ,
Pulsatrix melanota,Band-bellied Owl,babowl1,617300167,FALSE,アカオビメガネフクロウ,
Strix seloputo,Spotted Wood-owl,spwowl1,70648,FALSE,マレーモリフクロウ,
Strix ocellata,Mottled Wood-owl,mowowl1,352115881,FALSE,インドモリフクロウ,
Strix leptogrammica,Brown Wood-owl,brwowl1,317116931,FALSE,オオフクロウ,
Strix aluco,Tawny Owl,tawowl1,243339011,TRUE,モリフクロウ,
S. a. mauritanica,Maghreb Tawny Owl,,,FALSE,,
Strix nivicolum,Himalayan Owl,himowl1,146757731,FALSE,ヒマラヤフクロウ,
Strix butleri,Hume's Owl,omaowl1,204013641,FALSE,オマーンフクロウ,
Strix omanensis,Omani Owl,omaowl1,204013641,FALSE,オマーンフクロウ,
Strix occidentalis,Spotted Owl,spoowl,274753161,TRUE,ニシアメリカフクロウ,
Strix varia,Barred Owl,brdowl,93169341,TRUE,アメリカフクロウ,
Strix fulvescens,Fulvous Owl,fulowl1,213476191,FALSE,チャイロアメリカフクロウ,
Strix hylophila,Rusty-barred Owl,rubowl2,203700461,FALSE,ブラジルモリフクロウ,
Strix chacoensis,Chaco Owl,chaowl1,203963481,FALSE,チャコフクロウ,
Strix rufipes,Rufous-legged Owl,rulowl1,31979111,FALSE,アカアシモリフクロウ,
Strix uralensis,Ural Owl,uraowl1,60712291,FALSE,フクロウ,
S. u. davidi,Sichuan Owl,,,FALSE,,
Strix nebulosa,Great Grey Owl,grgowl,227005,TRUE,カラフトフクロウ,
Strix woodfordii,African Wood-owl,afwowl1,9400,FALSE,アフリカヒナフクロウ,
Jubula lettii,Maned Owl,manowl1,,FALSE,タテガミズク,
Lophostrix cristata,Crested Owl,creowl1,176466471,FALSE,カンムリズク,
Bubo scandiacus,Snowy Owl,snoowl1,233160,TRUE,シロフクロウ,
Bubo virginianus,Great Horned Owl,grhowl,132729861,TRUE,アメリカワシミミズク,
Bubo magellanicus,Magellanic Horned Owl,grhowl2,584197581,FALSE,マゼランワシミミズク,
Bubo bubo,Eurasian Eagle-owl,eueowl1,59172501,TRUE,ワシミミズキ,
Bubo ascalaphus,Pharaoh Eagle-owl,pheowl1,439904091,FALSE,キタアフリカワシミミズク,
Bubo bengalensis,Rock Eagle-owl,roeowl1,194664311,FALSE,ミナミワシミミズク,
Bubo capensis,Cape Eagle-owl,caeowl1,8353,FALSE,イワワシミミズク,
Bubo africanus,Spotted Eagle-owl,spoeao2,203938471,FALSE,アフリカワシミミズク,
B. a. milesi,Arabian Spotted Eagle-owl,,,FALSE,,
Bubo cinerascens,Greyish Eagle-owl,graeao1,627805233,FALSE,アビシニアンワシミミズク,
Bubo poensis,Fraser's Eagle-owl,fraeao1,280533,FALSE,コヨコジマワシミミズク,
Bubo lacteus,Verreaux's Eagle-owl,veeowl1,203952381,FALSE,クロワシミミズク,
Bubo shelleyi,Shelley's Eagle-owl,sheowl1,615106407,FALSE,ヨコジマワシミミズク,
Bubo sumatranus,Barred Eagle-owl,baeowl1,345636391,FALSE,マレーワシミミズク,
Bubo nipalensis,Spot-bellied Eagle-owl,sbeowl1,306057371,FALSE,ネパールワシミミズク,
Bubo coromandus,Dusky Eagle-owl,dueowl1,484029641,FALSE,ウスグロワシミミズク,
Bubo leucostictus,Akun Eagle-owl,akeowl1,203909531,FALSE,アクンワシミミズク,
Bubo philippensis,Philippine Eagle-owl,pheowl2,203999841,FALSE,フィリピンワシミミズク,
Bubo blakistoni,Blakiston's Eagle-owl,,,FALSE,シマフクロウ,
Ketupa zeylonensis,Brown Fish-owl,brfowl1,357928591,FALSE,ミナミシマフクロウ,
Ketupa flavipes,Tawny Fish-owl,tafowl1,646555291,FALSE,ウオミミズク,
Ketupa ketupu,Buffy Fish-owl,bufowl2,37256091,FALSE,マレーウオミミズク,
Scotopelia peli,Pel's Fishing-owl,pefowl1,310488,FALSE,ウオクイフクロウ,
Scotopelia ussheri,Rufous Fishing-owl,rufowl1,42040991,FALSE,アカウオクイフクロウ,
Scotopelia bouvieri,Vermiculated Fishing-owl,vefowl1,611760780,FALSE,タテジマウオクイフクロウ,
Ciccaba virgata,Mottled Owl,motowl,48255711,FALSE,ナンベイヒナフクロウ,
Ciccaba nigrolineata,Black-and-white Owl,bawowl1,203952181,FALSE,シロクロヒナフクロウ,
Ciccaba huhula,Black-banded Owl,bkbowl1,471539831,FALSE,クロオビヒナフクロウ,
Ciccaba albitarsis,Rufous-banded Owl,rubowl3,621767103,FALSE,アカオビヒナフクロウ,
Spilornis cheela,Crested Serpent-eagle,crseag1,285999481,FALSE,カンムリワシ,
Spilornis holospilus,Philippine Serpent-eagle,phseag1,203894621,FALSE,フィリピンカンムリワシ,
Spilornis klossi,Great Nicobar Serpent-eagle,nicsee1,649339633,FALSE,ニコバルカンムリワシ,
Spilornis kinabaluensis,Kinabalu Serpent-eagle,moseag1,622613519,FALSE,キナバルカンムリワシ,
Spilornis rufipectus,Sulawesi Serpent-eagle,suseag1,640793010,FALSE,スラウェシチュウヒワシ,
Spilornis elgini,Andaman Serpent-eagle,anseag1,290061431,FALSE,アンダマンカンムリワシ,
Dryotriorchis spectabilis,Congo Serpent-eagle,,,FALSE,ヘビワシ,
Terathopius ecaudatus,Bateleur,batele1,135449,FALSE,ダルマワシ,
Pithecophaga jefferyi,Great Philippine Eagle,grpeag1,183492,TRUE,フィリピンワシ,
Circaetus gallicus,Short-toed Snake-eagle,shteag1,203921371,FALSE,チュウヒワシ,
Circaetus beaudouini,Beaudouin's Snake-eagle,beasne1,310001,FALSE,ボードワンチュウヒワシ,
Circaetus pectoralis,Black-breasted Snake-eagle,bkbsne1,,FALSE,ムナグロチュウヒワシ,
Circaetus cinereus,Brown Snake-eagle,brseag1,399655781,FALSE,チャイロチュウヒワシ,
Circaetus fasciolatus,Southern Banded Snake-eagle,faseag1,615708226,FALSE,ミナミオビチュウヒワシ,
Circaetus cinerascens,Western Banded Snake-eagle,baseag1,305958511,FALSE,オビチュウヒワシ,
Sarcogyps calvus,Red-headed Vulture,rehvul1,,FALSE,ミミハゲワシ,
Trigonoceps occipitalis,White-headed Vulture,whhvul1,,FALSE,カオジロハゲワシ,
Necrosyrtes monachus,Hooded Vulture,hoovul1,21635991,FALSE,ズキンハゲワシ,
Gyps himalayensis,Himalayan Griffon,himgri1,286816191,FALSE,ヒマラヤハゲワシ,
Gyps bengalensis,White-rumped Vulture,whrvul1,310239,FALSE,ベンガルハゲワシ,
Gyps africanus,White-backed Vulture,whbvul1,276362,FALSE,コシジロハゲワシ,
Gyps indicus,Indian Vulture,indvul1,310243,TRUE,インドハゲワシ,
Gyps tenuirostris,Slender-billed Vulture,slbvul1,612412143,FALSE,ハシボソハゲワシ,
Gyps coprotheres,Cape Vulture,capgri1,612256787,FALSE,ケープシロエリハゲワシ,
Gyps rueppellii,Rüppell's Vulture,,,FALSE,マダラハゲワシ,
Gyps fulvus,Griffon Vulture,eurgri1,627212609,TRUE,シロエリハゲワシ,
Aegypius monachus,Cinereous Vulture,cinvul1,625694722,FALSE,クロハゲワシ,
Torgos tracheliotus,Lappet-faced Vulture,lafvul1,,FALSE,ミミヒダハゲワシ,
T. t. negevensis,Arabian Lappet-faced Vulture,,,FALSE,,
Macheiramphus alcinus,Bat Hawk,bathaw1,639242498,FALSE,コウモリダカ,
Harpyopsis novaeguineae,Papuan Eagle,negeag1,42744971,FALSE,パプアオウギワシ,
Morphnus guianensis,Crested Eagle,creeag1,171507441,FALSE,ヒメオウギワシ,
Harpia harpyja,Harpy Eagle,hareag1,176929541,TRUE,オウギワシ,
Stephanoaetus coronatus,Crowned Hawk-eagle,crheag1,203948541,FALSE,カンムリクマタカ,
