Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,sv
Tachymarptis melba,Alpine Swift,alpswi1,477625571,TRUE,alpseglare
Tachymarptis aequatorialis,Mottled Swift,motswi2,591105441,FALSE,vattrad seglare
Apus acuticauda,Dark-rumped Swift,darswi1,148938811,FALSE,khasiseglare
Apus pacificus,Pacific Swift,fotswi,619656938,FALSE,orientseglare
Apus caffer,White-rumped Swift,whrswi1,277258,FALSE,vitgumpseglare
Apus batesi,Bates's Swift,batswi1,,FALSE,batesseglare
Apus horus,Horus Swift,horswi1,5992,FALSE,horusseglare
Apus nipalensis,House Swift,houswi1,73412751,FALSE,husseglare
Apus affinis,Little Swift,litswi1,81146361,FALSE,stubbstjärtseglare/husseglare
Apus niansae,Nyanza Swift,nyaswi1,31366351,FALSE,nyanzaseglare
Apus bradfieldi,Bradfield's Swift,braswi1,277763,FALSE,damaraseglare
Apus barbatus,African Swift,afrswi1,611798673,FALSE,kapseglare
Apus sladeniae,Fernando Po Swift,,,FALSE,
Apus balstoni,Madagascar Swift,madswi1,501497711,FALSE,madagaskarseglare
Apus berliozi,Forbes-Watson's Swift,fowswi1,223164731,FALSE,somaliaseglare
Apus unicolor,Plain Swift,plaswi1,298946681,FALSE,enfärgad seglare
Apus alexandri,Alexander's Swift,aleswi1,633937763,FALSE,kapverdeseglare
Apus pallidus,Pallid Swift,palswi3,109549961,FALSE,blek tornseglare
Apus apus,Common Swift,comswi,344866661,TRUE,tornseglare
TROCHILIDAE,Hummingbirds,,,FALSE,
Topaza pella,Crimson Topaz,critop1,451505841,TRUE,karmosintopas/eldtopas
Topaza pyra,Fiery Topaz,fietop1,203979591,FALSE,eldtopas
Florisuga mellivora,White-necked Jacobin,whnjac1,102605,TRUE,halsbandsjakobin
Florisuga fusca,Black Jacobin,blkjac1,343640201,FALSE,svart jakobin
Eutoxeres aquila,White-tipped Sicklebill,whtsic1,627615456,TRUE,vitstjärtad liekolibri
Eutoxeres condamini,Buff-tailed Sicklebill,butsic1,84876621,FALSE,roststjärtad liekolibri
Ramphodon naevius,Saw-billed Hermit,sabher1,293230,TRUE,sågnäbbskolibri
Glaucis dohrnii,Hook-billed Hermit,hobher2,627902763,FALSE,kroknäbbseremit
Glaucis aeneus,Bronzy Hermit,broher,618601473,FALSE,bronseremit
Glaucis hirsutus,Rufous-breasted Hermit,rubher,437142001,TRUE,rostbröstad eremit
Threnetes ruckeri,Band-tailed Barbthroat,batbar1,435781651,FALSE,bandstjärtad eremit
Threnetes leucurus,Pale-tailed Barbthroat,patbar1,84877021,FALSE,vitstjärtad eremit
Threnetes niger,Sooty Barbthroat,soobar1,,FALSE,soteremit
Anopetia gounellei,Broad-tipped Hermit,brther2,257336011,FALSE,caatingaeremit
Phaethornis squalidus,Dusky-throated Hermit,duther1,644743459,FALSE,sotstrupig eremit
Phaethornis rupurumii,Streak-throated Hermit,stther1,389947281,FALSE,guyanaeremit
Phaethornis longuemareus,Little Hermit,lither2,203930881,FALSE,mindre eremit
Phaethornis aethopygus,Tapajos Hermit,lither3,623453637,FALSE,svartstrupig eremit
Phaethornis idaliae,Minute Hermit,minher1,113278,TRUE,dvärgeremit
Phaethornis nattereri,Cinnamon-throated Hermit,cither1,330723631,FALSE,kanelstrupig eremit
Phaethornis atrimentalis,Black-throated Hermit,bkther1,121287921,FALSE,svartstrupig eremit
Phaethornis striigularis,Stripe-throated Hermit,stther2,591042431,TRUE,strimstrupig eremit
Phaethornis griseogularis,Grey-chinned Hermit,gycher1,609812706,FALSE,gråstrupig eremit
Phaethornis porcullae,Porculla Hermit,,,FALSE,gråstrupig eremit (porcullae)
Phaethornis ruber,Reddish Hermit,redher1,64905,FALSE,rosteremit
Phaethornis stuarti,White-browed Hermit,whbher3,626710111,FALSE,vitbrynad eremit
Phaethornis subochraeus,Buff-bellied Hermit,bubher1,506181131,FALSE,
Phaethornis augusti,Sooty-capped Hermit,socher1,612408043,FALSE,sotkronad eremit
Phaethornis pretrei,Planalto Hermit,plaher1,103852,FALSE,planaltoeremit
Phaethornis eurynome,Scale-throated Hermit,scther1,112764,FALSE,fjällstrupseremit
Phaethornis anthophilus,Pale-bellied Hermit,pabher1,412425591,FALSE,ljusbukig eremit
Phaethornis hispidus,White-bearded Hermit,whbher1,81006,FALSE,vitskäggseremit
Phaethornis yaruqui,White-whiskered Hermit,whwher1,80976,FALSE,yaruquieremit
Phaethornis guy,Green Hermit,greher1,609061941,FALSE,grön eremit
Phaethornis syrmatophorus,Tawny-bellied Hermit,tabher1,288259401,FALSE,rostbukig eremit
Phaethornis koepckeae,Koepcke's Hermit,koeher1,218198,FALSE,Köpckes eremit
Phaethornis philippii,Needle-billed Hermit,nebher1,235675,FALSE,nålnäbbseremit
Phaethornis bourcieri,Straight-billed Hermit,stbher1,384679551,FALSE,floretteremit
Phaethornis mexicanus,Mexican Hermit,mexher1,556088531,FALSE,mexikansk eremit
Phaethornis longirostris,Long-billed Hermit,lobher,629888645,TRUE,långnäbbad eremit
Phaethornis baroni,Ecuadorian Hermit,,,FALSE,långnäbbad eremit (baroni)
Phaethornis superciliosus,Long-tailed Hermit,lother1,113072,FALSE,långnäbbad/långstjärtad eremit
Phaethornis malaris,Great-billed Hermit,grbher1,494522731,FALSE,tjocknäbbad eremit
Doryfera ludovicae,Green-fronted Lancebill,grflan1,636562641,FALSE,grönpannad lansnäbb
Doryfera johannae,Blue-fronted Lancebill,blflan1,84878371,FALSE,blåpannad lansnäbb
Schistes albogularis,Western Wedge-billed Hummingbird,webhum3,611544134,FALSE,västlig dolknäbb
Schistes geoffroyi,Eastern Wedge-billed Hummingbird,webhum1,304183571,FALSE,kilnäbbskolibri
Augastes scutatus,Hyacinth Visorbearer,hyavis1,426540681,TRUE,hyacintvisirbärare
Augastes lumachella,Hooded Visorbearer,hoovis2,614635877,FALSE,hättvisirbärare
Colibri delphinae,Brown Violet-ear,brvear1,621765447,FALSE,brun öronkolibri
Colibri thalassinus,Green Violet-ear,grnvie1,85480051,FALSE,mexikansk öronkolibri
Colibri coruscans,Sparkling Violet-ear,spvear1,203700921,TRUE,glitteröronkolibri
Colibri serrirostris,White-vented Violet-ear,wvvear1,6152,FALSE,vitgumpad öronkolibri
Androdon aequatorialis,Tooth-billed Hummingbird,tobhum1,539214051,FALSE,tandnäbbskolibri
Heliactin bilophus,Horned Sungem,horsun2,305069431,TRUE,hornkolibri
Heliothryx barroti,Purple-crowned Fairy,pucfai1,610833638,FALSE,purpurkronad blomnymf
Heliothryx auritus,Black-eared Fairy,bkefai1,302304,TRUE,amazonblomnymf
Polytmus guainumbi,White-tailed Goldenthroat,whtgol1,353664301,FALSE,vitstjärtad guldstrupe
Polytmus milleri,Tepui Goldenthroat,tepgol1,290661,FALSE,tepuíguldstrupe
Polytmus theresiae,Green-tailed Goldenthroat,grtgol1,469977551,FALSE,grönstjärtad guldstrupe
Chrysolamphis mosquitus,Ruby-topaz Hummingbird,ruthum1,630929509,TRUE,
Avocettula recurvirostris,Fiery-tailed Awlbill,fitawl1,203956901,FALSE,sylnäbbskolibri
Anthracothorax viridigula,Green-throated Mango,grtman1,70608511,FALSE,grönstrupig mango
Anthracothorax prevostii,Green-breasted Mango,gnbman,562087211,FALSE,grönbröstad mango
Anthracothorax nigricollis,Black-throated Mango,bltman1,254055231,TRUE,svartstrupig mango
Anthracothorax veraguensis,Veraguas Mango,verman1,643755024,FALSE,veraguamango
Anthracothorax dominicus,Hispaniolan Mango,antman2,180794601,FALSE,hispaniolamango
Anthracothorax aurulentus,Puerto Rucan Mango,antman3,204013561,FALSE,puertoricomango
Anthracothorax viridis,Green Mango,greman1,53883,FALSE,grön mango
Anthracothorax mango,Jamaican Mango,jamman1,203886191,TRUE,jamaicamango
Eulampis holosericeus,Green-throated Carib,grtcar1,463853931,FALSE,grönstrupig karib
Eulampis jugularis,Purple-throated Carib,putcar1,122618,TRUE,purpurstrupig karib
Heliangelus mavors,Orange-throated Sunangel,ortsun1,203889901,FALSE,gyllensolängel
Heliangelus spencei,Merida Sunangel,amtsun4,241823291,FALSE,méridasolängel
Heliangelus clarisse,Longuemare's Sunangel,amtsun2,627935528,FALSE,turkospannad solängel
Heliangelus amethysticollis,Amethyst-throated Sunangel,amtsun3,69256571,FALSE,ametiststrupig solängel
Heliangelus strophianus,Gorgeted Sunangel,gorsun1,242946,FALSE,kragsolängel
Heliangelus exortis,Tourmaline Sunangel,tousun1,553396251,FALSE,turmalinsolängel
Heliangelus micraster,Little Sunangel,litsun1,21775,FALSE,eldstrupig solängel
Heliangelus viola,Purple-throated Sunangel,putsun1,471617091,FALSE,purpurstrupig solängel
Heliangelus regalis,Royal Sunangel,roysun1,510498201,FALSE,kungssolängel
Heliangelus zusii,Bogota Sunangel,,,FALSE,zusikolibri (hybrid)
Sephanoides sephanoides,Green-backed Firecrown,grbfir1,615770780,FALSE,eldkronekolibri
Sephanoides fernandensis,Juan Fernandez Firecrown,juffir1,63494541,FALSE,juanfernándezkolibri
Discosura conversii,Green Thorntail,gretho1,203979481,FALSE,grön nålstjärt
Discosura popelairii,Wire-crested Thorntail,wictho2,509223111,FALSE,tofsnålstjärt
Discosura langsdorffi,Black-bellied Thorntail,bkbtho1,165607521,FALSE,svartbukig nålstjärt
Discosura letitiae,Coppery Thorntail,coptho2,,FALSE,kopparnålstjärt
Discosura longicaudus,Racquet-tailed Coquette,ratcoq2,,FALSE,spatelnålstjärt
Lophornis ornatus,Tufted Coquette,tufcoq1,143381851,FALSE,guyanakokett
Lophornis gouldii,Dot-eared Coquette,doecoq1,361690541,FALSE,savannkokett
Lophornis magnificus,Frilled Coquette,fricoq1,203977681,FALSE,praktkokett
Lophornis brachylophus,Short-crested Coquette,shccoq,158849241,FALSE,korttofskokett
Lophornis delattrei,Rufous-crested Coquette,ruccoq1,64360951,TRUE,långtofskokett
Lophornis stictolophus,Spangled Coquette,spacoq1,203930131,FALSE,paljettkokett
Lophornis chalybeus,Festive Coquette,fescoq3,460903011,FALSE,festkokett
Lophornis verreauxi,Butterfly Coquette,fescoq2,610286872,FALSE,fjärilskokett
Lophornis pavoninus,Peacock Coquette,peacoq1,,FALSE,påfågelkokett
Lophornis helenae,Black-crested Coquette,blccoq1,486349691,FALSE,svarttofskokett
Lophornis adorabilis,White-crested Coquette,whccoq1,49401981,FALSE,vittofskokett
Phlogophilus hemileucurus,Ecuadorian Piedtail,ecupie1,219926541,FALSE,ecuadorbrokstjärt
Phlogophilus harterti,Peruvian Piedtail,perpie1,65738441,FALSE,perubrokstjärt
Adelomyia melanogenys,Speckled Hummingbird,spehum1,92178,TRUE,fläckkolibri
Aglaiocercus kingi,Long-tailed Sylph,lotsyl1,203930051,TRUE,grönstjärtad sylf
Aglaiocercus coelestis,Violet-tailed Sylph,vitsyl1,649000331,FALSE,violettstjärtad sylf
Aglaiocercus berlepschi,Venezuelan Sylph,vensyl1,388516961,FALSE,venezuelasylf
Sappho sparganurus,Red-tailed Comet,retcom1,203961961,TRUE,sapfokomet
Taphrolesbia griseiventris,Grey-bellied Comet,gybcom1,204012141,FALSE,gråbukig komet
Polyonymus caroli,Bronze-tailed Comet,brtcom1,203934231,FALSE,bronsstjärtskomet
Oreotrochilus chimborazo,Ecuadorian Hillstar,ecuhil1,84879381,FALSE,ecuadorbergstjärna
Oreotrochilus estella,Andean Hillstar,andhil3,165577221,FALSE,punabergstjärna
Oreotrochilus stolzmanni,Green-headed Hillstar,andhil2,621412844,FALSE,grönhuvad bergstjärna
Oreotrochilus leucopleurus,White-sided Hillstar,whshil1,441591771,FALSE,blåbukig bergstjärna
Oreotrochilus melanogaster,Black-breasted Hillstar,blbhil1,31743991,FALSE,svartbröstad bergstjärna
Oreotrochilus adela,Wedge-tailed Hillstar,wethil1,84880271,FALSE,kastanjebröstad bergstjärna
Opisthoprora euryptera,Mountain Avocetbill,mouavo1,613768141,FALSE,skärfläckekolibri
Lesbia victoriae,Black-tailed Trainbearer,blttra1,203700851,FALSE,svartstjärtad släpkolibri
Lesbia nuna,Green-tailed Trainbearer,grttra1,598051021,FALSE,grönstjärtad släpkolibri
Ramphomicron dorsale,Black-backed Thornbill,blbtho1,84880671,FALSE,svartryggig nålnäbb
Ramphomicron microrhynchum,Purple-backed Thornbill,pubtho1,626786316,FALSE,purpurryggig nålnäbb
Chalcostigma ruficeps,Rufous-capped Thornbill,ructho1,523108281,FALSE,rostkronad nålnäbb
Chalcostigma olivaceum,Olivaceous Thornbill,olitho1,638017728,FALSE,olivnålnäbb
Chalcostigma stanleyi,Blue-mantled Thornbill,blmtho1,84880901,FALSE,blåryggig nålnäbb
Chalcostigma heteropogon,Bronze-tailed Thornbill,brttho1,540583771,FALSE,bronsstjärtad hjälmkolibri
Chalcostigma herrani,Rainbow-bearded Thornbill,rabtho1,611063220,FALSE,regnbågsnålnäbb
Oxypogon cyanolaemus,Blue-bearded Helmetcrest,bubhel1,303941331,FALSE,blåskäggig hjälmkolibri
Oxypogon lindenii,White-bearded Helmetcrest,whbhel1,391183001,FALSE,vitskäggig hjälmkolibri
Oxypogon guerinii,Green-bearded Helmetcrest,gnbhel1,384062661,FALSE,grönskäggig hjälmkolibri
Oxypogon stuebelii,Buffy Helmetcrest,bufhel1,616219697,FALSE,purpurskäggig hjälmkolibri
Oreonympha albolimbata,Western Mountaineer,,,FALSE,
Oreonympha nobilis,Eastern Mountaineer,beamou1,509371071,FALSE,bergkolibri
Metallura iracunda,Perija Metaltail,permet1,556728541,FALSE,perijáglansstjärt
Metallura tyrianthina,Tyrian Metaltail,tyrmet1,410603821,FALSE,smaragdstrupig glansstjärt
Metallura williami,Viridian Metaltail,virmet1,619694911,FALSE,grön glansstjärt
Metallura baroni,Violet-throated Metaltail,vitmet1,617942177,FALSE,violettstrupig glansstjärt
Metallura odomae,Neblina Metaltail,nebmet1,84881551,FALSE,neblinaglansstjärt
Metallura theresiae,Coppery Metaltail,copmet1,17295,FALSE,kopparglansstjärt
Metallura eupogon,Fire-throated Metaltail,fitmet1,195169,FALSE,eldstrupig glansstjärt
Metallura aeneocauda,Scaled Metaltail,scamet1,62954831,FALSE,fjällig glansstjärt
Metallura phoebe,Black Metaltail,blamet1,306137321,FALSE,svart glansstjärt
Haplophaedia aureliae,Greenish Puffleg,grepuf1,273721781,FALSE,bronsdunbena
Haplophaedia assimilis,Buff-thighed Puffleg,butpuf1,613953397,FALSE,quechuadunbena
Haplophaedia lugens,Hoary Puffleg,hoapuf1,203694061,FALSE,sorgdunbena
Eriocnemis nigrivestis,Black-breasted Puffleg,blbpuf3,42406621,FALSE,svartbröstad dunbena
Eriocnemis isabellae,Gorgeted Puffleg,gorpuf1,,FALSE,kragdunbena
Eriocnemis vestita,Glowing Puffleg,glopuf2,246687,FALSE,glitterdunbena
Eriocnemis derbyi,Black-thighed Puffleg,bltpuf1,203963601,FALSE,svartdunbena
Eriocnemis godini,Turquoise-throated Puffleg,tutpuf1,,FALSE,svartbröstad dunbena
Eriocnemis cupreoventris,Coppery-bellied Puffleg,cobpuf1,416567381,FALSE,kopparbukig dunbena
Eriocnemis luciani,Sapphire-vented Puffleg,savpuf1,84883511,FALSE,safirgumpad dunbena
Eriocnemis sapphiropygia,Coppery-naped Puffleg,,,FALSE,safirgumpad dunbena (sapphiropygia/catharina)
Eriocnemis mosquera,Golden-breasted Puffleg,gobpuf1,25744901,FALSE,gyllenbröstad dunbena
Eriocnemis glaucopoides,Blue-capped Puffleg,blcpuf1,652361941,FALSE,blåpannad dunbena
Eriocnemis mirabilis,Colorful Puffleg,colpuf2,,FALSE,praktdunbena
Eriocnemis alinae,Emerald-bellied Puffleg,embpuf1,288265441,FALSE,smaragddunbena
Loddigesia mirabilis,Marvellous Spatuletail,marspa1,84883751,TRUE,spatelstjärt
Aglaeactis cupripennis,Shinning Sunbeam,shisun1,613305731,TRUE,regnbågsglansrygg
Aglaeactis castelnaudii,White-tufted Sunbeam,whtsun1,631432341,FALSE,magentaglansrygg
Aglaeactis aliciae,Purple-backed Sunbeam,pubsun1,84884941,FALSE,purpurglansrygg
Aglaeactis pamela,Black-hooded Sunbeam,blhsun1,647135282,FALSE,malakitglansrygg
Coeligena coeligena,Bronzy Inca,broinc1,387654241,FALSE,bronsinka
Coeligena prunellei,Black Inca,blainc1,300705,FALSE,svart inka
Coeligena wilsoni,Brown Inca,broinc2,203699391,FALSE,brun inka
Coeligena conradii,Green Inca,colinc4,617069625,FALSE,gröninka
Coeligena torquata,Collared Inca,colinc1,203929941,FALSE,vitkragad inka
Coeligena eisenmanni,Vilcabamba Inca,,,FALSE,
Coeligena inca,Gould's Inca,colinc3,646297913,FALSE,rostkragad inka
Coeligena dichroura,Huanuco Starfrontlet,,,FALSE,
Coeligena albicaudata,Apurimac Starfrontlet,,,FALSE,
Coeligena osculans,Cuzco Starfrontlet,,,FALSE,
Coeligena violifer,Bolivian Starfrontlet,vitsta1,65278,FALSE,violettstrupig inka
Coeligena iris,Rainbow Starfrontlet,raista1,471606871,FALSE,regnbågsinka
Coeligena phalerata,White-tailed Starfrontlet,whtsta1,203963541,FALSE,vitstjärtad inka
Coeligena orina,Glittering Starfrontlet,dussta1,204007161,FALSE,mörk inka
Coeligena lutetiae,Buff-winged Starfrontlet,buwsta1,613767150,FALSE,opalvingad inka
Coeligena consita,Perija Starfrontlet,gobsta2,631573286,FALSE,perijáinka
Coeligena bonapartei,Golden-bellied Starfrontlet,gobsta1,348554411,FALSE,gyllenbukig inka
Coeligena eos,Golden Starfrontlet,gobsta4,617069693,FALSE,méridainka
Coeligena helianthea,Blue-throated Starfrontlet,bltsta1,622757807,FALSE,blåstrupig inka
Lafresnaya lafresnayi,Mountain Velvetbreast,mouvel1,478693941,FALSE,sammetsbröstad kolibri
Ensifera ensifera,Sword-billed Hummingbird,swbhum1,630687397,TRUE,svärdnäbb
Pterophanes cyanopterus,Great Sapphirewing,gresap1,242708,FALSE,safirvinge
Boissonneaua flavescens,Buff-tailed Coronet,butcor1,80839,FALSE,ockrastjärtad kolibri
Boissonneaua matthewsii,Chestnut-breasted Coronet,chbcor1,25848001,FALSE,kastanjebröstad kolibri
Boissonneaua jardini,Velvet-purple Coronet,vepcor1,203699351,FALSE,hyacintkolibri
Ocreatus underwoodii,Booted Racquet-tail,boorat1,203699311,TRUE,vittofsad flaggkolibri
Urochroa bougueri,Rufous-gaped Hillstar,whthil2,633126098,FALSE,rostmustaschkolibri
Urochroa leucura,White-tailed Hillstar,whthil3,494807461,FALSE,vitstjärtad kolibri
Urosticte benjamini,Purple-bibbed Whitetip,pubwhi1,210787651,FALSE,purpurbröstad kolibri
Urosticte ruficrissa,Rufous-vented Whitetip,ruvwhi1,21621221,FALSE,rostgumpskolibri
Heliodoxa xanthogonys,Velvet-browed Brilliant,vebbri1,388976741,FALSE,tepuíbriljant
Heliodoxa gularis,Pink-throated Brilliant,pitbri1,380307421,FALSE,napobriljant
Heliodoxa branickii,Rufous-webbed Brilliant,ruwbri1,65737051,FALSE,yungasbriljant
Heliodoxa whitelyana,Black-breasted Brilliant,,,FALSE,
Heliodoxa aurescens,Gould's Brilliant,goujew1,627805552,FALSE,kanelbröstad briljant
Heliodoxa rubinoides,Fawn-breasted Brilliant,fabbri1,203956401,FALSE,rosastrupig briljant
Heliodoxa jacula,Green-fronted Brilliant,grcbri1,163948,FALSE,grönkronad briljant
Heliodoxa imperatrix,Empress Brilliant,empbri1,626873747,FALSE,chocóbriljant
Heliodoxa leadbeateri,Violet-fronted Brilliant,vifbri1,127814,FALSE,violettpannad briljant
Clytolaema rubricauda,Brazilian Ruby,brarub1,112700,FALSE,rubinstrupe
Patagona gigas,Giant Hummingbird,giahum1,11057,FALSE,jättekolibri
Chlorostilbon auriceps,Golden-crowned Emerald,goceme1,159288451,FALSE,långstjärtad smaragd
Chlorostilbon fortificatus,Cozumel Emerald,cozeme1,609053805,FALSE,
Chlorostilbon canivetii,Canivet's Emerald,caneme1,151009451,FALSE,
Chlorostilbon assimilis,Garden Emerald,gareme1,628700691,FALSE,panamasmaragd
Chlorostilbon gibsoni,Red-billed Emerald,rebeme1,541130961,FALSE,magdalenasmaragd
Chlorostilbon mellisugus,Blue-tailed Emerald,blteme1,305877971,FALSE,blåstjärtad smaragd
Chlorostilbon olivaresi,Chiribiquete Emerald,chieme1,422060681,FALSE,chiribiquetesmaragd
†Chlorostilbon bracei,Brace's Emerald,braeme2,,FALSE,
†Chlorostilbon elegans,Caribbean Emerald,,,FALSE,
Chlorostilbon ricordii,Cuban Emerald,cubeme1,89306271,FALSE,
Chlorostilbon swainsonii,Hispaniolan Emerald,hiseme1,163140711,FALSE,hispaniolasmaragd
Chlorostilbon maugaeus,Puerto Rican Emerald,pureme1,53816,FALSE,puertoricosmaragd
Chlorostilbon lucidus,Glittering-bellied Emerald,glbeme1,400379251,FALSE,glanssmaragd
Chlorostilbon russatus,Coppery Emerald,copeme1,167298,FALSE,kopparsmaragd
Chlorostilbon stenurus,Narrow-tailed Emerald,nateme2,642973712,FALSE,smalstjärtad smaragd
Chlorostilbon poortmani,Short-tailed Emerald,shteme1,265782,FALSE,kortstjärtad smaragd
Chlorostilbon notatus,Blue-chinned Sapphire,bucsap1,88272,FALSE,blåkindad safir
Cynanthus sordidus,Dusky Hummingbird,dushum1,330351261,FALSE,dunkelsmaragd
Cynanthus latirostris,Broad-billed Hummingbird,brbhum,121949,FALSE,brednäbbad smaragd/doubledaysmaragd
Cynanthus doubledayi,Turquoise-crowned Hummingbird,brbhum2,157625291,FALSE,doubledaysmaragd
Cynanthus lawrencei,Tres Marias Hummingbird,brbhum3,,FALSE,maríassmaragd
Cyanophaia bicolor,Blue-headed Hummingbird,blhhum1,602427421,FALSE,blåhuvad smaragd
Klais guimeti,Violet-headed Hummingbird,vihhum1,136301011,FALSE,violetthuvad kolibri
Abeillia abeillei,Emerald-chinned Hummingbird,emchum1,86679,FALSE,smaragdstrupe
Orthorhyncus cristatus,Antillean Crested Hummingbird,anchum1,204013441,FALSE,blåtofsad kolibri
Stephanoxis lalandi,Green-crowned Plovercrest,plover3,640929511,FALSE,gröntofsad vipkolibri
Stephanoxis loddigesii,Purple-Crowned Plovercrest,plover4,203700671,TRUE,purpurtofsad vipkolibri
Aphantochroa cirrochloris,Sombre Hummingbird,somhum1,24648421,FALSE,sorgkolibri
Anthocephala floriceps,Blossomcrown,samblo1,632679875,FALSE,santamartablomhätta
Campylopterus cuvierii,Scaly-breasted Hummingbird,scbhum1,207693221,FALSE,fjällig kolibri
Campylopterus curvipennis,Wedge-tailed Sabrewing,wetsab1,245541241,FALSE,Kroksabelvinge
Campylopterus largipennis,Grey-breasted Sabrewing,gybsab1,114922,FALSE,gråbröstad sabelvinge
Campylopterus rufus,Rufous Sabrewing,rufsab1,104,FALSE,rostsabelvinge
Campylopterus hyperythrus,Rufous-breasted Sabrewing,rubsab1,364592861,FALSE,tepuísabelvinge
Campylopterus hemileucurus,Violet Sabrewing,viosab1,212321211,TRUE,violett sabelvinge
Campylopterus ensipennis,White-tailed Sabrewing,whtsab1,390117281,FALSE,vitstjärtad sabelvinge
Campylopterus falcatus,Lazuline Sabrewing,lazsab1,473464091,FALSE,lazulisabelvinge
Campylopterus phainopeplus,Santa Marta Sabrewing,samsab1,615897668,FALSE,santamartasabelvinge
Campylopterus villaviscensio,Napo Sabrewing,napsab1,203933941,FALSE,naposabelvinge
Campylopterus duidae,Buf-breasted Sabrewing,bubsab1,251698811,FALSE,ockrabröstad sabelvinge
Eupetomena macroura,Swallow-tailed Hummingbird,swthum1,615734079,TRUE,svalstjärtskolibri
Eupherusa eximia,Stripe-tailed Hummingbird,stthum1,338084711,FALSE,strimstjärtad kolibri
Eupherusa cyanophrys,Oaxaca Hummingbird,blchum2,314995221,FALSE,oaxacakolibri
Eupherusa poliocerca,White-tailed Hummingbird,whthum1,159540581,FALSE,gråstjärtad kolibri
Eupherusa nigriventris,Black-bellied Hummingbird,blbhum1,49396831,FALSE,svartbukig kolibri
Elvira chionura,White-tailed Emerald,whteme1,550101281,FALSE,vitstjärtad smaragd
Elvira cupreiceps,Coppery-headed Emerald,coheme1,514574641,FALSE,kopparhuvad smaragd
Microchera albocoronata,Snowcap,snowca1,411448361,TRUE,snöhätta
Chalybura buffonii,White-vented Plumeleteer,whvplu1,384086621,FALSE,silkeskolibri
Chalybura urochrysia,Bronze-tailed Plumeleteer,brtplu1,614945172,FALSE,bronsstjärtad kolibri
Thalurania ridgwayi,Mexican Woodnymph,mexwoo1,321021151,FALSE,mexikansk skogsnymf
Thalurania colombica,Crowned Woodnymph,crowoo1,457019911,TRUE,kronskogsnymf
Thalurania furcata,Fork-tailed Woodnymph,fotwoo1,387922001,FALSE,svalstjärtad skogsnymf
Thalurania watertonii,Long-tailed Woodnymph,lotwoo2,297604711,FALSE,långstjärtad skogsnymf
Thalurania glaucopis,Violet-capped Woodnymph,vicwoo2,610870185,FALSE,violettkronad skogsnymf
Taphrospilus hypostictus,Many-spotted Hummingbird,mashum1,203931821,FALSE,mångfläckig kolibri
Leucochloris albicollis,White-throated Hummingbird,whthum2,111487911,FALSE,vitstrupig smaragd
Leucippus fallax,Buffy Hummingbird,bufhum1,385687761,FALSE,ockrabröstad kolibri
Leucippus baeri,Tumbes Hummingbird,tumhum1,13285,FALSE,tumbeskolibri
Leucippus taczanowskii,Spot-throated Hummingbird,spthum2,148395101,FALSE,fläckstrupekolibri
Leucippus chlorocercus,Olive-spotted Hummingbird,olshum1,127581,FALSE,olivfläckig kolibri
Amazilia chionogaster,White-bellied Hummingbird,whbhum1,183293,FALSE,vitbukig smaragd
Amazilia viridicauda,Green-and-white Hummingbird,gawhum1,40116,FALSE,cuzcosmaragd
Amazilia tzacatl,Rufous-tailed Hummingbird,rtlhum,6106,TRUE,roststjärtad smaragd
Amazilia castaneiventris,Chestnut-bellied Hummingbird,chbhum1,259282691,FALSE,kastanjebukig smaragd
Amazilia yucatanensis,Buff-bellied Hummingbird,bubhum,23954441,FALSE,yucatánsmaragd
Amazilia rutila,Cinnamon Hummingbird,cinhum1,199442,TRUE,kanelsmaragd
Amazilia amazilia,Amazilia Hummingbird,amahum1,84904151,FALSE,amaziliasmaragd
Amazilia leucogaster,Plain-bellied Emerald,plbeme1,172069741,FALSE,ljusbukig smaragd
Amazilia versicolor,Versicolored Emerald,vereme1,90496871,FALSE,brokig smaragd
Amazilia brevirostris,White-chested Emerald,whceme1,221649,FALSE,kortnäbbad smaragd
Amazilia franciae,Andean Emerald,andeme1,18035,FALSE,andinsk smaragd
Amazilia candida,White-bellied Emerald,whbeme1,207695311,FALSE,vitbröstad safir
Amazilia luciae,Honduran Emerald,honeme1,519021121,FALSE,hondurassmaragd
Amazilia boucardi,Mangrove Hummingbird,manhum1,242225651,FALSE,mangrovesmaragd
Amazilia amabilis,Blue-chested Hummingbird,blchum1,203095391,FALSE,
Amazilia decora,Charming Hummingbird,chahum1,48154691,FALSE,costaricasmaragd
Amazilia cyanocephala,Azure-crowned Hummingbird,azchum1,166718011,FALSE,azurkronad smaragd
Amazilia beryllina,Berylline Hummingbird,berhum,291644941,FALSE,beryllsmaragd
Amazilia cyanura,Blue-tailed Hummingbird,blthum1,177937741,FALSE,blåstjärtssmaragd
Amazilia saucerrottei,Steely-vented Hummingbird,stvhum2,387654421,FALSE,
Amazilia cyanifrons,Indigo-capped Hummingbird,inchum1,469509331,FALSE,
Amazilia violiceps,Violet-crowned Hummingbird,vichum,245428751,FALSE,violettkronad smaragd
Amazilia viridifrons,Green-fronted Hummingbird,grfhum1,47719331,FALSE,grönpannad/brunsidig smaragd
Amazilia wagneri,Cinnamon-sided Hummingbird,,,FALSE,brunsidig smaragd
Amazilia fimbriata,Glittering-throated Emerald,glteme1,315889311,FALSE,
