Latin,English,Croatian
Caliechthrus leucolophus,White-crowned Cuckoo,bjelokapa kukavica
Cercococcyx mechowi,Dusky Long-tailed Cuckoo,zagasita kukavica
Cercococcyx olivinus,Olive Long-tailed Cuckoo,maslinastoleđa kukavica
Cercococcyx montanus,Barred Long-tailed Cuckoo,dugorepa kukavica
Surniculus dicruroides,Fork-tailed Drongo-cuckoo,kukavica lastarka
Surniculus lugubris,Square-tailed Drongo-cuckoo,indonezijska kukavica
Surniculus velutinus,Philippine Drongo-cuckoo,crna kukavica
Surniculus musschenbroeki,Moluccan Drongo-cuckoo,molučka kukavica
Hierococcyx bocki,Dark Hawk-cuckoo,sivoleđa kukavica
Hierococcyx sparverioides,Large Hawk-cuckoo,pepeljastoglava kukavica
Hierococcyx varius,Common Hawk-cuckoo,indijska kukavica
Hierococcyx vagans,Moustached Hawk-cuckoo,bjelogrla kukavica
Hierococcyx nisicolor,Whistling Hawk-cuckoo,kukavica zviždara
Hierococcyx fugax,Malay Hawk-cuckoo,sivoglava kukavica
Hierococcyx hyperythrus,Northern Hawk-cuckoo,cimetastoprsa kukavica
Hierococcyx pectoralis,Philippine Hawk-cuckoo,filipinska kukavica
Cuculus crassirostris,Sulawesi Cuckoo,sulaveška kukavica
Cuculus solitarius,Red-chested Cuckoo,riđoprsa kukavica
Cuculus clamosus,Black Cuckoo,mrka kukavica
Cuculus micropterus,Indian Cuckoo,kratkokrila kukavica
Cuculus canorus,Common Cuckoo,kukavica
Cuculus gularis,African Cuckoo,siva kukavica
Cuculus saturatus,Oriental Cuckoo,azijska kukavica
Cuculus lepidus,Sunda Cuckoo,sundska kukavica
CUCULIFORMES,,kukavke
CUCULIDAE,Cuckoos,kukavice
Crotophaga major,Greater Ani,veliki ani
Crotophaga ani,Smooth-billed Ani,krupnokljuni ani
Crotophaga sulcirostrist,Groove-billed Ani,žljebastokljuni ani
Guira guira,Guira Cuckoo,kudrava kukavica
Tapera naevia,American Striped Cuckoo,prugastoleđa kukavica
Dromococcyx phasianellus,Pheasant Cuckoo,širokorepa kukavica
Dromococcyx pavoninus,Pavonine Cuckoo,kukavica paunašica
Morococcyx erythropygus,Lesser Ground-cuckoo,smeđa kukavica
Geococcyx velox,Lesser Roadrunner,mala kukavica trkačica
Geococcyx californianus,Greater Roadrunner,kukavica trkačica
Neomorphus geoffroyi,Rufous-vented Ground-cuckoo,ljuskastoprsa kukavica
Neomorphus radiolosus,Banded Ground-cuckoo,ljuskasta kukavica
Neomorphus rufipennis,Rufous-winged Ground-cuckoo,crvenolica kukavica
Neomorphus pucheranii,Red-billed Ground-cuckoo,sivovrata kukavica
†Coua delalandei,Snail-eating Coua,kua pužarica
Coua gigas,Giant Coua,velika kua
Coua coquereli,Coquerel's Coua,šarenolica kua
Coua serriana,Red-breasted Coua,riđoprsa kua
Coua reynaudii,Red-fronted Coua,riđočela kua
Coua cursor,Running Coua,siva kua
Coua ruficeps,Red-capped Coua,riđokapa kua
Coua olivaceiceps,Olive-capped Coua,maslinastokapa kua
Coua cristata,Crested Coua,kukmasta kua
Coua pyropyga,Chestnut-vented Coua,plavorepa kua
Coua verreauxi,Verreaux's Coua,mala kua
Coua caerulea,Blue Coua,modra kua
Carpococcyx radiceus,Bornean Ground-cuckoo,borneanski kukal
Carpococcyx viridis,Sumatran Ground-cuckoo,sumatranski kukal
Carpococcyx renauldi,Coral-billed Ground-cuckoo,pozemni kukal
Centropus milo,Buff-headed Coucal,solomonski kukal
Centropus ateralbus,Pied Coucal,crno-bijeli kukal
Centropus menbeki,Ivory-billed Coucal,crni kukal
Centropus chalybeus,Biak Coucal,biački kukal
Centropus unirufus,Rufous Coucal,riđi kukal
Centropus chlororhynchus,Green-billed Coucal,cejlonski kukal
Centropus melanops,Black-faced Coucal,crnolici kukal
Centropus steerii,Black-hooded Coucal,mindorski kukal
Centropus rectunguis,Short-toed Coucal,kratkoprsti kukal
Centropus celebensis,Bay Coucal,sulaveški kukal
Centropus anselli,Gabon Coucal,žućkastotrbi kukal
Centropus leucogaster,Black-throated Coucal,bjelotrbi kukal
Centropus senegalensis,Senegal Coucal,crnoglavi kukal
Centropus monachus,Blue-headed Coucal,bjeloprsi kukal
Centropus cupreicaudus,Coppery-tailed Coucal,bakrenasti kukal
Centropus superciliosus,White-browed Coucal,riđoleđi kukal
Centropus nigrorufus,Javan Coucal,javanski kukal
Centropus sinensis,Greater Coucal,riđokrili kukal
Centropus andamanensis,Andaman Coucal,andamanski kukal
Centropus goliath,Goliath Coucal,veliki kukal
Centropus toulou,Madagascar Coucal,madagaskarski kukal
Centropus grillii,Black Coucal,mali kukal
Centropus viridis,Philippine Coucal,filipinski kukal
Centropus bengalensis,Lesser Coucal,mrki kukal
Centropus violaceus,Violaceous Coucal,ljubičasti kukal
Centropus bernsteini,Black-billed Coucal,blistavi kukal
Centropus phasianinus,Pheasant Coucal,širokorepi kukal
Centropus spilopterus,Kai Coucal,kajski kukal
Rhinortha chlorophaea,Raffles's Malkoha,zelenokljuni kukal
Ceuthmochares aereus,Chattering Yellowbill,zlatnokljuni kukal
Ceuthmochares australis,Whistling Yellowbill,zelenorepi kukal
Taccocua leschenaultii,Sirkeer Malkoha,crvenokljuni kukal
Zanclostomus javanicus,Red-billed Malkoha,sivotrbi kukal
Phaenicophaeus pyrrhocephalus,Red-faced Malkoha,crvenolici kukal
Phaenicophaeus viridirostris,Blue-faced Malkoha,indijski kukal
Phaenicophaeus diardi,Black-bellied Malkoha,crnotrbi kukal
Phaenicophaeus sumatranus,Chestnut-bellied Malkoha,kestenjastotrbi kukal
Phaenicophaeus tristis,Green-billed Malkoha,dugorepi kukal
Phaenicophaeus curvirostris,Chestnut-breasted Malkoha,riđoprsi kukal
Phaenicophaeus oeneicaudus,Mentawai Malkoha,mentavajski kukal
Dasylophus superciliosus,Red-crested Malkoha,kudravi kukal
Lepidogrammus cumingi,Scale-feathered Malkoha,luzonski kukal
Rhamphococcyx calyorhynchus,Yellow-billed Malkoha,šarenokljuni kukal
Cuculus poliocephalus,Lesser Cuckoo,mala kukavica
Cuculus rochii,Madagascar Cuckoo,madagaskarska kukavica
Hypotaenidia torquata,Barred Rail,bjelobrka kokošica
Hypotaenidia insignis,New Britail Rail,novobritanska kokošica
†Hypotaenidia poeciloptera,Bar-winged Rail,fidžijska kokošica
Hypotaenidia tertia,Bougainville Rail,crnoglava kokošica
Hypotaenidia immaculata,Santa Isabel Rail,crna kokošica
Hypotaenidia woodfordi,Guadalcanal Rail,crnotrba kokošica
Hypotaenidia rovianae,Roviana Rail,rovianska kokošica
Hypotaenidia owstoni,Guam Rail,guamska kokošica
†Hypotaenidia wakensis,Wake Rail,pepeljasta kokošica
†Hypotaenidia dieffenbachii,Dieffenbach's Rail,sivogrla kokošica
Hypotaenidia sylvestris,Lord Howe Woodhen,smeđa kokošica
Hypotaenidia philippensis,Buff-banded Rail,šarena kokošica
†Hypotaenidia pacifica,Tahiti Rail,tahitska kokošica
Dryolimnas cuvieri,White-throated Rail,bjelogrla kokošica
†Dryolimnas augusti,Reunion Rail,reunionska kokošica
Crex egregia,African Crake,afrički kosac
Crex crex,Corncrake,kosac
Rougetius rougetii,Rouget's Rail,etiopska kokošica
Mundia elpenor,St Helena Crake,asensionska kokošica
†Atlantisia podarces,Inaccessible Rail,svetohelenska kokošica
Atlantisia rogersi,Inaccessible Rail,mrka kokošica
Aramides ypecaha,Giant Wood-rail,sivolica kokošica
Aramides wolfi,Brown Wood-rail,riđa kokošica
Aramides mangle,Little Wood-rail,sivoglava kokošica
Aramides cajaneus,Grey-necked Wood-rail,sivovrata kokošica
Aramides axillaris,Rufous-necked Wood-rail,riđovrata kokošica
Aramides calopterus,Red-winged Wood-rail,sivoprsa kokošica
Aramides saracura,Slaty-breasted Wood-rail,crnorepa kokošica
Amaurolimnas concolor,Uniform Crake,kestenjasta kokošica
Cyanolimnas cerverai,Zapata Rail,zapatska štijoka
Neocrex colombiana,Colombian Crake,kolumbijska štijoka
Neocrex erythrops,Paint-billed Crake,šarenokljuna štijoka
Pardirallus maculatus,Spotted Rail,pjegava kokošica
Pardirallus nigricans,Blackish Rail,siva kokošica
Pardirallus sanguinolentus,Plumbeous Rail,olovasta kokošica
Gymnocrex rosenbergii,Bald-faced Rail,modrolica kokošica
Gymnocrex talaudensis,Talaud Rail,kestenjastoglava kokošica
Gymnocrex plumbeiventris,Bare-eyed Rail,sivotrba kokošica
Hapalocrex flaviventer,Yellow-breasted Crake,smeđastoprsa štijoka
Porzana fasciata,Black-banded Crake,riđoglava štijoka
Porzana spiloptera,Dot-winged Crake,crnoprsa štijoka
Porzana albicollis,Ash-throated Crake,bjelogrla štijoka
Porzana carolina,Sora,crnogrla štijoka
Porzana porzana,Spotted Crake,riđa štijoka
Porzana fluminea,Australian Crake,australska štijoka
Zapornia fusca,Ruddy-breasted Crake,riđoprsa štijoka
Zapornia paykullii,Band-bellied Crake,prugastokrila štijoka
Zapornia akool,Brown Crake,smeđoleđa štijoka
Zapornia flavirostra,Black Crake,crna štijoka
Zapornia parva,Little Crake,siva štijoka
Zapornia pusilla,Baillon's Crake,mala štijoka
†Zapornia astrictocarpus,St Helena Rail,svetohelenska štijoka
†Zapornia palmeri,Laysan Rail,lajsanska štijoka
Zapornia olivieri,Sakalava Rail,madagaskarska štijoka
Zapornia bicolor,Black-tailed Crake,crnorepa štijoka
†Zapornia sandwichensis,Hawaiian Rail,havajska štijoka
†Zapornia nigra,Miller's Rail,tahitska štijoka
Zapornia atra,Henderson Crake,hendersonska štijoka
Zapornia tabuensis,Spotless Crake,sivoprsa štijoka
†Zapornia monasa,Kosrae Crake,kosreška štijoka
Amaurornis isabellina,Isabelline Bush-hen,sulaveška štijoka
Amaurornis olivacea,Plain Bush-hen,filipinska štijoka
Amaurornis magnirostris,Talaud Bush-hen,krupnokljuna štijoka
Amaurornis moluccana,Pale-vented Bush-hen,riđorepa štijoka
Amaurornis phoenicurus,White-breasted Waterhen,bjeloprsa štijoka
Amaurornis cinerea,White-browed Crake,brkata štijoka
Amaurornis marginalis,Striped Crake,prugasta štijoka
Megacrex inepta,New Guinea Flightless Rail,novogvinejska kokošica
Gallicrex cinerea,Watercock,lisasta kokošica
Porphyrio porphyrio,Purple Swamphen,velika sultanka
P. p. madagascariensis,African Swamphen,afrička sultanka
P. p. poliocephalus,Grey-headed Swamphen,plavetna sultanka
†Porphyrio albus,White Swamphen,bijela sultanka
†Porphyrio paepae,Marquesan Swamphen,markezaška sultanka
†Porphyrio kukwiedei,New Caledonia Gallinule,novokaledonska sultanka
GRUIFORMES,,ždralovke
HELIORNITHIDAE,Finfoots,sunčaci
Podica senegalensis,African Finfoot,afrički sunčac
Heliopais personata,Masked Finfoot,žutokljuni sunčac
Heliornis fulica,Sungrebe,američki sunčac
RALLIDAE,"Rails, Gallinules, Coots","kokošice, mlakuše, liske"
Sarothrura pulchra,White-spotted Flufftail,riđorepi prepeličar
Sarothrura elegans,Buff-spotted Flufftail,pjegavoleđi prepeličar
Sarothrura rufa,Red-chested Flufftail,pjegavi prepeličar
Sarothrura lugens,Chestnut-headed Flufftail,kestenjastoglavi prepeličar
Sarothrura boehmi,Streaky-breasted Flufftail,prugastoleđi prepeličar
Sarothrura affinis,Striped Flufftail,prugasti prepeličar
Sarothrura insularis,Madagascar Flufftail,madagaskarski prepeličar
Sarothrura ayresi,White-winged Flufftail,bjelokrili prepeličar
Sarothrura watersi,Slender-billed Flufftail,kratkorepi prepeličar
Himantornis haematopus,Nkulengu Rail,velika vizlinica
Canirallus oculeus,Grey-throated Rail,sivogrla vizlinica
Mentocrex kioloides,Madagascar Wood-rail,sivočela vizlinica
Mentocrex beankaensis,Tsingy Wood-rail,cimetastolica vizlinica
Rallicula rubra,Chestnut Forest-rail,crvena vizlinica
Rallicula leucospila,White-striped Forest-rail,prugastorepa vizlinica
Rallicula forbesi,Forbes's Forest-rail,crvenoprsa vizlinica
Rallicula mayri,Mayr's Forest-rail,kestenjasta vizlinica
Rallina tricolor,Red-necked Crake,zelenokljuna vizlinica
Rallina canningi,Andaman Crake,andamanska vizlinica
Rallina fasciata,Red-legged Crake,crvenonoga vizlinica
Rallina eurizonoides,Slaty-legged Crake,indijska vizlinica
Coturnicops exquisitus,Swinhoe's Rail,smeđoprsi prepeličar
Coturnicops noveboracensis,Yellow Rail,smeđi prepeličar
Coturnicops notatus,Speckled Rail,crni prepeličar
Micropygia schomburgkii,Ocellated Crake,biserasti prepeličar
Rufirallus castaneiceps,Chestnut-headed Crake,kestenjastoglava vizlinica
Rufirallus viridis,Russet-crowned Crake,sivolica vizlinica
Laterallus melanophaius,Rufous-sided Crake,riđoboka vizlinica
Laterallus levraudi,Rusty-flanked Crake,venezuelska vizlinica
Laterallus ruber,Ruddy Crake,crvena vizlinica
Laterallus albigularis,White-throated Crake,prugastotrba vizlinica
Laterallus exilis,Grey-breasted Crake,sivoprsa vizlinica
Laterallus jamaicensis,Black Rail,mrka vizlinica
Laterallus tuerosi,Junin Rail,huninska vizlinica
Laterallus spilonota,Galapagos Rail,galapagoska vizlinica
Laterallus leucopyrrhus,Red-and-white Crake,bjeloprsa vizlinica
Laterallus xenopterus,Rufous-faced Crake,riđolica vizlinica
Rallus longirostris,Mangrove Rail,mangrovska kokošica
Rallus tenuirostris,Mexican Rail,meksička kokošica
Rallus obsoletus,Ridgway's Rail,pacifička kokošica
Rallus elegans,King Rail,cimetastoprsa kokošica
Rallus crepitans,Clapper Rail,obalna kokošica
Rallus wetmorei,Plain-flanked Rail,venezuelska kokošica
Rallus limicola,Virginia Rail,riđoprsa kokošica
Rallus semiplumbeous,Bogota Rail,kolumbijska kokošica
Rallus antarcticus,Austral Rail,patagonska kokošica
Rallus aquaticus,Western Water Rail,kokošica
Rallus indicus,Eastern Water Rail,azijska kokošica
Rallus caerulescens,African Rail,afrička kokošica
Rallus madagascariensis,Madagascar Rail,madagaskarska kokošica
Aramidopsis plateni,Snoring Rail,sulaveška kokošica
Lewinia striata,Slaty-breasted Rail,crvenokapa kokošica
Lewinia mirifica,Brown-banded Rail,luzonska kokošica
Lewinia pectoralis,Lewin's Rail,smeđokapa kokošica
Lewinia muelleri,Auckland Rail,oklandska kokošica
Habroptila wallacii,Drummer Rail,halmaherska kokošica
Gallirallus calayanensis,Calayan Rail,maslinastoleđa kokošica
Gallirallus lafresnayanus,New Caledonian Rail,novokaledonska kokošica
Gallirallus australis,Weka,velika kokošica
†Diaphorapteryx hawkinsi,Hawkins's Rail,kratkokrila kokošica
†Aphanapteryx bonasia,Red Rail,mauricijska kokošica
†Erythromachus leguati,Rodrigues Rail,maskarenska kokošica
Eulabeornis castaneoventris,Chestnut Rail,riđotrba kokošica
†Cabalus modestus,Chatam Rail,čatamska kokošica
Hypotaenidia okinawae,Okinawa Rail,okinavska kokošica
Ardeotis australis,Australian Bustard,australska droplja
Houbaropsis bengalensis,Bengal Florican,crnoglava droplja
Sypheotides indicus,Lesser Florican,ćubasta droplja
Lophotis savilei,Savile's Bustard,smeđolica droplja
Lophotis gindiana,Buff-crested Bustard,istočnoafrička droplja
Lophotis ruficrista,Red-crested Bustard,crnotrba droplja
Heterotetrax vigorsii,Karoo Bustard,karuanska droplja
Heterotetrax rueppellii,Rüppell's Bustard,prugastovrata droplja
Heterotetrax humilis,Little Brown Bustard,riđa droplja
Afrotis afra,Southern Black Bustard,kapska droplja
Afrotis afraoides,Northern Black Bustard,južnoafrička droplja
Eupodotis senegalensis,White-bellied Bustard,bjelotrba droplja
Eupodotis caerulescens,Blue Bustard,plavetna droplja
†Porphyrio caerulescens,Reunion Gallinule,reunionska sultanka
†Porphyrio mantelli,Takahe,novozelandska sultanka
Porphyrio hochstetteri,South Island Takahe,krupnokljuna sultanka
Porphyrio alleni,Allen's Gallinule,mala sultanka
Porphyrio martinicus,Purple Gallinule,američka sultanka
Porphyrio flavirostris,Azure Gallinule,bjelotrba sultanka
Pareudiastes silvestris,Makira Moorhen,solomonska mlakuša
Pareudiastes pacificus,Samoan Moorhen,samoanska mlakuša
†Gallinula nesiotis,Tristan Moorhen,tristanska mlakuša
Gallinula corneri,Gough Moorhen,velika mlakuša
Gallinula chloropus,Common Moorhen,mlakuša
Gallinula galeata,Common Gallinule,američka mlakuša
Gallinula tenebrosa,Dusky Moorhen,mrka mlakuša
Gallinula angulata,Lesser Moorhen,afrička mlakuša
Gallinula melanops,Spot-flanked Gallinule,sivoprsa mlakuša
Tribonyx ventralis,Black-tailed Native-hen,australska mlakuša
†Tribonyx hodgenorum,Hodgen's Waterhen,novozelandska mlakuša
Tribonyx mortierii,Tasmanian Native-hen,tasmanska mlakuša
Fulica cristata,Red-knobbed Coot,krunata liska
†Fulica newtonii,Mascarene Coot,maskarenska liska
Fulica atra,Common Coot,liska
Fulica alai,Hawaiian Coot,havajska liska
Fulica americana,American Coot,američka liska
Fulica leucoptera,White-winged Coot,narančastočela liska
Fulica ardesiaca,Andean Coot,andska liska
Fulica armillata,Red-gartered Coot,žutočela liska
Fulica rufifrons,Red-fronted Coot,crvenočela liska
Fulica gigantea,Giant Coot,velika liska
Fulica cornuta,Horned Coot,rogata liska
MUSOPHAGIFORMES,,turakoi
MUSOPHAGIDAE,Turacos,turakoi
Corythaeola cristata,Great Blue Turaco,veliki turako
Criniferoides leucogaster,White-bellied Go-away-bird,bjelotrbi turako
Crinifer zonurus,Eastern Plantain-eater,smeđoglavi turako
Crinifer piscator,Western Plantain-eater,prugasti turako
Corythaixoides personatus,Brown-faced Go-away-bird,gololici turako
Corythaixoides leopoldi,Black-faced Go-away-bird,crnolici turako
Corythaixoides concolor,Grey Go-away-bird,sivi turako
Gallirex porphyreolophus,Purple-crested Turaco,ljubičastokresti turako
Gallirex johnstoni,Ruwenzori Turaco,ruvenzorski turako
Tauraco schalowi,Schalow's Turaco,zelenokrili turako
Tauraco hartlaubi,Hartlaub's Turaco,plavoleđi turako
Tauraco schuetti,Black-billed Turaco,crnokljuni turako
Tauraco livingstonii,Livingstone's Turaco,crvenokljuni turako
Tauraco fischeri,Fischer's Turaco,crvenokresti turako
Tauraco corythaix,Knysna Turaco,južnoafrički turako
Tauraco persa,Green Turaco,zelenokresti turako
Tauraco leucotis,White-cheeked Turaco,sivoleđi turako
Tauraco ruspolii,Ruspoli's Turaco,etiopski turako
Tauraco bannermani,Bannerman's Turaco,kamerunski turako
Tauraco erythrolophus,Red-crested Turaco,plamenoglavi turako
Tauraco leucolophus,White-crested Turaco,bjelokresti turako
Tauraco macrorhynchus,Yellow-billed Turaco,žutokljuni turako
Musophaga rossae,Ross's Turaco,žutočeli turako
Musophaga violacea,Violet Turaco,ljubičasti turako
PSOPHIIDAE,Trumpeters,bukači
Psophia crepitans,Grey-winged Trumpeter,sivokrili bukač
Psophia ochroptera,Ochre-winged Trumpeter,smeđokrili bukač
Psophia leucoptera,White-winged Trumpeter,bjelokrili bukač
Psophia viridis,Green-winged Trumpeter,zelenokrili bukač
Psophia dextralis,Olive-winged Trumpeter,maslinastokrili bukač
Psophia obscura,Black-winged Trumpeter,crnokrili bukač
ARAMIDAE,Limpkin,čapljolika
Aramus guarauna,Limpkin,čapljolika
GAVIIFORMES,,plijenorke
GAVIIDAE,Loons/Divers,plijenori
GRUIDAE,Cranes,ždralovi
Gavia stellata,Red-throated Loon,crvenogrli plijenor
Gavia arctica,Black-throated Loon,crnogrli plijenor
Gavia pacifica,Pacific Loon,pacifički plijenor
Gavia immer,Common Loon,veliki plijenor
Gavia adamsii,White-billed Loon,žutokljuni plijenor
Balearica regulorum,Grey Crowned-crane,bjelolici ždral
Balearica pavonina,Black Crowned-crane,krunati ždral
Leucogeranus leucogeranus,Siberian Crane,snježni ždral
Antigone canadensis,Sandhill Crane,kanadski ždral
Antigone vipio,White-naped Crane,mongolski ždral
Antigone antigone,Sarus Crane,crvenoglavi ždral
Antigone rubicunda,Brolga,australski ždral
Bugeranus carunculatus,Wattled Crane,bradušasti ždral
Anthropoides paradiseus,Blue Crane,sinji ždral
Anthropoides virgo,Demoiselle Crane,mali ždral
Grus japonensis,Red-crowned Crane,crvenokapi ždral
Grus americana,Whooping Crane,bijeli ždral
Grus grus,Common Crane,ždral
Grus monacha,Hooded Crane,kineski ždral
Grus nigricollis,Black-necked Crane,crnovrati ždral
SPHENISCIFORMES,,pingvinke
SPHENISCIDAE,Penguins,pingvini
Aptenodytes patagonicus,King Penguin,kraljevski pingvin
Aptenodytes forsteri,Emperor Penguin,carski pingvin
Pygoscelis papua,Gentoo Penguin,žutonogi pingvin
Pygoscelis adeliae,Adelie Penguin,adelijski pingvin
Pygoscelis antarcticus,Chinstrap Penguin,ogrličasti pingvin
Eudyptes schlegeli,Royal Penguin,makvorijski pingvin
Eudyptes chrysolophus,Macaroni Penguin,zlatnouhi pingvin
Eudyptes moseleyi,Northern Rockhopper Penguin,krunati pingvin
Eudyptes chrysocome,Southern Rockhopper Penguin,žutouhi pingvin
Eudyptes sclateri,Erect-crested Penguin,antipodski pingvin
Eudyptes pachyrhynchus,Fiordland Penguin,debelokljuni pingvin
Eudyptes robustus,Snares Penguin,snerski pingvin
Megadyptes antipodes,Yellow-eyed Penguin,žutoglavi pingvin
Eudyptula minor,Little Penguin,patuljasti pingvin
E. m. albosignata,White-flippered Penguin,mali pingvin
Spheniscus demersus,African Penguin,afrički pingvin
Spheniscus magellanicus,Magellanic Penguin,mageljanski pingvin
Spheniscus humboldti,Humboldt Penguin,humboltski pingvin
Spheniscus mendiculus,Galapagos Penguin,galapagoski pingvin
OTIDIFORMES,,droplje
OTIDIDAE,Bustards,droplje
Tetrax tetrax,Little Bustard,mala droplja
Otis tarda,Great Bustard,droplja
Chlamydotis undulata,African Houbara,ogrličasta droplja
Chlamydotis macqueenii,Asian Houbara,azijska droplja
Lissotis hartlaubii,Hartlaub's Bustard,sivkasta droplja
Lissotis melanogaster,Black-bellied Bustard,crnopjegava droplja
Neotis ludwigii,Ludwig's Bustard,namipska droplja
Neotis denhami,Denham's Bustard,prugastoglava droplja
Neotis heuglinii,Heuglin's Bustard,somalijska droplja
Neotis nuba,Nubian Bustard,sahelska droplja
Ardeotis arabs,Arabian Bustard,arabijska droplja
Ardeotis kori,Kori Bustard,sivovrata droplja
Ardeotis nigriceps,Great Indian Bustard,indijska droplja
PROCELLARIIFORMES,,cjevonosnice
OCEANITIDAE,Southern Storm-petrels,južne burnice
Oceanites oceanicus,Wilson's Storm-petrel,šarenonoga burnica
Oceanites gracilis,White-vented Storm-petrel,Elliotova burnica
Oceanites pincoyae,Pincoya Storm-petrel,čilska burnica
Garrodia nereis,Grey-backed Storm-petrel,sivoleđa burnica
Pelagodroma marina,White-faced Storm-petrel,bjelolica burnica
Fregetta grallaria,White-bellied Storm-petrel,bjelotrba burnica
Fregetta tropica,Black-bellied Storm-petrel,crnotrba burnica
Fregetta maoriana,New-Zealand Storm-petrel,novozelandska burnica
Nesofregetta fuliginosa,Polynesian Storm-petrel,polinezijska burnica
Pterodroma cookii,Cook's Petrel,cookov zovoj
Pterodroma pycrofti,Pycroft's Petrel,sivovrati zovoj
Pterodroma hypoleuca,Bonin Petrel,boninski zovoj
Pterodroma nigripennis,Black-winged Petrel,tamnokrili zovoj
Pterodroma axillaris,Chatham Petrel,rangitirski zovoj
Pterodroma ultima,Murphy's Petrel,murphijev zovoj
Pterodroma solandri,Providence Petrel,solanderov zovoj
Pterodroma neglecta,Kermadec Petrel,polinezijski zovoj
Pterodroma arminjoniana,Trinidade Petrel,brazilski zovoj
Pterodroma heraldica,Herald Petrel,oštrorepi zovoj
Pterodroma atrata,Henderson Petrel,hendersonski zovoj
Pterodroma alba,Phoenix Petrel,crnokrili zovoj
Pterodroma baraui,Barau's Petrel,rodrigeški zovoj
Pterodroma inexpectata,Mottled Petrel,sivotrbi zovoj
Pterodroma sandwichensis,Hawaiian Petrel,havajski zovoj
Pterodroma phaeopygia,Galapagos Petrel,galapagoski zovoj
Pterodroma cervicalis,White-necked Petrel,kermadečki zovoj
Pterodroma externa,Juan Fernandez Petrel,bjelovrati zovoj
Pterodroma mollis,Soft-plumaged Petrel,sivi zovoj
Pterodroma cahow,Bermuda Petrel,bermudski zovoj
Pterodroma hasitata,Black-capped Petrel,karipski zovoj
Pterodroma caribbaea,Jamaican Petrel,jamajčki zovoj
Pterodroma feae,Cape Verde Petrel,zelenortski zovoj
Pterodroma deserta,Desertas Petrel,bjeločeli zovoj
Pterodroma madeira,Zino's Petrel,madeirski zovoj
Pterodroma magentae,Magenta Petrel,čatamski zovoj
Pterodroma incerta,Atlantic Petrel,bjelotrbi zovoj
Pterodroma lessoni,White-headed Petrel,bjeloglavi zovoj
Pterodroma macroptera,Great-winged Petrel,dugokrili zovoj
Pterodroma gouldi,Grey-faced Petrel,sivolici zovoj
Procellaria cinerea,Grey Petrel,sivosmeđi zovoj
Procellaria aequinoctialis,White-chinned Petrel,bjelobrki zovoj
Procellaria conspicillata,Spectacled Petrel,zovoj naočar
Procellaria westlandica,Westland Petrel,novozelandski zovoj
Procellaria parkinsoni,Black Petrel,crni zovoj
Ardenna pacifica,Wedge-tailed Shearwater,klinorepi zovoj
Ardenna bulleri,Buller's Shearwater,sivoleđi zovoj
Ardenna tenuirostris,Short-tailed Shearwater,tankokljuni zovoj
Ardenna grisea,Sooty Shearwater,mrki zovoj
Ardenna gravis,Great Shearwater,crnokapi zovoj
Ardenna carneipes,Flesh-footed Shearwater,svjetlonogi zovoj
Ardenna creatopus,Pink-footed Shearwater,ružičastonogi zovoj
Calonectris leucomelas,Streaked Shearwater,bjelolici zovoj
Calonectris diomedea,Scopoli's Shearwater,kaukal
Calonectris borealis,Cory's Shearwater,krupnokljuni kaukal
Calonectris edwardsii,Cape Verde Shearwater,zelenortski kaukal
Puffinus nativitatis,Christmas Shearwater,smeđi zovoj
Puffinus subalaris,Galapagos Shearwater,kratkokrili zovoj
Puffinus gavia,Fluttering Shearwater,priobalni zovoj
Puffinus huttoni,Hutton's Shearwater,huttonov zovoj
Puffinus opisthomelas,Black-vented Shearwater,tamnolici zovoj
Puffinus bryani,Bryan's Shearwater,patuljasti zovoj
Puffinus newelli,Newell's Shearwater,dugorepi zovoj
Puffinus auricularis,Townsend's Shearwater,tamnoleđi zovoj
Puffinus bailloni,Tropical Shearwater,maskarenski zovoj
Puffinus persicus,Persian Shearwater,perzijski zovoj
Puffinus bannermani,Bannerman's Shearwater,japanski zovoj
Puffinus puffinus,Manx Shearwater,mali zovoj
Puffinus yelkouan,Yelkouan Shearwater,gregula
Puffinus mauretanicus,Balearic Shearwater,balearski zovoj
Puffinus elegans,Subantarctic Shearwater,južni zovoj
Puffinus assimilis,Little Shearwater,kratkorepi zovoj
Puffinus lherminieri,Audubon's Shearwater,audubonov zovoj
P. l. baroli,Macaronesian Shearwater,makaronezijski zovoj
Puffinus heinrothi,Heinroth's Shearwater,melanezijski zovoj
Pseudobulweria macgillivrayi,Fiji Petrel,fidžijski zovoj
Pseudobulweria aterrima,Mascarene Petrel,reunionski zovoj
Pseudobulweria becki,Beck's Petrel,solomonski zovoj
Pseudobulweria rostrata,Tahiti Petrel,tahitski zovoj
Bulweria bulwerii,Bulwer's Petrel,čađasti zovoj
Bulweria fallax,Jouanin's Petrel,suri zovoj
†Bulweria bifax,Small St Helena Petrel,mali svetohelenski zovoj
Pelecanoides garnotii,Peruvian Diving-petrel,peruanska burnica
Pelecanoides magellani,Magellanic Diving-petrel,mageljanska burnica
Pelecanoides georgicus,South Georgia Diving-petrel,zdepasta burnica
Pelecanoides urinatrix,Common Diving-petrel,burnica njorka
HYDROBATIDAE,Northern Storm-petrels,burnice
Hydrobates pelagicus,European Storm-petrel,burnica
H.p. pelagicus,European Storm-petrel,atlantska burnica
