Latin,English,Croatian
Pipile jacutinga,Black-fronted Piping-guan,crnočeli guan
Aburria aburri,Wattled Guan,plavokljuni guan
Oreophasis derbianus,Horned Guan,rogati guan
Ortalis vetula,Plain Chachalaca,sivoleđa čačalaka
Ortalis cinereiceps,Grey-headed Chachalaca,sivoglava čačalaka
Ortalis garrula,Chestnut-winged Chachalaca,kestenjastokrila čačalaka
Ortalis ruficauda,Rufous-vented Chachalaca,venezuelska čačalaka
Ortalis erythroptera,Rufous-headed Chachalaca,riđoglava čačalaka
Ortalis wagleri,Rufous-bellied Chachalaca,riđotrba čačalaka
Ortalis poliocephala,West Mexican Chachalaca,velika čačalaka
Ortalis canicollis,Chaco Chachalaca,riđorepa čačalaka
Ortalis leucogastra,White-bellied Chachalaca,bjelotrba čačalaka
Ortalis columbiana,Colombian Chachalaca,kolumbijska čačalaka
Ortalis guttata,Speckled Chachalaca,pjegava čačalaka
Ortalis araucan,East Brasilian Chachalaca,riđokapa čačalaka
Ortalis squamata,Scaled Chachalaca,ljuskastoprsa čačalaka
Ortalis motmot,Little Chachalaca,kestenjastoglava čačalaka
CASUARIIDAE,"Cassowaries, Emus","kazuari, emui"
Casuarius casuarius,Southern Cassowary,veliki kazuar
Casuarius bennetti,Dwarf Cassowary,mali kazuar
Casuarius unappendiculatus,Northern Cassowary,šarenovrati kazuar
Dromaius novaehollandiae,Emu,emu
†Dromaius minor,King Island Emu,patuljasti emu
†Dromaius baudinianus,Kangoroo Island Emu,mali emu
APTERYGIDAE,Kiwis,kiviji
Apteryx haastii,Great Spotted Kiwi,pjegavi kivi
Apteryx owenii,Little Spotted Kiwi,mali kivi
Apteryx mantelli,Northern Brown Kiwi,smeđi kivi
Apteryx australis,Southern Brown Kiwi,mrki kivi
Ortalis superciliaris,Buff-browed Chachalaca,mala čačalaka
Nothocrax urumutum,Nocturnal Curassow,noćni hoko
Crax rubra,Great Curassow,kudravi hoko
Crax alberti,Blue-billed Curassow,plavokljuni hoko
Crax daubentoni,Yellow-knobbed Curassow,žutokljuni hoko
Crax alector,Black Curassow,crni hoko
Crax fasciolata,Bare-faced Curassow,gololici hoko
Crax pinima,Belem Curassow,bjelotrbi hoko
Crax globulosa,Wattled Curassow,crvenokljuni hoko
Crax blumenbachii,Red-billed Curassow,krunati hoko
Mitu tomentosum,Crestless Curassow,venezuelski hoko
Mitu mitu,Alagoas Curassow,alagoaški hoko
Mitu tuberosum,Razor-billed Curassow,amazonski hoko
Mitu salvini,Salvin's Curassow,krupnokljuni hoko
Pauxi unicornis,Horned Curassow,rogati hoko
Pauxi koepckeae,Sira Curassow,peruanski hoko
Pauxi pauxi,Helmeted Curassow,kacigasti hoko
Arborophila crudigularis,Taiwan Partridge,tajvanska trčka
Arborophila mandellii,Chestnut-breasted Partridge,riđoprsa trčka
Arborophila brunneopectus,Bar-backed Partridge,smeđoprsa trčka
Arborophila rufipectus,Sichuan Partridge,sečuanska trčka
Arborophila gingica,Collared Partridge,bjeločela trčka
Arborophila davidi,Orange-necked Partridge,narančastogrla trčka
Arborophila cambodiana,Chestnut-headed Partridge,crnoleđa trčka
Arborophila campbelli,Malay Partridge,malezijska trčka
Arborophila rolli,Tan-breasted Partridge,narančastoprsa trčka
Arborophila sumatrana,Sumatran Partridge,sumatranska trčka
Arborophila orientalis,White-faced Partridge,crnokapa trčka
Arborophila javanica,Chestnut-bellied Partridge,javanska trčka
Arborophila rubrirostris,Red-billed Partridge,crvenokljuna trčka
Arborophila hyperythra,Bornean Partridge,borneanska trčka
Arborophila ardens,Hainan Partridge,hainanska trčka
Arborophila chloropus,Green-legged Partridge,zelenonoga trčka
Arborophila tonkinensis,Tonkin Partridge,vijetnamska trčka
Arborophila charltonii,Chestnut-necklaced Partridge,crvenouha trčka
Arborophila graydoni,Sabah Partridge,kestenjastoprsa trčka
Rhizothera longirostris,Long-billed Partridge,šumska trčka
Rhizothera dulitensis,Dulit Partridge,gorska trčka
Melanoperdix niger,Black Partridge,crna trčka
Haematortyx sanguiniceps,Crimson-headed Partridge,crvenoglava trčka
Caloperdix oculea,Ferruginous Partridge,cimetasta trčka
Galloperdix spadicea,Red Spurfowl,indijska trčka
Galloperdix lunulata,Painted Spurfowl,pjegava trčka
Galloperdix bicalcarata,Sri Lanka Spurfowl,cejlonska trčka
Afropavo congensis,Congo Peafowl,kratkorepi paun
Pavo cristatus,Indian Peafowl,paun
Pavo muticus,Green Peafowl,zeleni paun
Argusianus argus,Great Argus,plavoglavi paun
Rheinardia ocellata,Crested Argus,pjegavi paun
R. o. nigrescens,Malaysian Argus,dugokresti paun
Polyplectron napoleonis,Palawan Peacock-pheasant,palavanski paunaš
Polyplectron malacense,Malay Peacock-pheasant,malajski paunaš
Polyplectron schleiermacheri,Bornean Peacock-pheasant,borneanski paunaš
Polyplectron germaini,Germain's Peacock-pheasant,vijetnamski paunaš
Polyplectron katsumatae,Hainan Peacock-pheasant,hainanski paunaš
Polyplectron bicalcaratum,Grey Peacock-pheasant,sivi paunaš
Polyplectron inopinatum,Mountain Peacock-pheasant,smeđoleđi paunaš
Polyplectron chalcurum,Bronze-tailed Peacock-pheasant,dugorepi paunaš
Margaroperdix madagarensis,Madagascar Partridge,madagaskarska trčka
Coturnix coturnix,Common Quail,prepelica
Coturnix japonica,Japanese Quail,japanska prepelica
Coturnix coromandelica,Rain Quail,indijska prepelica
Coturnix delegorguei,Harlequin Quail,afrička prepelica
Coturnix pectoralis,Stubble Quail,pjegavoprsa prepelica
†Coturnix novaezelandiae,New Zealand Quail,novozelandska prepelica
Synoicus ypsilophorus,Brown Quail,močvarna prepelica
Synoicus chinensis,Asian Blue Quail,kineska prepelica
Synoicus adansonii,African Blue Quail,plava prepelica
Anurophasis monorthonyx,Snow Mountain Quail,novogvinejska prepelica
Tetraogallus caucasicus,Caucasian Snowcock,kavkaski jareb
Tetraogallus caspius,Caspian Snowcock,sivoprsi jareb
Tetraogallus himalayensis,Himalayan Snowcock,pjegavoprsi jareb
Tetraogallus tibetanus,Tibetan Snowcock,tibetski jareb
Tetraogallus altaicus,Altai Snowcock,altajski jareb
Alectoris graeca,Rock Partridge,jarebica kamenjarka
Alectoris chukar,Chukar,jarebica čukara
Alectoris magna,Przevalski's Partridge,kineska jarebica
Alectoris philbyi,Philby's Partridge,crnogrla jarebica
Alectoris barbara,Barbary Partridge,afrička jarebica
Alectoris rufa,Red-legged Partridge,riđa jarebica
Alectoris melanocephala,Arabian Partridge,arabijska jarebica
Lerwa lerwa,Snow Partridge,pjegavi jareb
Ammoperdix griseogularis,See-see Partridge,perzijska jarebica
Ammoperdix heyi,Sand Partridge,jarebica pješčarka
Perdicula asiatica,Jungle Bush-quail,narančastogrla prepelica
Perdicula argoondah,Rock Bush-quail,narančastočela prepelica
Perdicula erythrorhyncha,Painted Bush-quail,crvenokljuna prepelica
Perdicula manipurensis,Manipur Bush-quail,asamska prepelica
Ophrysia superciliosa,Himalayan Quail,himalajska prepelica
Pternistis hartlaubi,Hartlaub's Francolin,smeđouha jarebica
Pternistis bicalcaratus,Double-spurred Francolin,dvoostruga jarebica
Pternistis icterorhynchus,Heuglin's Francolin,srednjoafrička jarebica
Pternistis clappertoni,Clapperton's Francolin,pjegava jarebica
Pternistis harwoodi,Harwood's Francolin,etiopska jarebica
NUMIDIDAE,Guineafowl,biserke
Numida meleagris,Helmeted Guineafowl,biserka
N. m. galeatus,West African Guineafowl,bjelolica biserka
Agelastes meleagrides,White-breasted Guineafowl,crvenoglava biserka
Agelastes niger,Black Guineafowl,crna biserka
Acryllium vulturinum,Vulturine Guineafowl,velika biserka
Guttera plumifera,Plumed Guineafowl,kukmasta biserka
Guttera verreauxi,Western Crested Guineafowl,kudrava biserka
Guttera pucherani,Eastern Crested Guineafowl,crvenolica biserka
Guttera edouardi,Southern Crested Guineafowl,bjelouha biserka
ODONTOPHORIDAE,New World Quails,američke prepelice
Ptilopachus petrosus,Stone Partridge,prugastoboka jarebica
Ptilopachus nahani,Nahan's Partridge,šumska jarebica
Philortyx fasciatus,Barred Quail,prugasta prepelica
Oreortyx pictus,Mountain Quail,planinska prepelica
Colinus virginianus,Northern Bobwhite,virdžinijska prepelica
C. v. ridgwayi,Masked Bobwhite,crnolica prepelica
Colinus nigrogularis,Black-throated Bobwhite,crnogrla prepelica
Colinus leucopogon,Spot-bellied Bobwhite,smeđokapa prepelica
Colinus cristatus,Crested Bobwhite,krunata prepelica
Callipepla squamata,Scaled Quail,kukmasta prepelica
Callipepla douglasii,Elegant Quail,sonorska prepelica
Callipepla gambelii,Gambel's Quail,pustinjska prepelica
Callipepla californica,California Quail,kalifornijska prepelica
Dendrortyx barbatus,Bearded Wood-partridge,hidalgoska prepelica
Dendrortyx macroura,Long-tailed Wood-partridge,dugorepa prepelica
Dendrortyx leucophrys,Buffy-crowned Wood-partridge,bjeločela prepelica
Odontophorus gujanensis,Marbled Wood-quail,riđa prepelica
Odontophorus capueira,Spot-winged Wood-quail,sivotrba prepelica
Odontophorus melanotis,Black-eared Wood-quail,riđotrba prepelica
Odontophorus erythrops,Rufous-fronted Wood-quail,riđočela prepelica
Odontophorus atrifrons,Black-fronted Wood-quail,riđokapa prepelica
Odontophorus hyperythrus,Chestnut Wood-quail,kolumbijska prepelica
Odontophorus melanonotus,Dark-backed Wood-quail,riđoprsa prepelica
Odontophorus speciosus,Rufous-breasted Wood-quail,pjegavokrila prepelica
Odontophorus dialeucos,Tacarcuna Wood-quail,crnočela prepelica
Odontophorus strophium,Gorgeted Wood-quail,ogrličasta prepelica
Odontophorus columbianus,Venezuelan Wood-quail,venezuelska prepelica
Odontophorus leucolaemus,Black-breasted Wood-quail,crnoprsa prepelica
Odontophorus balliviani,Stripe-faced Wood-quail,brkata prepelica
Odontophorus stellatus,Starred Wood-quail,sivovrata prepelica
Odontophorus guttatus,Spotted Wood-quail,pjegava prepelica
Rhynchortyx cinctus,Tawny-faced Quail,riđolica prepelica
Dactylortyx thoracicus,Singing Quail,prugastoprsa prepelica
Cyrtonyx montezumae,Montezuma Quail,šarena prepelica
Cyrtonyx sallei,Spot-breasted Quail,sivoboka prepelica
Cyrtonyx ocellatus,Ocellated Quail,kacigasta prepelica
PHASIANIDAE,"Pheasant, Partridges, Turkeys, Grouse","jarebice, prepelice,"
Xenoperdix udzungwensis,Udzungwa Forest-partridge,tanzanska trčka
Rollulus rouloul,Crested Partridge,kukmasta trčka
Arborophila torqueola,Hill Partridge,sivoprsa trčka
Arborophila rufogularis,Rufous-throated Partridge,riđogrla trčka
Arborophila atrogularis,White-cheeked Partridge,crnogrla trčka
Pternistis adspersus,Red-billed Francolin,crvenokljuna jarebica
Pternistis capensis,Cape Francolin,kapska jarebica
Pternistis natalensis,Natal Francolin,natalska jarebica
Pternistis hildebrandti,Hildebrandt's Francolin,hildebrandtova jarebica
Pternistis ahantensis,Ahanta Francolin,smeđa jarebica
Pternistis squamatus,Scaly Francolin,mrka jarebica
Pternistis griseostriatus,Grey-striped Francolin,angolska jarebica
Pternistis leucoscepus,Yellow-necked Francolin,žutogrla jarebica
Pternistis rufopictus,Grey-breasted Francolin,sivoprsa jarebica
Pternistis afer,Red-necked Francolin,crvenogrla jarebica
Pternistis swainsonii,Swainson's Francolin,crvenolica jarebica
Pternistis jacksoni,Jackson's Francolin,kenijska jarebica
Pternistis nobilis,Handsome Francolin,sivoglava jarebica
Pternistis camerunensis,Mount Cameroon Francolin,kamerunska jarebica
Pternistis swierstrai,Swierstra's Francolin,crnoprsa jarebica
Pternistis castaneicollis,Chestnut-naped Francolin,kestenjastoprsa jarebica
Pternistis atrifrons,Black-fronted Francolin,crnočela jarebica
Pternistis erckelii,Erckel's Francolin,riđokapa jarebica
Pternistis ochropectus,Djibouti Francolin,džibutska jarebica
Francolinus francolinus,Black Francolin,crna jarebica
Francolinus pictus,Painted Francolin,indijska jarebica
Francolinus pintadeanus,Chinese Francolin,šarenoglava jarebica
Francolinus pondicerianus,Grey Francolin,siva jarebica
Francolinus gularis,Swamp Francolin,močvarna jarebica
Dendroperdix sephaena,Crested Francolin,smeđokapa jarebica
Peliperdix coqui,Coqui Francolin,smeđoglava jarebica
Peliperdix albogularis,White-throated Francolin,smeđokrila jarebica
Peliperdix schlegelii,Schlegel's Francolin,smeđovrata jarebica
Peliperdix lathami,Latham's Francolin,pjegavoprsa jarebica
Scleroptila streptophora,Ring-necked Francolin,riđolica jarebica
Scleroptila leivaillantii,Red-winged Francolin,riđopjegava jarebica
Scleroptila afra,Grey-winged Francolin,južnoafrička jarebica
Scleroptila finschi,Finsch's Francolin,sivokapa jarebica
Scleroptila psilolaema,Moorland Francolin,planinska jarebica
Scleroptila elgonensis,Elgon Francolin,kestenjastotrba jarebica
Scleroptila shelleyi,Shelley's Francolin,crnopruga jarebica
Scleroptila whytei,Whyte's Francolin,crvenopjega jarebica
Scleroptila gutturalis,Orange River Francolin,bjelogrla jarebica
Bambusicola fytchii,Mountain Bamboo-partridge,bjelotrba trčka
Bambusicola thoracicus,Chinese Bamboo-partridge,bambusova trčka
Bambusicola sonorivox,Taiwan Bamboo-partridge,sivoglava trčka
Gallus gallus,Red Junglefowl,divlja kokoš
Gallus sonneratii,Grey Junglefowl,pjegava kokoš
Gallus lafayetii,Sri Lanka Junglefowl,cejlonska kokoš
Gallus varius,Green Junglefowl,zelena kokoš
Tetraophasis obscurus,Chestnut-throated Partridge,riđogrla jarebica
Tetraophasis szechenyii,Buff-throated Partridge,pjegavoboka jarebica
Lophophorus impejanus,Himalayan Monal,himalajski monal
Lophophorus sclateri,Sclater's Monal,bjeloleđi monal
Lophophorus lhuysii,Chinese Monal,kineski monal
Tragopan melanocephalus,Western Tragopan,mrki tragopan
Tragopan satyra,Satyr Tragopan,crveni tragopan
Tragopan blythii,Blyth's Tragopan,crvenoprsi tragopan
Tragopan temminckii,Temminck's Tragopan,plavolici tragopan
Tragopan caboti,Cabot's Tragopan,pjegavi tragopan
Ithaginis cruentus,Blood Pheasant,prugasti tragopan
Pucrasia macrolopha,Koklass Pheasant,širokorepi fazan
Syrmaticus ellioti,Elliot's Pheasant,bjelotrbi fazan
Syrmaticus humiae,Mrs Hume's Pheasant,plavovrati fazan
Syrmaticus mikado,Mikado Pheasant,mrki fazan
Syrmaticus soemmeringi,Copper Pheasant,japanski fazan
Syrmaticus reevesii,Reeves's Pheasant,kraljevski fazan
Chrysolophus pictus,Golden Pheasant,zlatni fazan
Chrysolophus amherstiae,Lady Amherst's Pheasant,dijamantni fazan
Phasianus colchicus,Common Pheasant,fazan
P. c. torquatus,Ring-necked Pheasant,ogrličasti fazan
Phasianus versicolor,Green Pheasant,zeleni fazan
Crossoptilon crossoptilon,White Eared-pheasant,bijeli fazan
Crossoptilon harmani,Tibetan Eared-pheasant,tibetski fazan
Crossoptilon mantchuricum,Brown Eared-pheasant,brkati fazan
Crossoptilon auritum,Blue Eared-pheasant,sivi fazan
Catreus wallichii,Cheer Pheasant,himalajski fazan
Lophura leucomelanos,Kalij Pheasant,crni fazan
Lophura nycthemera,Silver Pheasant,srebrni fazan
Lophura edwardsi,Edwards's Pheasant,vijetnamski fazan
Lophura swinhoii,Swinhoe's Pheasant,tajvanski fazan
Lophura inornata,Salvadori's Pheasant,kratkorepi fazan
Lophura erythrophthalma,Crestless Fireback,žutorepi fazan
Lophura pyronota,Bornean Crestless Fireback,borneanski fazan
Lophura ignita,Bornean Crested Fireback,plavolici fazan
Lophura rufa,Malay Crested Fireback,modri fazan
Lophura diardi,Siamese Fireback,crvenoglavi fazan
Lophura bulweri,Bulwer's Pheasant,bjelorepi fazan
Perdix perdix,Grey Partridge,trčka
Perdix dauurica,Daurian Partridge,azijska trčka
Perdix hodgsoniae,Tibetan Partridge,tibetska trčka
Meleagris gallopavo,Wild Turkey,divlji puran
Meleagris ocellata,Ocellated Turkey,šareni puran
Bonasa umbellus,Ruffed Grouse,kukmasta lještarka
Bonasa bonasia,Hazel Grouse,lještarka
Bonasa sewerzowi,Chinese Grouse,kineska lještarka
Lagopus lagopus,Willow Grouse,sjeverna snježnica
L. l. scotica,Red Grouse,škotska snježnica
Lagopus muta,Rock Ptarmigan,alpska snježnica
Lagupus leucura,White-tailed Ptarmigan,bjelorepa snježnica
Dendragapus obscurus,Dusky Grouse,mrka lještarka
Dendragapus fuliginosus,Sooty Grouse,siva lještarka
Falcipennis falcipennis,Siberian Grouse,sibirska lještarka
Falcipennis canadensis,Spruce Grouse,kanadska lještarka
Falcipennis franklinii,Franklin's Grouse,pjegava lještarka
Tetrao urogallus,Western Capercaillie,tetrijeb gluhan
Tetrao parvirostris,Black-billed Capercaillie,crnokljuni tetrijeb
Lyurus tetrix,Black Grouse,tetrijeb ruševac
Lyurus mlokosiewiczi,Caucasian Grouse,kavkaski tetrijeb
Centrocercus urophasianus,Sage Grouse,velika lještarka
Centrocercus minimus,Gunnison Grouse,crnotrba lještarka
Tympanuchus phasianellus,Sharp-tailed Grouse,oštrorepa lještarka
Tympanuchus cupido,Greater Prairie-chicken,prerijska lještarka
Tympanuchus pallidicinctus,Lesser Prairie-chicken,prugasta lještarka
ANSERIFORMES,,guščarice
ANHIMIDAE,Screamers,pastiraši
Anhima cornuta,Horned Screamer,rogati pastiraš
Chauna chavaria,Northern Screamer,crnovrati pastiraš
Chauna torquata,Southern Screamer,ogrličasti pastiraš
ANSERANATIDAE,Magpie Goose,dugonoga guska
Anseranas semipalmata,Magpie Goose,dugonoga guska
ANATIDAE,"Ducks, Geese, Swans","patke, guske, labudovi"
Dendrocygna viduata,White-faced Whistling-duck,bjelolica utva
Dendrocygna autumnalis,Black-bellied Whistling-duck,crnotrba utva
Dendrocygna guttata,Spotted Whistling-duck,bjelopjegava utva
Dendrocygna arborea,West Indian Whistling-duck,antilska utva
Dendrocygna bicolor,Fulvous Whistling-duck,smeđa utva
Dendrocygna eytoni,Plumed Whistling-duck,australska utva
Dendrocygna arcuata,Wandering Whistling-duck,tamnokapa utva
Dendrocygna javanica,Lesser Whistling-duck,indijska utva
Thalassornis leuconotos,White-backed Duck,mala utva
Heteronetta atricapilla,Black-headed Duck,mrka čakora
Nomonyx dominicus,Masked Duck,mala čakora
Oxyura jamaicensis,Ruddy Duck,crnoglava čakora
Oxyura ferruginea,Andean Duck,andska čakora
Oxyura vittata,Lake Duck,argentinska čakora
Oxyura australis,Blue-billed Duck,australska čakora
Oxyura maccoa,Maccoa Duck,afrička čakora
Oxyura leucocephala,White-headed Duck,čakora
Biziura lobata,Musk Duck,siva čakora
Malacorhynchus membranaceus,Pink-eared Duck,prugasta patka
Stictonetta naevosa,Freckled Duck,pjegava utva
Cereopsis novaehollandiae,Cape Barren Goose,žutokljuna guska
Coscoroba coscoroba,Coscoroba Swan,južnoamerički labud
Cygnus melanocoryphus,Black-necked Swan,crnovrati labud
Cygnus atratus,Black Swan,crni labud
Cygnus olor,Mute Swan,crvenokljuni labud
Cygnus buccinator,Trumpeter Swan,crnokljuni labud
Cygnus cygnus,Whooper Swan,žutokljuni labud
Cygnus columbianus,Tundra Swan,mali labud
C. c. bewickii,Bewick's Swan,mali labud
C. c. columbianus,Tundra Swan,kanadski labud
Branta bernicla,Brent Goose,grivasta guska
B. b. hrota,Pale-bellied Brent Goose,svjetlotrba grivasta guska
B. b. nigricans,Black bellied Brent Goose,tamna grivasta guska
Branta leucopsis,Barnacle Goose,bjelolica guska
Branta ruficollis,Red-breasted Goose,crvenovrata guska
Branta hutchinsii,Cackling Goose,bafinska guska
Branta canadensis,Canada Goose,kanadska guska
Branta sandvicensis,Hawaiian Goose,havajska guska
Anser canagicus,Emperor Goose,carska guska
Anser caerulescens,Snow Goose,snježna guska
Anser rossii,Ross's Goose,bijela guska
Anser indicus,Bar-headed Goose,indijska guska
Anser anser,Greylag Goose,siva guska
Anser cygnoid,Swan Goose,labudolika guska
Anser fabalis,Bean Goose,guska glogovnjača
A. f. middendorffii,Middendorff’s Bean-Goose,istočnosibirska guska
A. f. serrirostris,Tundra Bean Goose,tundranska guska
Anser brachyrhynchus,Pink-footed Goose,kratkokljuna guska
Anser albifrons,Greater White-fronted Goose,lisasta guska
A. a. flavirostris,Grenland White-fronted Goose,grenlandska guska
Anser erythropus,Lesser White-fronted Goose,mala guska
Clangula hyemalis,Long-tailed Duck,patka ledara
Somateria fischeri,Spectacled Eider,gavka naočarka
Somateria spectabilis,King Eider,krasna gavka
Somateria mollissima,Common Eider,gavka
Polysticta stelleri,Steller's Eider,stellerova gavka
Melanitta perspicillata,Surf Scoter,lisasta patka
Melanitta fusca,Velvet Scoter,patka kulašica
Melanitta stejnegeri,Siberian Scoter,sibirska patka
Melanitta deglandi,White-winged Scoter,kanadska patka
Melanitta nigra,Black Scoter,crna patka
Melanitta americana,American Scoter,američka crna patka
Bucephala albeola,Bufflehead,američka patka batoglavica
Bucephala clangula,Common Goldeneye,patka batoglavica
Bucephala islandica,Barrow's Goldeneye,islandska patka
Mergellus albellus,Smew,bijeli ronac
Lophodytes cucullatus,Hooded Merganser,kukmasti ronac
Mergus merganser,Goosander,veliki ronac
Mergus squamatus,Scaly-sided Merganser,kineski ronac
Mergus serrator,Red-breasted Merganser,mali ronac
†Mergus australis,Auckland Merganser,novozelandski ronac
Mergus octosetaceus,Brazilian Merganser,brazilski ronac
Histrionicus histrionicus,Harlequin Duck,šarena patka
†Camptorhynchus labradorius,Labrador Duck,labradorska patka
