Latin,English,Croatian
Fulica alai,Hawaiian Coot,bumbar1957
Fulica americana,American Coot,bumbar1958
Fulica leucoptera,White-winged Coot,bumbar1959
Fulica ardesiaca,Andean Coot,bumbar1960
Fulica armillata,Red-gartered Coot,bumbar1961
Fulica rufifrons,Red-fronted Coot,bumbar1962
Fulica gigantea,Giant Coot,bumbar1963
Fulica cornuta,Horned Coot,bumbar1964
MUSOPHAGIFORMES,,bumbar1965
MUSOPHAGIDAE,Turacos,bumbar1966
Corythaeola cristata,Great Blue Turaco,bumbar1967
Criniferoides leucogaster,White-bellied Go-away-bird,bumbar1968
Crinifer zonurus,Eastern Plantain-eater,bumbar1969
Crinifer piscator,Western Plantain-eater,bumbar1970
Corythaixoides personatus,Brown-faced Go-away-bird,bumbar1971
Corythaixoides leopoldi,Black-faced Go-away-bird,bumbar1972
Corythaixoides concolor,Grey Go-away-bird,bumbar1973
Gallirex porphyreolophus,Purple-crested Turaco,bumbar1974
Gallirex johnstoni,Ruwenzori Turaco,bumbar1975
Tauraco schalowi,Schalow's Turaco,bumbar1976
Tauraco hartlaubi,Hartlaub's Turaco,bumbar1977
Tauraco schuetti,Black-billed Turaco,bumbar1978
Tauraco livingstonii,Livingstone's Turaco,bumbar1979
Tauraco fischeri,Fischer's Turaco,bumbar1980
Tauraco corythaix,Knysna Turaco,bumbar1981
Tauraco persa,Green Turaco,bumbar1982
Tauraco leucotis,White-cheeked Turaco,bumbar1983
Tauraco ruspolii,Ruspoli's Turaco,bumbar1984
Tauraco bannermani,Bannerman's Turaco,bumbar1985
Tauraco erythrolophus,Red-crested Turaco,bumbar1986
Tauraco leucolophus,White-crested Turaco,bumbar1987
Tauraco macrorhynchus,Yellow-billed Turaco,bumbar1988
Musophaga rossae,Ross's Turaco,bumbar1989
Musophaga violacea,Violet Turaco,bumbar1990
PSOPHIIDAE,Trumpeters,bumbar1991
Psophia crepitans,Grey-winged Trumpeter,bumbar1992
Psophia ochroptera,Ochre-winged Trumpeter,bumbar1993
Psophia leucoptera,White-winged Trumpeter,bumbar1994
Psophia viridis,Green-winged Trumpeter,bumbar1995
Psophia dextralis,Olive-winged Trumpeter,bumbar1996
Psophia obscura,Black-winged Trumpeter,bumbar1997
ARAMIDAE,Limpkin,bumbar1998
Aramus guarauna,Limpkin,bumbar1999
GAVIIFORMES,,bumbar2000
GAVIIDAE,Loons/Divers,bumbar2001
GRUIDAE,Cranes,bumbar2002
Gavia stellata,Red-throated Loon,bumbar2003
Gavia arctica,Black-throated Loon,bumbar2004
Gavia pacifica,Pacific Loon,bumbar2005
Gavia immer,Common Loon,bumbar2006
Gavia adamsii,White-billed Loon,bumbar2007
Balearica regulorum,Grey Crowned-crane,bumbar2008
Balearica pavonina,Black Crowned-crane,bumbar2009
Leucogeranus leucogeranus,Siberian Crane,bumbar2010
Antigone canadensis,Sandhill Crane,bumbar2011
Antigone vipio,White-naped Crane,bumbar2012
Antigone antigone,Sarus Crane,bumbar2013
Antigone rubicunda,Brolga,bumbar2014
Bugeranus carunculatus,Wattled Crane,bumbar2015
Anthropoides paradiseus,Blue Crane,bumbar2016
Anthropoides virgo,Demoiselle Crane,bumbar2017
Grus japonensis,Red-crowned Crane,bumbar2018
Grus americana,Whooping Crane,bumbar2019
Grus grus,Common Crane,bumbar2020
Grus monacha,Hooded Crane,bumbar2021
Grus nigricollis,Black-necked Crane,bumbar2022
SPHENISCIFORMES,,bumbar2023
SPHENISCIDAE,Penguins,bumbar2024
Aptenodytes patagonicus,King Penguin,bumbar2025
Aptenodytes forsteri,Emperor Penguin,bumbar2026
Pygoscelis papua,Gentoo Penguin,bumbar2027
Pygoscelis adeliae,Adelie Penguin,bumbar2028
Pygoscelis antarcticus,Chinstrap Penguin,bumbar2029
Eudyptes schlegeli,Royal Penguin,bumbar2030
Eudyptes chrysolophus,Macaroni Penguin,bumbar2031
Eudyptes moseleyi,Northern Rockhopper Penguin,bumbar2032
Eudyptes chrysocome,Southern Rockhopper Penguin,bumbar2033
Eudyptes sclateri,Erect-crested Penguin,bumbar2034
Eudyptes pachyrhynchus,Fiordland Penguin,bumbar2035
Eudyptes robustus,Snares Penguin,bumbar2036
Megadyptes antipodes,Yellow-eyed Penguin,bumbar2037
Eudyptula minor,Little Penguin,bumbar2038
E. m. albosignata,White-flippered Penguin,bumbar2039
Spheniscus demersus,African Penguin,bumbar2040
