Latin,English,Croatian
STRUTHIONIFORMES,,bumbar1
STRUTHIONIDAE,Ostriches,bumbar2
Apteryx rowi,Okarito Kiwi,bumbar3
†DINORNITHIDAE,Moas,bumbar4
Struthio camelus,Ostrich,bumbar5
Struhio molybdophanes,Somali Ostrich,bumbar6
†Dinornis gigantheus,Great Moa,bumbar7
†Megalapteryx didinus,Lesser Megalapteryx,bumbar8
RHEIDAE,Rheas,bumbar9
†AEPYORNITHIDAE,Elephantbirds,bumbar10
Rhea americana,Greater Rhea,bumbar11
Rhea pennata,Lesser Rhea,bumbar12
Rhea tarapacensis,Puna Rhea,bumbar13
†Aepyornis maximus,Elephantbird,bumbar14
GALLIFORMES,,bumbar15
MEGAPODIIDAE,Megapodes,bumbar16
TINAMIDAE,Tinamous,bumbar17
Nothocercus julius,Tawny-breasted Tinamou,bumbar18
Nothocercus bonapartei,Highland Tinamou,bumbar19
Nothocercus nigrocapillus,Hooded Tinamou,bumbar20
Tinamus tao,Grey Tinamou,bumbar21
Tinamus solitarius,Solitary Tinamou,bumbar22
Tinamus osgoodi,Black Tinamou,bumbar23
Tinamus major,Great Tinamou,bumbar24
Tinamus guttatus,White-throated Tinamou,bumbar25
Crypturellus berlepschi,Berlepsch's Tinamou,bumbar26
Crypturellus cinereus,Cinereous Tinamou,bumbar27
Crypturellus ptaritepui,Tepui Tinamou,bumbar28
Crypturellus soui,Little Tinamou,bumbar29
Crypturellus obsoletus,Brown Tinamou,bumbar30
Crypturellus undulatus,Undulated Tinamou,bumbar31
Crypturellus strigulosus,Brazilian Tinamou,bumbar32
Crypturellus duidae,Grey-legged Tinamou,bumbar33
Crypturellus erythropus,Red-legged Tinamou,bumbar34
Crypturellus noctivagus,Yellow-legged Tinamou,bumbar35
Crypturellus atrocapillus,Black-capped Tinamou,bumbar36
Crypturellus occidentalis,Western Thicket Tinamou,bumbar37
Crypturellus cinnamomeus,Eastern Thicket Tinamou,bumbar38
Crypturellus transfasciatus,Pale-browed Tinamou,bumbar39
Crypturellus boucardi,Slaty-breasted Tinamou,bumbar40
Crypturellus kerriae,Choco Tinamou,bumbar41
Crypturellus varieagatus,Variegated Tinamou,bumbar42
Crypturellus brevirostris,Rusty Tinamou,bumbar43
Crypturellus barletti,Barlett's Tinamou,bumbar44
Crypturellus casiquiare,Barred Tinamou,bumbar45
Crypturellus parvirostris,Small-billed Tinamou,bumbar46
Crypturellus tataupa,Tataupa Tinamou,bumbar47
Rhynchotus rufescens,Red-winged Tinamou,bumbar48
Nothoprocta taczanowskii,Taczanowski's Tinamu,bumbar49
Nothoprocta ornata,Ornate Tinamou,bumbar50
Nothoprocta perdicaria,Chilean Tinamou,bumbar51
Nothoprocta cinerascens,Brushland Tinamou,bumbar52
Nothoprocta pentlandii,Andean Tinamou,bumbar53
Nothoprocta curvirostris,Curve-billed Tinamou,bumbar54
Nothura boraquira,White-bellied Nothura,bumbar55
Nothura minor,Lesser Nothura,bumbar56
Nothura darwinii,Darwin's Nothura,bumbar57
Nothura maculosa,Spotted Nothura,bumbar58
Nothura chacoensis,Chaco Nothura,bumbar59
Taoniscus nanus,Dwarf Tinamou,bumbar60
Eudromia elegans,Elegant Crested-Tinamou,bumbar61
Eudromia formosa,Quebracho Crested-Tinamou,bumbar62
Tinamotis pentlandii,Puna Tinamou,bumbar63
Tinamotis ingoufi,Patagonian Tinamou,bumbar64
Alectura lathami,Australian Brush-turkey,bumbar65
Aepypodius arfakianus,Wattled Brush-turkey,bumbar66
Aepypodius bruijnii,Bruijn's Brush-turkey,bumbar67
Talegalla cuvieri,Red-billed Brush-turkey,bumbar68
Talegalla fuscirostris,Black-billed Brush-turkey,bumbar69
Talegalla jobiensis,Brown-collared Brush-turkey,bumbar70
Leipoa ocellata,Malleefowl,bumbar71
Macrocephalon maleo,Maleo,bumbar72
Eulipoa wallacei,Moluccan Scrubfowl,bumbar73
Megapodius nicobariensis,Nicobar Scrubfowl,bumbar74
Megapodius cumingii,Philippine Scrubfowl,bumbar75
Megapodius bernsteinii,Sula Scrubfowl,bumbar76
Megapodius tenimberensis,Tanimbar Scrubfowl,bumbar77
Megapodius layardi,Vanuatu Scrubfowl,bumbar78
Megapodius laperouse,Micronesian Scrubfowl,bumbar79
Megapodius pritchardii,Polynesian Scrubfowl,bumbar80
Megapodius freycinet,Dusky Scrubfowl,bumbar81
Megapodius geelvikanus,Biak Scrubfowl,bumbar82
Megapodius decollatus,New Guinea Scrubfowl,bumbar83
Megapodius eremita,Melanesian Scrubfowl,bumbar84
Megapodius reinwardt,Orange-footed Scrubfowl,bumbar85
CRACIDAE,"Guans, Chachalacas, Curassows,",bumbar86
Chamaepetes unicolor,Black Guan,bumbar87
Chamaepetes goudotii,Sickle-winged Guan,bumbar88
Penelopina nigra,Highland Guan,bumbar89
Penelope argyrotis,Band-tailed Guan,bumbar90
Penelope barbata,Bearded Guan,bumbar91
Penelope ortoni,Baudo Guan,bumbar92
Penelope montagnii,Andean Guan,bumbar93
Penelope marail,Marail Guan,bumbar94
Penelope superciliaris,Rusty-margined Guan,bumbar95
Penelope dabbenei,Red-faced Guan,bumbar96
Penelope jacquacu,Spix's Guan,bumbar97
Penelope purpurascens,Crested Guan,bumbar98
Penelope perspicax,Cauca Guan,bumbar99
Penelope albipennis,White-winged Guan,bumbar100
Penelope obscura,Dusky-legged Guan,bumbar101
Penelope pileata,White-crested Guan,bumbar102
Penelope ochrogaster,Chestnut-bellied Guan,bumbar103
Penelope jacucaca,White-browed Guan,bumbar104
Pipile pipile,Trinidad Piping-guan,bumbar105
Pipile cumanensis,Blue-throated Piping-guan,bumbar106
Pipile grayi,White-throated Piping-guan,bumbar107
Pipile cujubi,Red-throated Piping-guan,bumbar108
Pipile jacutinga,Black-fronted Piping-guan,bumbar109
Aburria aburri,Wattled Guan,bumbar110
Oreophasis derbianus,Horned Guan,bumbar111
Ortalis vetula,Plain Chachalaca,bumbar112
Ortalis cinereiceps,Grey-headed Chachalaca,bumbar113
Ortalis garrula,Chestnut-winged Chachalaca,bumbar114
Ortalis ruficauda,Rufous-vented Chachalaca,bumbar115
Ortalis erythroptera,Rufous-headed Chachalaca,bumbar116
Ortalis wagleri,Rufous-bellied Chachalaca,bumbar117
Ortalis poliocephala,West Mexican Chachalaca,bumbar118
Ortalis canicollis,Chaco Chachalaca,bumbar119
Ortalis leucogastra,White-bellied Chachalaca,bumbar120
Ortalis columbiana,Colombian Chachalaca,bumbar121
Ortalis guttata,Speckled Chachalaca,bumbar122
Ortalis araucan,East Brasilian Chachalaca,bumbar123
Ortalis squamata,Scaled Chachalaca,bumbar124
Ortalis motmot,Little Chachalaca,bumbar125
CASUARIIDAE,"Cassowaries, Emus",bumbar126
Casuarius casuarius,Southern Cassowary,bumbar127
Casuarius bennetti,Dwarf Cassowary,bumbar128
Casuarius unappendiculatus,Northern Cassowary,bumbar129
Dromaius novaehollandiae,Emu,bumbar130
†Dromaius minor,King Island Emu,bumbar131
†Dromaius baudinianus,Kangoroo Island Emu,bumbar132
APTERYGIDAE,Kiwis,bumbar133
Apteryx haastii,Great Spotted Kiwi,bumbar134
Apteryx owenii,Little Spotted Kiwi,bumbar135
Apteryx mantelli,Northern Brown Kiwi,bumbar136
Apteryx australis,Southern Brown Kiwi,bumbar137
Ortalis superciliaris,Buff-browed Chachalaca,bumbar138
Nothocrax urumutum,Nocturnal Curassow,bumbar139
Crax rubra,Great Curassow,bumbar140
Crax alberti,Blue-billed Curassow,bumbar141
Crax daubentoni,Yellow-knobbed Curassow,bumbar142
Crax alector,Black Curassow,bumbar143
Crax fasciolata,Bare-faced Curassow,bumbar144
Crax pinima,Belem Curassow,bumbar145
Crax globulosa,Wattled Curassow,bumbar146
Crax blumenbachii,Red-billed Curassow,bumbar147
Mitu tomentosum,Crestless Curassow,bumbar148
Mitu mitu,Alagoas Curassow,bumbar149
Mitu tuberosum,Razor-billed Curassow,bumbar150
Mitu salvini,Salvin's Curassow,bumbar151
Pauxi unicornis,Horned Curassow,bumbar152
Pauxi koepckeae,Sira Curassow,bumbar153
Pauxi pauxi,Helmeted Curassow,bumbar154
Arborophila crudigularis,Taiwan Partridge,bumbar155
Arborophila mandellii,Chestnut-breasted Partridge,bumbar156
Arborophila brunneopectus,Bar-backed Partridge,bumbar157
Arborophila rufipectus,Sichuan Partridge,bumbar158
Arborophila gingica,Collared Partridge,bumbar159
Arborophila davidi,Orange-necked Partridge,bumbar160
Arborophila cambodiana,Chestnut-headed Partridge,bumbar161
Arborophila campbelli,Malay Partridge,bumbar162
Arborophila rolli,Tan-breasted Partridge,bumbar163
Arborophila sumatrana,Sumatran Partridge,bumbar164
Arborophila orientalis,White-faced Partridge,bumbar165
Arborophila javanica,Chestnut-bellied Partridge,bumbar166
Arborophila rubrirostris,Red-billed Partridge,bumbar167
Arborophila hyperythra,Bornean Partridge,bumbar168
Arborophila ardens,Hainan Partridge,bumbar169
Arborophila chloropus,Green-legged Partridge,bumbar170
Arborophila tonkinensis,Tonkin Partridge,bumbar171
Arborophila charltonii,Chestnut-necklaced Partridge,bumbar172
Arborophila graydoni,Sabah Partridge,bumbar173
Rhizothera longirostris,Long-billed Partridge,bumbar174
Rhizothera dulitensis,Dulit Partridge,bumbar175
Melanoperdix niger,Black Partridge,bumbar176
Haematortyx sanguiniceps,Crimson-headed Partridge,bumbar177
Caloperdix oculea,Ferruginous Partridge,bumbar178
Galloperdix spadicea,Red Spurfowl,bumbar179
Galloperdix lunulata,Painted Spurfowl,bumbar180
Galloperdix bicalcarata,Sri Lanka Spurfowl,bumbar181
Afropavo congensis,Congo Peafowl,bumbar182
Pavo cristatus,Indian Peafowl,bumbar183
Pavo muticus,Green Peafowl,bumbar184
Argusianus argus,Great Argus,bumbar185
Rheinardia ocellata,Crested Argus,bumbar186
R. o. nigrescens,Malaysian Argus,bumbar187
Polyplectron napoleonis,Palawan Peacock-pheasant,bumbar188
Polyplectron malacense,Malay Peacock-pheasant,bumbar189
Polyplectron schleiermacheri,Bornean Peacock-pheasant,bumbar190
Polyplectron germaini,Germain's Peacock-pheasant,bumbar191
Polyplectron katsumatae,Hainan Peacock-pheasant,bumbar192
Polyplectron bicalcaratum,Grey Peacock-pheasant,bumbar193
Polyplectron inopinatum,Mountain Peacock-pheasant,bumbar194
Polyplectron chalcurum,Bronze-tailed Peacock-pheasant,bumbar195
Margaroperdix madagarensis,Madagascar Partridge,bumbar196
Coturnix coturnix,Common Quail,bumbar197
Coturnix japonica,Japanese Quail,bumbar198
Coturnix coromandelica,Rain Quail,bumbar199
Coturnix delegorguei,Harlequin Quail,bumbar200
Coturnix pectoralis,Stubble Quail,bumbar201
†Coturnix novaezelandiae,New Zealand Quail,bumbar202
Synoicus ypsilophorus,Brown Quail,bumbar203
Synoicus chinensis,Asian Blue Quail,bumbar204
Synoicus adansonii,African Blue Quail,bumbar205
Anurophasis monorthonyx,Snow Mountain Quail,bumbar206
Tetraogallus caucasicus,Caucasian Snowcock,bumbar207
Tetraogallus caspius,Caspian Snowcock,bumbar208
Tetraogallus himalayensis,Himalayan Snowcock,bumbar209
Tetraogallus tibetanus,Tibetan Snowcock,bumbar210
Tetraogallus altaicus,Altai Snowcock,bumbar211
Alectoris graeca,Rock Partridge,bumbar212
Alectoris chukar,Chukar,bumbar213
Alectoris magna,Przevalski's Partridge,bumbar214
Alectoris philbyi,Philby's Partridge,bumbar215
Alectoris barbara,Barbary Partridge,bumbar216
Alectoris rufa,Red-legged Partridge,bumbar217
Alectoris melanocephala,Arabian Partridge,bumbar218
Lerwa lerwa,Snow Partridge,bumbar219
Ammoperdix griseogularis,See-see Partridge,bumbar220
Ammoperdix heyi,Sand Partridge,bumbar221
Perdicula asiatica,Jungle Bush-quail,bumbar222
Perdicula argoondah,Rock Bush-quail,bumbar223
Perdicula erythrorhyncha,Painted Bush-quail,bumbar224
Perdicula manipurensis,Manipur Bush-quail,bumbar225
Ophrysia superciliosa,Himalayan Quail,bumbar226
Pternistis hartlaubi,Hartlaub's Francolin,bumbar227
Pternistis bicalcaratus,Double-spurred Francolin,bumbar228
Pternistis icterorhynchus,Heuglin's Francolin,bumbar229
Pternistis clappertoni,Clapperton's Francolin,bumbar230
Pternistis harwoodi,Harwood's Francolin,bumbar231
NUMIDIDAE,Guineafowl,bumbar232
Numida meleagris,Helmeted Guineafowl,bumbar233
N. m. galeatus,West African Guineafowl,bumbar234
Agelastes meleagrides,White-breasted Guineafowl,bumbar235
Agelastes niger,Black Guineafowl,bumbar236
Acryllium vulturinum,Vulturine Guineafowl,bumbar237
Guttera plumifera,Plumed Guineafowl,bumbar238
Guttera verreauxi,Western Crested Guineafowl,bumbar239
Guttera pucherani,Eastern Crested Guineafowl,bumbar240
Guttera edouardi,Southern Crested Guineafowl,bumbar241
ODONTOPHORIDAE,New World Quails,bumbar242
Ptilopachus petrosus,Stone Partridge,bumbar243
Ptilopachus nahani,Nahan's Partridge,bumbar244
Philortyx fasciatus,Barred Quail,bumbar245
Oreortyx pictus,Mountain Quail,bumbar246
Colinus virginianus,Northern Bobwhite,bumbar247
C. v. ridgwayi,Masked Bobwhite,bumbar248
Colinus nigrogularis,Black-throated Bobwhite,bumbar249
Colinus leucopogon,Spot-bellied Bobwhite,bumbar250
Colinus cristatus,Crested Bobwhite,bumbar251
Callipepla squamata,Scaled Quail,bumbar252
Callipepla douglasii,Elegant Quail,bumbar253
Callipepla gambelii,Gambel's Quail,bumbar254
Callipepla californica,California Quail,bumbar255
Dendrortyx barbatus,Bearded Wood-partridge,bumbar256
Dendrortyx macroura,Long-tailed Wood-partridge,bumbar257
Dendrortyx leucophrys,Buffy-crowned Wood-partridge,bumbar258
Odontophorus gujanensis,Marbled Wood-quail,bumbar259
Odontophorus capueira,Spot-winged Wood-quail,bumbar260
Odontophorus melanotis,Black-eared Wood-quail,bumbar261
Odontophorus erythrops,Rufous-fronted Wood-quail,bumbar262
Odontophorus atrifrons,Black-fronted Wood-quail,bumbar263
Odontophorus hyperythrus,Chestnut Wood-quail,bumbar264
Odontophorus melanonotus,Dark-backed Wood-quail,bumbar265
Odontophorus speciosus,Rufous-breasted Wood-quail,bumbar266
Odontophorus dialeucos,Tacarcuna Wood-quail,bumbar267
Odontophorus strophium,Gorgeted Wood-quail,bumbar268
Odontophorus columbianus,Venezuelan Wood-quail,bumbar269
Odontophorus leucolaemus,Black-breasted Wood-quail,bumbar270
Odontophorus balliviani,Stripe-faced Wood-quail,bumbar271
Odontophorus stellatus,Starred Wood-quail,bumbar272
Odontophorus guttatus,Spotted Wood-quail,bumbar273
Rhynchortyx cinctus,Tawny-faced Quail,bumbar274
Dactylortyx thoracicus,Singing Quail,bumbar275
Cyrtonyx montezumae,Montezuma Quail,bumbar276
Cyrtonyx sallei,Spot-breasted Quail,bumbar277
Cyrtonyx ocellatus,Ocellated Quail,bumbar278
PHASIANIDAE,"Pheasant, Partridges, Turkeys, Grouse",bumbar279
Xenoperdix udzungwensis,Udzungwa Forest-partridge,bumbar280
Rollulus rouloul,Crested Partridge,bumbar281
Arborophila torqueola,Hill Partridge,bumbar282
Arborophila rufogularis,Rufous-throated Partridge,bumbar283
Arborophila atrogularis,White-cheeked Partridge,bumbar284
Pternistis adspersus,Red-billed Francolin,bumbar285
Pternistis capensis,Cape Francolin,bumbar286
Pternistis natalensis,Natal Francolin,bumbar287
Pternistis hildebrandti,Hildebrandt's Francolin,bumbar288
Pternistis ahantensis,Ahanta Francolin,bumbar289
Pternistis squamatus,Scaly Francolin,bumbar290
Pternistis griseostriatus,Grey-striped Francolin,bumbar291
Pternistis leucoscepus,Yellow-necked Francolin,bumbar292
Pternistis rufopictus,Grey-breasted Francolin,bumbar293
Pternistis afer,Red-necked Francolin,bumbar294
Pternistis swainsonii,Swainson's Francolin,bumbar295
Pternistis jacksoni,Jackson's Francolin,bumbar296
Pternistis nobilis,Handsome Francolin,bumbar297
Pternistis camerunensis,Mount Cameroon Francolin,bumbar298
Pternistis swierstrai,Swierstra's Francolin,bumbar299
Pternistis castaneicollis,Chestnut-naped Francolin,bumbar300
Pternistis atrifrons,Black-fronted Francolin,bumbar301
Pternistis erckelii,Erckel's Francolin,bumbar302
Pternistis ochropectus,Djibouti Francolin,bumbar303
Francolinus francolinus,Black Francolin,bumbar304
Francolinus pictus,Painted Francolin,bumbar305
Francolinus pintadeanus,Chinese Francolin,bumbar306
Francolinus pondicerianus,Grey Francolin,bumbar307
Francolinus gularis,Swamp Francolin,bumbar308
Dendroperdix sephaena,Crested Francolin,bumbar309
Peliperdix coqui,Coqui Francolin,bumbar310
Peliperdix albogularis,White-throated Francolin,bumbar311
Peliperdix schlegelii,Schlegel's Francolin,bumbar312
Peliperdix lathami,Latham's Francolin,bumbar313
Scleroptila streptophora,Ring-necked Francolin,bumbar314
Scleroptila leivaillantii,Red-winged Francolin,bumbar315
Scleroptila afra,Grey-winged Francolin,bumbar316
Scleroptila finschi,Finsch's Francolin,bumbar317
Scleroptila psilolaema,Moorland Francolin,bumbar318
Scleroptila elgonensis,Elgon Francolin,bumbar319
Scleroptila shelleyi,Shelley's Francolin,bumbar320
Scleroptila whytei,Whyte's Francolin,bumbar321
Scleroptila gutturalis,Orange River Francolin,bumbar322
Bambusicola fytchii,Mountain Bamboo-partridge,bumbar323
Bambusicola thoracicus,Chinese Bamboo-partridge,bumbar324
Bambusicola sonorivox,Taiwan Bamboo-partridge,bumbar325
Gallus gallus,Red Junglefowl,bumbar326
Gallus sonneratii,Grey Junglefowl,bumbar327
Gallus lafayetii,Sri Lanka Junglefowl,bumbar328
Gallus varius,Green Junglefowl,bumbar329
Tetraophasis obscurus,Chestnut-throated Partridge,bumbar330
Tetraophasis szechenyii,Buff-throated Partridge,bumbar331
Lophophorus impejanus,Himalayan Monal,bumbar332
Lophophorus sclateri,Sclater's Monal,bumbar333
Lophophorus lhuysii,Chinese Monal,bumbar334
Tragopan melanocephalus,Western Tragopan,bumbar335
Tragopan satyra,Satyr Tragopan,bumbar336
Tragopan blythii,Blyth's Tragopan,bumbar337
Tragopan temminckii,Temminck's Tragopan,bumbar338
Tragopan caboti,Cabot's Tragopan,bumbar339
Ithaginis cruentus,Blood Pheasant,bumbar340
Pucrasia macrolopha,Koklass Pheasant,bumbar341
Syrmaticus ellioti,Elliot's Pheasant,bumbar342
Syrmaticus humiae,Mrs Hume's Pheasant,bumbar343
Syrmaticus mikado,Mikado Pheasant,bumbar344
Syrmaticus soemmeringi,Copper Pheasant,bumbar345
Syrmaticus reevesii,Reeves's Pheasant,bumbar346
Chrysolophus pictus,Golden Pheasant,bumbar347
Chrysolophus amherstiae,Lady Amherst's Pheasant,bumbar348
Phasianus colchicus,Common Pheasant,bumbar349
P. c. torquatus,Ring-necked Pheasant,bumbar350
Phasianus versicolor,Green Pheasant,bumbar351
Crossoptilon crossoptilon,White Eared-pheasant,bumbar352
Crossoptilon harmani,Tibetan Eared-pheasant,bumbar353
Crossoptilon mantchuricum,Brown Eared-pheasant,bumbar354
Crossoptilon auritum,Blue Eared-pheasant,bumbar355
Catreus wallichii,Cheer Pheasant,bumbar356
Lophura leucomelanos,Kalij Pheasant,bumbar357
Lophura nycthemera,Silver Pheasant,bumbar358
Lophura edwardsi,Edwards's Pheasant,bumbar359
Lophura swinhoii,Swinhoe's Pheasant,bumbar360
Lophura inornata,Salvadori's Pheasant,bumbar361
Lophura erythrophthalma,Crestless Fireback,bumbar362
Lophura pyronota,Bornean Crestless Fireback,bumbar363
Lophura ignita,Bornean Crested Fireback,bumbar364
Lophura rufa,Malay Crested Fireback,bumbar365
Lophura diardi,Siamese Fireback,bumbar366
Lophura bulweri,Bulwer's Pheasant,bumbar367
Perdix perdix,Grey Partridge,bumbar368
Perdix dauurica,Daurian Partridge,bumbar369
Perdix hodgsoniae,Tibetan Partridge,bumbar370
Meleagris gallopavo,Wild Turkey,bumbar371
Meleagris ocellata,Ocellated Turkey,bumbar372
Bonasa umbellus,Ruffed Grouse,bumbar373
Bonasa bonasia,Hazel Grouse,bumbar374
Bonasa sewerzowi,Chinese Grouse,bumbar375
Lagopus lagopus,Willow Grouse,bumbar376
L. l. scotica,Red Grouse,bumbar377
Lagopus muta,Rock Ptarmigan,bumbar378
Lagupus leucura,White-tailed Ptarmigan,bumbar379
Dendragapus obscurus,Dusky Grouse,bumbar380
Dendragapus fuliginosus,Sooty Grouse,bumbar381
Falcipennis falcipennis,Siberian Grouse,bumbar382
Falcipennis canadensis,Spruce Grouse,bumbar383
Falcipennis franklinii,Franklin's Grouse,bumbar384
Tetrao urogallus,Western Capercaillie,bumbar385
Tetrao parvirostris,Black-billed Capercaillie,bumbar386
Lyurus tetrix,Black Grouse,bumbar387
Lyurus mlokosiewiczi,Caucasian Grouse,bumbar388
Centrocercus urophasianus,Sage Grouse,bumbar389
Centrocercus minimus,Gunnison Grouse,bumbar390
Tympanuchus phasianellus,Sharp-tailed Grouse,bumbar391
Tympanuchus cupido,Greater Prairie-chicken,bumbar392
Tympanuchus pallidicinctus,Lesser Prairie-chicken,bumbar393
ANSERIFORMES,,bumbar394
ANHIMIDAE,Screamers,bumbar395
Anhima cornuta,Horned Screamer,bumbar396
Chauna chavaria,Northern Screamer,bumbar397
Chauna torquata,Southern Screamer,bumbar398
ANSERANATIDAE,Magpie Goose,bumbar399
Anseranas semipalmata,Magpie Goose,bumbar400
ANATIDAE,"Ducks, Geese, Swans",bumbar401
Dendrocygna viduata,White-faced Whistling-duck,bumbar402
Dendrocygna autumnalis,Black-bellied Whistling-duck,bumbar403
Dendrocygna guttata,Spotted Whistling-duck,bumbar404
Dendrocygna arborea,West Indian Whistling-duck,bumbar405
Dendrocygna bicolor,Fulvous Whistling-duck,bumbar406
Dendrocygna eytoni,Plumed Whistling-duck,bumbar407
Dendrocygna arcuata,Wandering Whistling-duck,bumbar408
Dendrocygna javanica,Lesser Whistling-duck,bumbar409
Thalassornis leuconotos,White-backed Duck,bumbar410
Heteronetta atricapilla,Black-headed Duck,bumbar411
Nomonyx dominicus,Masked Duck,bumbar412
Oxyura jamaicensis,Ruddy Duck,bumbar413
Oxyura ferruginea,Andean Duck,bumbar414
Oxyura vittata,Lake Duck,bumbar415
Oxyura australis,Blue-billed Duck,bumbar416
Oxyura maccoa,Maccoa Duck,bumbar417
Oxyura leucocephala,White-headed Duck,bumbar418
Biziura lobata,Musk Duck,bumbar419
Malacorhynchus membranaceus,Pink-eared Duck,bumbar420
Stictonetta naevosa,Freckled Duck,bumbar421
Cereopsis novaehollandiae,Cape Barren Goose,bumbar422
Coscoroba coscoroba,Coscoroba Swan,bumbar423
Cygnus melanocoryphus,Black-necked Swan,bumbar424
Cygnus atratus,Black Swan,bumbar425
Cygnus olor,Mute Swan,bumbar426
Cygnus buccinator,Trumpeter Swan,bumbar427
Cygnus cygnus,Whooper Swan,bumbar428
Cygnus columbianus,Tundra Swan,bumbar429
C. c. bewickii,Bewick's Swan,bumbar430
C. c. columbianus,Tundra Swan,bumbar431
Branta bernicla,Brent Goose,bumbar432
B. b. hrota,Pale-bellied Brent Goose,bumbar433
B. b. nigricans,Black bellied Brent Goose,bumbar434
Branta leucopsis,Barnacle Goose,bumbar435
Branta ruficollis,Red-breasted Goose,bumbar436
Branta hutchinsii,Cackling Goose,bumbar437
Branta canadensis,Canada Goose,bumbar438
Branta sandvicensis,Hawaiian Goose,bumbar439
Anser canagicus,Emperor Goose,bumbar440
Anser caerulescens,Snow Goose,bumbar441
Anser rossii,Ross's Goose,bumbar442
Anser indicus,Bar-headed Goose,bumbar443
Anser anser,Greylag Goose,bumbar444
Anser cygnoid,Swan Goose,bumbar445
Anser fabalis,Bean Goose,bumbar446
A. f. middendorffii,Middendorff’s Bean-Goose,bumbar447
A. f. serrirostris,Tundra Bean Goose,bumbar448
Anser brachyrhynchus,Pink-footed Goose,bumbar449
Anser albifrons,Greater White-fronted Goose,bumbar450
A. a. flavirostris,Grenland White-fronted Goose,bumbar451
Anser erythropus,Lesser White-fronted Goose,bumbar452
Clangula hyemalis,Long-tailed Duck,bumbar453
Somateria fischeri,Spectacled Eider,bumbar454
Somateria spectabilis,King Eider,bumbar455
Somateria mollissima,Common Eider,bumbar456
Polysticta stelleri,Steller's Eider,bumbar457
Melanitta perspicillata,Surf Scoter,bumbar458
Melanitta fusca,Velvet Scoter,bumbar459
Melanitta stejnegeri,Siberian Scoter,bumbar460
Melanitta deglandi,White-winged Scoter,bumbar461
Melanitta nigra,Black Scoter,bumbar462
Melanitta americana,American Scoter,bumbar463
Bucephala albeola,Bufflehead,bumbar464
Bucephala clangula,Common Goldeneye,bumbar465
Bucephala islandica,Barrow's Goldeneye,bumbar466
Mergellus albellus,Smew,bumbar467
Lophodytes cucullatus,Hooded Merganser,bumbar468
Mergus merganser,Goosander,bumbar469
Mergus squamatus,Scaly-sided Merganser,bumbar470
Mergus serrator,Red-breasted Merganser,bumbar471
†Mergus australis,Auckland Merganser,bumbar472
Mergus octosetaceus,Brazilian Merganser,bumbar473
Histrionicus histrionicus,Harlequin Duck,bumbar474
†Camptorhynchus labradorius,Labrador Duck,bumbar475
Neochen jubata,Orinoco Goose,bumbar476
Chloephaga melanoptera,Andean Goose,bumbar477
Chloephaga picta,Upland Goose,bumbar478
Chloephaga hybrida,Kelp Goose,bumbar479
Chloephaga poliocephala,Ashy-headed Goose,bumbar480
Chloephaga rubidiceps,Ruddy-headed Goose,bumbar481
Radjah radjah,Radjah Shelduck,bumbar482
Alopochen aegyptiaca,Egyptian Goose,bumbar483
†Alopochen mauritiana,Mauritius Shelduck,bumbar484
†Alopochen kervazoi,Reunion Shelduck,bumbar485
Tadorna tadorna,Common Shelduck,bumbar486
Tadorna ferruginea,Ruddy Shelduck,bumbar487
Tadorna cana,South African Shelduck,bumbar488
Tadorna tadornoides,Australian Shelduck,bumbar489
Tadorna variegata,Paradise Shelduck,bumbar490
Tadorna cristata,Crested Shelduck,bumbar491
Plectropterus gambensis,Spur-winged Goose,bumbar492
Cairina moschata,Muscovy Duck,bumbar493
Sarkidiornis sylvicola,American Comb Duck,bumbar494
Sarkidiornis melanotos,African Comb Duck,bumbar495
Nettapus auritus,African Pygmy-goose,bumbar496
Nettapus coromandelianus,Cotton Pygmy-goose,bumbar497
Nettapus pulchellus,Green Pygmy-goose,bumbar498
Callonetta leucophrys,Ringed Teal,bumbar499
Aix sponsa,Wood Duck,bumbar500
Aix galericulata,Mandarin Duck,bumbar501
Chenonetta jubata,Maned Duck,bumbar502
†Chenonetta finschi,Finsch's Duck,bumbar503
Hymenolaimus malacorhynchos,Blue Duck,bumbar504
Merganetta armata,Torrent Duck,bumbar505
Pteronetta hartlaubii,Hartlaub's Duck,bumbar506
Cyanochen cyanoptera,Blue-winged Goose,bumbar507
Marmaronetta angustirostris,Marbled Duck,bumbar508
Asacornis scutulata,White-winged Wood Duck,bumbar509
Netta rufina,Red-crested Pochard,bumbar510
Netta peposaca,Rosy-billed Pochard,bumbar511
Netta erythrophthalma,Southern Pochard,bumbar512
Aythya ferina,Common Pochard,bumbar513
Aythya americana,Redhead,bumbar514
Aythya valisineria,Canvasback,bumbar515
Aythya australis,Hardhead,bumbar516
Aythya innotata,Madagascar Pochard,bumbar517
Aythya baeri,Baer's Pochard,bumbar518
Aythya nyroca,Ferruginous Duck,bumbar519
Aythya novaeseelandiae,New Zealand Scaup,bumbar520
Aythya collaris,Ring-necked Duck,bumbar521
Aythya fuligula,Tufted Duck,bumbar522
Aythya marila,Greater Scaup,bumbar523
Aythya affinis,Lesser Scaup,bumbar524
Rhodonessa caryophyllacea,Pink-headed Duck,bumbar525
Salvadorina waigiuensis,Salvadori's Teal,bumbar526
Tachyeres patachonicus,Flying Steamerduck,bumbar527
Tachyeres leucocephalus,White-headed Steamerduck,bumbar528
